T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-3e-05,3e-05,0,-1e-05,5e-05,-0,0.001,-0.00081,-4e-05,-0.00017,-4e-05,0,5e-05,0.00227,0.00028,7e-05,-0.00047,0,3e-05,8e-05,0.00036,-5e-05,0,-0.00025,0.00015,-2e-05,2e-05,0.00032,2e-05,1e-05,-0.0002,0.00016,-2e-05,0
0.02,-3e-05,3e-05,0,-1e-05,5e-05,-0,0.00091,-0.0008,-5e-05,-0.00016,-5e-05,0,5e-05,0.00214,0.00028,8e-05,-0.00044,0,3e-05,8e-05,0.00036,-5e-05,1e-05,-0.00026,0.00014,-2e-05,2e-05,0.00031,3e-05,1e-05,-0.0002,0.00014,-3e-05,0
0.04,-2e-05,3e-05,0,-1e-05,5e-05,-0,0.00077,-0.00079,-5e-05,-0.00014,-6e-05,0,4e-05,0.00191,0.00027,8e-05,-0.0004,0,3e-05,8e-05,0.00036,-6e-05,1e-05,-0.00027,0.00013,-2e-05,2e-05,0.00029,3e-05,1e-05,-0.0002,0.00012,-3e-05,0
0.06,-0,3e-05,-0,-1e-05,5e-05,-0,0.00059,-0.00075,-5e-05,-0.00012,-8e-05,-0,3e-05,0.00158,0.00025,8e-05,-0.00036,0,2e-05,7e-05,0.00035,-7e-05,1e-05,-0.00029,0.00011,-2e-05,1e-05,0.00026,4e-05,1e-05,-0.0002,9e-05,-4e-05,0
0.08,2e-05,2e-05,-1e-05,-1e-05,4e-05,-0,0.00036,-0.00071,-5e-05,-8e-05,-0.00011,-0,2e-05,0.0012,0.00022,7e-05,-0.00031,0,2e-05,7e-05,0.00034,-7e-05,1e-05,-0.0003,9e-05,-2e-05,1e-05,0.00023,4e-05,1e-05,-0.0002,6e-05,-5e-05,0
0.1,6e-05,1e-05,-1e-05,-0,4e-05,-0,0.00011,-0.00065,-5e-05,-4e-05,-0.00014,-0,1e-05,0.00076,0.00018,6e-05,-0.00025,0,2e-05,6e-05,0.00034,-8e-05,2e-05,-0.00032,7e-05,-2e-05,1e-05,0.00019,5e-05,1e-05,-0.0002,2e-05,-6e-05,1e-05
0.12,0.00011,-0,-2e-05,-0,3e-05,-0,-0.00015,-0.00057,-5e-05,0,-0.00018,-1e-05,-1e-05,0.0003,0.00014,6e-05,-0.0002,0,1e-05,4e-05,0.00033,-9e-05,3e-05,-0.00035,5e-05,-2e-05,1e-05,0.00015,6e-05,0,-0.0002,-2e-05,-7e-05,1e-05
0.14,0.00017,-2e-05,-2e-05,-0,3e-05,-0,-0.0004,-0.00048,-4e-05,6e-05,-0.00023,-1e-05,-2e-05,-0.00014,9e-05,5e-05,-0.00013,0,0,3e-05,0.00034,-9e-05,3e-05,-0.00037,3e-05,-2e-05,1e-05,0.00012,6e-05,0,-0.00021,-7e-05,-8e-05,1e-05
0.16,0.00025,-4e-05,-2e-05,-0,2e-05,-0,-0.00063,-0.00038,-2e-05,0.00011,-0.00028,-1e-05,-4e-05,-0.00057,4e-05,4e-05,-5e-05,0,-0,1e-05,0.00035,-0.0001,4e-05,-0.0004,1e-05,-2e-05,1e-05,9e-05,6e-05,-0,-0.00021,-0.00011,-9e-05,1e-05
0.18,0.00035,-6e-05,-2e-05,0,2e-05,-0,-0.00083,-0.00028,1e-05,0.00017,-0.00033,-1e-05,-6e-05,-0.00099,-0,3e-05,3e-05,-0,-1e-05,-1e-05,0.00037,-0.0001,5e-05,-0.00043,0,-2e-05,1e-05,7e-05,7e-05,-1e-05,-0.00022,-0.00014,-0.0001,1e-05
0.2,0.00048,-9e-05,-2e-05,1e-05,2e-05,-0,-0.00099,-0.00017,5e-05,0.00023,-0.00039,-1e-05,-7e-05,-0.00139,-5e-05,1e-05,0.00011,-0,-2e-05,-3e-05,0.00041,-0.0001,6e-05,-0.00047,0,-2e-05,1e-05,5e-05,7e-05,-1e-05,-0.00022,-0.00017,-0.00011,1e-05
0.22,0.00062,-0.00012,-2e-05,1e-05,1e-05,-0,-0.0011,-6e-05,0.00011,0.0003,-0.00046,-1e-05,-8e-05,-0.00174,-0.0001,0,0.0002,0,-2e-05,-5e-05,0.00046,-0.0001,8e-05,-0.00052,1e-05,-2e-05,1e-05,3e-05,6e-05,-2e-05,-0.00021,-0.00019,-0.00011,1e-05
0.24,0.00079,-0.00016,-1e-05,2e-05,2e-05,-0,-0.00113,3e-05,0.00018,0.00037,-0.00053,-1e-05,-9e-05,-0.00204,-0.00015,-1e-05,0.00029,0,-3e-05,-6e-05,0.00053,-0.0001,9e-05,-0.00058,3e-05,-1e-05,1e-05,1e-05,6e-05,-2e-05,-0.00019,-0.00019,-0.00012,1e-05
0.26,0.001,-0.0002,-1e-05,2e-05,2e-05,-0,-0.00111,0.00011,0.00025,0.00044,-0.0006,-1e-05,-0.0001,-0.0023,-0.0002,-2e-05,0.00039,0,-3e-05,-7e-05,0.00063,-0.0001,0.00011,-0.00066,6e-05,-1e-05,1e-05,-1e-05,6e-05,-3e-05,-0.00016,-0.00018,-0.00012,1e-05
0.28,0.00126,-0.00024,-1e-05,3e-05,2e-05,-0,-0.00104,0.00018,0.00034,0.00051,-0.00068,-1e-05,-0.0001,-0.00253,-0.00026,-3e-05,0.00047,1e-05,-3e-05,-8e-05,0.00075,-0.0001,0.00013,-0.00078,0.0001,-1e-05,1e-05,-2e-05,6e-05,-4e-05,-0.00012,-0.00015,-0.00011,1e-05
0.3,0.00155,-0.00028,-1e-05,4e-05,2e-05,-0,-0.00092,0.00026,0.00043,0.00058,-0.00076,-1e-05,-9e-05,-0.0027,-0.00031,-5e-05,0.00057,1e-05,-3e-05,-8e-05,0.0009,-0.0001,0.00016,-0.00092,0.00015,-1e-05,2e-05,-1e-05,5e-05,-5e-05,-8e-05,-0.00011,-0.00011,1e-05
