T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-2.84219,1.12609,-0.07453,-0.79928,0.21292,0.0226,-0.98843,-0.69765,-0.06787,0.08294,-0.0253,0.01431,-0.01033,-0.84099,1.43666,0.14604,0.43749,0.04897,-0.02267,0.07584,19.26525,-4.09794,-0.08313,8.44602,-15.82343,5.62386,1.17569,6.44987,2.31737,0.06608,1.70466,-17.30234,-2.45802,-0.98233
0.02,-2.14031,1.14532,0.01139,-0.76033,0.18883,0.02051,-0.71077,-0.78265,-0.07231,0.16214,-0.02618,0.01578,-0.02495,-0.50965,1.44104,0.14675,0.47156,0.04983,-0.02307,0.08084,19.04172,-4.11393,-0.07204,8.22189,-15.86696,6.03926,1.24962,6.15363,2.29986,0.06872,1.41954,-17.49044,-2.52073,-0.99221
0.04,-1.49182,1.1327,0.1014,-0.72436,0.16449,0.01851,-0.48057,-0.85807,-0.07829,0.22029,-0.02682,0.01445,-0.03728,-0.23579,1.44045,0.15049,0.49095,0.05084,-0.0268,0.08436,18.80799,-4.13974,-0.05577,7.98819,-15.90655,6.45505,1.32349,5.85746,2.28228,0.07128,1.13399,-17.68017,-2.58423,-1.00211
0.06,-0.92007,1.09406,0.18699,-0.69159,0.14028,0.01659,-0.28814,-0.92581,-0.08559,0.26024,-0.02733,0.0112,-0.04719,-0.00401,1.43623,0.15636,0.49772,0.05176,-0.03234,0.08594,18.57299,-4.17151,-0.0334,7.75146,-15.94401,6.85773,1.39495,5.56483,2.26581,0.07363,0.8529,-17.86828,-2.64756,-1.01185
0.08,-0.42933,1.03149,0.26087,-0.65998,0.11553,0.01462,-0.12241,-0.99446,-0.09406,0.2841,-0.02783,0.00655,-0.05582,0.20214,1.42895,0.16299,0.48949,0.05246,-0.03866,0.08556,18.35014,-4.21195,0.00083,7.50869,-15.92961,7.36567,1.48329,5.26444,2.2497,0.07597,0.56119,-18.05329,-2.70894,-1.02092
0.1,-0.06208,0.96176,0.32056,-0.6347,0.09369,0.0129,0.02355,-1.04915,-0.10284,0.29928,-0.02819,0.00201,-0.06099,0.38468,1.40953,0.16967,0.48208,0.0523,-0.04331,0.08351,18.13691,-4.23894,0.03522,7.28924,-15.98314,7.66952,1.53789,4.99365,2.23915,0.07728,0.30909,-18.22822,-2.76928,-1.02996
0.12,0.15998,0.89588,0.37307,-0.62106,0.0785,0.01177,0.15795,-1.07482,-0.11102,0.31573,-0.02807,-0.00129,-0.06056,0.54423,1.3716,0.1762,0.49276,0.05072,-0.04519,0.08038,17.92462,-4.22579,0.05533,7.13193,-16.27235,7.36808,1.49359,4.79457,2.24055,0.07638,0.15573,-18.38591,-2.83032,-1.0399
0.14,0.25446,0.82368,0.41381,-0.61324,0.06742,0.0109,0.28108,-1.09109,-0.11882,0.32821,-0.02757,-0.00414,-0.05766,0.68159,1.32045,0.18113,0.50174,0.04806,-0.04564,0.07584,17.71058,-4.21155,0.07295,6.99662,-16.62547,6.84495,1.41184,4.62837,2.24794,0.07405,0.04541,-18.53021,-2.88905,-1.04976
0.16,0.23933,0.73991,0.43253,-0.60568,0.05796,0.00997,0.39965,-1.11555,-0.12697,0.33408,-0.02701,-0.0071,-0.05474,0.80675,1.2596,0.1836,0.49771,0.04486,-0.04503,0.06991,17.50191,-4.21329,0.09716,6.85911,-16.91534,6.42561,1.34609,4.46095,2.25712,0.07087,-0.06897,-18.66481,-2.94305,-1.05864
0.18,0.13027,0.64629,0.42614,-0.59713,0.04992,0.00896,0.53365,-1.15244,-0.13655,0.34177,-0.02651,-0.01023,-0.05158,0.94034,1.19283,0.1844,0.49242,0.04122,-0.04287,0.06309,17.2747,-4.22204,0.11779,6.72445,-17.20895,5.92686,1.26548,4.29793,2.27347,0.0664,-0.17138,-18.78811,-2.99319,-1.06675
0.2,-0.12857,0.56223,0.39266,-0.59406,0.04704,0.00821,0.64492,-1.18595,-0.1457,0.33966,-0.0259,-0.01306,-0.04749,1.0346,1.11123,0.18197,0.47364,0.03728,-0.03981,0.05504,17.06557,-4.24366,0.13862,6.60079,-17.44971,5.51781,1.19991,4.16215,2.28719,0.06042,-0.25642,-18.89923,-3.03757,-1.07434
0.22,-0.55196,0.50755,0.33723,-0.60309,0.05351,0.00812,0.69748,-1.20339,-0.15217,0.31791,-0.025,-0.01507,-0.04212,1.04748,1.01235,0.17483,0.43133,0.03316,-0.03666,0.04573,16.93701,-4.27397,0.16714,6.50545,-17.57349,5.43824,1.19199,4.0776,2.28674,0.05287,-0.3207,-18.9974,-3.07375,-1.08161
0.24,-1.04183,0.46813,0.26092,-0.61659,0.06457,0.00824,0.73976,-1.23026,-0.15928,0.29294,-0.02429,-0.01724,-0.03664,1.03939,0.91433,0.16602,0.38394,0.02934,-0.03326,0.03602,16.84557,-4.30057,0.19307,6.42983,-17.65259,5.46797,1.20299,4.02133,2.28308,0.04402,-0.36859,-19.08327,-3.10297,-1.08833
0.26,-1.53202,0.43375,0.16298,-0.62717,0.07592,0.00819,0.81754,-1.28298,-0.17024,0.27826,-0.02425,-0.0203,-0.03226,1.06459,0.83025,0.15861,0.34686,0.02633,-0.02945,0.02692,16.75157,-4.31709,0.20966,6.36348,-17.73489,5.44985,1.20486,3.97032,2.28559,0.03443,-0.40795,-19.15799,-3.12595,-1.09416
0.28,-2.00861,0.41164,0.04879,-0.63412,0.08873,0.00809,0.9462,-1.35329,-0.18541,0.27799,-0.02497,-0.0239,-0.02944,1.13872,0.76356,0.15422,0.32588,0.02427,-0.02568,0.01955,16.66624,-4.32127,0.21975,6.30967,-17.80236,5.44574,1.20922,3.93173,2.29336,0.02463,-0.43378,-19.22152,-3.14199,-1.0991
0.3,-2.45795,0.40188,-0.06682,-0.64524,0.1012,0.00778,1.0663,-1.44318,-0.20374,0.27773,-0.02633,-0.02874,-0.02723,1.19904,0.71862,0.15294,0.30457,0.02349,-0.02328,0.01223,16.60308,-4.32005,0.22403,6.26856,-17.85631,5.45656,1.21469,3.9081,2.29979,0.01559,-0.45515,-19.27593,-3.15007,-1.10359
0.32,-2.82837,0.40046,-0.16027,-0.6692,0.11148,0.00705,1.11961,-1.55358,-0.22326,0.26686,-0.02812,-0.03516,-0.02516,1.18802,0.70075,0.15488,0.27012,0.02445,-0.02311,0.00372,16.57451,-4.32146,0.22323,6.23944,-17.90044,5.47463,1.2179,3.89796,2.29845,0.00857,-0.48586,-19.32358,-3.14867,-1.10798
