T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,2.14726,-3.4304,0.53967,0.39584,-0.27712,-0.03135,2.6181,-0.77935,-0.08006,1.0847,-0.02237,0.01725,-0.12362,2.50054,1.25371,0.06935,1.10921,0.01896,0.01788,0.12192,-3.22257,-0.17466,-0.17638,-1.40159,0.30626,-0.05179,-3e-05,-3.90915,0.4915,0.1571,-1.75489,0.32201,0.09958,0.01799
0.02,2.19132,-3.45575,0.56816,0.38911,-0.27722,-0.03134,2.66599,-0.78216,-0.08404,1.10084,-0.02287,0.01603,-0.12555,2.55406,1.25981,0.07359,1.12427,0.01967,0.01658,0.12368,-3.24271,-0.16586,-0.17809,-1.39995,0.30631,-0.05218,-0.00014,-3.90154,0.50234,0.15687,-1.75631,0.32206,0.09969,0.01807
0.04,2.2171,-3.48246,0.59899,0.38121,-0.27756,-0.0314,2.70062,-0.7828,-0.08809,1.11085,-0.02331,0.01467,-0.12672,2.58995,1.2684,0.0789,1.13162,0.02056,0.01466,0.12452,-3.26075,-0.15666,-0.17935,-1.39806,0.30637,-0.05257,-0.00024,-3.8926,0.51355,0.15659,-1.75749,0.32211,0.09981,0.01815
0.06,2.22496,-3.50965,0.63019,0.37227,-0.2781,-0.03153,2.72171,-0.78306,-0.0923,1.11473,-0.02374,0.01314,-0.12711,2.60856,1.28099,0.08544,1.13135,0.02168,0.01207,0.12446,-3.27605,-0.14775,-0.17992,-1.39592,0.30642,-0.05295,-0.00034,-3.88191,0.52477,0.1562,-1.75836,0.32217,0.09992,0.01822
0.08,2.21555,-3.53694,0.65907,0.3628,-0.27833,-0.03169,2.73139,-0.78554,-0.09721,1.1134,-0.02424,0.01123,-0.12691,2.61233,1.30126,0.09358,1.12388,0.02313,0.00869,0.12354,-3.28932,-0.13972,-0.17963,-1.39332,0.30648,-0.05342,-0.00047,-3.86579,0.53621,0.15555,-1.75882,0.32224,0.10004,0.0183
0.1,2.19211,-3.56216,0.68145,0.35263,-0.2793,-0.032,2.72379,-0.79265,-0.10216,1.10474,-0.02474,0.00919,-0.12583,2.59901,1.32586,0.10306,1.10945,0.02483,0.00465,0.12185,-3.29698,-0.13445,-0.17805,-1.39075,0.30655,-0.05373,-0.00057,-3.85094,0.54543,0.15484,-1.75884,0.3223,0.10015,0.01837
0.12,2.15966,-3.58448,0.69299,0.34144,-0.28235,-0.03262,2.69328,-0.80743,-0.10636,1.08692,-0.02517,0.00726,-0.12361,2.5673,1.35036,0.11371,1.08905,0.02672,9e-05,0.11957,-3.29439,-0.1341,-0.17467,-1.38877,0.30663,-0.05355,-0.00053,-3.8465,0.54946,0.15438,-1.7584,0.32232,0.10023,0.01841
0.14,2.1167,-3.60508,0.69059,0.33046,-0.286,-0.0334,2.64463,-0.83329,-0.11126,1.06178,-0.02579,0.00486,-0.12058,2.52063,1.38164,0.1261,1.0627,0.02894,-0.00523,0.11667,-3.28507,-0.13869,-0.1696,-1.38673,0.30671,-0.05322,-0.00047,-3.84194,0.54964,0.15373,-1.75745,0.32233,0.10028,0.01844
0.16,2.06274,-3.62615,0.67212,0.32075,-0.28906,-0.03422,2.5832,-0.87397,-0.11828,1.03113,-0.02683,0.00145,-0.11706,2.46328,1.42448,0.14066,1.03074,0.03163,-0.01144,0.11315,-3.27166,-0.1483,-0.16293,-1.38408,0.3068,-0.05304,-0.00049,-3.82882,0.54689,0.15258,-1.75595,0.32234,0.10033,0.01844
0.18,2.00167,-3.65228,0.63696,0.3124,-0.29204,-0.03514,2.51239,-0.93365,-0.12779,0.99596,-0.0284,-0.0031,-0.11318,2.40026,1.4769,0.15755,0.99516,0.03474,-0.0185,0.1093,-3.25117,-0.16388,-0.15444,-1.38077,0.30691,-0.05285,-0.00056,-3.81221,0.5399,0.15104,-1.75386,0.32235,0.10037,0.01842
