T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0,0.0013,0,0.04026,0,0,0,0.69791,0,0,0.04252,0.01668,0,0,0.0073,0,0.00678,0.07717,0,0,0.03437,0,0.22791,0,0.11278,0.08962,0.02945,0.06942,0,0,0.05944,0.01971,0.01329,0.00331,0.07831,0,0.00046,0,0.09584,0.00539,0.07119,0,0.00527,0.02119,0,0,0.03049,0.07792,0,0.01219,0,0,0.092,0.04831,0,0.13629,0,0.04946,0,0,0,0,0.15723,0.05735,0
0.02,0,0,0,0,0.00136,0,0.04754,0,0,0,0.69931,0,0,0.05855,0.01603,0,0,0.00705,0,0.01111,0.07668,0,0,0.03431,0,0.22791,0,0.11129,0.0896,0.02757,0.06855,0,0,0.06219,0.01855,0.01311,0.00286,0.07936,0,0.00054,0,0.09659,0.00503,0.0689,0,0.00522,0.02208,0,0,0.03542,0.07391,0,0.01214,0,0,0.09202,0.04814,0,0.13571,0,0.05005,0,0,0,0,0.15664,0.05755,0
0.04,0,0,0,0,0.00138,0,0.05354,0,0,0,0.69683,0,0,0.07205,0.01521,0,0,0.00692,0,0.01484,0.07625,0,0,0.0343,0,0.22753,0,0.1098,0.08956,0.02569,0.06774,0,0,0.06469,0.01762,0.01305,0.00232,0.0794,0,0.0006,0,0.09741,0.00468,0.06693,0,0.00522,0.02288,0,0,0.03627,0.07044,0,0.01232,0,0,0.09206,0.04776,0,0.1351,0,0.05068,0,0,0,0,0.15602,0.05776,0
0.06,2e-05,2e-05,4e-05,7e-05,0.00146,0.00012,0.05833,3e-05,8e-05,7e-05,0.6912,0.0001,0.00029,0.08288,0.01452,5e-05,0.0001,0.00724,0.00011,0.0185,0.07586,0,0.00019,0.03435,3e-05,0.22682,0.0004,0.10833,0.0895,0.024,0.06698,1e-05,0.0001,0.0674,0.0169,0.01314,0.00172,0.0788,5e-05,0.00081,3e-05,0.09835,0.00441,0.06532,0.0003,0.00556,0.02389,3e-05,9e-05,0.03451,0.06751,0.00049,0.01306,0.00027,1e-05,0.0921,0.04728,2e-05,0.13448,7e-05,0.0515,2e-05,0,0.00013,2e-05,0.15537,0.05805,9e-05
0.08,0,0,1e-05,3e-05,0.00138,0.0004,0.06189,1e-05,3e-05,2e-05,0.68293,4e-05,0.00012,0.09083,0.01392,2e-05,3e-05,0.00707,4e-05,0.02063,0.07547,0,8e-05,0.03434,2e-05,0.22546,0.00016,0.10681,0.08941,0.0218,0.06623,1e-05,3e-05,0.06954,0.01634,0.01324,0.00096,0.07721,4e-05,0.00118,1e-05,0.09885,0.00406,0.06395,0.00016,0.0054,0.02425,1e-05,3e-05,0.03061,0.06527,0.00019,0.01346,0.0001,2e-05,0.09217,0.0465,1e-05,0.13382,2e-05,0.0523,1e-05,1e-05,6e-05,2e-05,0.15468,0.05831,4e-05
0.1,1e-05,1e-05,0.00043,7e-05,0.00125,0.00091,0.06437,3e-05,8e-05,5e-05,0.67308,0.0001,0.00037,0.09613,0.01334,4e-05,4e-05,0.00738,0.0001,0.02274,0.07515,1e-05,0.0002,0.03456,2e-05,0.22377,0.00033,0.10544,0.08932,0.02013,0.06557,0.00013,7e-05,0.07179,0.01595,0.01355,0.00048,0.07522,0.00014,0.00176,1e-05,0.09965,0.00379,0.06267,0.00086,0.00564,0.02506,3e-05,7e-05,0.02623,0.06292,0.00047,0.01435,0.00022,1e-05,0.09221,0.04552,4e-05,0.13316,7e-05,0.05324,4e-05,0,0.00016,3e-05,0.15399,0.05848,0.0001
0.12,0,0,0.00141,1e-05,0.00131,0.00091,0.06567,1e-05,1e-05,1e-05,0.65887,1e-05,1e-05,0.09856,0.01249,1e-05,0,0.00743,1e-05,0.02363,0.07504,0,4e-05,0.03519,0,0.22198,6e-05,0.10437,0.08932,0.01903,0.06502,1e-05,1e-05,0.0716,0.01572,0.01426,0.00039,0.07227,0.00056,0.00172,0,0.10126,0.00337,0.06092,1e-05,0.00555,0.02547,0,0,0.02038,0.05916,0.00016,0.0147,2e-05,0,0.09215,0.04373,1e-05,0.13248,0,0.05385,0,0,0,0,0.15318,0.05783,1e-05
0.14,0,0,0.00243,0,0.00051,6e-05,0.06619,0,0,0,0.64534,0,1e-05,0.09899,0.01169,0,0,0.0076,1e-05,0.02443,0.075,0,0,0.03603,0,0.22093,1e-05,0.10347,0.08933,0.01842,0.06457,0,0,0.07125,0.01562,0.01519,0.00021,0.06894,0.00093,0.0009,0,0.10298,0.00306,0.05921,0,0.00574,0.02621,0,0,0.01532,0.05538,3e-05,0.01534,0,0,0.0921,0.04179,0,0.1318,0,0.0546,0,0,0,0,0.15236,0.05711,0
0.16,0,0,0.00353,0,5e-05,0.00022,0.06622,0,0,0,0.63356,1e-05,1e-05,0.09793,0.01108,0,0,0.00772,0,0.02487,0.07489,0,0,0.03682,0,0.2195,1e-05,0.10254,0.08931,0.01756,0.06413,0,0,0.0713,0.01565,0.01614,8e-05,0.06522,0.00136,0.00116,0,0.10413,0.00286,0.05779,0,0.00595,0.02668,0,0,0.01173,0.05243,1e-05,0.01603,0,0,0.09209,0.03996,0,0.13115,0,0.05568,0,0,0,0,0.15149,0.05666,0
0.18,7e-05,5e-05,0.00479,0.00016,0.00036,0.00045,0.06622,0.00011,0.00021,0.00023,0.62474,0.00015,0.00053,0.09652,0.01061,0.0001,0.00025,0.0084,0.00022,0.02629,0.07498,0.0002,0.00043,0.03777,0.00104,0.21816,0.00069,0.10186,0.08944,0.01725,0.06384,0.00117,0.00019,0.07217,0.01582,0.01725,0.00014,0.06149,0.00196,0.00148,7e-05,0.10549,0.00292,0.05667,0.00166,0.00665,0.02762,9e-05,0.00022,0.00962,0.04987,0.00085,0.01737,0.00061,0.00037,0.09228,0.03915,0.0001,0.13079,0.00049,0.05723,0.00047,0.00022,0.00033,0.00016,0.1509,0.05638,0.00021
0.2,3e-05,3e-05,0.00579,9e-05,0.00034,0.00025,0.06514,6e-05,0.00011,0.00012,0.61517,8e-05,0.00028,0.09284,0.01009,6e-05,0.00013,0.00805,0.00011,0.02549,0.07472,0.0001,0.00024,0.03856,0.00051,0.21607,0.00036,0.10086,0.08929,0.01599,0.0634,0.00058,0.0001,0.07187,0.01607,0.01822,8e-05,0.0569,0.00248,0.00142,4e-05,0.10607,0.00282,0.05544,0.00092,0.00672,0.02746,5e-05,0.00012,0.00741,0.0477,0.00045,0.01761,0.00033,0.00018,0.09217,0.03808,5e-05,0.13001,0.00029,0.05868,0.00023,0.00011,0.00017,8e-05,0.14978,0.05628,0.00011
0.22,0.0001,2e-05,0.00678,6e-05,0.00025,0.00014,0.06292,5e-05,9e-05,5e-05,0.60726,0.00047,0.00058,0.08677,0.00972,5e-05,0.0002,0.00825,0.00017,0.0244,0.07421,2e-05,0.00017,0.03933,0.00015,0.21375,0.00084,0.09977,0.08918,0.0142,0.06308,0.0001,0.00029,0.07321,0.01651,0.01895,0.00021,0.05222,0.00287,0.00143,2e-05,0.1061,0.00289,0.05452,0.00041,0.00817,0.02741,3e-05,0.00013,0.00568,0.0468,0.00093,0.01829,0.00033,6e-05,0.09201,0.03711,6e-05,0.12927,0.00011,0.06053,7e-05,3e-05,0.00011,5e-05,0.14858,0.05757,0.00011
0.24,0,0,0.00722,0,0,0,0.06022,0,0,0,0.60069,4e-05,1e-05,0.07996,0.00932,0,0,0.00732,0,0.02248,0.07362,0,0,0.04001,0,0.21172,2e-05,0.09868,0.08913,0.01213,0.06282,0,1e-05,0.07439,0.01693,0.0195,2e-05,0.04729,0.00317,0.00141,0,0.10596,0.00298,0.05379,0,0.00716,0.02626,0,0,0.00421,0.04613,2e-05,0.01814,0,0,0.09187,0.03625,0,0.12855,0,0.06199,0,0,0,0,0.14742,0.05886,0
0.26,4e-05,2e-05,0.00764,5e-05,0.00011,0.00011,0.05773,2e-05,5e-05,4e-05,0.59588,0.00011,0.00033,0.07402,0.00895,5e-05,0.0001,0.00742,0.00011,0.02205,0.07311,1e-05,0.00019,0.04086,0.00012,0.21016,0.0004,0.09761,0.0891,0.01048,0.06267,0.00013,0.00016,0.07616,0.01744,0.01999,4e-05,0.0424,0.00353,0.00158,3e-05,0.1064,0.0033,0.05323,0.00021,0.00776,0.02607,3e-05,0.00013,0.00347,0.04562,0.00052,0.01868,0.00049,7e-05,0.09176,0.03584,0.0001,0.12786,9e-05,0.06378,2e-05,2e-05,0.00011,3e-05,0.14628,0.06066,9e-05
0.28,3e-05,2e-05,0.00778,4e-05,8e-05,9e-05,0.05533,2e-05,5e-05,3e-05,0.5923,0.0001,0.00028,0.06881,0.00847,4e-05,8e-05,0.0071,9e-05,0.02091,0.07246,1e-05,0.00017,0.04175,0.0001,0.2066,0.00033,0.09643,0.08902,0.00856,0.06246,0.00011,0.00014,0.07731,0.01788,0.02029,4e-05,0.03723,0.00383,0.00163,3e-05,0.10713,0.00365,0.05256,0.00019,0.00815,0.0255,2e-05,0.00011,0.00279,0.04473,0.00045,0.0187,0.00042,6e-05,0.09169,0.03587,9e-05,0.12716,8e-05,0.06489,2e-05,2e-05,9e-05,3e-05,0.14504,0.06258,8e-05
0.3,4e-05,3e-05,0.00773,8e-05,0.0002,0.00013,0.05247,6e-05,7e-05,9e-05,0.59179,0.00011,0.00031,0.0632,0.00806,5e-05,0.0001,0.00687,0.00011,0.01967,0.07193,5e-05,0.00025,0.04241,0.00012,0.20762,0.00038,0.09538,0.08902,0.00679,0.06246,0.00013,0.00014,0.07822,0.01836,0.02034,4e-05,0.03215,0.00411,0.0017,4e-05,0.10812,0.00414,0.05231,0.00076,0.00863,0.02491,4e-05,0.00011,0.00228,0.04444,0.00048,0.01871,0.00044,0.0001,0.09155,0.03569,9e-05,0.12616,0.00027,0.06545,6e-05,3e-05,0.00012,5e-05,0.1438,0.06463,9e-05
0.32,0,0,0.00753,1e-05,2e-05,1e-05,0.04857,0,0,1e-05,0.59003,1e-05,3e-05,0.05617,0.0078,0,1e-05,0.00618,1e-05,0.01721,0.07168,0,3e-05,0.0422,1e-05,0.22154,4e-05,0.0946,0.08912,0.00497,0.06281,3e-05,1e-05,0.07788,0.01892,0.02001,0,0.02704,0.0042,0.0016,0,0.10877,0.00459,0.05273,0.00011,0.0087,0.02389,0,1e-05,0.00171,0.04547,4e-05,0.01823,5e-05,1e-05,0.09099,0.03402,1e-05,0.12429,3e-05,0.0656,1e-05,0,1e-05,0,0.14254,0.06636,1e-05
