T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.46849,-0.49478,0.11849,0.22348,-0.03312,0.02292,0.13018,3.05396,0.23426,2.18461,-4.07701,0.04067,0.17173,0.12292,1.19732,0.26666,1.47022,0.02672,0.03515,-0.08378,1.63869,0.32585,-0.42808,-1.80116,-0.72907,0.26744,0.90374,1.04732,1.02899,0.29405,-0.7855,-1.35267,-0.30458,-1.43662
0.02,-0.45843,-0.52377,0.13392,0.21599,-0.03347,0.02173,0.13548,3.0828,0.25756,2.25065,-4.06639,0.04133,0.16189,0.13124,1.18893,0.26424,1.51046,0.01027,0.02192,-0.06985,1.64226,0.31696,-0.41769,-1.80148,-0.73324,0.26814,0.90774,1.00194,1.00034,0.28105,-0.69647,-1.36359,-0.30328,-1.5171
0.04,-0.44884,-0.55198,0.14845,0.20921,-0.03453,0.02032,0.14017,3.11221,0.28206,2.31774,-4.05475,0.04222,0.1526,0.14023,1.18148,0.25438,1.55254,-0.00545,0.01176,-0.05616,1.6458,0.3086,-0.40827,-1.80151,-0.73742,0.26887,0.91181,0.96302,0.97248,0.27031,-0.62615,-1.37378,-0.30198,-1.59623
0.06,-0.43986,-0.5792,0.16201,0.20304,-0.0363,0.0187,0.14453,3.14298,0.30819,2.38613,-4.04149,0.04335,0.1438,0.15012,1.17521,0.23576,1.59735,-0.02053,0.00454,-0.04262,1.64943,0.30089,-0.39989,-1.80128,-0.74163,0.26965,0.91583,0.93121,0.94542,0.26214,-0.57395,-1.38296,-0.3007,-1.67252
0.08,-0.42958,-0.60856,0.17654,0.19688,-0.03765,0.01718,0.14873,3.16814,0.33445,2.45594,-4.03284,0.04455,0.13502,0.16083,1.16672,0.21081,1.63665,-0.03442,-0.00091,-0.02973,1.65209,0.29209,-0.39099,-1.80065,-0.7459,0.27047,0.92075,0.89424,0.91809,0.24802,-0.5228,-1.39449,-0.29911,-1.7634
0.1,-0.42249,-0.63202,0.18778,0.1915,-0.0407,0.0153,0.15296,3.20514,0.36406,2.52689,-4.01349,0.04609,0.12711,0.17229,1.16407,0.16962,1.69151,-0.04804,-0.00282,-0.01638,1.6561,0.28675,-0.38526,-1.79938,-0.75029,0.27142,0.92467,0.88024,0.89321,0.24568,-0.50618,-1.39986,-0.29779,-1.82417
0.12,-0.4242,-0.64074,0.19031,0.18794,-0.04813,0.01243,0.15734,3.27849,0.40256,2.60121,-3.96468,0.04827,0.12107,0.18437,1.17708,0.10355,1.79136,-0.06267,0.00063,-0.00115,1.66514,0.28977,-0.38683,-1.79872,-0.75466,0.2725,0.92397,0.92042,0.87315,0.27949,-0.55455,-1.38902,-0.2977,-1.79912
0.14,-0.4287,-0.64354,0.18993,0.18461,-0.05655,0.00948,0.16178,3.36478,0.44629,2.67645,-3.90687,0.05058,0.11568,0.19637,1.19533,0.02162,1.91225,-0.07617,0.00664,0.01418,1.67528,0.29615,-0.39119,-1.79708,-0.75918,0.27374,0.92265,0.98053,0.85549,0.323,-0.626,-1.37232,-0.29772,-1.74309
0.16,-0.4312,-0.64841,0.19137,0.18033,-0.06326,0.00718,0.16614,3.44474,0.49085,2.75201,-3.85611,0.05262,0.1099,0.20771,1.21011,-0.0667,2.03056,-0.08696,0.01274,0.02822,1.68377,0.30138,-0.39447,-1.79415,-0.76384,0.27508,0.92313,1.0305,0.83773,0.35536,-0.68453,-1.3585,-0.29714,-1.70226
0.18,-0.43415,-0.65608,0.19255,0.17578,-0.06924,0.00519,0.17036,3.53286,0.5389,2.83699,-3.80547,0.0543,0.10393,0.21816,1.2248,-0.15377,2.15595,-0.09576,0.01843,0.0414,1.69465,0.30492,-0.39713,-1.79543,-0.76786,0.27619,0.92005,1.08038,0.81803,0.39481,-0.73981,-1.34587,-0.29716,-1.66375
0.2,-0.43554,-0.65736,0.19417,0.16999,-0.07397,0.00374,0.1744,3.60892,0.59121,2.90811,-3.75835,0.0558,0.09805,0.2276,1.23826,-0.2598,2.28694,-0.10141,0.02578,0.0532,1.70008,0.31215,-0.4015,-1.78728,-0.77302,0.27793,0.92498,1.13223,0.8034,0.41608,-0.79912,-1.33085,-0.29544,-1.61731
0.22,-0.43292,-0.64142,0.19782,0.16196,-0.07696,0.00307,0.17824,3.64955,0.6491,2.93569,-3.71871,0.05738,0.0926,0.236,1.24951,-0.39559,2.42435,-0.10309,0.03692,0.06378,1.69048,0.32954,-0.40983,-1.75349,-0.78168,0.28123,0.9517,1.18726,0.8017,0.38419,-0.87146,-1.30954,-0.28913,-1.55391
0.24,-0.42864,-0.6197,0.20167,0.15278,-0.07874,0.00278,0.18165,3.67504,0.71399,2.94691,-3.68272,0.05863,0.08718,0.24306,1.25909,-0.5249,2.56655,-0.10186,0.04883,0.0728,1.67564,0.35026,-0.41981,-1.71171,-0.7913,0.28507,0.9863,1.24447,0.80471,0.33613,-0.95117,-1.28642,-0.28125,-1.48446
0.26,-0.4245,-0.60204,0.20488,0.14339,-0.07974,0.00256,0.18443,3.70422,0.78763,2.96609,-3.64786,0.05925,0.08144,0.24854,1.26746,-0.63196,2.71277,-0.09901,0.05875,0.08046,1.66344,0.36845,-0.42899,-1.67571,-0.79992,0.28858,1.01719,1.30026,0.80525,0.29903,-1.02826,-1.26553,-0.27426,-1.42105
0.28,-0.42102,-0.58318,0.20897,0.13395,-0.08087,0.00218,0.18659,3.74607,0.88078,2.98724,-3.6113,0.05967,0.0756,0.25267,1.27832,-0.71863,2.88753,-0.09654,0.06691,0.09002,1.65152,0.38764,-0.43756,-1.63996,-0.80899,0.29187,1.04742,1.36119,0.80514,0.2611,-1.11473,-1.24398,-0.26732,-1.35699
0.3,-0.41517,-0.56739,0.21061,0.12321,-0.08019,0.00198,0.188,3.75868,0.97487,3.00242,-3.58234,0.05937,0.06954,0.2555,1.28183,-0.79533,3.02837,-0.09086,0.07457,0.09423,1.63838,0.40426,-0.44759,-1.60574,-0.81657,0.29535,1.07997,1.41505,0.80645,0.22811,-1.1939,-1.22519,-0.26031,-1.29794
0.32,-0.4036,-0.56032,0.20602,0.10996,-0.07538,0.00244,0.18856,3.69214,1.03149,3.00392,-3.57123,0.05775,0.06303,0.25697,1.26639,-0.88817,3.04645,-0.07751,0.08312,0.08411,1.62313,0.41362,-0.46105,-1.57525,-0.8204,0.29953,1.11862,1.44373,0.81118,0.20839,-1.23657,-1.21366,-0.25332,-1.25201
0.34,-0.38979,-0.55627,0.19909,0.09562,-0.06934,0.00284,0.18834,3.59933,1.07325,2.99982,-3.56678,0.05573,0.0564,0.25738,1.24416,-1.02168,3.01936,-0.06291,0.09087,0.0698,1.6067,0.4204,-0.4761,-1.5461,-0.82277,0.30384,1.15936,1.46332,0.81717,0.19278,-1.26622,-1.2045,-0.2463,-1.21057
0.36,-0.37689,-0.55123,0.19315,0.08143,-0.0645,0.00264,0.18753,3.52335,1.12904,2.9991,-3.55932,0.05401,0.04987,0.25707,1.22537,-1.23056,3.01563,-0.0522,0.09632,0.05943,1.59075,0.42808,-0.49075,-1.51741,-0.82556,0.30782,1.19835,1.48816,0.82208,0.17627,-1.30458,-1.19415,-0.23944,-1.16771
