T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0,0,0,0.01667,0,0,0,0.42971,0,0,0.02899,0.00435,0.01583,0,0.01373,0,0.00267,0.13964,0,0.0261,0.14404,0,0.51273,0.01516,0.08922,0.04668,0.00665,0.088,0,0.10665,0,0.05579,0.02029,0.00538,0.07588,0.01107,0.0057,0,0.18189,0.01104,0.1143,0,0.00601,0.0226,0,0,0,0.13128,0,0.01009,0,0,0.05042,0,0,0.11761,0,0,0,0,0,0,0.14923,0,0.01099
0.02,0,0,0,0,0,0,0.01764,0,0,0,0.42914,0,0,0.03028,0.00423,0.01725,0,0.01393,0,0.00252,0.13969,0,0.02737,0.14427,0,0.51241,0.01513,0.08918,0.04711,0.00734,0.08754,0,0.10845,0,0.05556,0.02014,0.00573,0.07934,0.0113,0.00587,0,0.18374,0.01145,0.11465,0,0.00584,0.02264,0,0,0,0.1309,0,0.00956,0,0,0.04992,0,0,0.11745,0,0,0,0,0,0,0.14913,0,0.01126
0.04,1e-05,1e-05,0,0.00012,3e-05,3e-05,0.01896,3e-05,1e-05,4e-05,0.42887,2e-05,5e-05,0.03225,0.00426,0.01857,5e-05,0.01397,2e-05,0.00274,0.13974,3e-05,0.02885,0.1445,9e-05,0.51215,0.01501,0.08909,0.04754,0.00808,0.08709,0.00011,0.11023,2e-05,0.05524,0.01984,0.00619,0.08429,0.01154,0.00609,1e-05,0.18553,0.01183,0.11483,0.00031,0.00564,0.02274,2e-05,2e-05,1e-05,0.12982,4e-05,0.009,0.00029,6e-05,0.04949,1e-05,4e-05,0.11737,0.0001,1e-05,4e-05,2e-05,2e-05,3e-05,0.14906,4e-05,0.01152
0.06,1e-05,1e-05,2e-05,0.00028,0.00017,0.00015,0.02089,0.0001,4e-05,0.00011,0.42835,7e-05,0.00017,0.03488,0.00447,0.01991,9e-05,0.01394,8e-05,0.00273,0.13969,3e-05,0.03058,0.14465,3e-05,0.51129,0.01484,0.08893,0.04797,0.0089,0.08659,5e-05,0.1119,6e-05,0.0548,0.01939,0.00678,0.09099,0.01183,0.00645,3e-05,0.18727,0.01222,0.11491,0.00032,0.00545,0.0229,3e-05,0.0001,5e-05,0.1281,0.00019,0.00845,0.0003,2e-05,0.04904,0.0001,1e-05,0.11729,0.00011,5e-05,6e-05,4e-05,8e-05,3e-05,0.14894,0.00015,0.01179
0.08,0,0,0,1e-05,1e-05,1e-05,0.02328,0,0,0,0.42749,0,1e-05,0.0379,0.00483,0.02118,0,0.01343,0,0.00243,0.13957,0,0.03226,0.14472,0,0.50972,0.01453,0.08862,0.04841,0.00969,0.08598,0,0.11335,0,0.05434,0.01878,0.00746,0.09921,0.012,0.00658,0,0.18832,0.01239,0.11486,1e-05,0.00495,0.02281,0,1e-05,0,0.12621,1e-05,0.00754,2e-05,0,0.04854,1e-05,0,0.11728,0,0,0,0,0,0,0.14883,0,0.01202
0.1,5e-05,1e-05,2e-05,0.00017,0.00011,0.00034,0.02653,8e-05,5e-05,7e-05,0.42719,6e-05,0.00019,0.04318,0.00546,0.02272,9e-05,0.01313,0.00012,0.00304,0.13949,3e-05,0.03424,0.14493,0.00025,0.50853,0.0142,0.08837,0.04897,0.01054,0.08559,0.00032,0.11439,6e-05,0.05381,0.01807,0.00821,0.10974,0.01233,0.00726,5e-05,0.18962,0.01268,0.11487,0.00031,0.00468,0.02296,6e-05,0.00055,5e-05,0.12376,0.00016,0.00706,0.00069,0.00017,0.04815,0.00015,0.00012,0.1174,0.00029,4e-05,0.0001,3e-05,7e-05,8e-05,0.14887,8e-05,0.01228
0.12,0,0,0,2e-05,1e-05,3e-05,0.03113,1e-05,2e-05,0,0.42652,0,1e-05,0.05157,0.00538,0.02389,0,0.01233,1e-05,0.00246,0.13919,0,0.03588,0.14513,1e-05,0.50639,0.0138,0.08812,0.04955,0.01101,0.08558,1e-05,0.11377,0,0.05299,0.01724,0.00885,0.12032,0.01275,0.00734,0,0.19069,0.01275,0.11432,1e-05,0.00401,0.02281,0,3e-05,0,0.11955,1e-05,0.00598,3e-05,0,0.04784,1e-05,0,0.1175,1e-05,0,0,0,1e-05,0,0.14879,0,0.01237
0.14,0,0,5e-05,0.0001,0.00011,9e-05,0.03669,6e-05,8e-05,8e-05,0.42633,2e-05,0.00025,0.062,0.00548,0.02518,2e-05,0.01175,0.00025,0.00278,0.13893,0,0.03768,0.14547,4e-05,0.50494,0.01343,0.08794,0.05026,0.01147,0.0858,5e-05,0.11265,5e-05,0.05217,0.01632,0.0095,0.13243,0.01331,0.00789,7e-05,0.19177,0.01287,0.11393,0.00022,0.0035,0.02292,4e-05,0.0001,4e-05,0.11524,7e-05,0.00582,0.0004,3e-05,0.04758,0.00026,2e-05,0.11769,6e-05,6e-05,2e-05,1e-05,6e-05,3e-05,0.14887,5e-05,0.0125
0.16,6e-05,3e-05,6e-05,0.00017,0.0003,0.00028,0.04234,0.0001,0.00011,0.00018,0.42626,0.00022,0.00056,0.07365,0.00571,0.02647,0.00024,0.01148,0.00029,0.00287,0.13865,4e-05,0.0387,0.14584,0.00029,0.50424,0.01304,0.08776,0.05115,0.01204,0.08594,0.00032,0.11165,0.00017,0.05149,0.01534,0.01011,0.14638,0.01393,0.00862,0.0001,0.19223,0.01271,0.11391,0.00055,0.00349,0.02302,9e-05,0.00025,0.0001,0.11206,0.00032,0.00523,0.00069,0.00016,0.04725,0.00027,0.00014,0.11793,0.00033,0.00015,0.00012,5e-05,0.00019,9e-05,0.14904,0.00017,0.01271
0.18,4e-05,2e-05,4e-05,0.00013,0.0002,0.0002,0.04766,7e-05,8e-05,0.00013,0.42608,0.00016,0.00042,0.08594,0.00574,0.02654,0.00018,0.01108,0.00021,0.00252,0.13828,3e-05,0.03842,0.14607,0.00021,0.50108,0.01328,0.0876,0.05223,0.01236,0.08616,0.00023,0.11009,0.00013,0.05099,0.01429,0.01062,0.16198,0.01458,0.00907,7e-05,0.19219,0.0122,0.11401,0.0004,0.00298,0.02279,6e-05,0.00018,8e-05,0.10946,0.00024,0.00454,0.00051,0.00012,0.04669,0.0002,0.0001,0.11841,0.00024,0.00011,9e-05,3e-05,0.00014,7e-05,0.14913,0.00013,0.01279
0.2,1e-05,0,1e-05,2e-05,3e-05,4e-05,0.05357,1e-05,3e-05,3e-05,0.42581,3e-05,8e-05,0.10047,0.00589,0.02585,3e-05,0.01066,4e-05,0.00177,0.13781,1e-05,0.03751,0.14624,8e-05,0.50348,0.01246,0.08735,0.05313,0.01268,0.08607,4e-05,0.10925,2e-05,0.05033,0.01303,0.011,0.17776,0.01514,0.00934,1e-05,0.19132,0.01142,0.11407,8e-05,0.00233,0.02238,1e-05,3e-05,1e-05,0.10704,5e-05,0.0034,0.0001,0.00011,0.04627,4e-05,2e-05,0.1181,8e-05,2e-05,1e-05,1e-05,3e-05,2e-05,0.14922,2e-05,0.0129
0.22,4e-05,1e-05,3e-05,4e-05,7e-05,7e-05,0.06155,8e-05,4e-05,9e-05,0.42558,0.00011,0.00063,0.11994,0.00667,0.02606,0.0001,0.0106,8e-05,0.00104,0.13703,1e-05,0.03794,0.14649,0.00012,0.52254,0.0083,0.08692,0.05344,0.01345,0.08517,0.00026,0.11006,0.00011,0.04912,0.01134,0.01128,0.19177,0.01558,0.00969,4e-05,0.18964,0.01059,0.11421,0.00022,0.00214,0.0224,4e-05,6e-05,6e-05,0.10489,0.00042,0.00208,0.00036,9e-05,0.04637,0.0001,6e-05,0.11545,0.00022,8e-05,4e-05,1e-05,8e-05,2e-05,0.1495,6e-05,0.0133
0.24,0,0,0,0,0,0,0.06995,0,0,0,0.42541,0,1e-05,0.14172,0.00793,0.02552,0,0.00977,1e-05,3e-05,0.13601,0,0.0379,0.14643,0,0.54706,0.00308,0.08647,0.05338,0.0141,0.08393,0,0.11131,0,0.04774,0.00935,0.01126,0.20353,0.01612,0.00973,0,0.18679,0.00948,0.11407,0,0.00155,0.02157,0,0,0,0.10346,1e-05,0.00028,0.00063,0,0.04654,0,0,0.11185,0,0,0,0,0,0,0.14964,0,0.01361
0.26,0,0,0,1e-05,0,2e-05,0.07734,0,0,0,0.4263,1e-05,2e-05,0.16281,0.00959,0.02347,0,0.00971,0.0004,6e-05,0.13507,0,0.03678,0.14631,1e-05,0.57007,0.00239,0.0863,0.05327,0.01459,0.0828,0,0.11244,0,0.04673,0.00729,0.01093,0.21449,0.01919,0.00977,0,0.1836,0.00831,0.11402,1e-05,0.0014,0.02129,0,1e-05,0,0.10324,2e-05,0.0001,0.00203,0,0.04651,0,0,0.10857,0,0.00447,0,0,1e-05,0,0.14991,1e-05,0.0139
0.28,0,0,0,0,0,0,0.08352,0,0,0,0.42745,1e-05,1e-05,0.18233,0.01134,0.02216,0,0.00932,0.00078,0,0.13432,0,0.03636,0.14631,0,0.59978,0.00169,0.08635,0.05305,0.01504,0.08143,0,0.114,0,0.04608,0.00517,0.01015,0.22363,0.02422,0.00963,0,0.18219,0.00772,0.11435,0,0.00129,0.02084,0,0,0,0.10466,0,0,0.00356,0,0.04634,0,0,0.10434,0,0.01056,0,0,0,0,0.15024,0,0.01415
