T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00035,0.02151,0.098,0.0074,0.07516,0,0,0,0.44923,0,0,0.06987,0.03338,0.00036,0,0,0,0.02275,0.13016,0,0.0337,0.17265,0,0.37075,0,0.02757,0.05026,0,0.05994,0,0.16278,0.00088,0.0143,0.00143,0,0,0,0,0,0.06682,0.00436,0.04703,0,0.00996,0.04358,0,0,0,0.01839,0.00709,0.03033,0,0,0.11507,0,0,0.05938,0,0.00143,0,0,0.0409,0,0.10106,0,0
0.02,0,0,0.00071,0.02179,0.1011,0.00749,0.0695,0,0,0,0.44842,0,0,0.0673,0.03528,0.00104,0,0,0,0.02136,0.13091,0,0.03502,0.17356,0,0.3825,0,0.02694,0.05038,0,0.05972,0,0.16784,0.00088,0.01543,0.00246,0,0,0,0,0,0.06917,0.00458,0.04932,0,0.00996,0.04248,0,0,0,0.0207,0.00615,0.02996,0,0,0.11531,0,0,0.05907,0,0.00135,0,0,0.04238,0,0.10105,0,0
0.04,0,0,0.0012,0.02208,0.10355,0.00757,0.06346,0,0,0,0.44713,0,0,0.06499,0.03785,0.00214,0,0,0,0.01956,0.13166,0,0.03745,0.17443,0,0.39328,0,0.02628,0.05061,0,0.05951,0,0.17266,0.00083,0.01658,0.00354,0,0,0,0,0,0.07107,0.00497,0.05193,0,0.0099,0.04099,0,0,0,0.02345,0.00453,0.02964,0,0,0.11534,0,0,0.05879,0,0.00136,0,0,0.04369,0,0.10089,0,0
0.06,0,0,0.00183,0.02241,0.10508,0.00757,0.05899,0,0,0,0.44498,0,0,0.06311,0.04108,0.00385,0,0,0,0.01711,0.13239,0,0.04157,0.17522,0,0.40565,0,0.02559,0.05094,0,0.05929,0,0.17695,0.00075,0.01761,0.0046,0,0,0,0,0,0.07312,0.00561,0.0548,0,0.00976,0.03838,0,0,0,0.02659,0.00246,0.02941,0,0,0.11516,0,0,0.05855,0,0.00146,0,0,0.04479,0,0.10063,0,0
0.08,0,0,0.00262,0.02285,0.10542,0.00742,0.05612,0,0,0,0.44168,0,0,0.06215,0.04475,0.00641,0,0,0,0.01549,0.13301,0,0.04514,0.17591,0,0.4196,0,0.0246,0.05135,0,0.05896,0,0.18044,0.00062,0.01827,0.00551,0,0,0,0,0,0.07463,0.00675,0.05726,0,0.00958,0.03648,0,0,0,0.02924,0.00052,0.02949,0,0,0.11487,0,0,0.05838,0,0.00166,0,0,0.04588,0,0.10027,0,0
0.1,0,1e-05,0.0036,0.02341,0.10315,0.00718,0.05396,1e-05,2e-05,3e-05,0.43691,4e-05,0.00012,0.06141,0.04913,0.00988,2e-05,0.00305,5e-05,0.01444,0.13353,0,0.04894,0.17642,1e-05,0.43516,3e-05,0.02381,0.05192,4e-05,0.05875,1e-05,0.1832,0.00045,0.01862,0.00631,1e-05,4e-05,2e-05,5e-05,3e-05,0.07631,0.00869,0.06029,0.0001,0.00933,0.03494,3e-05,2e-05,2e-05,0.03276,0.00035,0.02956,0.00013,0,0.11424,3e-05,0,0.05831,1e-05,0.00223,1e-05,0,0.04657,1e-05,0.09993,2e-05,3e-05
0.12,0,1e-05,0.00461,0.02399,0.0961,0.00652,0.05157,1e-05,2e-05,3e-05,0.43021,5e-05,0.00013,0.0599,0.05422,0.01417,2e-05,0.00901,6e-05,0.01295,0.13393,0,0.05238,0.1767,1e-05,0.45146,3e-05,0.02376,0.05273,4e-05,0.05877,1e-05,0.18518,0.00027,0.01878,0.00701,1e-05,4e-05,2e-05,5e-05,3e-05,0.07923,0.01104,0.06513,0.0001,0.00863,0.03302,3e-05,2e-05,2e-05,0.03943,0.00036,0.02885,0.00014,0,0.11288,3e-05,0,0.05854,1e-05,0.00258,1e-05,0,0.04636,1e-05,0.09973,2e-05,3e-05
0.14,0,0,0.00545,0.02466,0.08509,0.00539,0.04961,0,0,0,0.42184,0,0,0.05843,0.05866,0.01979,0,0.01565,0,0.01159,0.13414,0,0.0547,0.17672,0,0.46822,0,0.02384,0.05364,0,0.05887,0,0.1863,0,0.01863,0.00754,0,0,0,0,0,0.08166,0.01411,0.07038,0,0.00766,0.03121,0,0,0,0.04747,0,0.02777,0,0,0.11137,0,0,0.05888,0,0.00336,0,0,0.04582,0,0.09965,0,2e-05
0.16,0,0,0.00606,0.02559,0.07197,0.00417,0.04868,0,0,0,0.41237,0,0,0.05771,0.06149,0.02769,0,0.0228,0,0.01092,0.1341,0,0.05496,0.17651,0,0.48415,0,0.0235,0.05415,0,0.0589,0,0.18651,0,0.01803,0.00786,0,0,0,0,0,0.08219,0.01827,0.07458,0,0.00677,0.03008,0,0,0,0.05453,0,0.02688,0,0,0.11017,0,0,0.05927,0,0.00485,0,0,0.04549,0,0.0997,0,0.00036
0.18,0,0,0.00636,0.02669,0.05748,0.00288,0.0486,0,0,0,0.40211,0,0,0.0575,0.06258,0.03854,0,0.02957,0,0.01059,0.13366,0,0.05106,0.17627,0,0.49407,0,0.02275,0.05462,0,0.05845,0,0.18536,0,0.01704,0.00809,0,0,0,0,0,0.08138,0.02389,0.07756,0,0.00584,0.0293,0,0,0,0.06052,0,0.02582,0,0,0.10883,0,0,0.06027,0,0.00329,0,0,0.04457,0,0.09994,0,0.00045
