T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.02877,0,0,0.0335,0,0,0.02751,0,0,0.01908,0.46739,0,0,0.02661,0.18512,0.03191,0.02362,0,0,0.02861,0,0,0,0,0.0462,0,0,0,0.00753,0.00197,0,0.05733,0,0,0,0.00268,0.0009,0,0.00905,0.00056,0,2.01085,0.03443,0,0,0.02911,0.0349,0,0,0,0,0.00693,0.05295,0,0.03057,0.00726,0.02236,0.011,0,0.00931,0.02256,0.03349,0,0,0.00924,0,0.00686,0.1565
0.02,0.02879,0,0,0.03345,0,0,0.02755,0,0,0.01918,0.46764,0,0,0.02679,0.18481,0.03172,0.0237,0,0,0.02875,0,0,0,0,0.04621,0,0,0,0.00751,0.00205,0,0.05735,0,0,0,0.00219,0.00067,0,0.00897,0.00053,0,2.00449,0.03442,0,0,0.02895,0.03499,0,0,0,0,0.00693,0.05267,0,0.03051,0.00729,0.02224,0.01103,0,0.00931,0.02256,0.03348,0,0,0.00926,0,0.00688,0.15687
0.04,0.02873,0,0,0.03338,0,0,0.02756,0,0,0.01933,0.46801,0,0,0.02697,0.18441,0.03146,0.0238,0,0,0.02888,0,0,0,0,0.04622,0,0,0,0.00748,0.00217,0,0.05737,0,0,0,0.00157,0.00033,0,0.00886,0.00049,0,1.99796,0.03437,0,0,0.02874,0.03511,0,0,0,0,0.00694,0.05229,0,0.03047,0.00734,0.0221,0.01105,0,0.00931,0.02255,0.03347,0,0,0.00929,0,0.00689,0.15722
0.06,0.0286,1e-05,0.00043,0.03331,3e-05,5e-05,0.02756,0,2e-05,0.01953,0.46866,4e-05,0.00013,0.02719,0.1839,0.03116,0.02393,0.00018,5e-05,0.02914,1e-05,1e-05,9e-05,0,0.04626,3e-05,0.00014,1e-05,0.00744,0.00236,0,0.05742,4e-05,4e-05,0,0.00083,0.00032,2e-05,0.00876,0.00049,1e-05,1.9912,0.03434,2e-05,0.00015,0.02861,0.03538,1e-05,1e-05,2e-05,2e-05,0.00711,0.05193,0.00014,0.03043,0.00741,0.02199,0.01109,1e-05,0.00936,0.0226,0.03347,1e-05,9e-05,0.00932,1e-05,0.00694,0.15767
0.08,0.02835,0.00062,0.00072,0.03315,0,1e-05,0.02749,0,0,0.01973,0.46896,0,0,0.02735,0.18323,0.03072,0.02405,2e-05,0,0.02918,0,0,0,0,0.04624,0,0,0,0.00737,0.0025,0,0.05742,0,0,0,0.00058,0.00011,0,0.00859,0.00039,0,1.985,0.03418,0,1e-05,0.02816,0.03544,0,0,0,0,0.00698,0.05114,1e-05,0.03038,0.00749,0.02178,0.01111,0,0.00932,0.02255,0.03347,0,0,0.00934,0,0.00693,0.15803
0.1,0.02812,0.00151,0.00144,0.03303,2e-05,0.00021,0.02743,0,0,0.02001,0.46998,0,1e-05,0.02758,0.18236,0.03022,0.0242,1e-05,0,0.0299,0,0,1e-05,0,0.04625,0,7e-05,0,0.0073,0.00269,0,0.05744,0,0,0,0.00055,0.0003,0,0.00845,0.00054,1e-05,1.97713,0.03412,0,3e-05,0.02786,0.03566,0,1e-05,0,1e-05,0.00696,0.05034,0.00068,0.03032,0.00758,0.0216,0.01113,0,0.00933,0.02262,0.03346,0,1e-05,0.00936,0,0.00693,0.15815
0.12,0.02804,0.00233,0.0019,0.03291,1e-05,0.00036,0.02738,0,0,0.02035,0.47221,0,0,0.02795,0.18111,0.02958,0.02435,1e-05,0,0.02938,0,0,0,0,0.04623,0,3e-05,0,0.00721,0.00282,0,0.05746,0,0,0,0.00048,0.00031,0,0.00827,0.00063,0,1.96565,0.0342,0,1e-05,0.02763,0.03587,0,0,0,0,0.00693,0.04936,5e-05,0.0302,0.00768,0.02132,0.01115,0,0.0094,0.02284,0.03343,0,0,0.00937,0,0.00685,0.15707
0.14,0.02802,0.00313,0.00208,0.0328,2e-05,9e-05,0.02733,0,0,0.02073,0.47506,0,0,0.02838,0.17956,0.02885,0.02452,0,1e-05,0.02942,0,0,0,0,0.0462,0,1e-05,0,0.00711,0.00294,0,0.05748,0,1e-05,0,0.00038,0.00016,0,0.0081,0.00031,0,1.95245,0.03436,0,0,0.02745,0.03611,0,0,0,0,0.00684,0.04822,0.00011,0.03005,0.00778,0.02102,0.01116,0,0.00948,0.02314,0.03339,0,0,0.00938,0,0.00676,0.15567
0.16,0.02796,0.00402,0.00233,0.03271,0.0003,0.00082,0.02724,0,0,0.02112,0.47783,0,0,0.02878,0.17773,0.02802,0.02468,0,0.00016,0.03011,0,0,0,0,0.04617,0,2e-05,0,0.00701,0.00308,0,0.0575,0,2e-05,0,0.00033,0.0003,0,0.00817,0.00098,0,1.93962,0.03453,1e-05,0,0.02726,0.03636,0,0,0,0,0.0067,0.04734,0.00087,0.02989,0.00789,0.02075,0.01116,0,0.00956,0.02341,0.03334,0,0,0.00938,0,0.00669,0.15454
0.18,0.02782,0.00487,0.00214,0.03261,0.00031,0.00073,0.02709,0,2e-05,0.02148,0.48033,0,0,0.0291,0.17561,0.0271,0.02483,1e-05,0.00045,0.03056,0,0,4e-05,1e-05,0.04615,0,7e-05,0,0.00688,0.00321,0,0.05753,2e-05,6e-05,0,0.00029,0.00024,0,0.00797,0.00084,0,1.92876,0.03465,3e-05,0,0.02707,0.03659,0,0,0,0,0.00654,0.04682,0.0014,0.02971,0.00803,0.02049,0.01118,0,0.00963,0.02369,0.0333,0,0,0.00939,0,0.00662,0.15332
