T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.02676,0.01774,0.00847,0.00611,0.00277,0.02186,8e-05,0.00029,0.05632,0.2074,0.00026,0.00064,0,0,0.01749,0.05751,0.00547,0.00029,0.00189,0.00013,0,0.0006,3e-05,0.00029,0.00022,0.00085,0,0,0.00282,9e-05,3e-05,4e-05,0.00026,0.0007,0,0.02464,0.00024,0,0.00037,7e-05,0.06347,0.00411,0.00013,0.00152,0.00802,0.004,0.00037,0.00057,0.00012,0.0002,0.00557,0,0.00089,0,0.00166,0,0.00045,5e-05,0.00199,0.00327,0.00015,0.00133,0,0.00089,7e-05,0.00043,0.00913
0.02,0,0.03434,0.0118,0.00287,0.00685,0.00248,0.0298,9e-05,0.00031,0.06779,0.30979,0.00029,0.0007,0,0,0.01983,0.07215,0.00642,0.00032,0.00372,0.00013,0,0.00066,4e-05,0.00092,0.00025,0.00093,0,0,0.00241,0.00011,0.00018,6e-05,0.00029,0.00079,0,0.02731,0.00027,0,0.0004,7e-05,0.06692,0,0.00014,0.00165,0.00508,0.00779,0.00041,0.00062,0.00013,0.00022,0.0063,0,0.00098,0,0.00171,0,0.00078,7e-05,0.00261,0.00489,0,0.00132,0,0.0008,7e-05,0.00059,0.01108
0.04,0,0.04125,0.00609,0,0.00761,0.00223,0.03853,9e-05,0.00033,0.08018,0.41219,0.00031,0.00075,0,0,0.02225,0.0876,0.00738,0.00035,0.00548,0.00015,0,0.00072,5e-05,0.0016,0.00027,0.00101,0,0,0.0018,0.00011,0.00034,9e-05,0.0003,0.00089,0,0.03002,0.00029,0,0.00043,8e-05,0.06988,0,0.00016,0.00177,0.00266,0.01157,0.00044,0.00065,0.00014,0.00024,0.00706,0,0.00106,0,0.00166,0,0.00109,7e-05,0.00322,0.00648,0,0.00125,0,0.00067,9e-05,0.00075,0.01299
0.06,0,0.04735,0.00069,0,0.00839,0.00201,0.04806,9e-05,0.00036,0.09347,0.51371,0.00033,0.00082,0,0,0.02472,0.1038,0.00833,0.00037,0.00716,0.00015,0,0.00077,5e-05,0.00232,0.00029,0.00109,0,0,0.00096,0.00011,0.00051,0.0001,0.00033,0.00098,0,0.03274,0.00032,0,0.00048,9e-05,0.07222,0,0.00017,0.00189,0.00084,0.01527,0.00048,0.00069,0.00015,0.00027,0.00785,0,0.00114,0,0.0015,0,0.0014,5e-05,0.00383,0.00806,0,0.00113,0,0.0005,0.0001,0.00091,0.01482
0.08,0,0.0525,0,0,0.00917,0.00183,0.05839,0.0001,0.00038,0.10762,0.61321,0.00036,0.00087,0,0,0.02725,0.12067,0.00925,0.0004,0.00873,0.00016,0,0.00082,3e-05,0.0031,0.0003,0.00116,0,0,0,0.00013,0.00069,0.00014,0.00034,0.00107,0,0.03543,0.00035,0,0.00051,8e-05,0.07379,0,0.00018,0.00199,0,0.01886,0.00051,0.00071,0.00017,0.00028,0.00865,0,0.00123,0,0.00122,0,0.0017,8e-05,0.00442,0.00959,0,0.00094,0,0.00028,9e-05,0.00104,0.01651
0.1,0,0.05658,0,0,0.00995,0.00169,0.0695,0.00012,0.0004,0.12256,0.7093,0.00037,0.00092,0,0,0.02981,0.13809,0.01013,0.00042,0.01016,0.00017,0.00026,0.00087,6e-05,0.00392,0.00033,0.00123,0,0.00052,0,0.00014,0.00088,0.00017,0.00035,0.00117,0,0.03802,0.00037,0,0.00055,0.0001,0.07439,0,0.00018,0.00208,0,0.02227,0.00055,0.00073,0.00019,0.00029,0.00946,0,0.0013,0,0.00081,0,0.00198,8e-05,0.00499,0.01106,0,0.00067,0,1e-05,0.00011,0.00117,0.01802
0.12,0,0.05946,0,0,0.01071,0.00159,0.08135,0.00013,0.00041,0.13821,0.80038,0.00039,0.00097,0,0,0.03239,0.15593,0.01095,0.00044,0.01143,0.00018,0.00085,0.00091,6e-05,0.0048,0.00034,0.00129,0,0.00128,0,0.00014,0.00108,0.00021,0.00037,0.00126,0,0.04046,0.0004,0,0.00059,0.0001,0.07384,0,0.00019,0.00216,0,0.02544,0.00058,0.00075,0.00019,0.00031,0.01027,0,0.00137,0,0.00025,0,0.00225,9e-05,0.00553,0.01245,0,0.00032,0,0,0.00011,0.00127,0.01927
0.14,0,0.06104,0,0,0.01143,0.00152,0.09388,0.00013,0.00043,0.15445,0.88465,0.0004,0.001,0,0,0.03496,0.17403,0.01168,0.00045,0.01252,0.00018,0.00153,0.00095,6e-05,0.00573,0.00036,0.00134,0,0.00215,0,0.00015,0.00131,0.00024,0.00037,0.00135,0,0.04268,0.00042,0,0.00062,0.0001,0.07193,0,0.0002,0.00221,0.00089,0.02831,0.0006,0.00075,0.0002,0.00032,0.01106,0,0.00142,0,0,0,0.00249,9e-05,0.00603,0.01375,0,0,0,0,0.00012,0.00136,0.02018
0.16,0,0.06124,0,0,0.01209,0.00149,0.10703,0.00014,0.00044,0.17115,0.96018,0.00041,0.00103,0,0,0.03751,0.1922,0.0123,0.00046,0.0134,0.00019,0.00232,0.00097,6e-05,0.0067,0.00037,0.00138,0,0.00316,0,0.00015,0.00155,0.00028,0.00037,0.00143,0,0.0446,0.00044,0,0.00064,0.0001,0.0684,0,0.0002,0.00223,0.00294,0.03081,0.00062,0.00074,0.00021,0.00034,0.01181,0,0.00147,0,0,0.0004,0.00271,9e-05,0.00648,0.01494,0,0,0,0,0.00011,0.00141,0.02068
0.18,0,0.05999,0,0,0.01267,0.00148,0.1207,0.00015,0.00044,0.18813,1,0.00041,0.00105,0,0,0.04001,0.21022,0.01279,0.00047,0.01408,0.00019,0.00323,0.00099,6e-05,0.00773,0.00037,0.00139,0.00126,0.00431,0,0.00015,0.00182,0.00032,0.00037,0.00151,0.0027,0.04613,0.00045,0,0.00066,0.00011,0.06302,0,0.0002,0.00222,0.00581,0.03288,0.00063,0.00072,0.00021,0.00034,0.0125,0,0.00149,0,0,0.0028,0.00289,9e-05,0.00688,0.01599,0,0,0,0,0.00012,0.00142,0.02067
