T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00112,0.12807,0,0,0.02172,0,0,0.03066,0.37436,0,0,0.0236,0.11853,0.01564,0.02386,0.00106,0,0.02618,0,0.00268,0,0,0.05517,0,0,0,0.00286,0.01674,0,0.07402,0,0,0.00804,0.00956,0,0,0.02,0.00266,0,1,0.06034,0,0,0.03639,0.04088,0,0,0,0,0,0.07806,0,0.05275,0,0.01749,0.01962,0,0.01081,0.01015,0.06407,0,0,0.01788,0,0.00277,0.01639
0.02,0,0,0.00116,0.12748,0,0,0.0217,0,0,0.03059,0.3744,0,0,0.02378,0.11845,0.01559,0.02382,0.00105,0,0.02618,0,0.00264,0,0,0.05511,0,0,0,0.00284,0.01679,0,0.07398,0,0,0.00778,0.00916,0,0,0.02007,0.00262,0,1,0.06026,0,0,0.03637,0.04086,0,0,0,0,0,0.07807,0,0.05257,0,0.01741,0.0196,0,0.01079,0.0101,0.06385,0,0,0.01786,0,0.00278,0.01637
0.04,0,0,0.00121,0.12663,0,0,0.0217,0,0,0.03051,0.37456,0,0,0.02391,0.11836,0.01554,0.02377,0.00104,0,0.02617,0,0.00259,0,0,0.05505,0,0,0,0.00281,0.01685,0,0.07393,0,0,0.0075,0.00866,0,0,0.02017,0.00257,0,1,0.06005,0,0,0.03636,0.04085,0,0,0,0,0,0.07806,0,0.05239,0,0.0173,0.01958,0,0.01077,0.01005,0.06362,0,0,0.01784,0,0.00279,0.01635
0.06,0,0,0.00129,0.12562,0,0,0.02173,0,0,0.03041,0.37485,0,0,0.02399,0.11824,0.01548,0.02371,0.00101,0,0.02613,0,0.00254,0,0,0.05498,0,0,0,0.00277,0.01692,0,0.07389,0,0,0.00722,0.00808,0,0,0.0203,0.0025,0,1,0.05972,0,0,0.03635,0.04083,0,0,0,0,0,0.07804,0,0.05221,0,0.01715,0.01955,0,0.01075,0.01,0.06339,0,0,0.01782,0,0.0028,0.01633
0.08,0,0,0.00138,0.12455,0,0,0.02176,0,0,0.03032,0.37524,0,0,0.02405,0.11808,0.01541,0.02363,0.00098,0,0.02608,0,0.00247,0,0,0.05492,0,0,0,0.00272,0.01699,0,0.07385,0,0,0.00692,0.0074,0,0,0.02042,0.00243,0,1,0.05942,0,0,0.03634,0.04081,0,0,0,0,0,0.078,0,0.05205,0,0.01696,0.01953,0,0.01073,0.00995,0.06313,0,0,0.0178,0,0.0028,0.01631
0.1,0,0,0.00148,0.12365,0,0,0.02191,0,0,0.03023,0.37636,0,0,0.02407,0.11786,0.01531,0.02353,0.00094,0,0.02601,0,0.00239,0,0,0.05486,0,0,0,0.00266,0.01707,0,0.0738,0,0,0.00663,0.00669,0,0,0.02053,0.00234,0,1,0.05926,0,0,0.03632,0.04079,0,0,0,0,0,0.07791,0,0.05189,0,0.01673,0.01951,0,0.01071,0.0099,0.06292,0,0,0.01778,0,0.0028,0.01629
0.12,0,0,0.00159,0.1232,0,0,0.02224,0,0,0.03016,0.37816,0,0,0.02403,0.11759,0.01518,0.0234,0.00087,0,0.0259,0,0.00229,0,0,0.05477,0,0,0,0.00256,0.01721,0,0.07371,0,0,0.00636,0.006,0,0,0.02056,0.00223,0,1,0.05874,0,0,0.0363,0.04079,0,0,0,0,0,0.07777,0,0.05172,0,0.01645,0.01948,0,0.01066,0.00981,0.06284,0,0,0.01775,0,0.0028,0.01632
0.14,0,0,0.00169,0.12333,0,0,0.02256,0,0,0.0301,0.38017,0,0,0.02394,0.11722,0.01501,0.02325,0.00079,0,0.02581,0,0.00218,0,0,0.05468,0,0,0,0.00245,0.01736,0,0.07362,0,0,0.0061,0.00535,0,0,0.0205,0.00212,0,1,0.05814,0,0,0.03626,0.04078,0,0,0,0,0,0.07758,0,0.05156,0,0.01613,0.01946,0,0.01061,0.00971,0.06282,0,0,0.01772,0,0.0028,0.01635
0.16,0,0,0.00176,0.12389,0,0,0.0228,0,0,0.03007,0.38227,0,0,0.02382,0.11668,0.01479,0.02312,0.00072,0,0.02572,0,0.00206,0,0,0.05459,0,0,0,0.00233,0.0175,0,0.07355,0,0,0.00584,0.00467,0,0,0.02032,0.00201,0,1,0.05764,0,0,0.03619,0.04078,0,0,0,0,0,0.07734,0,0.05141,0,0.0158,0.01943,0,0.01057,0.00963,0.06283,0,0,0.01772,0,0.0028,0.01637
0.18,0,0,0.00178,0.12515,0,0,0.023,0,0,0.03005,0.38438,0,0,0.02362,0.11597,0.01451,0.023,0.00064,0,0.02565,0,0.00193,0,0,0.0545,0,0,0,0.00219,0.01765,0,0.07346,0,0,0.00561,0.004,0,0,0.02,0.0019,0,1,0.05712,0,0,0.03607,0.04078,0,0,0,0,0,0.07701,0,0.05128,0,0.01546,0.01942,0,0.01053,0.00954,0.06291,0,0,0.01773,0,0.00281,0.01641
