T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,6.62587,0.70559,0.7212,1.93144,-0.31382,-0.03725,1.24762,-6.86658,-0.56581,2.13459,0.01686,-0.02487,-0.22602,0.85852,7.59676,0.66486,2.10837,-0.06504,-0.06135,0.22628,-4.25654,-1.56198,0.12977,-2.85631,0.30945,-0.05855,-0.02172,-3.73451,2.44862,-0.24233,-2.69661,0.34114,0.02943,0.00273
0.02,6.70455,0.66065,0.78422,1.93225,-0.31367,-0.03676,1.24133,-6.81591,-0.55495,2.13013,0.0171,-0.02235,-0.22504,0.86755,7.54417,0.65597,2.10367,-0.06576,-0.05871,0.22604,-4.25531,-1.44373,0.11564,-2.86566,0.30917,-0.05869,-0.0213,-3.72469,2.62739,-0.26554,-2.70788,0.34089,0.03122,0.00469
0.04,6.7861,0.49349,0.85799,1.93334,-0.31821,-0.0369,1.2338,-6.75504,-0.54216,2.12496,0.01742,-0.01947,-0.22394,0.87484,7.47581,0.64479,2.09364,-0.06635,-0.05552,0.22512,-4.25851,-1.29963,0.09836,-2.87635,0.30885,-0.05876,-0.0208,-3.74278,2.8616,-0.29608,-2.72739,0.34037,0.03351,0.0073
0.06,6.87951,0.18421,0.93258,1.93502,-0.32826,-0.03786,1.22525,-6.68684,-0.5285,2.11867,0.01777,-0.01646,-0.22269,0.88094,7.39072,0.63128,2.07788,-0.06675,-0.05173,0.22341,-4.26124,-1.12988,0.07801,-2.88773,0.30849,-0.05876,-0.02023,-3.79114,3.15626,-0.33472,-2.75654,0.3395,0.03639,0.01067
0.08,6.95861,-0.27856,0.99842,1.93784,-0.34477,-0.03981,1.21389,-6.61547,-0.5136,2.11238,0.01799,-0.01344,-0.22137,0.88124,7.29211,0.61479,2.05519,-0.06672,-0.04762,0.22064,-4.26396,-0.93734,0.0549,-2.89945,0.30809,-0.05874,-0.01962,-3.88381,3.51136,-0.381,-2.79515,0.33827,0.03987,0.01486
0.1,7.11754,-0.94115,1.03568,1.94118,-0.3688,-0.04303,1.20565,-6.54664,-0.50366,2.10248,0.01814,-0.01134,-0.21989,0.88928,7.17261,0.59807,2.02734,-0.06648,-0.04264,0.2171,-4.24126,-0.72335,0.02954,-2.90832,0.30773,-0.05859,-0.01888,-3.9883,3.93209,-0.43697,-2.846,0.33643,0.04412,0.02003
0.12,7.45503,-1.83779,1.0231,1.94436,-0.40109,-0.04774,1.20592,-6.48571,-0.50488,2.08564,0.0184,-0.01098,-0.21826,0.92109,7.02434,0.5828,1.99798,-0.06643,-0.03592,0.21323,-4.16228,-0.48788,0.00231,-2.9113,0.30748,-0.05823,-0.01784,-4.06515,4.42277,-0.50575,-2.91248,0.33367,0.04932,0.02633
0.14,7.87968,-2.95844,0.96338,1.94816,-0.44301,-0.05408,1.20928,-6.43532,-0.51348,2.0664,0.01842,-0.01214,-0.21665,0.96303,6.85822,0.56769,1.96397,-0.06585,-0.02872,0.2084,-4.04188,-0.24117,-0.0259,-2.90822,0.30733,-0.05775,-0.0167,-4.14755,4.96655,-0.58378,-2.98938,0.33019,0.05522,0.03356
0.16,8.30696,-4.27981,0.86239,1.95332,-0.49507,-0.0621,1.21089,-6.39868,-0.52606,2.04831,0.01796,-0.0145,-0.21519,1.00188,6.68657,0.55215,1.92285,-0.06425,-0.02199,0.2022,-3.89173,0.00815,-0.05427,-2.89926,0.30725,-0.05727,-0.0156,-4.26189,5.54381,-0.66673,-3.07127,0.32616,0.06153,0.04145
0.18,8.72515,-5.7545,0.7164,1.9605,-0.55601,-0.07173,1.20931,-6.37951,-0.54277,2.03111,0.01728,-0.01783,-0.21392,1.03873,6.51453,0.53467,1.87831,-0.0622,-0.015,0.19508,-3.69813,0.26101,-0.08291,-2.88511,0.30719,-0.05685,-0.01449,-4.39811,6.14225,-0.75442,-3.15828,0.32156,0.06817,0.04986
