T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00183,0.17099,0,0,0.01893,0,0,0.02167,0.38061,0,0,0.02384,0.11116,0.01357,0.02636,0.00364,0,0.02647,0,0,0,0,0.06044,0,0,0,0,0.03112,0,0.07366,0,0,0.007,0.00566,0,0,0.01108,0.00109,0,1,0.05334,0,0,0.04496,0.04148,0,0,0,0,0,0.05936,0,0.07748,0.00611,0.00639,0.02188,0,0.01524,0.01981,0.10373,0.00247,0,0.01554,0,0.00193,0.01488
0.02,0,0,0.0018,0.17182,0,0,0.01897,0,0,0.02163,0.37924,0,0,0.02384,0.11127,0.01358,0.02637,0.00364,0,0.02648,0,0,0,0,0.0604,0,0,0,0,0.0312,0,0.07366,0,0,0.00698,0.00532,0,0,0.01103,0.00107,0,1,0.05321,0,0,0.04496,0.04145,0,0,0,0,0,0.05937,0,0.07748,0.00616,0.00633,0.02186,0,0.01526,0.01979,0.10355,0.00251,0,0.01555,0,0.00195,0.01493
0.04,0,0,0.00173,0.17282,0,0,0.019,0,0,0.0216,0.3773,0,0,0.02385,0.1114,0.01358,0.02638,0.00364,0,0.02648,0,0,0,0,0.06036,0,0,0,0,0.03131,0,0.07365,0,0,0.00696,0.00487,0,0,0.01095,0.00105,0,1,0.05307,0,0,0.04495,0.0414,0,0,0,0,0,0.05933,0,0.07748,0.00624,0.00622,0.02183,0,0.01527,0.01978,0.10338,0.00259,0,0.01557,0,0.00197,0.01498
0.06,0,0,0.00162,0.17399,0,0,0.01903,0,0,0.02159,0.37494,0,0,0.02386,0.11154,0.01356,0.0264,0.00363,0,0.02648,0,0,0,0,0.06031,0,0,0,0,0.03145,0,0.07365,0,0,0.00696,0.0043,0,0,0.01086,0.00102,0,1,0.05292,0,0,0.04493,0.04133,0,0,0,0,0,0.05924,0,0.07749,0.00636,0.00606,0.0218,0,0.0153,0.01979,0.1032,0.0027,0,0.01559,0,0.00199,0.01503
0.08,3e-05,3e-05,0.00151,0.17543,0.00019,0.00039,0.01914,0,0.00019,0.02175,0.37451,0.00028,0.00061,0.02398,0.11194,0.01367,0.02659,0.00413,0.00031,0.02716,0.0001,3e-05,0.00015,1e-05,0.06034,0.00022,0.00019,9e-05,3e-05,0.03184,5e-05,0.07368,0.00021,0.00019,0.00702,0.00364,6e-05,4e-05,0.01096,0.00138,0.0001,1,0.05302,0.00017,0.00101,0.0456,0.04181,0.00011,0.0012,0.00017,0.00018,0.00057,0.05993,0.00058,0.07765,0.00656,0.00607,0.02178,2e-05,0.01549,0.01993,0.10318,0.00289,0.00023,0.0157,1e-05,0.00219,0.01522
0.1,3e-05,3e-05,0.00127,0.17712,0.00018,0.00037,0.01916,1e-05,0.0002,0.0218,0.37362,0.00026,0.00058,0.02399,0.11209,0.01363,0.02659,0.00408,0.0003,0.02713,0.0001,3e-05,0.00015,3e-05,0.06038,0.00021,0.00018,9e-05,3e-05,0.03208,7e-05,0.07378,0.0002,0.00018,0.00703,0.00283,5e-05,0.00017,0.01081,0.00132,9e-05,1,0.05287,0.00016,0.00097,0.04551,0.04177,0.0001,0.00118,0.00017,0.00017,0.00054,0.05977,0.00055,0.07765,0.00676,0.0058,0.02179,5e-05,0.01551,0.01994,0.103,0.00309,0.00022,0.01576,4e-05,0.0022,0.01524
0.12,3e-05,3e-05,0.00098,0.17849,0.00017,0.00064,0.0192,2e-05,0.00025,0.02193,0.37265,0.00026,0.00057,0.02398,0.11227,0.0136,0.02655,0.00405,0.00029,0.02711,0.0001,3e-05,0.00014,3e-05,0.06034,0.0002,0.00018,0.0001,3e-05,0.03235,9e-05,0.0738,0.00019,0.00018,0.00697,0.00195,5e-05,0.00018,0.01062,0.00155,9e-05,1,0.05267,0.00016,0.00097,0.04537,0.04175,0.0001,0.00115,0.00016,0.00017,0.00055,0.05955,0.00054,0.07754,0.00702,0.00547,0.02177,5e-05,0.01555,0.02001,0.10282,0.00332,0.00021,0.01583,6e-05,0.00218,0.01522
0.14,3e-05,3e-05,0.00061,0.17982,0.00017,0.00139,0.01925,2e-05,0.00027,0.02214,0.372,0.00026,0.00057,0.02397,0.11274,0.01356,0.0265,0.00441,0.00029,0.02711,0.0001,3e-05,0.00014,5e-05,0.06029,0.0002,0.00017,0.00011,3e-05,0.03267,0.0001,0.07381,0.00019,0.00018,0.00689,0.00096,5e-05,0.00021,0.01039,0.00225,9e-05,1,0.05241,0.00016,0.00098,0.04521,0.04176,0.0001,0.00119,0.00016,0.00017,0.00101,0.0593,0.00053,0.07739,0.00731,0.00509,0.02177,5e-05,0.0156,0.02009,0.10265,0.00359,0.00021,0.0159,6e-05,0.00217,0.01519
0.16,5e-05,0.00097,0.00022,0.18115,0.00026,0.00151,0.01933,0,0.00036,0.02249,0.37228,0.00042,0.00085,0.02399,0.11322,0.01357,0.02655,0.00466,0.00044,0.02753,0.00013,5e-05,0.00031,7e-05,0.0603,0.00031,0.00027,0.00014,4e-05,0.03315,0.00013,0.07394,0.00037,0.00027,0.00685,0.0009,8e-05,0.00029,0.01022,0.00231,0.00014,1,0.05223,0.00023,0.00127,0.04544,0.04207,0.00015,0.0015,0.00024,0.00028,0.00142,0.05938,0.00087,0.07729,0.00764,0.0049,0.02178,8e-05,0.01572,0.02023,0.10252,0.0039,0.00032,0.016,0.0001,0.00231,0.01523
0.18,4e-05,0.00194,0.00019,0.18211,0.00022,0.00198,0.01935,1e-05,0.0003,0.0228,0.37303,0.00036,0.00073,0.02394,0.11354,0.01348,0.02648,0.00433,0.00038,0.02744,0.00011,4e-05,0.00027,6e-05,0.06022,0.00026,0.00023,0.00012,4e-05,0.03353,0.00011,0.07388,0.00031,0.00023,0.00683,0.00079,0.00049,0.00026,0.00985,0.0027,0.00012,1,0.05183,0.0002,0.00123,0.04505,0.04207,0.00013,0.00129,0.00021,0.00024,0.00122,0.05888,0.00074,0.07713,0.00797,0.0044,0.02174,7e-05,0.01571,0.02026,0.10236,0.00422,0.00028,0.01603,8e-05,0.00225,0.01516
