T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00972,0,0,0.01224,0.0007,0,0,0.00022,0.01163,0.03687,0.00017,0.00067,0,0,0,0.00929,0.00387,0.00023,0.00162,7e-05,0,0.00457,3e-05,0.00274,0.00021,0.00026,0,0,0.00401,6e-05,0,0,0,4e-05,0,0.00368,0.00023,0,4e-05,7e-05,0.00363,0,9e-05,0.00084,0,0.00262,0.00011,0.00123,0,9e-05,0.00904,0,0.00034,0,0.00322,0,0.00136,4e-05,0.0032,0.00306,0.01208,0.00267,0.00014,0,5e-05,0.00921,0.00023
0.02,0,0.01281,0,0,0.01552,0.00127,0,0,0.00024,0.01787,0.04089,0.00019,0.00073,0,0,0,0.01153,0.00369,0.00025,0.0024,8e-05,0,0.0052,4e-05,0.00278,0.00023,0.00026,0,0,0.00411,6e-05,0,0,0,4e-05,0,0.00672,0.00026,0,4e-05,8e-05,0.0046,0,0.0001,0.00093,0.00016,0.00337,0.00012,0.00126,0,0.0001,0.01081,0,0.00039,0,0.00385,0,0.00135,5e-05,0.00308,0.00298,0.01256,0.00314,0.00016,0,6e-05,0.00837,0.00027
0.04,0,0.01615,0,0,0.01887,0.00186,0,0,0.00027,0.02489,0.04541,0.00021,0.00079,0,0,0,0.0139,0.00352,0.00028,0.00323,9e-05,0,0.00586,4e-05,0.00286,0.00024,0.00025,0,0,0.00422,7e-05,0.00038,0,0,5e-05,0,0.00959,0.00028,0,4e-05,9e-05,0.00569,0,0.00012,0.00101,0.00061,0.00412,0.00014,0.00128,0,0.00012,0.01272,0,0.00043,0,0.00447,0,0.00136,5e-05,0.00299,0.00294,0.01295,0.00362,0.00018,0,6e-05,0.00753,0.00029
0.06,0,0.01971,0,0,0.02224,0.00246,0,0,0.00028,0.03271,0.05042,0.00022,0.00084,0,0,0,0.01638,0.00335,0.0003,0.00412,0.0001,0,0.00655,4e-05,0.00296,0.00025,0.00024,0,0,0.00435,7e-05,0.00101,0,0,5e-05,0,0.01226,0.0003,0,4e-05,0.0001,0.00689,0,0.00013,0.00109,0.00116,0.00487,0.00015,0.00126,0,0.00013,0.01478,0,0.00047,0,0.00509,0,0.0014,6e-05,0.00292,0.00294,0.01324,0.00409,0.00019,0,7e-05,0.00669,0.00028
0.08,0,0.02347,0,0,0.0256,0.00305,0,0,0.0003,0.04135,0.05591,0.00024,0.00088,0,0,0,0.01895,0.00318,0.00032,0.00505,0.0001,0,0.00725,5e-05,0.0031,0.00026,0.00021,0,0,0.00448,8e-05,0.00165,0,0,5e-05,0,0.01468,0.00032,0,3e-05,0.00011,0.0082,0,0.00013,0.00115,0.00182,0.0056,0.00015,0.0012,0,0.00014,0.01698,0,0.0005,0,0.0057,0,0.00145,6e-05,0.00288,0.00298,0.01339,0.00454,0.0002,0,7e-05,0.00587,0.00024
0.1,0,0.02741,0,0,0.0289,0.00364,0,0,0.00031,0.05084,0.06181,0.00025,0.0009,0,0,0,0.0216,0.003,0.00033,0.00604,0.00011,0,0.00797,5e-05,0.00328,0.00026,0.00017,0,0,0.0046,8e-05,0.00231,0,0,5e-05,0,0.01683,0.00033,0,1e-05,0.00012,0.00963,0,0.00014,0.0012,0.00259,0.0063,0.00016,0.00111,0,0.00015,0.0193,0,0.00053,0,0.00627,0,0.00152,6e-05,0.00286,0.00306,0.0134,0.00498,0.00021,0,8e-05,0.00508,0.00016
0.12,0,0.03149,0,0,0.03208,0.00421,0.00054,0,0.00032,0.06117,0.06806,0.00025,0.00091,0,0,0,0.02431,0.00281,0.00034,0.00706,0.00011,0,0.00868,5e-05,0.00349,0.00025,0.00012,0,0,0.00472,8e-05,0.00298,0,0,6e-05,0,0.01865,0.00034,0,0,0.00012,0.01117,0,0.00014,0.00122,0.00349,0.00697,0.00016,0.00098,0,0.00016,0.02174,0,0.00054,0,0.00681,0,0.00162,6e-05,0.00288,0.00319,0.01322,0.00538,0.00021,0,8e-05,0.0043,4e-05
0.14,0,0.03566,0,0,0.03509,0.00474,0.00154,0,0.00032,0.07233,0.07454,0.00025,0.00089,0,0,0,0.02706,0.0026,0.00033,0.00813,0.00012,0,0.00938,5e-05,0.00374,0.00023,6e-05,0,0,0.00481,8e-05,0.00366,0,0,5e-05,0,0.0201,0.00034,0,0,0.00012,0.01281,0,0.00014,0.00122,0.00452,0.00757,0.00016,0.00079,0,0.00016,0.02426,0,0.00054,0,0.0073,0,0.00175,6e-05,0.00292,0.00337,0.01284,0.00574,0.00021,0,8e-05,0.00355,0
0.16,0,0.03987,0,0,0.03785,0.00524,0.00277,0,0.00032,0.08429,0.08111,0.00025,0.00086,0,0,0,0.02981,0.00236,0.00032,0.00922,0.00012,0,0.01006,5e-05,0.00403,0.00021,0,0,0,0.00486,8e-05,0.00434,0,0,5e-05,0,0.02115,0.00034,0,0,0.00012,0.01455,0,0.00013,0.0012,0.00569,0.0081,0.00016,0.00055,0,0.00016,0.02686,0,0.00053,0,0.00772,0,0.0019,6e-05,0.003,0.0036,0.01223,0.00605,0.00021,0,8e-05,0.00284,0
0.18,0,0.04404,0,0,0.04031,0.00567,0.00426,0,0.00031,0.09701,0.08762,0.00023,0.0008,0,0,0,0.03253,0.00209,0.00031,0.01033,0.00012,0,0.01069,5e-05,0.00437,0.00018,0,0,0,0.00487,7e-05,0.00503,0,0,5e-05,0,0.02176,0.00032,0,0,0.00012,0.01637,0,0.00013,0.00115,0.00701,0.00855,0.00015,0.00025,0,0.00016,0.02949,0,0.0005,0,0.00807,0,0.00207,6e-05,0.0031,0.00388,0.01136,0.00628,0.0002,0,7e-05,0.00215,0
