T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00259,0,0.1071,0,0,0.00763,0,0,0.02305,0.34677,0,0,0.01787,0.20874,0.02696,0.02342,0,0,0.02305,0,2e-05,0,0,0.06103,0,0,0,0,0.0286,0,0.07987,0,0,0.00204,0,0.00258,0,0.02032,0.00152,0,1,0.08713,0,0,0.05271,0.03978,0,0,0,0,0.0028,0.07605,0,0.08272,0,0.01174,0.0218,0,0.01295,0.01301,0.0992,0.00128,0,0.01792,0,0.00602,0.0285
0.02,0,0.00269,0,0.10732,0,0,0.00804,0,0,0.02304,0.34517,0,0,0.01809,0.20892,0.02682,0.02337,0,0,0.02307,0,2e-05,0,0,0.06103,0,0,0,0,0.02863,0,0.07984,0,0,0.00187,0,0.00277,0,0.02023,0.00145,0,1,0.08559,0,0,0.05291,0.03983,0,0,0,0,0.00286,0.07603,0,0.08265,0,0.01174,0.02178,0,0.01292,0.01291,0.09918,0.00127,0,0.0179,0,0.00608,0.02865
0.04,0,0.00277,0,0.1077,0,0,0.00834,0,0,0.02306,0.34334,0,0,0.01845,0.20916,0.02662,0.02333,0,0,0.02309,0,4e-05,0,0,0.06102,0,0,0,0,0.02863,0,0.07982,0,0,0.00166,0,0.00294,0,0.02009,0.00136,0,1,0.08437,0,0,0.05286,0.0399,0,0,0,0,0.00289,0.07602,0,0.08257,0,0.01173,0.02175,0,0.0129,0.01282,0.09916,0.00125,0,0.01789,0,0.00612,0.02877
0.06,0,0.00281,0,0.10821,0,0,0.00855,0,0,0.02309,0.34142,0,0,0.01871,0.20943,0.02636,0.02329,0,0,0.02311,0,7e-05,0,0,0.06103,0,0,0,0,0.0286,0,0.0798,0,0,0.0014,0,0.00306,0,0.01994,0.00126,0,1,0.08348,0,0,0.05257,0.03998,0,0,0,0,0.00291,0.07601,0,0.08246,0,0.01174,0.02173,0,0.01288,0.01274,0.09913,0.00121,0,0.01787,0,0.00616,0.02886
0.08,0,0.00279,0,0.10886,0,0,0.00873,0,0,0.02315,0.33967,0,0,0.01899,0.20977,0.02609,0.02324,0,0,0.02311,0,0.00012,0,0,0.06103,0,0,0,0,0.02856,0,0.07977,0,0,0.00111,0,0.00311,0,0.0198,0.00116,0,1,0.08272,0,0,0.05217,0.04005,0,0,0,0,0.00291,0.07601,0,0.08233,0,0.01177,0.02171,0,0.01285,0.01265,0.09911,0.00115,0,0.01785,0,0.0062,0.02898
0.1,0,0.00271,0,0.10966,0,0,0.00876,0,0,0.02324,0.33815,0,0,0.01933,0.21007,0.02563,0.02319,0,0,0.02311,0,0.00021,0,0,0.06105,0,0,0,0,0.02846,0,0.07975,0,0,0.00074,0,0.00304,0,0.01968,0.00104,0,1,0.08267,0,0,0.05156,0.0401,0,0,0,0,0.00289,0.07602,0,0.0822,0,0.01184,0.02169,0,0.01283,0.01258,0.09907,0.00106,0,0.01784,0,0.0062,0.029
0.12,0,0.00257,0,0.11067,0,0,0.00853,0,0,0.02338,0.33682,0,0,0.01978,0.21018,0.02508,0.02313,0,0,0.02311,0,0.00037,0,0,0.06107,0,0,0,0,0.02824,0,0.07972,0,0,0.00027,0,0.00284,0,0.01961,0.00093,0,1,0.08396,0,0,0.05056,0.04018,0,0,0,0,0.00285,0.07601,0,0.08214,0,0.01195,0.02166,0,0.01281,0.01259,0.09901,0.0009,0,0.01784,0,0.00614,0.02871
0.14,0.00054,0.00234,0,0.11191,1e-05,0.00022,0.00824,3e-05,3e-05,0.02358,0.33633,1e-05,3e-05,0.02023,0.21018,0.02461,0.02307,0.0001,2e-05,0.02312,1e-05,0.00057,1e-05,1e-05,0.06116,1e-05,1e-05,2e-05,0,0.02801,1e-05,0.07975,1e-05,1e-05,0.00029,0,0.00251,5e-05,0.01961,0.00103,0,1,0.08597,3e-05,0.00025,0.04954,0.04027,0,2e-05,1e-05,1e-05,0.0029,0.07604,3e-05,0.0821,1e-05,0.01211,0.02166,2e-05,0.01281,0.01262,0.09898,0.0007,3e-05,0.01785,2e-05,0.00607,0.02835
0.16,0.00108,0.00199,0,0.1132,1e-05,0.00021,0.00803,3e-05,2e-05,0.02375,0.33655,1e-05,3e-05,0.02059,0.2101,0.02423,0.02299,9e-05,1e-05,0.02309,1e-05,0.0008,1e-05,1e-05,0.06117,1e-05,1e-05,2e-05,0,0.02775,0,0.07972,1e-05,1e-05,0.00028,0,0.00204,4e-05,0.01964,0.00097,0,1,0.08803,2e-05,0.00023,0.04868,0.04031,0,2e-05,1e-05,1e-05,0.00284,0.07605,3e-05,0.08204,1e-05,0.01228,0.02165,2e-05,0.01279,0.01262,0.09893,0.00048,2e-05,0.01785,1e-05,0.00598,0.02807
0.18,0.00153,0.00155,0,0.11457,0,0,0.00785,0,0,0.02391,0.33734,0,0,0.02089,0.20983,0.02392,0.02288,0,0,0.02303,0,0.00104,0,0,0.06114,0,0,0,0,0.02742,0,0.07966,0,0,0.00012,0,0.00145,0,0.0197,0.0008,0,1,0.09032,0,0,0.04789,0.04031,0,0,0,0,0.00272,0.07603,0,0.082,0,0.0125,0.02163,0,0.01277,0.01262,0.09886,0.00024,0,0.01785,0,0.00589,0.02779
