T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00876,0.00785,0.00385,0.00734,4e-05,0.0003,0.02095,0.00013,0.00012,0.00049,0,7e-05,0.00018,0.01196,0,0,0,0.00025,8e-05,0.00218,2e-05,2e-05,0.00015,5e-05,0.00067,6e-05,0.00027,4e-05,0.00132,0.00129,5e-05,0,8e-05,7e-05,1e-05,0.01057,0.00807,0.00015,0,8e-05,2e-05,0.00011,0,5e-05,0.00085,0.01514,0,3e-05,7e-05,4e-05,7e-05,0.004,0,0.00022,0,0,0.00338,0,7e-05,0,0,0.00166,1e-05,0.00013,0,8e-05,0.00301,0.05294
0.02,0.01011,0.00674,0.00436,0.00969,5e-05,0.00024,0.0181,0.00014,0.00013,0.00079,0,7e-05,0.00018,0.01242,0,0,0,0.00025,9e-05,0.00184,2e-05,2e-05,0.00016,6e-05,0.00083,6e-05,0.00028,4e-05,0.00197,0.00024,5e-05,0,8e-05,7e-05,1e-05,0.01192,0.00671,0.00016,0,8e-05,2e-05,0.00011,0,5e-05,0.00088,0.01135,0,4e-05,8e-05,4e-05,7e-05,0.00375,0,0.00022,0,0,0.00364,0,7e-05,0,0,0.00164,1e-05,0.00013,0,8e-05,0.0025,0.04469
0.04,0.01137,0.00568,0.00489,0.01201,5e-05,0.00017,0.01533,0.00014,0.00013,0.00106,0,7e-05,0.00018,0.0128,0,0,0,0.00026,9e-05,0.00152,3e-05,2e-05,0.00016,6e-05,0.00098,6e-05,0.00028,5e-05,0.00261,0,6e-05,0,9e-05,7e-05,1e-05,0.01332,0.00539,0.00016,0,8e-05,2e-05,0.00012,0,5e-05,0.00089,0.00771,0,4e-05,8e-05,4e-05,7e-05,0.0035,0,0.00023,0,0,0.00391,0,7e-05,0,0,0.00165,1e-05,0.00014,0,8e-05,0.002,0.0367
0.06,0.01255,0.00468,0.00544,0.01429,4e-05,8e-05,0.01266,0.00014,0.00013,0.0013,0,7e-05,0.00019,0.01309,0,0,0,0.00026,9e-05,0.0012,3e-05,2e-05,0.00016,6e-05,0.00113,6e-05,0.00028,5e-05,0.00322,0,6e-05,0,9e-05,7e-05,1e-05,0.01476,0.00411,0.00016,0,8e-05,2e-05,0.00012,0,5e-05,0.00089,0.00427,0,4e-05,8e-05,4e-05,8e-05,0.00326,0,0.00023,0,0,0.00419,2e-05,7e-05,0,0,0.00168,1e-05,0.00014,0,8e-05,0.00152,0.02907
0.08,0.01361,0.00375,0.00601,0.01649,4e-05,0,0.01013,0.00015,0.00013,0.00151,0,7e-05,0.00018,0.01326,0,0,0,0.00026,9e-05,0.00091,3e-05,3e-05,0.00016,6e-05,0.00128,6e-05,0.00028,5e-05,0.00379,0,6e-05,0,9e-05,7e-05,1e-05,0.01623,0.0029,0.00016,0,8e-05,2e-05,0.00012,0,5e-05,0.00088,0.00108,1e-05,4e-05,8e-05,4e-05,8e-05,0.00303,0,0.00023,0,0,0.00448,0.00011,7e-05,0,0,0.00175,1e-05,0.00014,0,8e-05,0.00107,0.02186
0.1,0.01453,0.00289,0.00658,0.01861,4e-05,0,0.00776,0.00014,0.00013,0.00168,0,7e-05,0.00018,0.01332,0,0,0,0.00025,8e-05,0.00063,3e-05,3e-05,0.00016,5e-05,0.00142,6e-05,0.00027,6e-05,0.00433,0,5e-05,0,8e-05,7e-05,1e-05,0.0177,0.00176,0.00015,0,8e-05,2e-05,0.00012,0,5e-05,0.00085,0,0.00016,3e-05,8e-05,4e-05,7e-05,0.00281,0,0.00022,0,0,0.00478,0.0002,7e-05,0,0,0.00184,1e-05,0.00013,0,8e-05,0.00065,0.01514
0.12,0.0153,0.00211,0.00715,0.02061,4e-05,0,0.00557,0.00014,0.00012,0.00181,0,6e-05,0.00017,0.01326,0,0,0,0.00023,8e-05,0.00038,3e-05,3e-05,0.00015,5e-05,0.00154,6e-05,0.00026,6e-05,0.00481,0,5e-05,0,8e-05,7e-05,1e-05,0.01915,0.00071,0.00014,0,7e-05,2e-05,0.00012,0,5e-05,0.0008,0,0.00026,3e-05,7e-05,3e-05,7e-05,0.0026,0,0.00021,0,0,0.00507,0.0003,7e-05,0,0,0.00195,1e-05,0.00013,0,8e-05,0.00027,0.00898
0.14,0.01589,0.00142,0.00771,0.02249,3e-05,0,0.00357,0.00013,0.00011,0.00189,0,6e-05,0.00015,0.01307,0,0,0,0.00021,7e-05,0.00015,2e-05,4e-05,0.00014,5e-05,0.00166,5e-05,0.00023,6e-05,0.00525,0,5e-05,0,7e-05,6e-05,1e-05,0.02055,0,0.00013,0,6e-05,2e-05,0.00011,0,4e-05,0.00072,0,0.00032,3e-05,7e-05,3e-05,7e-05,0.00241,0,0.00019,0.0001,0,0.00536,0.00038,6e-05,0,0,0.00209,1e-05,0.00012,1e-05,7e-05,0,0.00344
0.16,0.0163,0.00081,0.00824,0.02424,3e-05,0,0.00178,0.00012,9e-05,0.00194,0,5e-05,0.00013,0.01275,0,0,0,0.00018,6e-05,0,2e-05,4e-05,0.00012,4e-05,0.00175,4e-05,0.0002,6e-05,0.00562,0,4e-05,0,7e-05,5e-05,1e-05,0.02188,0,0.00011,0,6e-05,2e-05,0.00011,0.00952,4e-05,0.00062,0,0.00034,2e-05,6e-05,3e-05,6e-05,0.00222,0,0.00017,0.0006,0,0.00563,0.00047,5e-05,0,0,0.00223,1e-05,0.0001,8e-05,6e-05,0,0
0.18,0.0165,0.00029,0.00873,0.02584,2e-05,0,0.0002,0.00011,8e-05,0.00194,0,4e-05,0.0001,0.01229,0,0,0,0.00015,5e-05,0,2e-05,4e-05,0.0001,3e-05,0.00183,3e-05,0.00016,7e-05,0.00592,0,3e-05,0,6e-05,4e-05,1e-05,0.02308,0,9e-05,0,4e-05,1e-05,0.0001,0.01986,3e-05,0.00049,0,0.00032,2e-05,5e-05,2e-05,5e-05,0.00204,0,0.00013,0.00111,0,0.00587,0.00054,4e-05,0,0,0.00239,1e-05,9e-05,0.00015,5e-05,0,0
