T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.01329,0.00042,0.06914,0,0,0.00591,0,0,0.01978,0.34729,0,0,0.00383,0.21027,0.04259,0.02317,0.0067,0,0.0214,0.10484,0,0,0.09193,0,0,0.01272,0.08217,0,0.03079,0.06683,0,0,0,0.01064,0,0,0,0.01412,0.00224,0,3.86925,0.11802,0,0,0.02587,0.03422,0,0,0,0,0,0.05597,0,0,0.02007,0.02478,0,0.16143,0.06731,0,0,0.01432,0,0,0.17748,0.02442,0.0032
0.02,0,0.01339,0.00039,0.0694,0,0,0.00589,0,0,0.01977,0.34706,0,0,0.00397,0.21053,0.04243,0.02321,0.00668,0,0.02144,0.1048,0,0,0.09189,0,0,0.01295,0.08213,0,0.03083,0.06681,0,0,0,0.0105,0,0,0,0.01407,0.00223,0,3.86495,0.11826,0,0,0.02583,0.03421,0,0,0,0,0,0.05594,0,0,0.02004,0.0247,0,0.1616,0.06648,0,0,0.01431,0,0,0.17757,0.02364,0.00324
0.04,0,0.01352,0.00029,0.06967,0,0,0.00587,0,0,0.01974,0.34686,0,0,0.00411,0.21086,0.04227,0.02328,0.00665,0,0.02149,0.10474,0,0,0.09186,0,0,0.01319,0.08207,0,0.03087,0.06679,0,0,0,0.01033,0,0,0,0.01403,0.00222,0,3.86067,0.11849,0,0,0.02579,0.0342,0,0,0,0,0,0.05591,0,0,0.02,0.02461,0,0.16177,0.06561,0,0,0.01429,0,0,0.17765,0.02284,0.00329
0.06,0,0.01367,0.00014,0.06996,0,0,0.00585,0,0,0.0197,0.34668,0,0,0.00424,0.21124,0.04212,0.02337,0.00662,0,0.02155,0.10467,0,0,0.09183,0,0,0.01342,0.08201,0,0.03092,0.06677,0,0,0,0.01015,0,0,0,0.01402,0.00222,0,3.85668,0.1187,0,0,0.02576,0.03417,0,0,0,0,0,0.05587,0,0,0.01997,0.02451,0,0.16192,0.06469,0,0,0.01428,0,0,0.17771,0.02203,0.00333
0.08,0,0.01384,0.00014,0.07028,0,0,0.00583,0,0,0.01966,0.34643,0,0,0.00441,0.2117,0.04192,0.02347,0.00658,0,0.02162,0.10462,0,0,0.09181,1e-05,0,0.01368,0.08197,0,0.03099,0.06677,1e-05,0,0,0.00996,0,0.00021,0,0.01399,0.0022,0,3.85119,0.11901,0,0,0.02572,0.03415,0,0,0,0,0,0.05583,0,0,0.01994,0.02441,0,0.16207,0.06372,0,0,0.01427,0,0,0.17776,0.02119,0.00338
0.1,0,0.01398,0.00014,0.07057,0,0,0.00583,0,0,0.01959,0.34634,0,0,0.00454,0.21213,0.0418,0.02359,0.00655,0,0.02169,0.10456,0,0,0.09181,1e-05,0,0.0139,0.08189,0,0.03106,0.06678,1e-05,0,0,0.00975,0,0.00049,0,0.01403,0.0022,0,3.84875,0.11912,0,0,0.02572,0.03411,0,0,0,0,0,0.05578,0,0,0.01991,0.0243,0,0.16219,0.0627,0,0,0.01426,0,0,0.17778,0.02035,0.00343
0.12,0,0.01403,0.00014,0.07069,0,0,0.00587,0,0,0.01947,0.34669,0,0,0.00447,0.2124,0.04194,0.02379,0.00653,0,0.02176,0.10448,0,0,0.09183,1e-05,0,0.01402,0.08172,0,0.03114,0.06683,1e-05,0,0,0.0095,0,0.00084,0,0.01424,0.00226,0,3.85607,0.1187,0,0,0.02577,0.03404,0,0,0,0,0,0.05573,0,0,0.01988,0.02419,0,0.1623,0.06163,0,0,0.01422,0,0,0.17779,0.01952,0.00353
0.14,0,0.01398,0.00013,0.07077,0,0,0.00593,0,0,0.01935,0.34717,0,0,0.00437,0.21257,0.04213,0.02398,0.00651,0,0.02182,0.10441,0,0,0.09187,1e-05,0,0.01411,0.08152,0,0.03123,0.06689,1e-05,0,0,0.00924,0,0.00124,0,0.01451,0.00233,0,3.86635,0.1181,0,0,0.02586,0.03398,0,0,0,0,0,0.05568,0,0,0.01984,0.02408,0,0.1624,0.06051,0,0,0.01417,0,0,0.17777,0.01868,0.00363
0.16,0,0.01386,0,0.07087,0,0,0.00599,0,0,0.01927,0.34756,0,0,0.00432,0.21267,0.04222,0.02412,0.00649,0,0.02186,0.10437,0,0,0.09191,0,0,0.01422,0.08136,0,0.03134,0.06696,0,0,0,0.00903,0,0.00154,0,0.01474,0.00238,0,3.87456,0.11761,0,0,0.02595,0.03394,0,0,0,0,0,0.05564,0,0,0.0198,0.02394,0,0.16249,0.05934,0,0,0.01412,0,0,0.17774,0.01782,0.00373
0.18,0,0.01365,0,0.07091,0,0,0.00604,0,0,0.0192,0.34796,0,0,0.00422,0.2126,0.04237,0.02424,0.00647,0,0.02188,0.10441,0,0,0.09198,0,0,0.01433,0.08123,0,0.03147,0.06705,0,0,0,0.00884,0,0.00198,0,0.015,0.00245,0,3.88659,0.11714,0,0,0.02607,0.03392,0,0,0,0,0,0.0556,0,0,0.01976,0.02381,0,0.16257,0.05813,0,0,0.01406,0,0,0.1777,0.01692,0.00385
0.2,0,0.01331,0,0.07103,0,0,0.00611,0,0,0.0192,0.34829,0,0,0.00422,0.21247,0.04234,0.02426,0.00645,0,0.02187,0.10439,0,0,0.09201,0,0,0.01445,0.08112,0,0.03159,0.06713,0,0,0,0.00869,0,0.00239,0,0.01517,0.00249,0,3.89187,0.11666,0,0,0.02618,0.03393,0,0,0,0,0,0.05559,0,0,0.0197,0.02364,0,0.16264,0.05688,0,0,0.01399,0,0,0.17766,0.01605,0.00393
0.22,0,0.01281,0,0.07146,0,0,0.00622,0,0,0.01938,0.34843,0,0,0.00453,0.21244,0.04181,0.02407,0.00641,0,0.02185,0.10415,0,0,0.09189,0,0,0.0146,0.08102,0,0.03172,0.06717,0,0,0,0.00855,0,0.00274,0,0.0151,0.00247,0,3.87691,0.11611,0,0,0.02624,0.03396,0,0,0,0,0,0.0556,0,0,0.0196,0.02336,0,0.16274,0.05558,0,0,0.0139,0,0,0.17762,0.01532,0.00386
0.24,0,0.01223,0,0.07196,0,0,0.00634,0,0,0.01964,0.34851,0,0,0.00492,0.21234,0.04114,0.02379,0.00636,0,0.0218,0.10386,0,0,0.09173,0,0,0.01477,0.08095,0,0.03184,0.06721,0,0,0,0.00844,0,0.00301,0,0.01492,0.00243,0,3.85527,0.11554,0,0,0.02628,0.03402,0,0,0,0,0,0.05561,0,0,0.01949,0.02303,0,0.16284,0.05423,0,0,0.01379,0,0,0.17757,0.01463,0.00374
0.26,0,0.01161,0,0.07237,0,0,0.00646,0,0,0.01989,0.34862,0,0,0.00523,0.21206,0.04058,0.02352,0.00634,0,0.02174,0.10365,0,0,0.0916,0,0,0.01493,0.0809,0,0.03196,0.06725,0,0,0,0.00837,0,0.00322,0,0.01474,0.00239,0,3.83733,0.115,0,0,0.02631,0.03409,0,0,0,0,0,0.05562,0,0,0.01937,0.02271,0,0.16293,0.05286,0,0,0.01368,0,0,0.17752,0.01387,0.00366
