T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.00058,0.01093,0.00147,0.10342,0.00158,7e-05,-0.04196,-14.96824,1.92438,0.03176,-0.78632,0.00288,-0.01333,0.01469,-0.01379,-0.00903,0.00073,-0.00051,-0.0061,0.0001,-0.05781,-0.00039,5e-05,0.0152,0.00275,0.001,-0.00025,0.6125,0.01659,-0.0096,-0.62746,-0.00477,0.00753,-0.00089
0.02,0.00069,0.01155,0.00175,0.10403,0.00168,6e-05,-0.04039,-15.14492,1.9973,0.03267,-0.79926,0.00288,-0.01302,0.01734,-0.00999,-0.00958,0.00114,-0.00051,-0.00613,5e-05,-0.0607,3e-05,6e-05,0.01578,0.00292,0.00102,-0.00023,0.62719,0.01408,-0.00975,-0.63014,-0.00154,0.00693,-0.00084
0.04,0.00083,0.01227,0.00205,0.10245,0.00181,6e-05,-0.0367,-15.18253,2.02927,0.03352,-0.80362,0.00281,-0.01252,0.01999,-0.00331,-0.01003,0.00171,-0.0005,-0.00613,-2e-05,-0.06385,0.00062,6e-05,0.01628,0.00304,0.00104,-0.00021,0.63581,0.01017,-0.00975,-0.6196,0.00457,0.00594,-0.00078
0.06,0.00099,0.01315,0.00235,0.09866,0.00195,5e-05,-0.03053,-15.13558,2.01736,0.03453,-0.80075,0.00267,-0.01188,0.02228,0.00686,-0.01032,0.00244,-0.0005,-0.00616,-0.00011,-0.06747,0.00137,8e-05,0.01675,0.0031,0.00106,-0.00018,0.63925,0.00487,-0.00962,-0.59592,0.01439,0.0046,-0.0007
0.08,0.00116,0.01423,0.00265,0.09265,0.00213,3e-05,-0.02144,-15.05756,1.96303,0.03593,-0.79165,0.00244,-0.01113,0.02367,0.02101,-0.01038,0.00332,-0.00049,-0.00631,-0.00021,-0.07172,0.00226,0.0001,0.01721,0.00304,0.00108,-0.00015,0.63818,-0.00165,-0.00936,-0.55942,0.02875,0.00296,-0.00062
0.1,0.00131,0.01548,0.00291,0.08447,0.00233,2e-05,-0.00914,-15.00656,1.85654,0.038,-0.77703,0.00214,-0.01035,0.02346,0.03953,-0.01007,0.00434,-0.00048,-0.00665,-0.00032,-0.07666,0.00322,0.00014,0.01766,0.00283,0.00112,-0.00013,0.63269,-0.00912,-0.00898,-0.51059,0.04836,0.00114,-0.00055
0.12,0.00142,0.01684,0.00314,0.0742,0.00256,0,0.00696,-15.03714,1.69089,0.04101,-0.75727,0.00176,-0.00962,0.02084,0.06252,-0.00924,0.00551,-0.00048,-0.00726,-0.00042,-0.08225,0.00419,0.00019,0.0181,0.00241,0.00117,-0.00011,0.62282,-0.01718,-0.00847,-0.45042,0.0738,-0.00074,-0.0005
0.14,0.00148,0.0183,0.00331,0.06183,0.0028,-0,0.02767,-15.18099,1.47561,0.0453,-0.73254,0.00128,-0.00895,0.01501,0.08988,-0.00776,0.00676,-0.00048,-0.00821,-0.00051,-0.08848,0.00513,0.00026,0.01851,0.00174,0.00125,-9e-05,0.60957,-0.02547,-0.00786,-0.38068,0.10537,-0.00256,-0.00047
0.16,0.00152,0.01985,0.00338,0.0474,0.00303,1e-05,0.05354,-15.45609,1.21673,0.05118,-0.70289,0.00069,-0.00834,0.00533,0.12109,-0.00551,0.008,-0.00049,-0.00955,-0.00059,-0.09531,0.00599,0.00035,0.01887,0.00079,0.00134,-8e-05,0.59466,-0.0337,-0.00717,-0.30393,0.143,-0.00427,-0.00043
0.18,0.00155,0.02142,0.00325,0.03112,0.00325,3e-05,0.08438,-15.87194,0.91412,0.05887,-0.66833,-2e-05,-0.00782,-0.00867,0.15492,-0.00238,0.00916,-0.0005,-0.01129,-0.00066,-0.10265,0.00678,0.00044,0.01917,-0.00043,0.00145,-6e-05,0.58041,-0.04159,-0.00642,-0.22407,0.18586,-0.00581,-0.0004
0.2,0.00159,0.02282,0.00282,0.01342,0.00341,6e-05,0.12152,-16.39881,0.56022,0.06867,-0.62957,-0.00084,-0.00743,-0.02723,0.1895,0.00166,0.01014,-0.00051,-0.01337,-0.00073,-0.11023,0.00749,0.00054,0.01934,-0.00189,0.00155,-4e-05,0.56994,-0.0488,-0.00566,-0.14667,0.23226,-0.00717,-0.00037
0.22,0.00165,0.02383,0.00202,-0.00518,0.00347,0.00012,0.16876,-16.98948,0.16302,0.08099,-0.58745,-0.00172,-0.00717,-0.05041,0.22237,0.00671,0.01082,-0.00051,-0.01573,-0.00081,-0.11774,0.00815,0.00062,0.01935,-0.00354,0.00163,-1e-05,0.56669,-0.05501,-0.00491,-0.07812,0.27998,-0.00835,-0.00034
0.24,0.00178,0.02434,0.00096,-0.02422,0.00339,0.00018,0.22571,-17.61908,-0.25806,0.09609,-0.54224,-0.00259,-0.00706,-0.07876,0.25024,0.0129,0.011,-0.00051,-0.01838,-0.00089,-0.12496,0.00874,0.00069,0.01915,-0.00532,0.00167,3e-05,0.57376,-0.0599,-0.00423,-0.02374,0.32704,-0.00932,-0.00031
0.26,0.00205,0.02432,-2e-05,-0.04329,0.00313,0.00023,0.28969,-18.25938,-0.70143,0.11437,-0.49445,-0.00333,-0.00711,-0.11345,0.26942,0.02044,0.01048,-0.0005,-0.02137,-0.00098,-0.13175,0.00924,0.00073,0.01869,-0.00722,0.00167,7e-05,0.5931,-0.06321,-0.00362,0.01368,0.37196,-0.0101,-0.00027
0.28,0.00255,0.0237,-0.0002,-0.06189,0.00265,0.00026,0.35981,-18.86287,-1.1723,0.13636,-0.44522,-0.0038,-0.00729,-0.15582,0.27615,0.02957,0.00909,-0.0005,-0.02478,-0.00108,-0.13796,0.0096,0.00075,0.01793,-0.00918,0.00164,0.0001,0.62512,-0.06479,-0.0031,0.03365,0.41354,-0.01066,-0.00022
0.3,0.00334,0.02232,0.00149,-0.07938,0.00196,0.00025,0.44098,-19.34391,-1.65321,0.16299,-0.39715,-0.00378,-0.00762,-0.20712,0.26665,0.04075,0.00651,-0.0005,-0.0287,-0.00118,-0.14338,0.00978,0.00074,0.01686,-0.01116,0.00158,0.00013,0.66838,-0.06451,-0.00268,0.03747,0.45059,-0.011,-0.00018
0.32,0.00452,0.02004,0.00636,-0.0949,0.0011,0.0002,0.54108,-19.60586,-2.10113,0.19557,-0.35276,-0.003,-0.00812,-0.26853,0.23665,0.05477,0.00259,-0.00051,-0.03324,-0.00125,-0.1478,0.00968,0.00071,0.01546,-0.01311,0.00151,0.00014,0.72039,-0.06226,-0.00235,0.02755,0.48206,-0.01112,-0.00013
0.34,0.00624,0.01713,0.01594,-0.10725,0.00027,9e-05,0.65494,-19.6123,-2.5148,0.23504,-0.31236,-0.00132,-0.00872,-0.34128,0.18073,0.07215,-0.00238,-0.00054,-0.03853,-0.00128,-0.15121,0.00923,0.00068,0.01375,-0.015,0.00145,0.00014,0.77918,-0.05802,-0.00213,0.00678,0.50762,-0.01104,-8e-05
0.36,0.00874,0.014,0.03177,-0.11493,-0.00031,-6e-05,0.77316,-19.34163,-2.91761,0.2827,-0.27524,0.00127,-0.00936,-0.42637,0.09317,0.09328,-0.00813,-0.00056,-0.04474,-0.00125,-0.15375,0.0084,0.00064,0.01178,-0.01687,0.0014,0.00015,0.84297,-0.05186,-0.00201,-0.02184,0.52795,-0.01081,-4e-05
0.38,0.01222,0.01089,0.05501,-0.11607,-0.00037,-0.00025,0.89093,-18.75962,-3.31494,0.34075,-0.24014,0.0046,-0.01002,-0.52386,-0.0313,0.11874,-0.01428,-0.00056,-0.05199,-0.00113,-0.15564,0.0072,0.00062,0.00965,-0.01873,0.00138,0.00016,0.9094,-0.04406,-0.00201,-0.05512,0.54458,-0.01056,-1e-05
0.4,0.01639,0.00805,0.08572,-0.10863,0.00031,-0.00043,1.01431,-17.8496,-3.64508,0.41178,-0.20464,0.00879,-0.01048,-0.63193,-0.19794,0.15032,-0.01939,-0.00051,-0.06031,-0.0009,-0.15717,0.00565,0.00059,0.0075,-0.02064,0.00138,0.00017,0.97445,-0.03498,-0.00215,-0.08958,0.55969,-0.01044,-1e-05
0.42,0.02047,0.00577,0.12227,-0.09055,0.00173,-0.00056,1.15197,-16.61222,-3.82335,0.49782,-0.16556,0.01412,-0.01041,-0.74544,-0.41367,0.18975,-0.02128,-0.00033,-0.06962,-0.00053,-0.15869,0.00385,0.00056,0.0055,-0.02263,0.00139,0.00019,1.03359,-0.02509,-0.00242,-0.1219,0.57558,-0.01054,-3e-05
0.44,0.02393,0.00424,0.16059,-0.05989,0.00364,-0.0006,1.28305,-15.10952,-3.89326,0.59955,-0.11915,0.01959,-0.00988,-0.86042,-0.68531,0.23755,-0.01713,2e-05,-0.07973,-0,-0.16046,0.00189,0.00053,0.00378,-0.02471,0.0014,0.00021,1.08524,-0.01486,-0.00283,-0.1498,0.59393,-0.01103,-8e-05
0.46,0.02632,0.00353,0.19454,-0.01614,0.00548,-0.00054,1.38536,-13.44162,-3.91464,0.71624,-0.06117,0.02425,-0.009,-0.97079,-1.0167,0.29192,-0.00485,0.00064,-0.09032,0.00069,-0.16262,-0.00015,0.0005,0.00241,-0.02686,0.0014,0.00022,1.12943,-0.00456,-0.00332,-0.17253,0.61543,-0.01194,-0.00016
0.48,0.02717,0.00366,0.21791,0.03925,0.0068,-0.00037,1.45638,-11.73359,-3.88927,0.8444,0.01261,0.02838,-0.00762,-1.06152,-1.40257,0.34488,0.01089,0.00161,-0.10089,0.00155,-0.16518,-0.00215,0.00045,0.0014,-0.02898,0.00138,0.00022,1.16614,0.00571,-0.00384,-0.19064,0.63956,-0.0131,-0.00024
0.5,0.02377,0.00416,0.21807,0.10271,0.00537,-7e-05,1.48869,-10.2339,-3.74863,0.98236,0.10604,0.03127,-0.0061,-1.14051,-1.85223,0.40259,0.05338,0.00303,-0.11021,0.00254,-0.16789,-0.00399,0.00037,0.00069,-0.0309,0.00133,0.00021,1.19592,0.0158,-0.00426,-0.2056,0.6645,-0.0144,-0.00032
