T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.0075,0.00232,0.00272,0.00068,0.01783,8e-05,0.00028,0.03308,0,0.00231,0.00074,0,0.00048,0.0048,0,0.00055,0.0003,0.00145,4e-05,0.0002,0,4e-05,0,0.00018,0,0,0,0.00129,0,8e-05,0.00028,0.00012,0.004,0.00016,0.011,0.00058,0,0.00139,6e-05,0,0.36092,0.00015,0.00186,0,0,0.00017,0.00019,1e-05,0,0,0,0.00058,0,0,0.0003,0.0008,6e-05,0.00129,0.00035,0.0002,0.00021,0.00018,3e-05,0,0.00202,0
0.02,0,0,0.00668,0,0.00312,0.00063,0.02357,9e-05,0.00031,0.03711,0,0.00271,0.00084,0,0,0.00593,0,0.0006,0.00033,0.00169,4e-05,0.00018,0,4e-05,0,0.0002,0,0,0,0.00124,0,9e-05,0.0003,0.00013,0.004,0.00013,0.01235,0.00062,0,0.0015,7e-05,0,0.29548,0.00017,0.00201,0,0,0.00018,0.00021,1e-05,0,0,0,0.00064,0,0,0.00028,0.00073,6e-05,0.00129,0.00041,0.00024,0,0.0002,3e-05,7e-05,0.00207,0
0.04,0,0,0.00579,0,0.00355,0.00062,0.02942,0.0001,0.00033,0.04149,0,0.00314,0.00094,0,0,0.00714,0.00293,0.00065,0.00036,0.00199,4e-05,0.00016,0,5e-05,0,0.00022,0,0,0,0.00112,0,0.0001,0.00033,0.00014,0.00399,9e-05,0.01376,0.00067,0,0.00161,8e-05,0,0.22993,0.00019,0.00216,0,0,0.0002,0.00023,1e-05,0,0,0,0.00069,0,0,0.00026,0.00065,7e-05,0.00129,0.00048,0.00029,0,0.00021,4e-05,0.0002,0.0021,0
0.06,0,0,0.00486,0,0.004,0.00063,0.03534,0.00012,0.00036,0.04621,0,0.00359,0.00104,0,0,0.0084,0.00975,0.0007,0.00039,0.00237,5e-05,0.00013,0,5e-05,0,0.00024,0,0,0,0.00092,0,0.00012,0.00036,0.00015,0.00397,3e-05,0.0152,0.00071,0,0.00172,8e-05,0,0.16472,0.00021,0.0023,0,0,0.00022,0.00025,2e-05,0,0,0,0.00075,0,0,0.00022,0.00055,7e-05,0.0013,0.00055,0.00034,0,0.00023,4e-05,0.00028,0.00212,0
0.08,0,0,0.00388,0,0.00446,0.00066,0.04127,0.00013,0.00038,0.05125,0,0.00407,0.00114,0,0,0.00972,0.0177,0.00075,0.00041,0.00283,5e-05,0.0001,0,6e-05,0,0.00026,0,0,0,0.00063,0,0.00013,0.00039,0.00016,0.00392,0,0.01666,0.00075,0,0.00181,9e-05,0,0.1003,0.00022,0.00242,0,0,0.00023,0.00027,2e-05,0,0,0,0.0008,0,0,0.00018,0.00045,8e-05,0.0013,0.00062,0.00039,0,0.00025,4e-05,0.0003,0.00212,0
0.1,0,0,0.00288,0,0.00494,0.00073,0.04715,0.00014,0.0004,0.05659,0,0.00457,0.00125,0,0,0.01108,0.02686,0.00079,0.00044,0.00337,5e-05,5e-05,0,6e-05,0,0.00028,0,0,0,0.00024,0,0.00015,0.00041,0.00017,0.00385,0,0.01812,0.00078,0,0.0019,9e-05,0,0.037,0.00024,0.00253,0,0,0.00025,0.00028,2e-05,0,6e-05,0,0.00085,0,0,0.00013,0.00034,8e-05,0.00131,0.0007,0.00045,0,0.00027,5e-05,0.00026,0.0021,0
0.12,0,0,0.00187,0,0.00543,0.00083,0.05291,0.00016,0.00041,0.06223,0,0.00509,0.00135,0,0,0.01247,0.0373,0.00082,0.00046,0.00398,6e-05,0,0,6e-05,0,0.0003,0,0,0,0,0,0.00016,0.00044,0.00017,0.00374,0,0.01954,0.00081,0,0.00196,0.0001,0,0,0.00026,0.00261,0,0,0.00026,0.0003,2e-05,0,0.00088,0,0.00089,0,5e-05,6e-05,0.00021,8e-05,0.00132,0.00078,0.00051,0,0.00028,5e-05,0.00016,0.00205,0
0.14,0,0,0.00089,0,0.00592,0.00094,0.05847,0.00017,0.00043,0.06811,0.01747,0.00563,0.00145,0,0,0.01389,0.04908,0.00085,0.00047,0.00468,6e-05,0,0,7e-05,0,0.00032,0,0,0,0,0,0.00018,0.00046,0.00018,0.00359,0,0.0209,0.00083,0,0.00201,0.0001,0.00053,0,0.00027,0.00267,0,0,0.00027,0.00031,2e-05,0,0.00179,0,0.00093,0,0.00017,0,7e-05,9e-05,0.00132,0.00086,0.00057,0,0.0003,6e-05,0,0.00197,0
0.16,0.0003,0,0,0,0.0064,0.00108,0.06377,0.00019,0.00043,0.0742,0.04749,0.00617,0.00155,0,0,0.01531,0.06225,0.00087,0.00049,0.00546,6e-05,0,9e-05,7e-05,0,0.00034,0,0,0,0,0,0.00019,0.00047,0.00018,0.00338,0,0.02217,0.00083,0,0.00203,0.00011,0.00121,0,0.00028,0.00269,0,0,0.00028,0.00032,2e-05,0,0.0028,0,0.00096,0,0.00028,0,0,9e-05,0.00133,0.00095,0.00064,0,0.00031,6e-05,0,0.00185,0
0.18,0.0012,0,0,4e-05,0.00686,0.00123,0.0687,0.0002,0.00043,0.08045,0.08028,0.00671,0.00163,0,0,0.01673,0.07686,0.00088,0.00049,0.00631,6e-05,0,0.00019,7e-05,0,0.00035,0,0,0,0,0,0.00021,0.00048,0.00018,0.0031,0,0.0233,0.00082,0,0.00202,0.00011,0.00201,0,0.00029,0.00266,0,0,0.00029,0.00032,2e-05,0,0.0039,0,0.00098,0,0.00038,0,0,9e-05,0.00134,0.00103,0.0007,0,0.00031,6e-05,0,0.00167,0
