T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.03252,0.01082,0.00695,0.07389,0,0.00251,0.00954,0,0,0.03073,0.25861,0,0,0.03001,0.15451,0.01463,0.00808,0,0,0.02761,0,0,0,0,0.05633,0,0,0.34354,0.0738,0.01781,0.33376,0,0,0,0,0,0,0,0.00129,0,0,1,0.29282,0,0,0.01189,0.01746,0,0,0,0,0.00891,0.08374,0,0.06672,0.01886,0.01565,0.01296,0,0.00533,0.00617,0,0,0,0,0.26482,0.03537,0.01874
0.02,0.03252,0.01074,0.00721,0.07611,0,0.00246,0.0093,0,0,0.03097,0.25631,0,0,0.03003,0.15476,0.01455,0.00811,0,0,0.02763,0,0,0,0,0.05634,0,0,0.343,0.07359,0.0176,0.33358,0,0,0,0,0,0,0,0.00124,0,0,1,0.30374,0,0,0.01132,0.0169,0,0,0,0,0.00887,0.08366,0,0.06663,0.01884,0.01567,0.01298,0,0.00531,0.00623,0,0,0,0,0.26482,0.03565,0.01894
0.04,0.03249,0.01066,0.00743,0.07994,0,0.00237,0.00906,0,0,0.03123,0.2543,0,0,0.03,0.15518,0.01446,0.00814,0,0,0.02764,0,0,0,0,0.05635,0,0,0.34242,0.07336,0.01741,0.33342,0,0,0,0,0,0,0,0.00117,0,0,1,0.31298,0,0,0.01073,0.01637,0,0,0,0,0.00883,0.08358,0,0.06656,0.01882,0.01568,0.01299,0,0.00529,0.00629,0,0,0,0,0.26482,0.03594,0.01916
0.06,0.03244,0.01059,0.0076,0.0836,0,0.00224,0.00888,0,0,0.0315,0.25253,0,0,0.02993,0.15552,0.01437,0.00818,0,0,0.02766,0,0,0,0,0.05636,0,0,0.34182,0.07312,0.01724,0.33329,0,0,0,0,0,0,0,0.0011,0,0,1,0.32031,0,0,0.01013,0.01586,0,0,0,0,0.00879,0.08349,0,0.0665,0.01881,0.01569,0.01301,0,0.00529,0.00635,0,0,0,0,0.26483,0.03623,0.0194
0.08,0.03235,0.01053,0.00769,0.08671,0,0.00209,0.00879,0,0,0.03179,0.25099,0,0,0.02984,0.15591,0.01429,0.00824,0,0,0.02769,0,0,0,0,0.05637,0,0,0.34124,0.07281,0.01707,0.33321,0,0,0,0,0,0,0,0.00101,0,0,1,0.3257,0,0,0.00949,0.01534,0,0,0,0,0.00876,0.08334,0,0.06645,0.0188,0.0157,0.01302,0,0.00528,0.00641,0,0,0,0,0.26485,0.03656,0.01964
0.1,0.03225,0.01047,0.00764,0.08914,0,0.00192,0.00888,0,0,0.03209,0.24964,0,0,0.0297,0.15645,0.01424,0.00825,0,0,0.0277,0,0,0,0,0.05637,0,0,0.34055,0.0725,0.01692,0.33311,0,0,0,0,0,0,0,0.00095,0,0,1,0.32831,0,0,0.00885,0.01486,0,0,0,0,0.00871,0.08317,0,0.06639,0.01879,0.0157,0.01304,0,0.00528,0.00648,0,0,0,0,0.2649,0.03682,0.01991
0.12,0.03212,0.01043,0.00753,0.08989,0,0.00173,0.00901,0,0,0.03238,0.24843,0,0,0.02951,0.15723,0.01425,0.0081,0,0,0.02767,0,0,0,0,0.05637,0,0,0.33964,0.07225,0.01675,0.33294,0,0,0,0,0,0,0,0.00097,0,0,1,0.3277,0,0,0.00829,0.01449,0,0,0,0,0.00862,0.08305,0,0.06631,0.0188,0.01568,0.01306,0,0.00531,0.00654,0,0,0,0,0.26497,0.03691,0.02026
0.14,0.03198,0.01037,0.00737,0.08901,0,0.00152,0.00929,0,0,0.0327,0.24745,0,0,0.02928,0.15812,0.01433,0.00789,0,0,0.02761,0,0,0,0,0.05637,0,0,0.33863,0.07202,0.01659,0.33274,0,0,0,0,0,0,0,0.00102,0,0,1,0.32373,0,0,0.00771,0.01414,0,0,0,0,0.00851,0.08287,0,0.06622,0.01881,0.01566,0.01307,0,0.00535,0.00661,0,0,0,0,0.26504,0.03692,0.02062
0.16,0.0318,0.01027,0.00716,0.08678,0,0.00136,0.00977,0,0,0.03309,0.24679,0,0,0.029,0.15896,0.01446,0.0077,0,0,0.02756,0,0,0,0,0.05637,0,0,0.33766,0.07177,0.01643,0.33256,0,0,0,0,0,0,0,0.00103,0,0,1,0.3168,0,0,0.00705,0.01375,0,0,0,0,0.00841,0.08253,0,0.06614,0.01883,0.01562,0.01309,0,0.00538,0.00667,0,0,0,0,0.26512,0.03696,0.02096
0.18,0.03157,0.01013,0.00689,0.08329,0,0.00124,0.01036,0,0,0.03355,0.24634,0,0,0.02846,0.15969,0.01466,0.00747,0,0,0.02748,0,0,0,0,0.05635,0,0,0.33672,0.07151,0.01626,0.33243,0,0,0,0,0,0,0,0.00104,0,0,1,0.30863,0,0,0.00631,0.01335,0,0,0,0,0.00831,0.08211,0,0.06607,0.01885,0.01559,0.0131,0,0.0054,0.00674,0,0,0,0,0.26522,0.03699,0.02136
0.2,0.03132,0.00984,0.00654,0.07954,0,0.00115,0.01126,0,0,0.03414,0.24634,0,0,0.02772,0.16025,0.01488,0.00726,0,0,0.0274,0,0,0,0,0.05631,0,0,0.33573,0.07127,0.01611,0.33223,0,0,0,0,0,0,0,0.00097,0,0,1,0.29501,0,0,0.00542,0.01293,0,0,0,0,0.00822,0.08148,0,0.06598,0.01888,0.01554,0.01312,0,0.00543,0.00681,0,0,0,0,0.26537,0.03699,0.02165
0.22,0.0311,0.00927,0.00603,0.07597,0,0.0011,0.01276,0,0,0.03496,0.247,0,0,0.02683,0.16054,0.01499,0.00714,0,0,0.02735,0,0,0,0,0.05625,0,0,0.33464,0.07107,0.01598,0.33182,0,0,0,0,0,0,0,0.00072,0,0,1,0.27226,0,0,0.00429,0.01245,0,0,0,0,0.00817,0.08048,0,0.06581,0.01892,0.01544,0.01313,0,0.00546,0.00691,0,0,0,0,0.26558,0.03691,0.02159
0.24,0.03082,0.00849,0.00521,0.07273,0,0.00107,0.01463,0,0,0.03595,0.24809,0,0,0.02585,0.16035,0.01509,0.00707,0,0,0.02732,0,0,0,0,0.05618,0,0,0.33352,0.07089,0.01585,0.33131,0,0,0,0,0,0,0,0.00033,0,0,1,0.24025,0,0,0.00304,0.01196,0,0,0,0,0.00815,0.07927,0,0.06562,0.01897,0.01534,0.01313,0,0.0055,0.00703,0,0,0,0,0.26584,0.0368,0.02143
0.26,0.03039,0.00761,0.00408,0.07127,0.00028,0.00118,0.01669,1e-05,8e-05,0.03715,0.24971,0.00014,0.00047,0.02494,0.15959,0.01531,0.00712,0.00055,0.00017,0.02767,3e-05,2e-05,0.00027,2e-05,0.05622,0.00014,0.00051,0.33248,0.07077,0.01587,0.33078,4e-05,0.00018,0.00014,2e-05,2e-05,5e-05,7e-05,0.0004,0.00021,3e-05,1,0.22067,7e-05,0.00069,0.00214,0.01183,5e-05,0.00014,6e-05,0.0001,0.00861,0.07844,0.00043,0.06548,0.01905,0.0154,0.01317,3e-05,0.00567,0.00727,2e-05,6e-05,0.00029,2e-05,0.26612,0.03678,0.02185
0.28,0.02977,0.00655,0.00239,0.07072,0.00057,0.00115,0.01881,1e-05,0.00012,0.03845,0.25116,0.00013,0.00043,0.02399,0.15777,0.01537,0.00713,0.00049,0.00015,0.02765,2e-05,2e-05,0.00024,2e-05,0.05615,0.00012,0.00045,0.33151,0.07061,0.01571,0.33021,6e-05,0.00016,0.00013,1e-05,2e-05,4e-05,7e-05,0.00041,0.0002,3e-05,1,0.20927,7e-05,0.00059,0.00074,0.01134,4e-05,0.00011,5e-05,9e-05,0.00863,0.07683,0.00038,0.06528,0.01911,0.01528,0.01317,3e-05,0.00568,0.00737,1e-05,5e-05,0.00026,2e-05,0.26646,0.0366,0.02159
