T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00944,0.23678,0,0,0.00883,0,0,0.02451,0.3654,0,0,0.01844,0.13717,0.01556,0.02467,0,0,0.02871,0,0,0,0,0.054,0,0,0.25235,0.07813,0.00148,0.34029,0,0,0,0.01569,0.00209,0,0,0.01646,0.00114,0,1,0.131,0,0,0.04343,0.04026,0,0,0,0,0.00438,0.09434,0,0.06,0.00253,0.00614,0.01802,0,0.01144,0.01151,0,0,0,0,0.34667,0.14126,0.01026
0.02,2e-05,0,0.00967,0.23753,5e-05,9e-05,0.00967,4e-05,5e-05,0.02451,0.36606,5e-05,5e-05,0.01855,0.13825,0.01549,0.02432,5e-05,3e-05,0.02862,1e-05,0,1e-05,2e-05,0.05417,2e-05,2e-05,0.25359,0.07657,0.00168,0.34089,8e-05,5e-05,2e-05,0.01591,0.00308,1e-05,6e-05,0.01726,0.00136,2e-05,1,0.12573,2e-05,0.00014,0.04346,0.04033,1e-05,6e-05,2e-05,3e-05,0.00429,0.0945,5e-05,0.06071,0.00233,0.00656,0.01812,1e-05,0.01145,0.01146,1e-05,0,2e-05,1e-05,0.34666,0.14054,0.01065
0.04,2e-05,1e-05,0.00978,0.2374,0.0001,0.0002,0.01033,3e-05,6e-05,0.0246,0.36701,0.0001,0.0002,0.01896,0.13914,0.01543,0.02388,6e-05,5e-05,0.02855,1e-05,0,9e-05,2e-05,0.05428,3e-05,4e-05,0.25481,0.07501,0.00186,0.34148,8e-05,8e-05,3e-05,0.01617,0.00422,1e-05,7e-05,0.01815,0.00165,2e-05,1,0.12094,3e-05,0.00019,0.0435,0.0405,9e-05,0.00013,0.00012,4e-05,0.00417,0.09459,0.00014,0.06142,0.00213,0.00705,0.0182,1e-05,0.01147,0.01143,2e-05,2e-05,4e-05,1e-05,0.34661,0.13974,0.01104
0.06,0,0,0.00969,0.23639,1e-05,8e-05,0.01079,0,0,0.02471,0.36821,1e-05,1e-05,0.01943,0.13971,0.01519,0.02334,2e-05,0,0.02822,0,0,0,0,0.05434,0,1e-05,0.25599,0.07342,0.00197,0.34207,0,0,0,0.01652,0.00547,0,0,0.01901,0.00185,0,1,0.11655,0,2e-05,0.04316,0.04041,0.00014,0,0,0,0.00401,0.09443,2e-05,0.06207,0.00194,0.00727,0.01824,0,0.01147,0.01139,0,0,0,0,0.34653,0.13876,0.01135
0.08,1e-05,1e-05,0.00931,0.23512,8e-05,0.00018,0.01123,0.00015,6e-05,0.02496,0.37032,9e-05,0.00016,0.01984,0.14006,0.01503,0.02278,0.00036,0.00011,0.02837,1e-05,1e-05,4e-05,1e-05,0.05457,8e-05,0.00011,0.25721,0.07159,0.00219,0.34266,0.00012,5e-05,2e-05,0.01709,0.00677,1e-05,3e-05,0.02005,0.00223,1e-05,1,0.11243,2e-05,0.00028,0.04324,0.04068,0.00016,0.00022,6e-05,3e-05,0.00426,0.09458,0.00034,0.06275,0.00176,0.00769,0.01834,4e-05,0.01153,0.01141,4e-05,4e-05,5e-05,5e-05,0.34647,0.13792,0.01179
0.1,1e-05,1e-05,0.00857,0.23341,7e-05,0.00018,0.01152,0.00012,8e-05,0.02535,0.37291,9e-05,0.00016,0.02026,0.13978,0.01477,0.02227,0.00037,0.00011,0.02812,1e-05,1e-05,4e-05,2e-05,0.05464,8e-05,0.00011,0.25838,0.07027,0.00237,0.34331,0.00013,8e-05,0.0001,0.01785,0.0081,2e-05,5e-05,0.021,0.00256,4e-05,1,0.109,0.0001,0.00028,0.0431,0.04089,0.00016,0.00026,6e-05,6e-05,0.00418,0.09429,0.00031,0.06331,0.00166,0.0079,0.01842,4e-05,0.01157,0.01144,4e-05,4e-05,0.00018,6e-05,0.34642,0.13674,0.01206
0.12,0,0,0.0074,0.23125,0,0,0.01148,0,0,0.02565,0.3762,0,0,0.02067,0.13846,0.01435,0.02192,0,0,0.02756,0,0,0,0,0.05453,0,0,0.25947,0.07043,0.00203,0.34417,0,0,0,0.01879,0.00937,0,0,0.0217,0.00274,0,1,0.10671,0,0,0.04275,0.04102,5e-05,0,0,0,0.00377,0.09348,0,0.06363,0.00171,0.00776,0.01847,0,0.01162,0.01165,0,0,0,0,0.34647,0.13457,0.01161
0.14,0,0,0.00573,0.22854,0,0,0.01149,0,0,0.02616,0.3807,0,0,0.02101,0.13623,0.01389,0.02177,0,0,0.02738,0,0,0,0,0.05453,0,0,0.26058,0.07113,0.00174,0.34516,0,0,0,0.02007,0.01049,0,0,0.02326,0.00308,0,1,0.10491,1e-05,0,0.04258,0.04138,1e-05,0,0,0,0.0038,0.09274,0,0.06384,0.00188,0.00752,0.01854,0,0.01175,0.01201,0,0,0,0,0.34662,0.13212,0.01102
0.16,0,0,0.00348,0.22453,1e-05,1e-05,0.01166,0,0,0.02686,0.38619,0,0,0.02099,0.13298,0.01341,0.02167,0,0,0.02726,0,0,0,0,0.05456,1e-05,0,0.2617,0.07155,0.00156,0.3461,0,0,0,0.02182,0.01132,0,0,0.02499,0.00355,0,1,0.10284,2e-05,0,0.04235,0.04184,1e-05,0,0,0,0.00386,0.09178,2e-05,0.06402,0.0021,0.00727,0.0186,0,0.01185,0.01231,0,0,0,0,0.34675,0.12966,0.01052
0.18,0,0,0.0007,0.21876,0,0,0.01202,0,0,0.0277,0.39293,0,0,0.02061,0.12839,0.01286,0.02178,0,0,0.02716,0,0,0,0,0.05457,0,0,0.26284,0.0719,0.00149,0.34705,0,0,0,0.0241,0.01183,0,0,0.0262,0.00392,0,1,0.10039,0,0,0.04201,0.04236,0,0,0,0,0.00397,0.09056,0,0.06417,0.00237,0.00691,0.01868,0,0.01195,0.01263,0,0,0,0,0.34686,0.12665,0.00997
0.2,0,0,0.00039,0.21037,0,0,0.01255,0,0,0.02872,0.40111,0,0,0.01982,0.12241,0.01226,0.02205,0,0,0.02715,0,0,0,0,0.05461,0,0,0.26396,0.07239,0.00137,0.34796,0,0,0,0.02681,0.01187,0.00269,0,0.02661,0.00417,0,1,0.09792,0,0,0.04157,0.04293,0,0,0,0,0.00417,0.08914,0,0.0642,0.00274,0.00642,0.01877,0,0.01203,0.01287,0,0,0,0,0.34701,0.12423,0.0095
0.22,0,0,0.00032,0.19848,1e-05,0,0.01314,0,0,0.0301,0.41065,0,0,0.01861,0.11507,0.01164,0.02256,0,0,0.02723,0,0,0,0,0.05465,0,1e-05,0.26509,0.07323,0.00098,0.34872,0,0,2e-05,0.02983,0.01134,0.00575,0,0.02593,0.00421,0,1,0.096,1e-05,0,0.04103,0.04354,0,0,2e-05,3e-05,0.00446,0.08757,0,0.06402,0.00323,0.00576,0.01886,0,0.01207,0.01293,0,0,0,0,0.34723,0.12421,0.00921
0.24,1e-05,1e-05,0.00024,0.18369,0.0001,0.0001,0.014,8e-05,5e-05,0.03212,0.42179,7e-05,0.00017,0.01757,0.10624,0.01105,0.02361,0.00014,9e-05,0.02755,2e-05,1e-05,4e-05,1e-05,0.05474,5e-05,9e-05,0.26622,0.07422,0.00058,0.34943,0.00014,7e-05,0.00011,0.03323,0.01023,0.00873,5e-05,0.02426,0.00414,3e-05,1,0.09387,6e-05,0.00019,0.04052,0.04426,3e-05,0.00022,0.0001,0.00012,0.00499,0.08617,0.00015,0.06376,0.00383,0.00501,0.01897,1e-05,0.01214,0.01298,4e-05,2e-05,4e-05,3e-05,0.34753,0.12506,0.00905
0.26,0,0,0.00014,0.16641,0,0,0.01514,0,0,0.03448,0.43356,0,0,0.01669,0.09711,0.01053,0.02513,0,0,0.02756,0,0,0,0,0.05478,0,0,0.26728,0.07504,0.00027,0.35006,0,0,0,0.03725,0.00849,0.01142,0,0.02127,0.0035,0,1,0.09091,0,0,0.03947,0.04461,0,0,0,0,0.00532,0.08431,0,0.06356,0.00447,0.00402,0.01906,0,0.01214,0.01295,0,0,0,0,0.34772,0.12547,0.00877
