T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.09261,0.0027,-0.12688,0.20719,-0.0162,-0.00092,0.14767,1.96072,-2.02708,0.00439,0.03337,-0.00487,0.00154,-0.01039,0.6696,-0.08262,-0.01013,-0.00187,-0.00145,-0.00153,0.3269,0.00108,0.01021,-0.03068,0.04518,-0.0003,-0.00164,-0.7163,0.05913,-0.00141,-0.11407,-0.12516,0.08666,0.01297
0.02,-0.0955,0.00333,-0.1247,0.21277,-0.01591,-0.001,0.15978,1.90458,-1.94158,-0.00013,0.03832,-0.00525,0.00141,0.00628,0.71232,-0.09624,-0.0098,-0.00179,-0.00186,-0.00147,0.33088,0.00098,0.01025,-0.03047,0.04466,0.00016,-0.00042,-0.74473,0.05162,-0.00148,-0.11084,-0.15051,0.09044,0.01369
0.04,-0.0971,0.00322,-0.11638,0.21654,-0.01478,-0.00105,0.16639,1.76637,-1.82228,-0.00591,0.04719,-0.00569,0.00125,0.02747,0.75313,-0.11167,-0.00907,-0.00166,-0.00241,-0.00135,0.3279,0.00088,0.00973,-0.02926,0.04305,0.00078,0.00119,-0.76806,0.04061,-0.00142,-0.10497,-0.18464,0.09314,0.01412
0.06,-0.09768,0.00183,-0.1018,0.21901,-0.0127,-0.00103,0.16752,1.54839,-1.67847,-0.01272,0.06107,-0.00616,0.00108,0.05178,0.79154,-0.12775,-0.00821,-0.00152,-0.00313,-0.00119,0.31814,0.00079,0.00863,-0.02704,0.04049,0.00152,0.0031,-0.78781,0.0264,-0.00125,-0.09608,-0.22784,0.09433,0.01416
0.08,-0.09765,-0.0013,-0.08183,0.22056,-0.00969,-0.00091,0.16473,1.25913,-1.5172,-0.02018,0.08095,-0.00663,0.00094,0.07664,0.82599,-0.14268,-0.0076,-0.00135,-0.00404,-0.00101,0.30225,0.00071,0.00703,-0.02385,0.03719,0.00232,0.00511,-0.80518,0.00953,-0.00103,-0.08379,-0.2793,0.09349,0.01384
0.1,-0.09676,-0.0063,-0.05927,0.22157,-0.00583,-0.00067,0.15746,0.91055,-1.35733,-0.02757,0.10773,-0.00705,0.00088,0.09917,0.85201,-0.15347,-0.00766,-0.00119,-0.00512,-0.00083,0.28066,0.00068,0.00498,-0.01974,0.03342,0.00309,0.00702,-0.82061,-0.00896,-0.00072,-0.06793,-0.33698,0.08959,0.01272
0.12,-0.09461,-0.01295,-0.03747,0.22213,-0.00144,-0.00033,0.14632,0.51326,-1.21528,-0.03379,0.14241,-0.00738,0.00095,0.11683,0.86285,-0.15665,-0.00864,-0.00106,-0.00634,-0.00066,0.25399,0.00075,0.00274,-0.01479,0.0295,0.00376,0.00874,-0.83355,-0.02875,-0.00039,-0.04933,-0.39829,0.08149,0.01042
0.14,-0.09124,-0.02059,-0.01912,0.22152,0.00305,9e-05,0.13621,0.06546,-1.09172,-0.03754,0.18634,-0.00759,0.00122,0.12522,0.85256,-0.15063,-0.01016,-0.00094,-0.00761,-0.00052,0.22335,0.00091,0.00073,-0.00896,0.02577,0.00425,0.00999,-0.84233,-0.04937,-0.00018,-0.03074,-0.46118,0.06894,0.0075
0.16,-0.08605,-0.02822,-0.00644,0.2184,0.00727,0.00055,0.13074,-0.45716,-0.99022,-0.03712,0.24128,-0.00767,0.00172,0.1206,0.81394,-0.13496,-0.0111,-0.00084,-0.00879,-0.00041,0.18917,0.00115,-0.00087,-0.00206,0.02251,0.00451,0.01053,-0.84357,-0.06952,-0.00011,-0.01784,-0.52476,0.05185,0.00429
0.18,-0.07751,-0.03485,-0.00046,0.21117,0.01087,0.001,0.13178,-1.09871,-0.92002,-0.03024,0.30918,-0.0077,0.00248,0.10186,0.73752,-0.10992,-0.00959,-0.00076,-0.0097,-0.00033,0.15122,0.00147,-0.00201,0.00618,0.01995,0.00458,0.01047,-0.83194,-0.08815,-0.00014,-0.01959,-0.58897,0.03018,0.00086
