T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.0255,0,0.05208,0.01079,0,0,0,0,0.03994,0,0,0,0.00438,0,0,0.04246,0,0,0,0,0,0.00137,0,0,0.07105,0.01156,0.00544,0,0.00813,0,0,0.02414,0,0.01832,0,0.01005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00043,0.00144,0,0.00015,0.04672,0,0,0,0.00915,0,0,0.03496,0,0.00305
0.02,0,0.03015,0,0.04802,0.01393,0,0,0,0,0.04417,0,0,0,0.00827,0,0,0.0479,0,0,0,0,0,0.00234,0,0,0.09381,0.01655,0.00695,0,0.01147,0,0,0.03567,0,0.02205,0,0.00983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00045,0,0,0.00057,0.00039,0,0.00026,0.05095,0,0,0,0.00922,0,0,0.03798,0,0.00429
0.04,0,0.03421,0.00055,0.04404,0.01647,0,0,0,0,0.04845,0.00219,0,0,0.01269,0,0,0.05341,0,0,0,0,0,0.00339,0,0,0.11907,0.02176,0.00894,0,0.01472,0,0,0.04858,0,0.02522,0,0.00947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233,0,0,0.00071,0,0,0.00036,0.05564,0,0,0,0.00926,0,0,0.04118,0,0.00581
0.06,0,0.03757,0.00292,0.04019,0.01833,0,0.0008,0,0,0.05274,0.00482,0,0,0.01767,0,0,0.05893,0,0,0,0,0,0.0045,0,0,0.14692,0.02716,0.01145,0,0.01784,0,0,0.06291,0,0.02774,0,0.00894,0,0,0,0,0,0,0,0,0,0.00011,0,0,0,0,0.00418,0,0,0.00085,0,0,0.00046,0.0608,0,0,0,0.00924,0,0,0.04456,0,0.00763
0.08,0,0.04014,0.00566,0.03652,0.01943,0.0002,0.00262,0,0,0.057,0.00764,0,0,0.02322,0,0,0.0644,0,0,0,0,0,0.0057,0,0,0.17738,0.03273,0.01451,0,0.02079,0,0,0.07872,0,0.02951,0,0.00824,0,0,0,0,0,0,0,0,0,0.0011,0,0,0,0,0.00598,0,0,0.00099,0,0,0.00055,0.06642,0,0,0,0.00917,0,0,0.04809,0,0.00976
0.1,0,0.04181,0.0088,0.03311,0.01972,0.0004,0.00516,0,0,0.06116,0.01065,0,0,0.02938,0.08586,0,0.06975,0,0,0,0,0,0.00696,0,4e-05,0.21047,0.03841,0.01815,0,0.02353,0,0,0.09602,0,0.03044,0,0.00736,0,0,0,0,0,0,0,0,0,0.00213,0,0,0,0,0.00774,0,0,0.00113,0,0,0.00064,0.07249,0,0,0,0.00904,0,0,0.05175,0,0.01222
0.12,0,0.04251,0.01235,0.03001,0.01915,0.00041,0.00849,0,0,0.06519,0.01386,0,0,0.03615,0,0,0.07488,0,0,0.0003,0,1e-05,0.0083,0,8e-05,0.24615,0.04417,0.02238,0,0.02601,0,0,0.11482,0,0.03044,0,0.00632,0,0,0.00077,0,0,0,0,0,0,0.00321,0,0,0,0,0.00943,0,0,0.00127,0,0,0.00072,0.07898,0,0,0,0.00884,0,0,0.05552,0.06587,0.01502
0.14,0,0.04215,0.01634,0.0273,0.01769,0.00022,0.0127,0,0,0.06902,0.01728,0,0,0.04354,0,0,0.07972,0,0,0.00074,0,6e-05,0.00971,0,0.00011,0.28435,0.04992,0.02721,0,0.02818,0,0,0.13513,0,0.02946,0.00104,0.00513,0,0.02361,0.0021,0,0,0,0,0,0,0.00435,0,0,0,0,0.01104,0,0,0.0014,0,0,0.00079,0.08585,0,0,0,0.00857,0,0,0.05936,0,0.01817
0.16,0,0.04068,0.0208,0.02504,0.01534,0,0.01788,0,0,0.07257,0.02091,0,0,0.05153,0,0,0.08415,0,0,0.00107,0,0.00011,0.01118,0,0.00012,0.32492,0.05561,0.03263,0,0.03001,0,1e-05,0.15689,0,0.02742,0.00414,0.00379,0,0.05284,0.00356,0,0,0,0,0,0,0.00556,0,0,0,0,0.01257,0,0,0.00152,0,0,0.00084,0.09306,0,0,0,0.00823,0,0,0.06323,0,0.02167
0.18,0,0.03807,0.02572,0.02328,0.01212,0,0.0241,3e-05,0,0.07578,0.02474,0,0,0.06011,0,0,0.08806,0,0,0.00127,0,0.00015,0.01271,0,0.00011,0.36768,0.06115,0.03861,0,0.03144,0,3e-05,0.18003,0,0.0243,0.00775,0.00234,0,0.08648,0.00515,0,0.37781,0,0,0,0,0.00683,0,0,0,0,0.014,0,0,0.00163,0,0,0.00089,0.10051,0,0,0,0.00783,0,0,0.06709,0,0.02551
0.2,0,0.03431,0.03114,0.02209,0.00809,0,0.03144,7e-05,0,0.07858,0.02878,0,0,0.06925,0,0,0.09134,0,0,0.00135,0,0.00018,0.01429,0,0.0001,0.41234,0.06645,0.04511,0,0.03244,0,4e-05,0.20446,0,0.02007,0.01192,0.00079,0,0.1248,0.00688,0,0,0,0,0,0,0.00818,0,0,0,0,0.01531,0,0,0.00174,0,0,0.00093,0.10814,0,0,0,0.00734,0,0,0.07089,0,0.02967
0.22,0,0.02942,0.03704,0.02151,0.00334,0,0.03998,0.0001,0,0.08087,0.033,0,0,0.0789,0,0,0.09387,0,0,0.00131,0,0.00021,0.0159,0,8e-05,0.45854,0.07141,0.05209,0,0.03297,0,4e-05,0.23001,0,0.01474,0.01668,0,0,0.16806,0.00876,0,0,0,0,0,0,0.0096,0,0,0,0,0.01649,0,0,0.00183,0,0,0.00096,0.11584,0,0,0,0.00679,0,0,0.07457,0,0.03413
0.24,0,0.02345,0.04342,0.02157,0,0,0.04977,0.00012,2e-05,0.08258,0.03739,0,0,0.089,0,0,0.09551,0,0,0.00114,0,0.00023,0.01753,0,6e-05,0.50582,0.07593,0.05944,0,0.03301,0,3e-05,0.2565,0,0.00833,0.02207,0,0,0.21649,0.0108,0,0,0,0,0,0,0.01109,0,5e-05,5e-05,0,0.01754,0,0,0.00191,0,0,0.00097,0.12348,0,0,0,0.00618,0,0,0.07806,0,0.03886
0.26,0,0.01647,0.05027,0.02229,0,0,0.06085,0.00014,6e-05,0.08363,0.04191,0,0,0.09947,0,0,0.09614,0,3e-05,0.00084,0,0.00024,0.01915,0,3e-05,0.5536,0.07988,0.06708,0,0.03252,0,2e-05,0.28368,0,0.0009,0.0281,0,0.00014,0.27031,0.01301,2e-05,0,0,0,0,0,0.01266,0,9e-05,0.0001,0,0.01847,0.00013,0,0.00198,0,0,0.00098,0.13093,0,0,0,0.00551,0.00021,0,0.0813,0,0.04383
0.28,0,0.00861,0.05757,0.02367,0,0,0.07325,0.00016,0.0001,0.08393,0.04654,0,0.00015,0.11024,0,0,0.09565,0,0.0001,0.00041,0,0.00025,0.02075,0,1e-05,0.60118,0.08315,0.07487,0,0.03148,0,1e-05,0.31122,0,0,0.03481,0,0.00027,0.32968,0.01538,4e-05,0,0,0,0,0,0.0143,0,0.00012,0.00014,0,0.01928,0.0067,0.00018,0.00202,0,0,0.00098,0.13805,0,0,0,0.00479,0.00187,0,0.08421,0,0.04899
0.3,0,1e-05,0.06527,0.02569,0,0,0.087,0.00017,0.00013,0.0834,0.05122,0,0.00029,0.12119,0,0,0.09392,0,0.00017,0,0,0.00025,0.02232,0,0,0.64774,0.08563,0.08266,0,0.02988,0,0,0.33877,0,0,0.04219,0,0.00039,0.3947,0.01791,5e-05,0,0,0,0,0.00081,0.01599,2e-05,0.00015,0.00018,0,0.01998,0.01373,0.00035,0.00204,0,0,0.00097,0.14467,0,0,0,0.00405,0.00381,0,0.08671,0,0.05432
0.32,0,0,0.07334,0.02831,0,0,0.10208,0.00019,0.00016,0.08197,0.05589,0,0.00042,0.13222,0,0,0.09086,0,0.00022,0,0,0.00025,0.02386,0,0,0.69232,0.08721,0.09027,0,0.02772,0,0,0.36585,0,0,0.05027,0,0.00051,0.4654,0.0206,6e-05,0,0,0,0,0.00551,0.01773,3e-05,0.00017,0.00021,0,0.02058,0.02113,0.00049,0.00203,0,0,0.00094,0.15062,0,0,0,0.00328,0.00605,0,0.08873,0,0.05975
0.34,0,0,0.08169,0.03147,0,0,0.11846,0.0002,0.00019,0.07957,0.06048,0,0.00052,0.14319,0,0,0.08638,0,0.00026,0,0,0.00023,0.02539,0,0,0.73384,0.08777,0.09749,0,0.02501,0,0,0.39195,0,0,0.05903,0,0.00062,0.54173,0.02344,6e-05,0,0,0,0,0.01033,0.0195,5e-05,0.00019,0.00024,0,0.02109,0.02874,0.00061,0.00198,0,0,0.0009,0.15572,0,0,0,0.00251,0.00861,0,0.09017,0,0.06524
0.36,0,0,0.09025,0.03512,0,0,0.13608,0.00021,0.00021,0.07614,0.06491,0,0.00061,0.15399,0,0.00351,0.08045,0,0.00029,0,0,0.00021,0.02694,0,0,0.77122,0.08722,0.10409,0.00015,0.02177,0,0,0.41645,0,0,0.06846,0,0.00072,0.6235,0.02641,7e-05,0,0,0,0,0.01517,0.0213,6e-05,0.0002,0.00026,0,0.02152,0.03645,0.00071,0.00189,0.00121,0,0.00083,0.15978,0,0,0,0.00173,0.01151,0,0.09095,0,0.0707
