T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.30757,-0.40997,0.03159,0.72503,-0.05835,-0.07481,0.02848,65.69512,2.55472,0.73237,-3.92315,0.29172,0.11993,0.13483,0.02743,-0.43895,0.8836,-0.02673,0.3963,0.00463,0.79705,0.39201,0.27019,-0.96193,-1.17292,0.21273,0.76898,0.99007,0.53269,-0.20189,-1.21744,-1.5518,0.14134,0.99096
0.02,0.31958,-0.41768,0.02454,0.72436,-0.05971,-0.07477,0.02558,66.51506,2.54372,0.734,-3.94147,0.29172,0.12044,0.13431,0.02737,-0.46263,0.87455,-0.02633,0.39807,0.004,0.77471,0.39539,0.25988,-0.92777,-1.17257,0.21082,0.76324,0.99183,0.54172,-0.20624,-1.22795,-1.55587,0.13247,0.95365
0.04,0.33086,-0.42508,0.01831,0.72399,-0.06077,-0.07471,0.02199,67.33843,2.53174,0.73541,-3.95906,0.29162,0.1209,0.13056,0.02671,-0.48456,0.8663,-0.02657,0.39949,0.00348,0.75386,0.39874,0.25027,-0.89502,-1.17285,0.20894,0.75733,0.99367,0.55056,-0.2108,-1.23837,-1.55966,0.12417,0.9176
0.06,0.34124,-0.43207,0.01293,0.724,-0.06156,-0.07462,0.01784,68.15345,2.51747,0.73656,-3.97578,0.29143,0.12128,0.12376,0.02551,-0.50473,0.85898,-0.02737,0.40056,0.00306,0.73448,0.40208,0.24144,-0.86347,-1.17413,0.20706,0.75078,0.99565,0.55918,-0.21567,-1.24881,-1.56303,0.1165,0.88324
0.08,0.35292,-0.44013,0.00742,0.72353,-0.06247,-0.07447,0.01365,69.07403,2.51311,0.73823,-3.99395,0.29125,0.12167,0.11476,0.024,-0.52659,0.85031,-0.02792,0.40148,0.00254,0.71589,0.40526,0.23185,-0.83418,-1.17267,0.20564,0.74754,0.99714,0.56812,-0.21961,-1.25854,-1.56775,0.1082,0.84514
0.1,0.36042,-0.44555,0.00383,0.7246,-0.06277,-0.07428,0.00937,69.80115,2.4885,0.73865,-4.00778,0.29094,0.12191,0.10317,0.02213,-0.54237,0.84545,-0.02927,0.40191,0.00235,0.69983,0.40866,0.2249,-0.80457,-1.17758,0.20372,0.7381,0.99959,0.57601,-0.22535,-1.2692,-1.56944,0.10233,0.81714
0.12,0.35742,-0.44381,0.00451,0.72975,-0.06148,-0.0741,0.00488,69.95734,2.40513,0.73548,-4.01058,0.29033,0.12183,0.08833,0.01985,-0.54179,0.85078,-0.03288,0.4015,0.00307,0.68755,0.41298,0.22483,-0.77126,-1.2004,0.19982,0.7092,1.00503,0.58145,-0.23658,-1.28357,-1.56247,0.10241,0.815
0.14,0.35043,-0.43957,0.00673,0.7363,-0.05978,-0.07386,0.00131,69.90735,2.30704,0.73128,-4.00918,0.2897,0.12161,0.07221,0.01759,-0.53381,0.85929,-0.03659,0.40071,0.00403,0.6776,0.4175,0.227,-0.73866,-1.2294,0.19561,0.67488,1.01132,0.58584,-0.24926,-1.29877,-1.55273,0.1047,0.82252
0.16,0.34509,-0.4367,0.00815,0.742,-0.05858,-0.07348,-0.00065,69.95744,2.22511,0.72801,-4.00954,0.28929,0.12142,0.05658,0.01567,-0.5277,0.86534,-0.03882,0.39998,0.00473,0.66844,0.42171,0.22773,-0.70955,-1.25479,0.19224,0.64549,1.01684,0.59053,-0.26022,-1.31276,-1.54487,0.10597,0.82583
0.18,0.34067,-0.43368,0.00907,0.74779,-0.05742,-0.07312,-0.0014,69.98336,2.13785,0.72443,-4.01084,0.28905,0.12129,0.04178,0.01406,-0.52506,0.87175,-0.04059,0.39934,0.00542,0.65836,0.42665,0.22908,-0.68122,-1.2812,0.18831,0.6115,1.02289,0.59584,-0.27154,-1.32881,-1.53624,0.10664,0.82706
