T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-4.15624,0.06145,-0.34174,1.62537,-0.07637,0.00486,1.06973,-49.66947,-3.07078,1.49552,5.36485,-0.83689,-0.44877,1.58471,3.7337,0.20538,1.36804,-0.18894,-0.79615,0.20702,-5.23586,0.60514,-0.21318,-0.24789,1.12234,-0.46734,-1.72886,-5.04617,-0.44457,0.18394,0.70613,1.32131,0.28297,0.8826
0.02,-4.31242,0.06433,-0.33258,1.62345,-0.07796,0.00477,1.04668,-49.10925,-3.10496,1.47649,5.31477,-0.83834,-0.4626,1.55,3.71174,0.20604,1.34081,-0.18268,-0.80717,0.21363,-5.27612,0.61536,-0.21594,-0.25414,1.12143,-0.46791,-1.73626,-5.06562,-0.4353,0.18103,0.70052,1.32184,0.28359,0.88255
0.04,-4.47329,0.07011,-0.3154,1.62194,-0.07971,0.00476,1.0243,-48.55738,-3.13791,1.44399,5.26163,-0.83841,-0.47837,1.51669,3.68984,0.20693,1.30569,-0.17559,-0.81562,0.22039,-5.31815,0.62686,-0.2187,-0.26065,1.12059,-0.46846,-1.74351,-5.08855,-0.4247,0.17837,0.69458,1.32237,0.2842,0.88257
0.06,-4.63867,0.07938,-0.29076,1.62087,-0.08155,0.00479,1.00253,-48.02831,-3.16948,1.40046,5.20197,-0.83733,-0.49669,1.48551,3.66914,0.20801,1.2643,-0.16773,-0.82169,0.22751,-5.36129,0.64007,-0.22149,-0.26738,1.11982,-0.469,-1.75051,-5.11473,-0.41246,0.17596,0.68833,1.32292,0.2848,0.88272
0.08,-4.80875,0.09455,-0.25978,1.61944,-0.08298,0.00475,0.98182,-47.40295,-3.20398,1.34866,5.17097,-0.83569,-0.50652,1.45266,3.65369,0.21056,1.21727,-0.15895,-0.8282,0.23526,-5.40604,0.65647,-0.22473,-0.27456,1.11887,-0.46955,-1.75826,-5.14254,-0.3978,0.17342,0.68217,1.32342,0.28542,0.88251
0.1,-4.97992,0.11166,-0.22568,1.61936,-0.08479,0.00469,0.96113,-46.99619,-3.23103,1.29272,5.08459,-0.83312,-0.53096,1.42879,3.63749,0.21146,1.16967,-0.14993,-0.83029,0.24409,-5.44863,0.67387,-0.22766,-0.28148,1.1184,-0.47002,-1.76428,-5.17361,-0.38186,0.17144,0.67532,1.32406,0.28602,0.88319
0.12,-5.15276,0.12443,-0.19123,1.62292,-0.08815,0.0047,0.93824,-47.19023,-3.23926,1.23784,4.83615,-0.82948,-0.60207,1.42593,3.61234,0.20663,1.12715,-0.14221,-0.82138,0.25246,-5.48562,0.68919,-0.22933,-0.28707,1.11918,-0.47025,-1.76535,-5.21087,-0.36647,0.17096,0.66688,1.32506,0.28654,0.88636
0.14,-5.32469,0.13724,-0.15735,1.62759,-0.09167,0.00458,0.91542,-47.6016,-3.23917,1.18638,4.55529,-0.8261,-0.68475,1.4311,3.5875,0.20008,1.08787,-0.13517,-0.80928,0.2616,-5.51963,0.70525,-0.23085,-0.29232,1.12042,-0.47041,-1.76476,-5.24942,-0.3504,0.1709,0.6579,1.32619,0.28704,0.89038
0.16,-5.49408,0.15259,-0.12574,1.63133,-0.09442,0.00418,0.89401,-47.91381,-3.24172,1.13878,4.32723,-0.8237,-0.75175,1.43378,3.56985,0.19529,1.0499,-0.12891,-0.80041,0.27135,-5.55334,0.72418,-0.23315,-0.29795,1.12144,-0.47063,-1.76513,-5.2855,-0.3328,0.17043,0.64928,1.32725,0.28757,0.89389
0.18,-5.66931,0.16457,-0.09804,1.63533,-0.0973,0.00361,0.86994,-48.27363,-3.2513,1.09481,4.08719,-0.82305,-0.82527,1.43756,3.55433,0.19132,1.01422,-0.12672,-0.79215,0.27393,-5.58818,0.74428,-0.23585,-0.30293,1.12239,-0.47074,-1.76496,-5.32205,-0.3153,0.17002,0.64108,1.32831,0.2881,0.89766
0.2,-5.8171,0.17753,-0.07538,1.63783,-0.09929,0.00292,0.8523,-48.60825,-3.247,1.06004,3.91645,-0.82217,-0.87727,1.44309,3.54587,0.18802,0.98563,-0.12579,-0.78578,0.2841,-5.61725,0.76554,-0.23893,-0.30889,1.12353,-0.47102,-1.76558,-5.35075,-0.29703,0.1693,0.63259,1.32938,0.28866,0.90098
0.22,-5.90178,0.1994,-0.05862,1.63684,-0.09902,0.00221,0.85175,-48.81378,-3.20441,1.04025,3.90387,-0.81762,-0.86938,1.44993,3.55126,0.18501,0.96905,-0.121,-0.78358,0.32439,-5.63244,0.78825,-0.24234,-0.31799,1.12512,-0.4718,-1.76909,-5.36177,-0.27668,0.16782,0.6228,1.33046,0.28931,0.90271
