T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.05768,-0.43744,0.01133,0.39467,-0.04423,-0.03677,0.06764,33.41061,5.32023,0.00304,-5.56588,0.92993,0.46385,0.05378,0.05677,-0.52778,-0.00863,-0.08424,0.92679,-0.28809,1.10902,0.25781,0.43484,-1.57445,-0.92416,0.31255,1.91099,1.15466,0.53144,0.09238,-2.02151,-1.1059,-0.1649,-0.59687
0.02,-0.06116,-0.43718,0.01213,0.39589,-0.04466,-0.03661,0.06822,33.12767,5.36294,-0.03126,-5.25101,0.9361,0.53428,0.05307,0.05727,-0.53993,-0.03651,-0.10099,0.93222,-0.34836,1.11193,0.25795,0.43931,-1.57503,-0.92392,0.31238,1.90997,1.15569,0.53204,0.09763,-2.02017,-1.10627,-0.16573,-0.60477
0.04,-0.0646,-0.43691,0.0128,0.39715,-0.0451,-0.0367,0.06793,32.85217,5.40511,-0.05865,-4.96404,0.94132,0.59769,0.05114,0.05747,-0.55075,-0.05904,-0.1118,0.93689,-0.40287,1.11476,0.25807,0.44345,-1.57556,-0.92373,0.31225,1.90902,1.15669,0.53261,0.1025,-2.01882,-1.10665,-0.16654,-0.61248
0.06,-0.06802,-0.43664,0.01336,0.39846,-0.04556,-0.03703,0.0668,32.59453,5.44649,-0.07996,-4.70659,0.94559,0.65407,0.04812,0.0574,-0.56011,-0.07676,-0.11706,0.94082,-0.45168,1.1175,0.25815,0.44719,-1.57606,-0.92358,0.31217,1.9082,1.15768,0.53314,0.10697,-2.01744,-1.10707,-0.16735,-0.61998
0.08,-0.07126,-0.43637,0.01406,0.39951,-0.04596,-0.03733,0.06495,32.26112,5.49157,-0.09822,-4.4383,0.95014,0.71655,0.04434,0.05713,-0.57107,-0.09179,-0.12059,0.94486,-0.50322,1.12027,0.25835,0.45144,-1.57651,-0.92339,0.31199,1.90705,1.15859,0.53377,0.11183,-2.01609,-1.10743,-0.16809,-0.62799
0.1,-0.0747,-0.43605,0.01438,0.4009,-0.04645,-0.038,0.06237,32.09495,5.52779,-0.10999,-4.25188,0.95261,0.75778,0.03994,0.05664,-0.57676,-0.10144,-0.11687,0.94735,-0.53995,1.12279,0.25828,0.45416,-1.57688,-0.92344,0.3121,1.90676,1.15956,0.53413,0.11543,-2.01456,-1.10798,-0.16892,-0.63473
0.12,-0.07891,-0.43566,0.01357,0.40352,-0.04729,-0.03952,0.05905,32.39901,5.54347,-0.11173,-4.24367,0.95004,0.74222,0.03506,0.05592,-0.56837,-0.10302,-0.09935,0.94622,-0.54019,1.12485,0.2575,0.45286,-1.57729,-0.92398,0.313,1.90851,1.16088,0.53373,0.11575,-2.01271,-1.10902,-0.17,-0.63813
0.14,-0.08327,-0.43521,0.01249,0.40633,-0.0482,-0.04119,0.05528,32.87188,5.54924,-0.1099,-4.29499,0.94594,0.70815,0.0303,0.05512,-0.55518,-0.10111,-0.07785,0.94392,-0.5278,1.12668,0.25648,0.45023,-1.57759,-0.92477,0.31416,1.91111,1.16224,0.53306,0.11512,-2.01066,-1.11025,-0.17116,-0.64039
0.16,-0.08733,-0.43476,0.0118,0.40856,-0.04896,-0.04246,0.05134,33.26365,5.55654,-0.10965,-4.31287,0.94317,0.68753,0.0261,0.05438,-0.54498,-0.09957,-0.06043,0.94247,-0.52307,1.12852,0.2556,0.4485,-1.57776,-0.92551,0.31515,1.91345,1.16346,0.53255,0.11545,-2.00859,-1.11139,-0.17226,-0.64341
0.18,-0.09161,-0.43439,0.01107,0.41083,-0.04977,-0.04358,0.04751,33.70363,5.57439,-0.11082,-4.33171,0.94079,0.66933,0.02252,0.05382,-0.53573,-0.09904,-0.04587,0.94135,-0.52118,1.13058,0.2547,0.44689,-1.57837,-0.9261,0.31615,1.9152,1.1649,0.53205,0.11602,-2.00691,-1.11244,-0.17346,-0.64682
0.2,-0.0952,-0.43385,0.01076,0.41228,-0.0504,-0.0444,0.04376,34.09531,5.56778,-0.1112,-4.34954,0.93882,0.65386,0.01959,0.05338,-0.52598,-0.09639,-0.03244,0.94026,-0.51747,1.13214,0.25386,0.44542,-1.57805,-0.92708,0.3171,1.91822,1.16581,0.53157,0.11728,-2.00448,-1.11362,-0.17453,-0.65011
0.22,-0.09708,-0.43283,0.01146,0.41192,-0.05053,-0.04471,0.03999,34.30729,5.49579,-0.10836,-4.35697,0.93748,0.64373,0.0173,0.05294,-0.51453,-0.08801,-0.01819,0.93893,-0.5077,1.13229,0.2532,0.44421,-1.57509,-0.92908,0.31792,1.92488,1.16529,0.53111,0.11997,-1.99984,-1.1152,-0.17517,-0.65292
0.24,-0.09828,-0.43165,0.0125,0.41082,-0.05055,-0.0448,0.03679,34.45853,5.40141,-0.10525,-4.36243,0.9365,0.63616,0.01564,0.05275,-0.50285,-0.07833,-0.00526,0.93766,-0.49659,1.13199,0.25261,0.44317,-1.57129,-0.93144,0.3187,1.9327,1.16429,0.53068,0.12353,-1.99454,-1.11687,-0.17571,-0.65596
0.26,-0.09971,-0.43059,0.01336,0.40989,-0.05074,-0.04487,0.03458,34.63328,5.32012,-0.10465,-4.36488,0.93588,0.63144,0.01461,0.05298,-0.49266,-0.0713,0.00433,0.93682,-0.48967,1.13201,0.25201,0.44238,-1.5681,-0.93358,0.31945,1.93965,1.1636,0.5303,0.12754,-1.98978,-1.1184,-0.17643,-0.65957
0.28,-0.10139,-0.42951,0.01421,0.40925,-0.05089,-0.04489,0.03318,34.8357,5.23784,-0.10544,-4.36564,0.93554,0.62893,0.01412,0.05337,-0.48301,-0.06585,0.01273,0.93623,-0.4846,1.13203,0.25136,0.4415,-1.56474,-0.93566,0.32021,1.94731,1.16291,0.52994,0.13243,-1.98472,-1.11992,-0.17732,-0.66433
0.3,-0.10246,-0.42852,0.01501,0.40803,-0.05123,-0.04489,0.03256,34.96672,5.15699,-0.10701,-4.36409,0.9354,0.62787,0.01407,0.05399,-0.47418,-0.06092,0.01935,0.93582,-0.48088,1.13217,0.25085,0.44119,-1.56187,-0.93776,0.32089,1.95348,1.16233,0.52969,0.1378,-1.98046,-1.12126,-0.17825,-0.66947
0.32,-0.10195,-0.42773,0.01574,0.4052,-0.05205,-0.0449,0.03274,34.90626,5.08473,-0.10913,-4.35744,0.9354,0.62795,0.0144,0.05496,-0.46677,-0.0557,0.02271,0.9356,-0.4788,1.13261,0.25069,0.4423,-1.56031,-0.93994,0.32136,1.95542,1.162,0.52947,0.14154,-1.97824,-1.1224,-0.17865,-0.66796
0.34,-0.1009,-0.42705,0.01641,0.40195,-0.05299,-0.04491,0.03338,34.77633,5.01403,-0.11146,-4.34953,0.93549,0.62871,0.01501,0.05578,-0.45985,-0.05083,0.02589,0.93548,-0.4775,1.13317,0.25065,0.44389,-1.55924,-0.94209,0.32176,1.95584,1.1618,0.52937,0.14557,-1.97681,-1.12334,-0.17909,-0.66736
0.36,-0.10022,-0.42637,0.017,0.39929,-0.05382,-0.04492,0.03427,34.6825,4.94302,-0.11404,-4.3429,0.93563,0.62985,0.01581,0.05612,-0.4529,-0.04723,0.03082,0.93543,-0.47684,1.13375,0.25053,0.44518,-1.55807,-0.94414,0.32217,1.95688,1.16164,0.52936,0.15052,-1.97512,-1.12421,-0.17983,-0.67091
0.38,-0.09958,-0.42559,0.01757,0.39672,-0.05463,-0.04497,0.03534,34.5718,4.87806,-0.117,-4.3348,0.9358,0.63118,0.01674,0.05611,-0.4462,-0.04486,0.03569,0.93548,-0.47702,1.13431,0.25042,0.44649,-1.55679,-0.94626,0.32259,1.95818,1.16132,0.52867,0.14999,-1.97303,-1.12574,-0.17928,-0.65536
0.4,-0.09898,-0.42507,0.01803,0.39453,-0.05534,-0.04499,0.03653,34.48415,4.80513,-0.11911,-4.33133,0.93599,0.63253,0.01774,0.05562,-0.43924,-0.04263,0.04336,0.93552,-0.47693,1.13504,0.25027,0.44766,-1.55601,-0.94805,0.32295,1.95865,1.1614,0.52916,0.1567,-1.97185,-1.12612,-0.18076,-0.67446
0.42,-0.09847,-0.4252,0.01823,0.39316,-0.05583,-0.04488,0.0378,34.46379,4.70606,-0.11919,-4.3387,0.93618,0.63382,0.01877,0.05452,-0.43152,-0.03935,0.05713,0.93547,-0.47529,1.13613,0.25006,0.44843,-1.55631,-0.94907,0.32324,1.95724,1.16265,0.53351,0.18944,-1.97332,-1.1228,-0.18899,-0.80594
0.44,-0.098,-0.42557,0.01834,0.39207,-0.05622,-0.04477,0.03911,34.47058,4.60126,-0.11836,-4.3509,0.93638,0.63502,0.01975,0.05316,-0.42362,-0.03636,0.07248,0.93543,-0.47337,1.13737,0.24981,0.44904,-1.55708,-0.94976,0.32348,1.95509,1.16427,0.53889,0.22801,-1.97562,-1.11849,-0.19886,-0.97148
0.46,-0.09758,-0.42582,0.01848,0.39091,-0.05659,-0.04474,0.04042,34.47356,4.50484,-0.11774,-4.36234,0.93658,0.63613,0.02061,0.05184,-0.416,-0.03471,0.08579,0.93548,-0.47217,1.13855,0.24955,0.44964,-1.55768,-0.95053,0.32371,1.95331,1.1656,0.54323,0.25755,-1.97725,-1.11521,-0.20664,-1.11116
0.48,-0.09716,-0.42599,0.01864,0.38977,-0.05694,-0.04472,0.04165,34.44077,4.40327,-0.11755,-4.37127,0.9368,0.63715,0.02136,0.05065,-0.40886,-0.03363,0.09764,0.93555,-0.47091,1.13964,0.24937,0.45004,-1.55796,-0.9515,0.32405,1.95186,1.16717,0.54888,0.29573,-1.97962,-1.11085,-0.21637,-1.29295
0.5,-0.09681,-0.42628,0.01876,0.3886,-0.05719,-0.04474,0.04283,34.48772,4.31784,-0.11667,-4.38738,0.93704,0.63812,0.02202,0.04958,-0.40154,-0.03382,0.1085,0.93573,-0.47055,1.14086,0.24903,0.45052,-1.55885,-0.95202,0.32418,1.94992,1.16833,0.55183,0.31438,-1.98064,-1.10878,-0.2216,-1.40093
0.52,-0.09669,-0.42698,0.01873,0.38737,-0.05728,-0.04486,0.04404,34.76501,4.27387,-0.11382,-4.4217,0.93731,0.63907,0.02265,0.04853,-0.3931,-0.03613,0.11914,0.9361,-0.4722,1.14255,0.24823,0.45159,-1.56152,-0.95125,0.32368,1.9461,1.16814,0.54683,0.27522,-1.97725,-1.11345,-0.21398,-1.27705
0.54,-0.09663,-0.42778,0.01866,0.38605,-0.05728,-0.04498,0.04512,35.12183,4.24372,-0.11081,-4.46305,0.93761,0.64002,0.02328,0.04778,-0.38469,-0.0395,0.12868,0.93655,-0.47461,1.14434,0.2473,0.4527,-1.56473,-0.95007,0.323,1.9419,1.16761,0.53932,0.2197,-1.97264,-1.12021,-0.20238,-1.08224
0.56,-0.09649,-0.42843,0.01863,0.38465,-0.05726,-0.04503,0.046,35.43624,4.20677,-0.10922,-4.50117,0.93793,0.64096,0.02399,0.04753,-0.37708,-0.04312,0.13646,0.93701,-0.47677,1.14598,0.24649,0.45354,-1.56747,-0.9492,0.32247,1.93838,1.1674,0.53345,0.17829,-1.96907,-1.12553,-0.19358,-0.93473
0.58,-0.09637,-0.42931,0.01862,0.38327,-0.05723,-0.04505,0.04684,35.79632,4.17227,-0.10878,-4.53882,0.93826,0.64188,0.02494,0.04758,-0.36911,-0.04673,0.14433,0.93746,-0.47853,1.14776,0.24557,0.4549,-1.57055,-0.94825,0.32187,1.93325,1.16686,0.52675,0.13475,-1.96439,-1.13165,-0.184,-0.76928
0.6,-0.09611,-0.42974,0.01862,0.38165,-0.05707,-0.04498,0.04766,36.0836,4.13589,-0.10976,-4.57881,0.93857,0.6427,0.02625,0.04803,-0.36246,-0.05165,0.15058,0.93791,-0.48073,1.1492,0.24487,0.45523,-1.57288,-0.94753,0.32145,1.93129,1.16702,0.52164,0.10231,-1.96194,-1.13617,-0.17656,-0.64089
0.62,-0.09549,-0.42884,0.01867,0.37953,-0.0567,-0.04482,0.04851,36.16611,4.09103,-0.11224,-4.62313,0.93881,0.64331,0.02801,0.04903,-0.35923,-0.05936,0.15269,0.93841,-0.48441,1.14971,0.24476,0.4524,-1.57289,-0.94748,0.32159,1.93903,1.16926,0.52138,0.09812,-1.96599,-1.13591,-0.17521,-0.62078
0.64,-0.09471,-0.42754,0.01873,0.3772,-0.05621,-0.04458,0.04959,36.16469,4.04412,-0.11667,-4.67003,0.93892,0.64354,0.03041,0.05021,-0.35668,-0.06855,0.1548,0.9388,-0.48809,1.1499,0.24484,0.44872,-1.57219,-0.94764,0.32189,1.94975,1.17215,0.52268,0.10342,-1.97215,-1.13412,-0.17589,-0.63541
0.66,-0.09392,-0.42654,0.01876,0.37492,-0.05574,-0.04429,0.05105,36.1857,3.99868,-0.12331,-4.71674,0.93882,0.64318,0.03352,0.05132,-0.35283,-0.07813,0.15994,0.93891,-0.4905,1.15028,0.24481,0.44589,-1.57194,-0.94771,0.32209,1.95831,1.17459,0.52321,0.10532,-1.97704,-1.13313,-0.17582,-0.63417
0.68,-0.09319,-0.42537,0.0188,0.37264,-0.05534,-0.04405,0.05278,36.27317,3.95282,-0.13118,-4.76244,0.9384,0.64192,0.03717,0.05245,-0.34876,-0.08874,0.16626,0.93869,-0.49217,1.15053,0.24483,0.44255,-1.57134,-0.94783,0.32237,1.96914,1.17716,0.52399,0.10811,-1.98242,-1.1319,-0.17594,-0.63594
0.7,-0.09217,-0.42462,0.01877,0.37023,-0.05481,-0.0437,0.05484,36.2012,3.90723,-0.1431,-4.81291,0.93753,0.6394,0.04137,0.05363,-0.34331,-0.10153,0.17633,0.93795,-0.49185,1.15096,0.24478,0.44043,-1.57129,-0.94791,0.3225,1.97577,1.1794,0.52462,0.11179,-1.98694,-1.13093,-0.17636,-0.64082
0.72,-0.09056,-0.42501,0.01859,0.36764,-0.05392,-0.04307,0.05728,35.71071,3.86498,-0.16195,-4.87535,0.93608,0.63532,0.04602,0.05483,-0.33537,-0.1171,0.19331,0.93646,-0.48804,1.15205,0.24456,0.44191,-1.57306,-0.94779,0.32211,1.96958,1.18069,0.52447,0.11579,-1.98879,-1.131,-0.17711,-0.64597
0.74,-0.08866,-0.42582,0.01835,0.36492,-0.05297,-0.04241,0.05977,35.07459,3.8224,-0.18494,-4.94369,0.93386,0.62909,0.05069,0.05625,-0.32631,-0.13581,0.21362,0.93416,-0.48163,1.15331,0.24428,0.44443,-1.57534,-0.94762,0.32159,1.95932,1.18164,0.52416,0.12042,-1.98974,-1.13135,-0.17812,-0.65352
0.76,-0.0868,-0.42647,0.01812,0.3622,-0.0522,-0.04191,0.06206,34.51986,3.77841,-0.2093,-5.01194,0.93079,0.62056,0.05498,0.05801,-0.31727,-0.15732,0.23448,0.93102,-0.47351,1.15438,0.24402,0.44613,-1.57721,-0.94751,0.32118,1.95154,1.18269,0.52395,0.12476,-1.991,-1.1316,-0.17906,-0.66014
0.78,-0.08512,-0.427,0.01792,0.35959,-0.05156,-0.04144,0.06401,33.96481,3.74088,-0.23394,-5.08475,0.92677,0.60952,0.05871,0.06007,-0.30898,-0.17989,0.25699,0.92692,-0.46317,1.15568,0.24376,0.44826,-1.57951,-0.94734,0.32069,1.94219,1.18382,0.52369,0.12925,-1.99247,-1.13182,-0.17993,-0.66669
0.8,-0.08297,-0.4278,0.01767,0.35674,-0.05104,-0.04111,0.06559,33.4067,3.68997,-0.26401,-5.15947,0.92154,0.59492,0.06177,0.0626,-0.29943,-0.20878,0.28123,0.92161,-0.44973,1.15651,0.24349,0.44942,-1.581,-0.94733,0.3204,1.93545,1.18471,0.52356,0.13398,-1.99332,-1.13217,-0.18108,-0.67462
0.82,-0.07962,-0.42937,0.01731,0.35323,-0.05056,-0.04103,0.06686,32.8511,3.60484,-0.30535,-5.22217,0.91572,0.57927,0.06412,0.06572,-0.28629,-0.24961,0.30608,0.9157,-0.43546,1.15599,0.2432,0.44779,-1.58006,-0.94775,0.3207,1.93692,1.18491,0.52349,0.13719,-1.99254,-1.13303,-0.18257,-0.67864
0.84,-0.07583,-0.43117,0.01691,0.34954,-0.05021,-0.04103,0.06757,32.29993,3.50839,-0.35278,-5.28841,0.90882,0.56032,0.06549,0.06921,-0.27278,-0.29681,0.33234,0.90871,-0.41835,1.15505,0.24291,0.44531,-1.57837,-0.94833,0.32118,1.94097,1.1849,0.52356,0.14057,-1.99122,-1.13403,-0.18432,-0.68446
0.86,-0.07229,-0.43275,0.01657,0.34609,-0.05003,-0.04099,0.06759,31.76628,3.41937,-0.4005,-5.3648,0.90115,0.53874,0.06572,0.07285,-0.26131,-0.34453,0.35951,0.90094,-0.39905,1.15441,0.24262,0.4434,-1.57719,-0.94887,0.32156,1.94361,1.18509,0.52372,0.14449,-1.99033,-1.13487,-0.18608,-0.69352
0.88,-0.06884,-0.43447,0.01628,0.34272,-0.04978,-0.04096,0.06721,31.21489,3.33649,-0.44779,-5.41306,0.89635,0.52861,0.06502,0.07644,-0.25075,-0.3911,0.38296,0.89604,-0.38966,1.15377,0.2423,0.44142,-1.57593,-0.94937,0.32194,1.94673,1.18524,0.52311,0.14256,-1.98923,-1.13631,-0.18671,-0.68295
0.9,-0.06524,-0.43581,0.016,0.3395,-0.04989,-0.0409,0.06634,30.73035,3.24494,-0.50193,-5.5234,0.88787,0.50159,0.06339,0.08013,-0.24181,-0.44469,0.40921,0.88743,-0.36597,1.15326,0.24203,0.43976,-1.57497,-0.95005,0.32229,1.94923,1.18556,0.5238,0.14793,-1.98866,-1.13689,-0.189,-0.7073
0.92,-0.06122,-0.43616,0.01566,0.33651,-0.05084,-0.04072,0.06481,30.40492,3.1301,-0.57345,-5.81999,0.86707,0.42038,0.06085,0.08411,-0.23515,-0.51768,0.44772,0.86642,-0.29592,1.153,0.24196,0.43883,-1.57468,-0.95115,0.32256,1.9499,1.18632,0.5288,0.17997,-1.98956,-1.13445,-0.19693,-0.84623
0.94,-0.05709,-0.43615,0.01534,0.33369,-0.05201,-0.04052,0.0632,30.14163,3.00945,-0.65694,-6.19566,0.84518,0.33051,0.0578,0.0878,-0.22961,-0.60316,0.48611,0.84431,-0.21822,1.15289,0.24194,0.4382,-1.57471,-0.95245,0.3228,1.94985,1.18726,0.53493,0.21791,-1.99098,-1.13133,-0.20622,-1.01985
0.96,-0.05315,-0.43626,0.01509,0.33102,-0.05291,-0.04037,0.06187,29.85763,2.8976,-0.7442,-6.5499,0.83023,0.26431,0.05456,0.09068,-0.22429,-0.69151,0.51485,0.82916,-0.16081,1.15286,0.24186,0.43758,-1.5748,-0.9537,0.32303,1.94984,1.18817,0.53989,0.24645,-1.99221,-1.12917,-0.21371,-1.16699
0.98,-0.04922,-0.43645,0.01476,0.32853,-0.0537,-0.04023,0.06059,29.56163,2.78864,-0.83714,-6.94798,0.81657,0.19712,0.05118,0.09279,-0.2185,-0.78748,0.54172,0.81529,-0.10226,1.15261,0.24186,0.43666,-1.57444,-0.9549,0.32331,1.95076,1.18903,0.54632,0.28411,-1.99329,-1.12579,-0.22289,-1.36017
