T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.48489,-1.3886,0.3416,1.50425,-0.14279,-0.02103,0.92434,-7.39311,0.1472,2.5966,0.07769,0.15907,-0.20995,1.5855,5.82309,-0.08293,2.55893,-0.08314,0.10107,0.2386,-5.55659,1.90011,-0.26802,-2.04465,0.28677,-0.09513,-0.01674,-4.94541,-0.08823,0.1333,-1.50853,0.32722,0.10422,0.02191
0.02,-0.51442,-1.42024,0.34331,1.50381,-0.14337,-0.02124,0.91189,-7.40849,0.14742,2.59727,0.07762,0.15884,-0.21013,1.58435,5.82441,-0.08261,2.55766,-0.0829,0.1012,0.2383,-5.56542,1.90126,-0.26838,-2.0469,0.28678,-0.09514,-0.01685,-4.94358,-0.08841,0.13318,-1.50592,0.32748,0.10384,0.02178
0.04,-0.54297,-1.45328,0.34126,1.50326,-0.14404,-0.02149,0.90005,-7.42481,0.14799,2.59853,0.07755,0.15877,-0.21029,1.5838,5.82476,-0.08281,2.55717,-0.08268,0.10157,0.23805,-5.57589,1.90112,-0.26892,-2.04922,0.28678,-0.09516,-0.01698,-4.94302,-0.08968,0.13326,-1.50354,0.32774,0.10347,0.02165
0.06,-0.56976,-1.48634,0.33482,1.50269,-0.14478,-0.02177,0.88898,-7.44231,0.14899,2.60058,0.07748,0.15891,-0.21045,1.58407,5.82442,-0.08367,2.55792,-0.08251,0.10225,0.23791,-5.58786,1.89989,-0.26965,-2.05162,0.28679,-0.09519,-0.0171,-4.9438,-0.09178,0.13357,-1.5014,0.32801,0.10311,0.0215
0.08,-0.59573,-1.52008,0.32395,1.50229,-0.14548,-0.02208,0.87789,-7.46218,0.15054,2.60362,0.07743,0.15921,-0.21068,1.58536,5.82404,-0.0853,2.5605,-0.08243,0.1033,0.23795,-5.60217,1.89826,-0.27053,-2.05428,0.28679,-0.0952,-0.01724,-4.94694,-0.09425,0.13414,-1.49909,0.32835,0.1027,0.02135
0.1,-0.61592,-1.54673,0.30851,1.50225,-0.14622,-0.02239,0.86923,-7.48235,0.1529,2.6079,0.07745,0.15999,-0.21082,1.58795,5.82367,-0.08799,2.56548,-0.08251,0.10476,0.23826,-5.61579,1.89556,-0.27157,-2.05676,0.28678,-0.09527,-0.01737,-4.95005,-0.09707,0.135,-1.49757,0.3286,0.10241,0.0212
0.12,-0.62514,-1.55793,0.28906,1.50267,-0.14723,-0.02264,0.86573,-7.50068,0.15632,2.61374,0.07762,0.16161,-0.21071,1.59196,5.82377,-0.09203,2.57347,-0.08281,0.10668,0.23893,-5.62518,1.89101,-0.27277,-2.05865,0.28671,-0.09553,-0.0175,-4.95008,-0.1003,0.13618,-1.49811,0.32854,0.10238,0.02103
0.14,-0.62687,-1.55904,0.26837,1.504,-0.14821,-0.02287,0.86505,-7.51993,0.16104,2.62146,0.07793,0.16386,-0.21056,1.59768,5.8257,-0.09733,2.5852,-0.08341,0.10908,0.24008,-5.6331,1.88589,-0.27393,-2.06032,0.28661,-0.09584,-0.01763,-4.94977,-0.10346,0.13763,-1.49938,0.32837,0.10247,0.02085
0.16,-0.62447,-1.55439,0.24962,1.50656,-0.14895,-0.0231,0.86504,-7.54249,0.16726,2.63128,0.07836,0.16659,-0.21054,1.60524,5.83112,-0.10378,2.60133,-0.08435,0.11198,0.2418,-5.64189,1.88132,-0.27482,-2.06216,0.28652,-0.09612,-0.01776,-4.95132,-0.10608,0.13928,-1.50033,0.32827,0.10251,0.02069
0.18,-0.6181,-1.54178,0.23519,1.51015,-0.14974,-0.02332,0.86593,-7.56832,0.1751,2.64347,0.079,0.16992,-0.21062,1.61425,5.84214,-0.11145,2.62238,-0.08571,0.11534,0.2442,-5.65065,1.87745,-0.27534,-2.06424,0.28641,-0.09644,-0.0179,-4.95342,-0.10781,0.14107,-1.50157,0.32812,0.10255,0.02052
