T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00811,0,0.03564,0,0.00052,0,0,0,0.01529,0.35958,0,0,0,0.09262,0.07433,0.01566,0.00888,0,0.02893,0.13345,0,0.05656,0.12747,0,0.51537,0.10479,0.03323,0,0,0.04012,0,0.08398,0,0.00215,0,0.00099,0,0.00141,0,0.04794,1,0.74264,0,0,0.0566,0.03721,0.03019,0,0,0,0,0.07093,0,0,0.01866,0,0,0.13545,0,0,0,0.0048,0.00223,0,0.15222,0,0.04114
0.02,0,0.00875,0,0.03586,0,0.00062,0,0,0,0.01535,0.36004,0,0,0,0.09211,0.07144,0.01508,0.00888,0,0.02858,0.13427,0,0.05707,0.12776,0,0.51517,0.10355,0.03396,0,0,0.04095,0,0.08488,0,0.00233,0,0.00107,0,0.00127,0,0.04791,1,0.7425,0,0,0.05647,0.03719,0.02938,0,0,0,0,0.07179,0,0,0.01964,0,0,0.13588,0,0,0,0.00595,0.00211,0,0.15271,0,0.04209
0.04,0,0.0094,0,0.03616,0,0.00071,0,0,0,0.0154,0.36106,0,0,0,0.09178,0.06894,0.01452,0.00858,0,0.02835,0.13499,0,0.05754,0.12801,0,0.51497,0.10221,0.03459,0,0,0.04177,0,0.08579,0,0.00239,0,0.00114,0,0.00114,0,0.04801,1,0.74233,0,0,0.05639,0.03706,0.02809,0,0,0,0,0.07219,0,0,0.02058,0,0,0.13629,0,0,0,0.00708,0.00192,0,0.1532,0,0.043
0.06,0,0.01008,0,0.03655,0,0.0008,0,0,0,0.01544,0.36255,0,0,0,0.09146,0.06683,0.01401,0.00803,0,0.02825,0.13566,0,0.05801,0.12827,0,0.51478,0.10073,0.03512,0,0,0.04262,0,0.08666,0,0.00238,0,0.00119,0,0.00103,0,0.04824,1,0.74212,0,0,0.05637,0.03681,0.02637,0,0,0,0,0.07216,0,0,0.02151,0,0,0.13668,0,0,0,0.0082,0.00166,0,0.15367,0,0.04388
0.08,0,0.0108,1e-05,0.03703,2e-05,0.00093,1e-05,0,0,0.0155,0.36409,3e-05,7e-05,1e-05,0.09111,0.06472,0.01337,0.0075,3e-05,0.02823,0.13641,0,0.05849,0.12856,0,0.51453,0.09921,0.0356,0,5e-05,0.04336,0,0.08769,0.00011,0.00234,0,0.00124,1e-05,0.00095,3e-05,0.04874,1,0.74189,2e-05,0.0001,0.05655,0.0366,0.02515,3e-05,4e-05,2e-05,0.0001,0.07216,7e-05,0,0.02242,3e-05,0,0.13706,1e-05,3e-05,1e-05,0.00928,0.00136,1e-05,0.15412,2e-05,0.04474
0.1,0,0.01149,0,0.03747,0,0.00096,0,0,0,0.01548,0.36675,0,0,0,0.09094,0.0634,0.01302,0.00654,0,0.0283,0.13705,0,0.05899,0.12894,1e-05,0.51438,0.09775,0.03588,0,0,0.04437,0,0.0883,0,0.00226,0,0.00122,0,0.00091,0,0.05012,1,0.74158,0,2e-05,0.05671,0.03615,0.02435,0,0,0,1e-05,0.0714,0,0,0.0234,0,0,0.13738,0,0,0,0.01037,0.00098,0,0.15449,0,0.0456
0.12,0,0.01206,1e-05,0.03786,2e-05,0.00102,1e-05,1e-05,1e-05,0.01537,0.37152,1e-05,5e-05,1e-05,0.09122,0.0638,0.01356,0.0054,3e-05,0.029,0.13747,0,0.05991,0.12956,6e-05,0.51459,0.09636,0.03594,0,0.00018,0.04615,6e-05,0.0879,0.00018,0.00217,1e-05,0.0011,3e-05,0.00101,2e-05,0.05192,1,0.74117,0,0.00022,0.05727,0.03576,0.0231,3e-05,2e-05,0,0.0001,0.06969,2e-05,1e-05,0.02454,1e-05,2e-05,0.13757,6e-05,2e-05,0,0.01155,0.00075,1e-05,0.15471,3e-05,0.04666
0.14,1e-05,0.01255,4e-05,0.03815,7e-05,0.00105,2e-05,1e-05,0.00013,0.01523,0.3744,3e-05,0.00011,3e-05,0.09175,0.06479,0.01446,0.00427,9e-05,0.02996,0.13819,1e-05,0.06108,0.13036,6e-05,0.515,0.09482,0.03576,1e-05,0.00054,0.04816,6e-05,0.08719,0.00072,0.00213,2e-05,0.00089,4e-05,0.0012,3e-05,0.05401,1,0.74093,2e-05,0.00054,0.05795,0.03541,0.02183,9e-05,9e-05,3e-05,0.00031,0.0679,0.00012,4e-05,0.02582,5e-05,3e-05,0.13771,0.00012,3e-05,2e-05,0.01271,0.00061,3e-05,0.15481,9e-05,0.04786
0.16,1e-05,0.01292,5e-05,0.03908,9e-05,0.00106,2e-05,9e-05,0.00016,0.01511,0.37394,4e-05,0.00013,4e-05,0.09235,0.06542,0.0152,0.00322,0.0001,0.03089,0.13938,1e-05,0.06231,0.13137,8e-05,0.51545,0.09308,0.03543,1e-05,0.00166,0.04995,9e-05,0.08665,0.00086,0.00222,3e-05,0.00055,5e-05,0.0014,4e-05,0.0562,1,0.74049,2e-05,0.00062,0.05853,0.0351,0.0208,0.00011,0.0001,3e-05,0.00037,0.06646,0.00014,5e-05,0.02724,6e-05,4e-05,0.13792,0.00015,3e-05,2e-05,0.01371,0.00092,3e-05,0.15482,0.00011,0.04899
0.18,1e-05,0.01313,6e-05,0.04,8e-05,0.00107,2e-05,0.00016,9e-05,0.01505,0.37087,9e-05,0.00012,4e-05,0.09308,0.066,0.01599,0.0023,0.00016,0.03195,0.14129,2e-05,0.06384,0.13285,0.00013,0.51596,0.09153,0.03524,1e-05,0.00211,0.05171,0.00014,0.08591,0.00093,0.00257,3e-05,7e-05,5e-05,0.00165,6e-05,0.05829,1,0.7399,2e-05,0.00077,0.05915,0.03478,0.01991,0.00018,6e-05,3e-05,0.00049,0.0656,0.00018,5e-05,0.0288,9e-05,0.00011,0.13822,0.0001,6e-05,2e-05,0.01449,0.00094,2e-05,0.15473,0.00012,0.05007
