T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.14438,-0.00319,-0.03191,-0.75354,-0.02044,-0.00083,-0.06035,3.82925,-0.16933,-0.04718,-2.03452,0.01705,-0.00757,-0.25213,-0.82826,0.295,0.00308,-0.0256,-0.02561,-0.00593,-0.82964,0.04783,-0.0633,0.90732,0.19217,0.04465,0.00437,-0.60245,-0.05855,-0.00564,0.91659,0.14878,-0.00156,0.00079
0.02,0.14371,-0.00645,-0.03441,-0.77186,-0.0199,-0.00082,-0.05075,3.59208,-0.21519,-0.04287,-2.02242,0.01787,-0.00803,-0.23974,-0.82403,0.29553,0.0033,-0.02558,-0.02502,-0.00611,-0.84166,0.05056,-0.06176,0.87561,0.18175,0.03866,0.00397,-0.60249,-0.06015,-0.00572,0.86897,0.13299,-0.00296,0.00066
0.04,0.14292,-0.01061,-0.03742,-0.77995,-0.01871,-0.00078,-0.04121,3.17832,-0.27034,-0.03751,-1.9766,0.01854,-0.00845,-0.21724,-0.80058,0.28761,0.00355,-0.0253,-0.02391,-0.00618,-0.83681,0.05306,-0.05872,0.81229,0.16202,0.02999,0.00338,-0.59012,-0.06108,-0.00569,0.79306,0.10695,-0.0051,0.00052
0.06,0.14183,-0.01559,-0.04052,-0.77838,-0.01694,-0.00072,-0.03224,2.60171,-0.33081,-0.03152,-1.90055,0.01902,-0.00878,-0.18567,-0.75928,0.27174,0.00382,-0.02479,-0.02236,-0.00612,-0.81537,0.05519,-0.05422,0.71834,0.13312,0.01888,0.00263,-0.56763,-0.06136,-0.00552,0.69482,0.07112,-0.00806,0.00035
0.08,0.14095,-0.02111,-0.0431,-0.76786,-0.01475,-0.00064,-0.02316,1.89478,-0.39017,-0.02505,-1.79691,0.01923,-0.00896,-0.14714,-0.70305,0.24975,0.0041,-0.02408,-0.02045,-0.00586,-0.77732,0.05667,-0.04829,0.59604,0.09605,0.00581,0.00176,-0.53727,-0.06106,-0.00523,0.58108,0.02711,-0.01177,0.00021
0.1,0.13693,-0.02709,-0.04481,-0.74816,-0.0122,-0.00055,-0.01662,1.10379,-0.43833,-0.0193,-1.67191,0.01905,-0.00886,-0.10506,-0.63467,0.22214,0.00438,-0.02324,-0.01831,-0.00533,-0.72506,0.05723,-0.04132,0.45165,0.05273,-0.00849,0.0008,-0.50514,-0.05988,-0.00467,0.46633,-0.02218,-0.01593,2e-05
0.12,0.12527,-0.03348,-0.04536,-0.71902,-0.00943,-0.00045,-0.01424,0.28949,-0.46378,-0.01503,-1.53079,0.01839,-0.00836,-0.06348,-0.55788,0.19024,0.00465,-0.02232,-0.0161,-0.00448,-0.66156,0.0566,-0.03362,0.29187,0.00579,-0.02311,-0.00018,-0.47736,-0.0575,-0.00375,0.36308,-0.07305,-0.02009,-0.00024
0.14,0.10828,-0.03963,-0.0443,-0.68131,-0.00674,-0.00035,-0.01267,-0.4913,-0.45957,-0.01139,-1.37482,0.01714,-0.00743,-0.02593,-0.47824,0.15842,0.00488,-0.02131,-0.01389,-0.0033,-0.58668,0.0543,-0.02518,0.12145,-0.04219,-0.03711,-0.00112,-0.45407,-0.05408,-0.00267,0.27377,-0.12217,-0.02363,-0.00053
0.16,0.08857,-0.04499,-0.04139,-0.63568,-0.00429,-0.00027,-0.01014,-1.20685,-0.42318,-0.00805,-1.2057,0.0153,-0.0061,0.00489,-0.39966,0.12927,0.00505,-0.02019,-0.01174,-0.00189,-0.50208,0.05002,-0.01621,-0.0529,-0.08895,-0.04952,-0.00196,-0.43461,-0.04983,-0.00156,0.20026,-0.16733,-0.02615,-0.00077
0.18,0.06541,-0.04945,-0.03679,-0.5825,-0.00215,-0.00019,-0.00713,-1.84168,-0.35563,-0.00525,-1.02719,0.01297,-0.00442,0.0272,-0.32425,0.10333,0.00515,-0.01897,-0.00971,-0.00042,-0.41294,0.0438,-0.00721,-0.2218,-0.13237,-0.05926,-0.00266,-0.41913,-0.04487,-0.00045,0.14364,-0.20714,-0.02766,-0.00099
0.2,0.03907,-0.05314,-0.03099,-0.52226,-0.00035,-0.00013,-0.00454,-2.38812,-0.26368,-0.00315,-0.84999,0.01029,-0.00257,0.03984,-0.25439,0.08107,0.00517,-0.01773,-0.0079,0.00088,-0.32467,0.03593,0.00113,-0.37397,-0.17004,-0.06518,-0.00311,-0.40609,-0.03926,0.00055,0.10085,-0.24083,-0.02859,-0.00118
0.22,0.01007,-0.05634,-0.02464,-0.45593,0.00105,-7e-05,-0.00227,-2.8461,-0.15615,-0.00173,-0.6828,0.00746,-0.00071,0.04215,-0.19204,0.06284,0.00514,-0.01653,-0.00639,0.00175,-0.24399,0.02686,0.00834,-0.49847,-0.19953,-0.06632,-0.00322,-0.39331,-0.03324,0.00142,0.06736,-0.26802,-0.02965,-0.0013
0.24,-0.01955,-0.05904,-0.0182,-0.38513,0.00204,-3e-05,0.00056,-3.23066,-0.04078,-0.00089,-0.52384,0.00473,0.00104,0.03414,-0.13797,0.04895,0.00503,-0.01533,-0.0052,0.00201,-0.17751,0.017,0.01406,-0.58562,-0.2192,-0.06226,-0.00303,-0.37782,-0.02718,0.00213,0.03921,-0.28844,-0.03173,-0.00141
0.26,-0.04762,-0.06118,-0.01212,-0.31081,0.00268,1e-05,0.00379,-3.57079,0.07497,-0.00054,-0.37083,0.00223,0.00254,0.01639,-0.09162,0.03933,0.00484,-0.01406,-0.00432,0.00157,-0.12811,0.00683,0.01799,-0.63024,-0.22854,-0.0535,-0.00266,-0.35763,-0.02135,0.00259,0.01376,-0.30206,-0.03531,-0.00152
0.28,-0.07364,-0.06286,-0.00679,-0.23356,0.00304,4e-05,0.00706,-3.90179,0.18372,-0.00057,-0.22188,-1e-05,0.00366,-0.01002,-0.05141,0.03359,0.00455,-0.01272,-0.00373,0.00051,-0.09536,-0.00306,0.02021,-0.63443,-0.22801,-0.04161,-0.0022,-0.33312,-0.0159,0.00286,-0.00959,-0.30898,-0.04019,-0.00159
0.3,-0.09354,-0.06397,-0.00246,-0.15454,0.00321,7e-05,0.01019,-4.26689,0.27833,-0.00076,-0.07223,-0.00198,0.00432,-0.04335,-0.0153,0.0313,0.00419,-0.01128,-0.00336,-0.00092,-0.07671,-0.01199,0.02081,-0.60253,-0.2192,-0.02884,-0.00168,-0.30429,-0.01089,0.0029,-0.02933,-0.30924,-0.0457,-0.00164
