T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0.07262,0,0.0012,0,0,0,0.02952,0.29489,0,0,0.02106,0.15348,0.03036,0.02655,0.00398,0,0.02576,0,0,0,0,0.03534,0,0,0,0,0.00547,0,0.04875,0.01686,0.04867,0.02355,0.01189,0.00064,0,0.00184,0,0.00566,1,0.71699,0,0,0.03626,0.02544,0,0,0,0,0,0.02058,0,0.08214,0.00124,0.02214,0.00667,0,0.01772,0.07135,0.09179,0.00452,0,0.0032,0,0,0
0.02,0,0,0,0.07348,0,0.00121,0,0,0,0.02939,0.29507,0,0,0.02095,0.15423,0.03093,0.02656,0.0039,0,0.02597,0,0,0,0,0.0352,0,0,0,0,0.00557,0,0.04865,0.01671,0.04767,0.02215,0.01174,0.00025,0,0.00186,0,0.00579,1,0.71708,0,0,0.03627,0.0254,0,0,0,0,0,0.02049,0,0.08273,0.00126,0.02229,0.00637,0,0.0176,0.07082,0.09144,0.00456,0,0.00296,0,0,0
0.04,0,1e-05,0.00057,0.07427,2e-05,0.00128,1e-05,1e-05,3e-05,0.02925,0.29633,4e-05,0.0001,0.02088,0.15537,0.03142,0.02671,0.00416,4e-05,0.02621,0,0,5e-05,1e-05,0.03511,3e-05,0.00017,1e-05,0,0.00567,1e-05,0.04861,0.01661,0.04684,0.0207,0.01153,0.00025,2e-05,0.0019,4e-05,0.00589,1,0.71722,2e-05,0.00036,0.03643,0.02543,1e-05,9e-05,2e-05,2e-05,0.00031,0.02048,9e-05,0.08326,0.00126,0.02243,0.00609,1e-05,0.01754,0.07032,0.09092,0.00459,6e-05,0.00272,1e-05,3e-05,0.00011
0.06,0,0,0.00109,0.07481,0,0.00126,0,0,0,0.02903,0.29815,0,0,0.02083,0.15673,0.03173,0.02693,0.00367,0,0.02618,0,0,0,0,0.035,0,0,0,0,0.00564,0,0.04853,0.01647,0.04607,0.01922,0.01127,0,0,0.00193,0,0.00589,1,0.71722,0,0,0.03636,0.02528,0,0,0,0,0,0.0202,0,0.0837,0.0012,0.02247,0.00581,0,0.01742,0.06978,0.09023,0.00458,0,0.00246,0,0,0
0.08,0,0,0.00204,0.07519,0,0.00129,0,0,0,0.0288,0.30125,0,0,0.02083,0.15849,0.03199,0.02722,0.00355,0,0.0262,0,0,0,0,0.03493,0,0,0,0,0.0056,0,0.04849,0.01636,0.0453,0.01777,0.01105,0,0,0.00199,0,0.00585,1,0.71713,0,0,0.03636,0.02524,0,0,0,0,0,0.01999,0,0.08427,0.0011,0.02253,0.00551,0,0.01734,0.06932,0.0894,0.00455,0,0.00219,0,0,0
0.1,0,0,0.00314,0.0753,0,0.0013,0,0,0,0.02854,0.30582,0,0,0.02089,0.16062,0.03209,0.02763,0.00345,0,0.02613,0,0,0,0,0.03489,0,0,0,0,0.00552,0,0.04848,0.0163,0.04485,0.01638,0.01086,0,0,0.00208,0,0.00575,1,0.7169,0,0,0.03635,0.02522,0,0,0,0,0,0.01979,0,0.08463,0.00098,0.02255,0.00526,0,0.01727,0.06883,0.08853,0.0045,0,0.00192,0,0,0
0.12,0,0,0.0043,0.07508,0,0.00132,0,0,0,0.02823,0.31238,0,0,0.02103,0.16322,0.03201,0.02822,0.00336,0,0.0259,0,0,0,0,0.03494,0,0,0,0,0.00537,0,0.04849,0.01632,0.04517,0.01508,0.01068,0,0,0.00223,0,0.00558,1,0.71654,0,0,0.03639,0.02524,0,0,0,0,0,0.01962,0,0.08431,0.00087,0.02247,0.00513,0,0.0172,0.06817,0.08776,0.00446,0,0.00165,0,0,0
0.14,0,0,0.00546,0.07452,0,0.00131,0,0,0,0.02791,0.32125,0,0,0.02128,0.16625,0.0318,0.02887,0.00333,0,0.02562,0,0,0,0,0.03501,0,0,0,0,0.00518,0,0.04853,0.01637,0.04574,0.01389,0.01065,0,0,0.00242,0,0.00535,1,0.71587,0,0,0.03636,0.02525,0,0,0,0,0,0.01949,0,0.08381,0.00074,0.02237,0.00505,0,0.01714,0.06751,0.08704,0.0044,0,0.00139,0,0,0
0.16,0,0,0.00657,0.07365,0,0.00127,0,0,0,0.02759,0.32707,0,0,0.02168,0.16972,0.03151,0.02944,0.00338,0,0.02537,0,0,0,0,0.03506,0,0,0,0,0.00494,0,0.04858,0.01642,0.04616,0.01281,0.0109,0,0,0.00264,0,0.00497,1,0.71482,0,0,0.03619,0.02528,0,0,0,0,0,0.0194,0,0.08352,0.00056,0.02229,0.00494,0,0.01708,0.067,0.08638,0.0043,0,0.00115,0,0,0
0.18,0,0,0.00757,0.0725,0,0.00121,0,0,0,0.02728,0.33305,0,0,0.02228,0.17372,0.03126,0.02992,0.00348,0,0.02502,0,0,0,0,0.03509,0,0,0,0,0.00465,0,0.04864,0.0165,0.04675,0.01179,0.01145,0,0,0.00293,0,0.00473,1,0.71349,0,0,0.03598,0.02532,0,0,0,0,0,0.01933,0,0.08318,0.00035,0.02224,0.00484,0,0.01702,0.06649,0.08581,0.00415,0,0.00088,0,0,0
