T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,1.07542,-0.34761,-0.03025,2.77446,-0.22955,-0.04585,-1.40112,-5.89149,-0.46663,1.57101,0.13896,-0.03477,-0.25874,0.2716,8.11171,0.0849,2.63856,-0.10464,0.05473,0.26221,-5.20544,-0.44634,-0.11046,-2.13629,0.27049,-0.10911,-0.03545,26.89672,-25.79549,-0.37445,18.96421,-25.633,-10.65434,-3.99233
0.02,1.09505,-0.36374,-0.03599,2.7766,-0.23163,-0.04611,-1.38597,-5.93818,-0.46737,1.58926,0.13898,-0.0335,-0.25954,0.26678,8.13515,0.09074,2.64881,-0.10434,0.05524,0.26352,-5.18589,-0.45667,-0.10841,-2.13319,0.2706,-0.10903,-0.03543,26.87785,-25.68265,-0.37152,18.9449,-25.63748,-10.65114,-3.98447
0.04,1.1133,-0.37196,-0.04269,2.77825,-0.2335,-0.04639,-1.37118,-5.9885,-0.46812,1.609,0.13911,-0.03214,-0.26054,0.26223,8.1648,0.09648,2.66175,-0.10418,0.05588,0.26517,-5.16566,-0.46788,-0.1062,-2.13003,0.2707,-0.10896,-0.03542,26.86007,-25.57045,-0.36846,18.92607,-25.64193,-10.64795,-3.97648
0.06,1.12872,-0.37269,-0.04803,2.77914,-0.23505,-0.0467,-1.35633,-6.04338,-0.46879,1.63075,0.13937,-0.03059,-0.26173,0.2581,8.19919,0.10209,2.67686,-0.10413,0.05664,0.26708,-5.1462,-0.47993,-0.10392,-2.12691,0.27081,-0.10889,-0.0354,26.84279,-25.45891,-0.36537,18.90681,-25.64633,-10.64485,-3.96838
0.08,1.14723,-0.37231,-0.04923,2.77908,-0.23644,-0.04705,-1.34033,-6.10283,-0.46951,1.65479,0.13966,-0.02884,-0.26309,0.25266,8.23631,0.10836,2.69295,-0.10415,0.05743,0.26916,-5.12763,-0.49325,-0.10161,-2.12393,0.27091,-0.10882,-0.03539,26.8172,-25.34625,-0.36135,18.88991,-25.6508,-10.64142,-3.96026
0.1,1.14789,-0.35862,-0.0431,2.77736,-0.23685,-0.04738,-1.32385,-6.16851,-0.46965,1.68184,0.14012,-0.02657,-0.26458,0.25038,8.27252,0.11324,2.70954,-0.10414,0.05837,0.27125,-5.11604,-0.50672,-0.09965,-2.12148,0.271,-0.10878,-0.0354,26.799,-25.23646,-0.35853,18.86785,-25.6551,-10.63862,-3.95178
0.12,1.10627,-0.31674,-0.02629,2.77317,-0.2354,-0.04762,-1.30733,-6.24249,-0.4684,1.71276,0.14096,-0.02335,-0.26616,0.25703,8.30379,0.11434,2.72625,-0.10394,0.0596,0.27313,-5.11905,-0.51894,-0.09847,-2.11983,0.2711,-0.10881,-0.03543,26.81079,-25.13448,-0.36024,18.82678,-25.65895,-10.6383,-3.94283
0.14,1.0423,-0.26432,0.00294,2.76658,-0.2329,-0.04784,-1.28858,-6.32068,-0.4663,1.74643,0.14182,-0.01945,-0.26762,0.26738,8.32702,0.1139,2.74067,-0.10357,0.06091,0.27466,-5.13329,-0.53116,-0.09791,-2.11918,0.27119,-0.10888,-0.03548,26.82571,-25.03534,-0.36278,18.78099,-25.66261,-10.6385,-3.93343
0.16,0.9703,-0.21694,0.04437,2.75756,-0.23014,-0.04811,-1.26555,-6.39898,-0.46375,1.78163,0.14241,-0.01505,-0.26879,0.27675,8.33845,0.11375,2.75035,-0.10304,0.06214,0.27564,-5.15657,-0.5443,-0.09786,-2.11962,0.27127,-0.10893,-0.03555,26.82421,-24.93507,-0.36355,18.73988,-25.66633,-10.63794,-3.92376
0.18,0.88017,-0.17271,0.09648,2.74584,-0.22726,-0.04844,-1.2367,-6.47701,-0.46017,1.81831,0.14268,-0.00994,-0.26948,0.28683,8.33293,0.11313,2.75382,-0.1022,0.06342,0.27582,-5.19373,-0.55771,-0.09857,-2.12077,0.27135,-0.10897,-0.03563,26.82262,-24.83654,-0.36581,18.68408,-25.67,-10.63962,-3.91465
0.2,0.76485,-0.12891,0.15798,2.7309,-0.22368,-0.04873,-1.2044,-6.54472,-0.45586,1.85276,0.14252,-0.00449,-0.26946,0.29845,8.30688,0.11088,2.74936,-0.1012,0.0646,0.275,-5.24169,-0.57122,-0.09993,-2.12441,0.27136,-0.10905,-0.03575,26.79193,-24.7363,-0.36274,18.65602,-25.67356,-10.63697,-3.90359
0.22,0.6145,-0.08293,0.22618,2.71153,-0.21881,-0.04887,-1.17205,-6.58954,-0.45124,1.88018,0.14176,0.00072,-0.26849,0.31138,8.25725,0.10612,2.73512,-0.10027,0.06545,0.27301,-5.29676,-0.58467,-0.10182,-2.13259,0.2712,-0.10921,-0.03594,26.70412,-24.62865,-0.34615,18.7106,-25.67727,-10.62088,-3.88724
0.24,0.43261,-0.03988,0.29241,2.68877,-0.2138,-0.04897,-1.13561,-6.613,-0.44562,1.90093,0.14037,0.00597,-0.26636,0.32583,8.17878,0.09897,2.70963,-0.0991,0.06626,0.26957,-5.36291,-0.59747,-0.10441,-2.14338,0.27095,-0.1094,-0.03617,26.58656,-24.51915,-0.324,18.79307,-25.68078,-10.60067,-3.86895
