T,RSRFy
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,0
0.54,0
0.56,0
0.58,0
0.6,0
0.62,0
0.64,0
0.66,0
0.68,0
0.7,0
0.72,0
0.74,0
0.76,0
0.78,0
0.8,0
0.82,0
0.84,0
0.86,0
0.88,0
0.9,0
0.92,0
0.94,0
0.96,0
0.98,0
1,0
1.02,0
1.04,0
1.06,0
1.08,0
1.1,0
1.12,0
1.14,0
1.16,0
1.18,0
1.2,0
1.22,0
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
1.62,0
1.64,0
1.66,0
1.68,0
1.7,0
1.72,0
1.74,742.79603
1.76,754.20859
1.78,764.10251
1.8,772.42195
1.82,779.07134
1.84,784.37373
1.86,786.9103
1.88,782.37224
1.9,773.6335
1.92,760.17135
1.94,728.15358
1.96,683.28655
1.98,626.87336
2,559.66062
2.02,484.16719
2.04,405.27332
2.06,328.93417
2.08,260.23754
2.1,202.05215
2.12,155.2083
2.14,119.71546
2.16,94.79642
2.18,78.92725
2.2,69.7268
2.22,64.87368
2.24,63.76613
2.26,65.68389
2.28,69.89318
2.3,76.25928
2.32,85.52837
2.34,99.00954
2.36,118.52189
2.38,142.46426
2.4,175.23339
2.42,217.74322
2.44,269.66048
2.46,329.29823
2.48,392.43157
2.5,454.21186
2.52,510.80648
2.54,560.08465
2.56,597.4943
2.58,622.98249
2.6,638.40631
2.62,636.57876
2.64,625.60407
2.66,612.4061
2.68,597.68119
2.7,583.30102
2.72,573.29937
2.74,571.10345
2.76,575.70482
2.78,588.55843
2.8,606.86195
2.82,626.18566
2.84,644.76543
2.86,661.72345
2.88,676.23069
2.9,687.7738
2.92,697.0244
2.94,704.515
2.96,710.60043
2.98,712.80063
3,715.08925
3.02,717.78756
3.04,720.53136
3.06,723.00765
3.08,724.96369
3.1,726.38434
3.12,727.29601
3.14,727.41673
3.16,726.5783
3.18,724.8184
3.2,722.32609
3.22,719.27282
3.24,715.78074
3.26,711.69587
3.28,707.34145
3.3,702.87952
3.32,698.46333
3.34,694.16344
3.36,690.0471
3.38,686.19106
3.4,682.74026
3.42,679.83778
3.44,677.46436
3.46,675.63246
3.48,674.30648
3.5,673.47413
3.52,673.09482
3.54,673.13592
3.56,673.57807
3.58,674.37695
3.6,675.47411
3.62,676.81256
3.64,678.33579
3.66,679.96697
3.68,681.62218
3.7,683.20594
3.72,684.6338
3.74,685.87342
3.76,686.90574
3.78,687.70815
3.8,688.28515
3.82,688.64727
3.84,688.8102
3.86,688.81512
3.88,688.7113
3.9,688.54996
3.92,688.38246
3.94,688.23803
3.96,688.13057
3.98,688.07527
4,688.06108
4.02,688.06332
4.04,688.08646
4.06,688.11397
4.08,688.09102
4.1,687.95648
4.12,687.59234
4.14,686.89374
4.16,685.83812
4.18,684.42317
4.2,682.71927
4.22,680.89675
4.24,679.09084
4.26,677.39112
4.28,675.91498
4.3,674.77818
4.32,674.03726
4.34,673.55262
4.36,673.26744
4.38,673.2496
4.4,673.39956
4.42,673.61149
4.44,674.03191
4.46,674.73162
4.48,675.57927
4.5,676.48662
4.52,677.44958
4.54,678.45882
4.56,679.4745
4.58,680.4983
4.6,681.5858
4.62,682.71186
4.64,683.81826
4.66,684.95565
4.68,686.18785
4.7,687.44363
4.72,688.63338
4.74,689.71808
4.76,690.70994
4.78,691.56471
4.8,692.21313
4.82,692.85628
4.84,693.95648
4.86,695.53917
4.88,697.42466
4.9,699.13334
4.92,699.93266
4.94,699.66841
4.96,698.61631
4.98,697.0482
5,694.9899
5.02,693.09605
5.04,692.22289
5.06,692.14393
5.08,692.29809
5.1,691.92057
5.12,690.89468
