T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.0014,0,0,0.02464,0,0.00061,0,0,0,0.01333,0.31486,0,0,0.02031,0.09247,0.02293,0.01928,0,0,0.0401,0,0.00904,0,0,0.03066,0,0,0,0,0.01177,0.00224,0.04004,0.00853,0.08901,0,0.0019,0.0064,0,0.00381,0,0.00626,1.37595,0.52539,0,0,0.02259,0.02338,0,0,0,0,0.02012,0.03112,0,0.04777,0,0.03733,0.00259,0,0.01376,0.06303,0.03673,0.00103,0,0,0,0,0
0.02,0.0015,0,0,0.02527,0,0.00057,0,0,0,0.01305,0.3126,0,0,0.02035,0.09246,0.02319,0.01932,0,0,0.04017,0,0.00902,0,0,0.03064,0,0,0,0,0.01173,0.00225,0.04005,0.00857,0.08937,0,0.00158,0.00714,0,0.00383,0,0.00644,1.37894,0.51554,0,0,0.02298,0.02319,0,0,0,0,0.02011,0.03075,0,0.04773,0,0.03771,0.00255,0,0.01378,0.06364,0.03666,0.00106,0,0,0,0,0
0.04,0.00158,0,0,0.02592,0,0.00053,0,0,0,0.01276,0.31044,0,0,0.02041,0.09245,0.02343,0.01936,0,0,0.04025,0,0.009,0,0,0.03061,0,0,0,0,0.01168,0.00226,0.04006,0.00861,0.08972,0,0.00122,0.00804,0,0.00384,0,0.0066,1.38187,0.50601,0,0,0.02337,0.02301,0,0,0,0,0.02014,0.03038,0,0.0477,0,0.03832,0.00251,0,0.01381,0.06429,0.03659,0.0011,0,0,0,0,0
0.06,0.00164,0,0,0.02659,0,0.00051,0,0,0,0.01247,0.30838,0,0,0.02049,0.09243,0.02366,0.01939,0,0,0.04031,0,0.00899,0,0,0.03059,0,0,0,0,0.01165,0.00227,0.04007,0.00865,0.09006,0,0.00081,0.00903,0,0.00384,0,0.00676,1.38468,0.49692,0,0,0.02373,0.02284,0,0,0,0,0.02021,0.03001,0,0.04769,0,0.03911,0.00247,0,0.01384,0.06512,0.03653,0.00114,0,0,0,0,0
0.08,0.0017,0,0,0.02726,0,0.0005,0,0,0,0.01212,0.30636,0,0,0.02058,0.0924,0.02389,0.01943,0,0,0.04038,0,0.00898,0,0,0.03058,0,0,0,0,0.0116,0.00229,0.04008,0.00869,0.09043,0,0.0004,0.01003,0,0.00385,0,0.00691,1.38795,0.48685,0,0,0.02413,0.02268,0,0,0,0,0.02027,0.02963,0,0.04771,0,0.04038,0.00244,0,0.01386,0.06502,0.03646,0.00117,0,0,0,0,0
0.1,0.00174,0.00044,4e-05,0.02811,7e-05,0.00075,5e-05,4e-05,0.0001,0.0119,0.30557,0.00012,0.00036,0.02072,0.09237,0.02417,0.01949,0.00042,0.00013,0.0408,2e-05,0.00896,0.00024,1e-05,0.03067,9e-05,0.00018,5e-05,2e-05,0.0118,0.00231,0.04015,0.0088,0.0911,1e-05,0.00042,0.01102,5e-05,0.00391,0.00025,0.00706,1.39025,0.47964,6e-05,0.00122,0.02478,0.02284,3e-05,8e-05,0.0001,6e-05,0.02088,0.02965,0.00035,0.04775,1e-05,0.04137,0.00243,3e-05,0.01402,0.06668,0.03644,0.00121,0.00014,2e-05,2e-05,0.00011,0.00011
0.12,0.00167,0.00086,4e-05,0.02912,7e-05,0.00078,5e-05,1e-05,8e-05,0.01192,0.30394,0.00011,0.00034,0.02078,0.09223,0.0244,0.01946,0.0004,0.00013,0.04072,2e-05,0.0089,0.00023,1e-05,0.03051,8e-05,0.0003,5e-05,1e-05,0.01179,0.00231,0.04016,0.0088,0.09111,1e-05,0.00039,0.01181,5e-05,0.00386,0.00025,0.00708,1.38953,0.47901,5e-05,0.00112,0.02479,0.02263,3e-05,8e-05,0.0001,6e-05,0.02107,0.02929,0.00033,0.04772,1e-05,0.04058,0.0024,4e-05,0.01415,0.07407,0.03639,0.00124,0.00013,2e-05,2e-05,0.0001,0.0001
0.14,0.00158,0.0013,3e-05,0.03022,5e-05,0.00096,3e-05,9e-05,8e-05,0.01203,0.30281,9e-05,0.00028,0.02081,0.09218,0.02471,0.01938,0.0003,0.0001,0.04052,4e-05,0.00882,0.00018,1e-05,0.03033,7e-05,0.00025,5e-05,1e-05,0.01178,0.0023,0.04017,0.00877,0.09096,1e-05,0.00038,0.01234,4e-05,0.00378,0.0004,0.00706,1.38799,0.48091,5e-05,0.00141,0.02462,0.02239,2e-05,0.00032,0.00018,4e-05,0.02119,0.02887,0.00025,0.04773,1e-05,0.03933,0.00238,4e-05,0.0143,0.08339,0.03635,0.00125,0.00012,2e-05,2e-05,8e-05,8e-05
0.16,0.00149,0.00164,0,0.03128,1e-05,0.00115,1e-05,0,0,0.01208,0.30059,1e-05,8e-05,0.0208,0.09185,0.02487,0.01927,6e-05,1e-05,0.04014,1e-05,0.00874,5e-05,0,0.03005,0,0.0001,1e-05,1e-05,0.01164,0.0023,0.04014,0.00871,0.09069,0,0.0003,0.01254,0,0.00367,0.00054,0.00702,1.38663,0.4816,1e-05,0.00037,0.0243,0.02201,0,5e-05,1e-05,2e-05,0.02105,0.02829,1e-05,0.04771,0,0.03831,0.00235,1e-05,0.01438,0.09158,0.0363,0.00126,4e-05,0,1e-05,0,1e-05
0.18,0.00143,0.00202,2e-05,0.03244,8e-05,0.0014,2e-05,0.00015,0.00035,0.01216,0.29926,9e-05,0.00025,0.02082,0.09169,0.02523,0.01915,0.00012,7e-05,0.04018,2e-05,0.00867,0.00018,1e-05,0.02987,8e-05,0.00019,2e-05,1e-05,0.01168,0.0023,0.04019,0.00877,0.09079,0,0.0003,0.0124,3e-05,0.00367,0.00075,0.00701,1.38571,0.48249,2e-05,0.00067,0.02442,0.02191,3e-05,8e-05,4e-05,4e-05,0.02121,0.02819,0.00019,0.04765,1e-05,0.03665,0.00232,3e-05,0.01466,0.10266,0.0363,0.00128,8e-05,1e-05,2e-05,8e-05,4e-05
0.2,0.00136,0.00232,0,0.0336,0,0.00132,0,0,4e-05,0.01225,0.29764,0,1e-05,0.02077,0.09139,0.02548,0.01899,1e-05,0,0.03983,0,0.00861,1e-05,0,0.02964,0,1e-05,0,0,0.01156,0.00229,0.04013,0.0087,0.09064,0,0.00023,0.01184,0,0.00351,0.00062,0.00692,1.3841,0.48373,0,2e-05,0.02397,0.0215,0,0,1e-05,3e-05,0.02109,0.02773,4e-05,0.04753,0,0.03543,0.00228,0,0.01469,0.10938,0.03629,0.00128,1e-05,0,0,0,0
0.22,0.00127,0.00266,3e-05,0.03498,4e-05,0.00177,4e-05,2e-05,9e-05,0.01244,0.29827,7e-05,0.00021,0.02092,0.09097,0.02558,0.01892,9e-05,8e-05,0.03989,2e-05,0.00866,7e-05,1e-05,0.02988,4e-05,0.00011,1e-05,4e-05,0.01176,0.00229,0.04024,0.00878,0.09099,1e-05,0.00023,0.01092,2e-05,0.00343,0.00101,0.00676,1.38274,0.48962,2e-05,0.00029,0.02383,0.02161,3e-05,4e-05,8e-05,9e-05,0.02115,0.02771,0.00028,0.04754,2e-05,0.03678,0.00233,2e-05,0.01464,0.10174,0.03632,0.00131,0.00012,1e-05,3e-05,0.0001,0.00011
0.24,0.00115,0.00282,0,0.03633,0,0.00107,0,0,0,0.01261,0.29887,0,0,0.021,0.09041,0.02551,0.01871,0,0,0.03933,0,0.0087,0,0,0.03007,0,0,0,0,0.01157,0.00227,0.04014,0.0087,0.09055,0,8e-05,0.00959,0,0.00325,0.00023,0.0065,1.38117,0.49665,0,0,0.02321,0.02141,0,0,0,0,0.02094,0.02722,0,0.04753,0,0.03859,0.00239,0,0.01442,0.08989,0.03636,0.00128,0,0,0,0,0
0.26,0.00114,0.00313,3e-05,0.03779,4e-05,0.0014,5e-05,4e-05,0.00014,0.01282,0.29989,9e-05,0.00018,0.02108,0.0899,0.02561,0.01854,0.00056,0.00011,0.03926,3e-05,0.00873,0.00019,1e-05,0.03033,5e-05,0.00023,3e-05,1e-05,0.01173,0.00227,0.0402,0.0088,0.09081,3e-05,9e-05,0.008,6e-05,0.00316,0.00049,0.00629,1.37969,0.50308,6e-05,0.00063,0.02303,0.02148,1e-05,9e-05,7e-05,4e-05,0.02142,0.02732,0.00019,0.04754,1e-05,0.03965,0.00244,1e-05,0.01434,0.08122,0.03644,0.00129,8e-05,1e-05,2e-05,0.00012,8e-05
0.28,0.00103,0.00342,3e-05,0.03918,4e-05,0.00143,5e-05,4e-05,0.00013,0.01298,0.30056,8e-05,0.00017,0.02112,0.08924,0.02567,0.0183,0.00053,0.0001,0.03895,3e-05,0.00876,0.00018,1e-05,0.03054,5e-05,0.00023,3e-05,1e-05,0.01176,0.00226,0.0402,0.0088,0.09074,3e-05,8e-05,0.00618,5e-05,0.00304,0.00047,0.00604,1.37813,0.5111,6e-05,0.00061,0.02256,0.02142,1e-05,9e-05,7e-05,4e-05,0.02123,0.02712,0.00018,0.04758,1e-05,0.04075,0.00251,1e-05,0.01417,0.07166,0.03651,0.00129,8e-05,1e-05,2e-05,0.00012,8e-05
0.3,0.00096,0.00367,2e-05,0.04047,3e-05,0.00143,4e-05,3e-05,0.0001,0.01305,0.30086,7e-05,0.00015,0.02113,0.08854,0.02574,0.018,0.00045,8e-05,0.03855,2e-05,0.00877,0.00014,0,0.03069,4e-05,0.0002,3e-05,1e-05,0.01176,0.00225,0.04018,0.00879,0.0907,3e-05,7e-05,0.00423,4e-05,0.00288,0.00041,0.00574,1.37619,0.51584,5e-05,0.0005,0.02202,0.02128,2e-05,6e-05,5e-05,3e-05,0.02089,0.02688,0.00015,0.04763,1e-05,0.04131,0.00258,1e-05,0.01402,0.06438,0.03658,0.00129,6e-05,1e-05,1e-05,0.0001,6e-05
0.32,0.00103,0.00385,0,0.04154,0,0.00125,6e-05,0,0,0.01293,0.29982,4e-05,1e-05,0.02101,0.08788,0.02585,0.0176,0.00152,0.00013,0.03795,0,0.00873,0.00013,0,0.03067,0,1e-05,0,0,0.01166,0.00223,0.04015,0.00873,0.09095,2e-05,8e-05,0.00225,1e-05,0.00267,0.00017,0.00539,1.37335,0.51026,2e-05,7e-05,0.02144,0.02087,0,0,1e-05,0,0.02168,0.02687,1e-05,0.04765,0,0.04024,0.00258,0,0.01396,0.06309,0.03662,0.00128,1e-05,0,0,3e-05,6e-05
0.34,0.00112,0.00397,0,0.04256,0,0.00123,1e-05,0,0,0.01271,0.29898,0,1e-05,0.02089,0.08716,0.02599,0.01715,0.00047,2e-05,0.03745,0,0.0087,2e-05,0,0.03063,0,0,0,0,0.01165,0.0022,0.04014,0.00871,0.0911,2e-05,3e-05,0.00041,0,0.00248,8e-05,0.00494,1.3701,0.50166,0,1e-05,0.02081,0.02053,0,0,0,0,0.01999,0.02639,0,0.04766,0,0.03873,0.00258,0,0.01398,0.06373,0.03668,0.00128,1e-05,0,0,0,2e-05
0.36,0.00111,0.00414,0.00154,0.0436,1e-05,0.0013,2e-05,0,1e-05,0.01248,0.29876,1e-05,3e-05,0.02079,0.08625,0.02612,0.01663,0.00031,5e-05,0.03694,0,0.00868,3e-05,0,0.03062,1e-05,1e-05,0,0,0.01166,0.00218,0.04015,0.00872,0.09144,1e-05,1e-05,0.00034,0,0.00231,0.00011,0.00453,1.36674,0.49512,1e-05,9e-05,0.0203,0.02025,0,0,1e-05,1e-05,0.01949,0.02631,2e-05,0.0477,0,0.03784,0.00258,0,0.01398,0.0635,0.03675,0.00129,1e-05,0,0,1e-05,3e-05
0.38,0.00106,0.0044,0.00277,0.04469,0.00014,0.00188,0.0001,8e-05,0.00012,0.01229,0.29992,0.00018,0.00066,0.02077,0.08523,0.02633,0.01616,0.00152,0.00043,0.03701,5e-05,0.00868,0.00062,1e-05,0.03073,0.00015,0.00016,3e-05,1e-05,0.01201,0.00219,0.04028,0.0089,0.09224,3e-05,7e-05,0.00037,6e-05,0.00227,0.00065,0.00417,1.36299,0.48709,0.00016,0.00178,0.02039,0.02039,5e-05,0.00012,0.0002,0.00015,0.0207,0.02724,0.00063,0.0478,2e-05,0.03754,0.00259,4e-05,0.01417,0.06346,0.03683,0.0013,0.00022,4e-05,4e-05,0.00023,0.00018
0.4,0.0009,0.00458,0.00348,0.04577,0.00013,0.00185,9e-05,3e-05,0.0004,0.01188,0.30051,0.00016,0.0006,0.02072,0.08391,0.02637,0.01545,0.00141,0.00039,0.0363,5e-05,0.00868,0.00057,1e-05,0.0307,0.00014,0.00043,6e-05,3e-05,0.01197,0.00217,0.0403,0.00889,0.09246,3e-05,7e-05,0.00035,0.00012,0.0021,0.0006,0.00369,1.35886,0.48233,0.00015,0.00162,0.0198,0.02008,5e-05,0.00017,0.00018,0.00013,0.02055,0.02694,0.00057,0.04784,3e-05,0.03711,0.00258,3e-05,0.01415,0.0636,0.0369,0.00131,0.00019,4e-05,4e-05,0.00021,0.00016
