T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0.03693,0,0.00105,0.01956,0,0,0.02971,0.59247,0,0,0.03325,0.16322,0.03375,0.03814,0.0103,0,0.02016,0.10069,0,0.03318,0.13056,0,0.31813,0,0.06931,0.05359,0.00027,0.09577,0,0,0.00939,0.00907,0.00221,0.0083,0,0.00166,0,0,1,0.40802,0,0,0.01709,0.03787,0,0,0,0,0,0.01149,0,0,0.13295,0,0,0.06773,0,0.06101,0,0,0,0,0.08233,0.08407,0
0.02,3e-05,3e-05,7e-05,0.03759,8e-05,0.00128,0.02017,7e-05,5e-05,0.02998,0.59138,0.00021,0.00055,0.03434,0.16373,0.03304,0.03861,0.01159,0.00023,0.02008,0.10116,0,0.03368,0.13155,9e-05,0.31225,0.00116,0.06924,0.05344,0.00026,0.09594,7e-05,0.00021,0.00974,0.00943,0.00168,0.00936,0.00015,0.00103,0.00031,5e-05,1,0.41011,0.00012,0.00054,0.01747,0.03856,5e-05,9e-05,0.00014,0.0001,0.00057,0.01136,0.00071,2e-05,0.13427,0.00025,0,0.06726,0.00013,0.06066,4e-05,1e-05,0.00073,2e-05,0.08204,0.08853,0.00059
0.04,3e-05,3e-05,8e-05,0.03814,0.00048,0.00137,0.02066,0.00014,5e-05,0.03027,0.58537,0.00023,0.00061,0.03545,0.16448,0.03219,0.03852,0.01167,0.00025,0.01975,0.10162,2e-05,0.03413,0.13263,9e-05,0.30558,0.0018,0.06915,0.05329,0.00041,0.09612,8e-05,0.00024,0.00987,0.00985,0.00112,0.01059,0.00016,0.00115,0.00034,5e-05,1,0.41073,0.00013,0.00061,0.01744,0.03885,5e-05,0.00012,0.00016,0.0001,0.00064,0.0109,0.00078,3e-05,0.13581,0.00028,0,0.06679,0.00013,0.06015,6e-05,1e-05,0.00177,4e-05,0.08174,0.09306,0.00066
0.06,2e-05,2e-05,6e-05,0.03868,0.00076,0.00139,0.02109,4e-05,3e-05,0.03059,0.57553,0.00018,0.00047,0.03662,0.16538,0.03129,0.03799,0.01104,0.00019,0.0194,0.10205,1e-05,0.03467,0.13383,7e-05,0.29826,0.00143,0.06903,0.05318,0.00034,0.09631,4e-05,9e-05,0.00991,0.01031,0.00055,0.01195,0.00012,0.00092,0.00025,4e-05,1,0.4099,9e-05,0.00043,0.01729,0.03898,4e-05,7e-05,0.00012,8e-05,0.0005,0.01042,0.00059,1e-05,0.13739,0.00023,1e-05,0.06638,5e-05,0.05946,2e-05,1e-05,0.00237,2e-05,0.08144,0.09761,0.00051
0.08,0,0.00038,1e-05,0.0392,0.00103,0.00134,0.02144,0,0,0.03087,0.56375,3e-05,0.0001,0.03767,0.16642,0.03048,0.03716,0.00988,4e-05,0.01887,0.10252,0,0.03588,0.13509,1e-05,0.29167,0.00021,0.06893,0.05313,0.00015,0.09654,0,1e-05,0.00983,0.01089,0.00042,0.01336,2e-05,0.00064,5e-05,1e-05,1,0.40835,1e-05,2e-05,0.01694,0.0389,0,0,3e-05,1e-05,9e-05,0.00978,0.0001,0,0.13918,5e-05,0,0.06591,0,0.05975,0,0,0.00277,0,0.08116,0.10235,0.0001
0.1,0,0.00064,0,0.03981,0.00115,0.00137,0.0218,0,0,0.03118,0.55137,0,0,0.03881,0.16713,0.02963,0.03601,0.0087,0,0.01895,0.10295,0,0.03668,0.1366,0,0.2836,0,0.06879,0.05316,0,0.09682,0,0,0.00987,0.01147,0.00022,0.01476,0,0.00015,0,0,1,0.40471,0,0,0.01691,0.03902,0,0,0,0,0,0.00978,0,0,0.14051,0,0,0.0657,0,0.05864,0,0,0.00322,0,0.0809,0.10724,0
0.12,2e-05,0.0009,3e-05,0.04043,0.00141,0.00151,0.02214,6e-05,3e-05,0.0315,0.53931,8e-05,0.00024,0.04019,0.16663,0.02834,0.03442,0.00719,9e-05,0.02016,0.10321,1e-05,0.03528,0.13863,7e-05,0.27037,0.00115,0.06852,0.05331,8e-05,0.09708,5e-05,0.00011,0.01004,0.01195,0.00022,0.0161,6e-05,0.00016,0.00011,2e-05,1,0.39746,6e-05,0.00061,0.01721,0.03932,3e-05,4e-05,6e-05,6e-05,0.00038,0.01077,0.00035,3e-05,0.14059,0.00012,2e-05,0.06619,5e-05,0.05295,2e-05,1e-05,0.00409,2e-05,0.08065,0.11227,0.00025
0.14,0,0.00091,0,0.04094,0.00153,0.00149,0.02236,0,0,0.0316,0.52936,0,0,0.04122,0.16417,0.02689,0.03252,0.00464,0,0.02139,0.10327,0,0.03295,0.1408,0,0.25643,0,0.06818,0.05344,0,0.09728,0,0,0.01,0.01242,1e-05,0.01729,0,0,0,0,1,0.38694,0,0,0.01702,0.03916,0,0,0,0,0,0.01166,0,0,0.13997,0,0,0.06685,0,0.04609,0,0,0.00465,0,0.08038,0.11719,0
0.16,0,0.0011,0,0.04166,0.00195,0.00159,0.02259,0,6e-05,0.03158,0.5264,1e-05,0,0.0418,0.16046,0.02576,0.03076,0.00296,2e-05,0.02287,0.1033,0,0.03137,0.14299,0,0.24499,0.00023,0.06791,0.05348,2e-05,0.09752,1e-05,0,0.01008,0.01307,1e-05,0.01837,0,6e-05,3e-05,0,1,0.37288,1e-05,5e-05,0.01706,0.03917,0,0,1e-05,1e-05,3e-05,0.01307,3e-05,1e-05,0.13918,2e-05,0,0.06744,0,0.0408,0,0,0.00542,0,0.08011,0.12208,3e-05
0.18,0,0.00126,0,0.04259,0.00227,0.00166,0.02283,0,0,0.0313,0.53105,0,0,0.042,0.15447,0.02462,0.0288,0.00134,0,0.02369,0.10332,0,0.02932,0.14522,0,0.23387,0,0.06766,0.05358,0,0.0978,0,0,0.01014,0.01391,0,0.01931,0,0,0,0,1,0.36117,0,0,0.01701,0.03916,0,0,0,0,0,0.01471,0,0,0.13792,0,0,0.06813,0,0.03511,0,0,0.00621,0,0.07973,0.12696,0
