T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,19.76202,-3.94939,2.50626,4.20994,0.07622,0.05417,6.18585,0.45755,-0.01429,2.03399,-0.02075,0.08288,-0.19952,5.71867,2.65304,0.5608,1.75905,0.06958,-0.11709,0.19815,-6.26973,2.5719,-0.17294,-2.09107,0.20182,-0.10664,-0.02515,-3.46678,6.4026,-0.68444,-2.2863,0.24564,0.18882,0.12432
0.02,18.76113,-4.04317,2.53908,4.15269,0.07705,0.05224,6.17468,0.45303,-0.01408,2.0239,-0.0203,0.08251,-0.19764,5.70348,2.61572,0.55482,1.74988,0.06885,-0.1152,0.19653,-6.57359,2.49349,-0.17683,-2.16588,0.20218,-0.09898,-0.02395,-3.95064,6.21155,-0.62807,-2.19371,0.24839,0.17938,0.12
0.04,17.72001,-4.11187,2.57657,4.09189,0.07909,0.05062,6.16152,0.4442,-0.01447,2.0122,-0.01994,0.08184,-0.19549,5.67695,2.57848,0.54819,1.73534,0.068,-0.11318,0.19416,-6.8973,2.40977,-0.18738,-2.24157,0.20223,-0.09148,-0.02282,-4.40926,5.93298,-0.56921,-2.1026,0.2501,0.16819,0.11379
0.06,16.64363,-4.16749,2.60557,4.0282,0.08156,0.04915,6.14751,0.42759,-0.01584,1.99994,-0.01977,0.08069,-0.19325,5.64273,2.53902,0.54081,1.71731,0.06703,-0.11092,0.19125,-7.22352,2.32,-0.2051,-2.31339,0.20216,-0.08452,-0.02187,-4.84096,5.57849,-0.51073,-2.01399,0.25091,0.15564,0.10593
0.08,15.4848,-4.22687,2.60873,3.96205,0.08501,0.04766,6.13999,0.3994,-0.01806,1.98938,-0.0197,0.07908,-0.19118,5.60995,2.49213,0.53268,1.69847,0.06599,-0.10835,0.18807,-7.56273,2.23762,-0.2267,-2.38385,0.20269,-0.07608,-0.02057,-5.28039,5.17714,-0.45381,-1.91863,0.25137,0.14126,0.09659
0.1,14.38577,-4.29942,2.57916,3.89542,0.08496,0.04585,6.12608,0.35673,-0.0227,1.97948,-0.02018,0.07639,-0.18945,5.57305,2.44279,0.52376,1.68029,0.06482,-0.10538,0.18485,-7.83792,2.13373,-0.25781,-2.43496,0.20266,-0.07146,-0.02034,-5.66027,4.74882,-0.40462,-1.84045,0.25103,0.12828,0.08726
0.12,13.51094,-4.39547,2.51242,3.82942,0.07674,0.0434,6.09028,0.29678,-0.0317,1.9686,-0.0217,0.07188,-0.18819,5.52424,2.39729,0.51395,1.66399,0.06342,-0.10197,0.18176,-7.97563,1.9771,-0.30823,-2.45554,0.20014,-0.07727,-0.02283,-5.9161,4.30452,-0.36479,-1.80651,0.24947,0.12034,0.07955
0.14,12.71784,-4.53942,2.39809,3.7639,0.06342,0.0402,6.04994,0.21925,-0.04335,1.95944,-0.02377,0.06621,-0.18752,5.47816,2.34766,0.50348,1.65126,0.06195,-0.09818,0.179,-8.05821,1.81593,-0.36387,-2.46693,0.19639,-0.08623,-0.02608,-6.14731,3.88731,-0.32925,-1.78957,0.24785,0.11487,0.07308
0.16,11.88011,-4.74841,2.23406,3.69837,0.04719,0.03609,6.0206,0.12679,-0.05601,1.95485,-0.02595,0.06004,-0.18756,5.44675,2.28921,0.49276,1.64331,0.06053,-0.09414,0.17672,-8.14366,1.67888,-0.41182,-2.48207,0.19294,-0.09294,-0.02868,-6.43613,3.51978,-0.295,-1.76658,0.24694,0.10958,0.06737
0.18,11.02436,-5.02525,2.02723,3.63078,0.02638,0.03091,6.0003,0.02309,-0.07008,1.95528,-0.02837,0.05326,-0.18844,5.42902,2.22629,0.48209,1.64097,0.05912,-0.08995,0.17502,-8.18789,1.54238,-0.45494,-2.49253,0.18824,-0.10137,-0.03179,-6.7863,3.1766,-0.25962,-1.74121,0.24656,0.10523,0.06266
0.2,10.252,-5.37931,1.78787,3.56742,-0.00072,0.0245,5.98469,-0.09066,-0.08453,1.95879,-0.03081,0.04636,-0.18994,5.41879,2.16216,0.47152,1.64153,0.05783,-0.08578,0.17375,-8.21918,1.41371,-0.48027,-2.50238,0.18499,-0.10677,-0.0342,-7.15055,2.91251,-0.2281,-1.73273,0.24655,0.10277,0.05973
0.22,9.6577,-5.8102,1.52695,3.51601,-0.0348,0.01688,5.97123,-0.21216,-0.09785,1.96409,-0.03298,0.03998,-0.19189,5.41072,2.09956,0.4613,1.64241,0.05679,-0.08184,0.17278,-8.29068,1.31832,-0.47421,-2.51934,0.18713,-0.1026,-0.0339,-7.47592,2.77993,-0.20483,-1.75998,0.2467,0.10278,0.05905
0.24,9.17363,-6.29664,1.24859,3.46884,-0.07444,0.00806,5.96547,-0.33742,-0.1104,1.97413,-0.03504,0.03395,-0.1946,5.4101,2.03923,0.45172,1.6465,0.05592,-0.07815,0.1724,-8.35424,1.24211,-0.45022,-2.53403,0.19075,-0.09506,-0.03249,-7.81183,2.68938,-0.18264,-1.80611,0.24695,0.1041,0.05957
0.26,8.72157,-6.81117,0.95515,3.41925,-0.11764,-0.00183,5.97512,-0.46214,-0.12257,1.99178,-0.0371,0.02822,-0.19833,5.42351,1.98056,0.44308,1.65677,0.05518,-0.07472,0.17288,-8.38515,1.17148,-0.42083,-2.545,0.19301,-0.08877,-0.03118,-8.20542,2.57264,-0.1563,-1.85386,0.2473,0.10562,0.06043
0.28,8.29636,-7.31665,0.65069,3.36989,-0.16217,-0.01233,6.00599,-0.57987,-0.13417,2.01797,-0.03915,0.02299,-0.20312,5.45375,1.92369,0.43608,1.67424,0.05457,-0.07169,0.17436,-8.42163,1.1312,-0.38407,-2.55818,0.19515,-0.08062,-0.02888,-8.64292,2.43546,-0.12669,-1.90451,0.24759,0.10718,0.06156
0.3,8.05056,-7.81528,0.33741,3.32122,-0.209,-0.02375,6.04022,-0.70601,-0.14471,2.0491,-0.04106,0.01829,-0.20868,5.48851,1.86627,0.42853,1.69573,0.05415,-0.06871,0.17666,-8.42405,1.09457,-0.34683,-2.57142,0.19595,-0.0734,-0.02641,-9.05654,2.26416,-0.09702,-1.97085,0.24764,0.10914,0.06279
0.32,8.12652,-8.31997,0.01687,3.27257,-0.25984,-0.03648,6.05431,-0.86078,-0.15369,2.08063,-0.04268,0.01409,-0.21465,5.51458,1.80348,0.41799,1.71787,0.054,-0.06529,0.17957,-8.34281,1.00351,-0.31719,-2.58023,0.19434,-0.07132,-0.02537,-9.3665,2.03991,-0.07122,-2.06837,0.24719,0.11181,0.06381
