T,RSRFy
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,0
0.54,0
0.56,0
0.58,0
0.6,0
0.62,0
0.64,0
0.66,0
0.68,0
0.7,0
0.72,0
0.74,0
0.76,0
0.78,0
0.8,0
0.82,0
0.84,0
0.86,0
0.88,0
0.9,0
0.92,0
0.94,0
0.96,0
0.98,0
1,0
1.02,0
1.04,0
1.06,0
1.08,0
1.1,0
1.12,685.7871
1.14,729.89976
1.16,773.28345
1.18,816.51706
1.2,858.49963
1.22,899.89526
1.24,936.78415
1.26,952.5477
1.28,945.76581
1.3,921.0511
1.32,879.93902
1.34,822.62475
1.36,750.09943
1.38,665.54558
1.4,574.70671
1.42,483.8253
1.44,398.19912
1.46,322.26778
1.48,259.53498
1.5,212.19453
1.52,181.50106
1.54,168.61065
1.56,174.02104
1.58,197.03433
1.6,235.33316
1.62,284.91205
1.64,341.09567
1.66,398.47623
1.68,452.09336
1.7,499.76209
1.72,541.37216
1.74,574.89119
1.76,599.42942
1.78,609.84064
1.8,608.58339
1.82,606.88728
1.84,605.78001
1.86,606.45465
1.88,609.28389
1.9,614.80531
1.92,623.31423
1.94,634.6501
1.96,648.59709
1.98,664.78929
2,682.47924
2.02,701.17186
2.04,720.68052
2.06,731.63719
2.08,731.04088
2.1,720.96071
2.12,698.87399
2.14,664.29886
2.16,618.26048
2.18,562.97232
2.2,502.50791
2.22,441.8322
2.24,385.31489
2.26,335.83493
2.28,294.79401
2.3,262.59098
2.32,238.88475
2.34,222.67726
2.36,212.68889
2.38,207.61015
2.4,206.14218
2.42,207.1323
2.44,209.81338
2.46,213.77856
2.48,218.91736
2.5,225.8338
2.52,235.41465
2.54,248.36843
2.56,265.39386
2.58,286.46171
2.6,317.04641
2.62,357.12979
2.64,396.21519
2.66,430.75001
2.68,463.16487
2.7,501.84865
2.72,546.09836
2.74,587.37902
2.76,622.32665
2.78,650.65318
2.8,672.53498
2.82,688.70777
2.84,695.72866
2.86,694.79319
2.88,693.24432
2.9,691.21
2.92,688.82053
2.94,686.20471
2.96,683.79678
2.98,681.97786
3,681.22847
3.02,681.26741
3.04,681.40462
3.06,681.8002
3.08,682.34073
3.1,682.60303
3.12,682.01219
3.14,681.02713
3.16,680.21008
3.18,679.56558
3.2,679.00624
3.22,678.47257
3.24,678.11043
3.26,677.91087
3.28,677.76389
3.3,670.93755
3.32,652.16938
3.34,626.0598
3.36,591.88026
3.38,549.43884
3.4,499.39887
3.42,443.73818
3.44,386.04668
3.46,330.609
3.48,280.92411
3.5,239.01126
3.52,205.62055
3.54,180.53487
3.56,162.84405
3.58,151.37442
3.6,144.66794
3.62,141.3235
3.64,140.42828
3.66,141.22488
3.68,143.00378
3.7,145.21585
3.72,147.46873
3.74,149.54557
3.76,151.28946
3.78,152.56202
3.8,153.2356
3.82,153.23653
3.84,152.56851
3.86,151.2651
3.88,149.40111
3.9,147.0603
3.92,144.40357
3.94,141.77346
3.96,139.58573
3.98,138.29535
4,138.46603
4.02,140.77799
4.04,146.04657
4.06,155.22124
4.08,169.34145
4.1,189.48436
4.12,216.65522
4.14,251.58258
4.16,294.45384
4.18,344.58045
4.2,399.98572
4.22,457.22533
4.24,512.13941
4.26,561.30156
4.28,602.80025
4.3,636.04605
4.32,661.34425
4.34,679.55471
4.36,686.11833
4.38,685.96814
4.4,686.05778
4.42,686.34453
4.44,686.77328
4.46,687.2864
4.48,687.8279
4.5,688.34806
4.52,688.81249
4.54,689.20551
4.56,689.52429
4.58,689.77482
4.6,689.9674
4.62,689.57055
4.64,689.18154
4.66,689.11847
4.68,689.376
4.7,689.95232
4.72,690.56227
4.74,690.55333
4.76,690.46938
4.78,690.28627
4.8,689.98221
4.82,689.54404
4.84,688.95948
4.86,688.2306
4.88,687.39177
4.9,686.45175
