T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00231,0,0.01686,0,0.08085,0.20947,9e-05,0.00162,0.00077,0,0.00263,0.0077,0.21116,0,0.00088,0.00207,0.01145,0.00263,0.01758,0,0.00035,0.00644,0.00237,0,0.00416,0.00517,0,0,0,0.00191,0,0,0.10443,0,0,0,1,0.0233,0,0.00023,0.08485,0.00289,0,0.00723,0.01533,0.03615,0.00266,0.00772,0,0,0.01217,0.00533,0.00825,0,0.0008,0.00062,0.00449,0.00089,0.00151,0.02741,0,0,0.00301,0,0.00044,0.00267,0.00228
0.02,0,0.00275,0,0.03351,0,0.09495,0.24384,8e-05,0.0015,0.00092,0,0.00241,0.00706,0.25929,0,0.00068,0.002,0.0107,0.00238,0.01802,0,0.00044,0.00501,0.00179,0,0.00371,0.00495,0,0.00068,0,0.00125,0,0,0.09388,0,0,0,1,0.02507,0,0.0002,0.09925,0.00153,0,0.00664,0.01614,0.03591,0.00286,0.01046,0,0,0.01199,0.00509,0.0077,0,0.00096,0,0.00518,0.00074,0.00108,0.03248,0,0,0.00296,0,0.0004,0.00245,0.00208
0.04,0,0.00322,0,0.05279,0,0.11021,0.27473,7e-05,0.00139,0.00113,0,0.00218,0.00644,0.30366,0,0.00049,0.00195,0.00982,0.00213,0.01803,0,0.00055,0.00338,0.00109,0,0.00322,0.00473,0,0.00168,0,0.00059,0,0,0.08619,0,0,0,1,0.02612,0,0.00018,0.1137,1e-05,0,0.00606,0.01688,0.03526,0.00307,0.01326,0,0,0.01192,0.00492,0.00717,0,0.00111,0,0.00576,0.00057,0.00065,0.03756,0,0,0.00297,0,0.00036,0.00224,0.00188
0.06,0,0.00373,0,0.07487,0,0.1266,0.30143,6e-05,0.00128,0.00141,0,0.00196,0.00584,0.34351,0,0.0003,0.00191,0.00882,0.0019,0.01758,0,0.00068,0.00154,0.00026,0,0.00266,0.00451,0,0.00286,0,0,0,0,0.08173,0,0,0,1,0.02633,0,0.00017,0.12815,0,0,0.0055,0.01753,0.03418,0.00329,0.01609,0,0,0.012,0.00486,0.00666,0,0.00123,0,0.00623,0.00037,0.00023,0.04259,0,0,0.00305,0,0.00032,0.00205,0.00169
0.08,0.00221,0.00428,0,0.0999,0,0.14406,0.32323,5e-05,0.00118,0.00177,0,0.00175,0.00526,0.37808,0,0.00012,0.00189,0.0077,0.00167,0.01666,0,0.00083,0,0,0,0.00204,0.00429,0,0.00423,0,0,0,0,0.08082,0,0,0,1,0.02554,0,0.00015,0.14254,0,0,0.00495,0.01809,0.03265,0.0035,0.01894,0,0.00101,0.01223,0.00492,0.00618,0,0.00131,0,0.00658,0.00014,0,0.04754,0,0.00013,0.00321,0,0.00028,0.00186,0.00151
0.1,0.02853,0.00486,0,0.128,0,0.1625,0.3394,4e-05,0.00109,0.00223,0.02634,0.00154,0.0047,0.40658,0,0,0.00189,0.00645,0.00146,0.01528,0,0.00101,0,0,0,0.00136,0.00405,0,0.0058,0.0008,0,0,0,0.08377,0,0,0.00067,1,0.02361,0,0.00014,0.15685,0,0,0.00442,0.01855,0.03066,0.00372,0.02176,0,0.00571,0.01263,0.00513,0.00573,0,0.00136,0,0.00679,0,0,0.05235,0,0.00031,0.00346,0,0.00025,0.00169,0.00134
0.12,0.05914,0.00548,0,0.15928,0,0.18178,0.34923,2e-05,0.001,0.00278,0.07736,0.00134,0.00418,0.42824,0,0,0.00192,0.00508,0.00127,0.01348,0,0.00122,0,0,0,0.0006,0.00381,0,0.00758,0.00056,0,0,0,0.09082,0,0,0.00226,1,0.02035,0,0.00014,0.17104,0,0,0.00392,0.0189,0.02822,0.00393,0.02452,0.00076,0.01162,0.01319,0.00553,0.00531,0,0.00135,0,0.00685,0,0,0.05698,0,0.00049,0.0038,0,0.00021,0.00154,0.00118
0.14,0.09434,0.00613,0.01067,0.19381,0,0.20175,0.35203,1e-05,0.00092,0.00343,0.12903,0.00115,0.00368,0.44237,0,0,0.00196,0.0036,0.00109,0.01133,0,0.00146,0,0,0,0,0.00355,0,0.00959,0,0,0,0,0.1021,0,0,0.004,1,0.0156,0,0.00013,0.18513,0,0,0.00344,0.01914,0.02538,0.00413,0.02717,0.00356,0.01858,0.01393,0.00615,0.00492,0,0.00129,0,0.00677,0,0,0.06137,0,0.00066,0.00425,0,0.00018,0.0014,0.00104
0.16,0.1344,0.00679,0.03416,0.23165,0,0.22219,0.34721,0,0.00084,0.00418,0.18131,0.00097,0.00322,0.44838,0,0,0.00203,0.00201,0.00094,0.00891,0,0.00173,0,0,0,0,0.00327,0,0.01182,0,0,0,0,0.11768,0,0,0.00591,1,0.00917,0,0.00014,0.19915,0,0,0.00298,0.01927,0.02217,0.00431,0.02965,0.00689,0.02636,0.01484,0.00705,0.00457,0,0.00116,0,0.00653,0,0,0.06547,0,0.00081,0.0048,0,0.00016,0.00128,0.00091
0.18,0.17959,0.00748,0.06096,0.27278,0.01829,0.24286,0.33425,0,0.00078,0.00505,0.23408,0.0008,0.00279,0.44582,0,0,0.00211,0.00033,0.0008,0.00635,0,0.00203,0,0,0,0,0.00297,0,0.0143,0,0,0,0,0.13749,0,0,0.00802,1,0.00088,0,0.00014,0.21318,0,0,0.00254,0.0193,0.01868,0.00446,0.03191,0.01077,0.03468,0.01593,0.00825,0.00425,0,0.00095,0,0.00616,0,0,0.06924,0,0.00095,0.00547,0,0.00013,0.00118,0.00079
