T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.01217,0,0.05217,0.89421,0,0,0.10116,0,0,0,0.45738,0,0,0.12936,0,0.00255,0,0.0069,0.00132,0.03427,0,0.11474,0,0.07203,0,0.34174,0.1628,0.29808,0,0.0503,0.3351,0,0,0,0,0.06055,0,0,0.40513,0.04765,0,0.57635,0.00643,0.00464,0,0.00466,0.04859,0,0.04806,0,0.01122,0,0,0,0.21461,0,0.13947,0,0.07265,0,0,0,0.22765,0,0,0.08888,0.14538,0.05863
0.02,0.01234,0,0.05434,0.86381,0,0,0.10188,0,0,0,0.45681,0,0,0.12812,0,0.0027,0,0.00683,0.00104,0.0341,0,0.11168,0,0.05289,0,0.27596,0.12327,0.30458,0,0.03729,0.34527,0,0,0,0,0.03598,0,0,0.38809,0.04547,0,0.55027,0.00622,0.00472,0,0.00432,0.04788,0,0.0459,0,0.01082,0,0,0,0.22936,0,0.12774,0,0.06788,0,0,0,0.21414,0,0,0.08154,0.19771,0.05882
0.04,0.01171,0,0.05692,0.80919,0,0,0.10298,0,0,0,0.4565,0,0,0.12694,0,0.00289,0,0.0068,0.00068,0.03353,0,0.10981,0,0.03429,0,0.21381,0.08611,0.31288,0,0.02513,0.35579,0,0,0,0,0.00895,0,0,0.35804,0.04195,0,0.52557,0.006,0.00457,0,0.00396,0.04748,0,0.0435,0,0.01045,0,0,0,0.24172,0,0.1109,0,0.06245,0,0,0,0.19581,0,0,0.07432,0.24707,0.0586
0.06,0.01041,0.00634,0.05964,0.73966,4e-05,9e-05,0.10436,0.00011,4e-05,5e-05,0.4567,8e-05,0.00018,0.12583,8e-05,0.00316,6e-05,0.00695,0.00033,0.03282,2e-05,0.10939,0.0001,0.01626,4e-05,0.15816,0.05512,0.32243,1e-05,0.01387,0.36592,5e-05,6e-05,0.00013,1e-05,0.00472,2e-05,2e-05,0.32239,0.0381,6e-05,0.50234,0.00582,0.00433,0.00025,0.00376,0.04713,5e-05,0.04104,6e-05,0.01017,0.00016,0.00019,0.00016,0.25212,2e-05,0.08844,2e-05,0.05682,7e-05,4e-05,4e-05,0.17358,6e-05,3e-05,0.06785,0.29191,0.05799
0.08,0.00903,0.01256,0.06223,0.66533,0.00012,0.00018,0.10575,0.00025,9e-05,0.00013,0.45704,0.00017,0.00039,0.12474,0.0001,0.00343,0.00012,0.00724,0.00023,0.03216,3e-05,0.11119,0.00017,0.0085,0.00011,0.10907,0.03365,0.33273,2e-05,0.00305,0.3754,0.00014,0.00021,0.00031,3e-05,0.00238,4e-05,9e-05,0.28864,0.03392,0.00012,0.48026,0.00566,0.00386,0.00042,0.00366,0.04688,0.00013,0.03828,0.00012,0.00965,0.00037,0.00122,0.00034,0.26408,2e-05,0.05682,0.01504,0.0517,0.00013,9e-05,0.00011,0.14664,0.00013,5e-05,0.0626,0.33163,0.05669
0.1,0.00702,0.01922,0.06405,0.59503,1e-05,1e-05,0.10698,1e-05,0,0,0.45727,0,0.00018,0.12353,3e-05,0.00354,1e-05,0.00718,1e-05,0.03087,0,0.11391,0.00017,0.00423,0,0.07071,0.01729,0.34235,0,0.00149,0.3819,0,0,2e-05,0,0.00109,1e-05,1e-05,0.25479,0.02684,0,0.45931,0.00537,0.00357,3e-05,0.00303,0.04607,0,0.03592,3e-05,0.00961,0.00016,0.00198,0.00012,0.27043,0,0.02448,0.03042,0.04671,5e-05,2e-05,0,0.12156,0.01005,0,0.0588,0.36488,0.05543
0.12,0.00384,0.02748,0.06461,0.53721,0,2e-05,0.10823,0,0,0,0.45835,0,3e-05,0.12268,1e-05,0.00358,1e-05,0.00708,0,0.0294,0,0.11601,2e-05,0.00257,0,0.04869,0.00272,0.34956,0,0.00082,0.3825,0,1e-05,1e-05,0,0.00048,0,0,0.2204,0.01905,0,0.44142,0.00516,0.00476,0,0.00284,0.04474,1e-05,0.03516,0,0.01078,2e-05,0.00292,2e-05,0.26442,0,0.0104,0.03939,0.04135,1e-05,1e-05,0,0.10488,0.01791,0,0.05686,0.39162,0.0554
0.14,0.00076,0.03575,0.06409,0.4928,0,0,0.1092,0,0,0,0.45983,0,0,0.122,0,0.00352,0,0.00711,0,0.02794,0,0.12028,0,0.00148,0,0.0362,0.00123,0.35721,0,0,0.3783,0,0,0,0,0,0,0,0.18779,0.00866,0,0.42546,0.00496,0.00663,0,0.0028,0.0434,0,0.03537,0,0.01235,0,0.00381,0,0.25462,0,0.00472,0.04519,0.03654,0,0.00866,0,0.09142,0.02411,0,0.05653,0.4131,0.05578
0.16,0.00059,0.04281,0.06269,0.4602,0,0.00043,0.10983,0,0,0,0.46201,1e-05,3e-05,0.12153,0,0.00334,0,0.00734,1e-05,0.02704,0,0.13269,0.00259,0.00107,0,0.0272,0.00078,0.36444,0,1e-05,0.37099,0,0,1e-05,0.00215,0,0,1e-05,0.15839,0.00117,0,0.41098,0.00482,0.0085,1e-05,0.00303,0.0424,0,0.03602,0,0.01348,2e-05,0.00482,1e-05,0.24804,0,0.00303,0.05481,0.0331,1e-05,0.01576,0,0.0771,0.03085,0,0.05744,0.43066,0.05568
0.18,0.00046,0.04878,0.06011,0.43678,0,0.00141,0.11023,0,1e-05,0,0.46711,0,1e-05,0.12151,0,0.00315,1e-05,0.00762,0,0.02627,0,0.14375,0.00507,0.00076,0,0.02444,0.00045,0.36801,0,0,0.36051,0,0,0,0.00301,0,0,0,0.12738,1e-05,0,0.39958,0.00474,0.01051,0,0.00341,0.04156,0,0.03784,0,0.01381,0,0.00512,0,0.24503,0,0.00187,0.07205,0.03118,0,0.02151,0,0.06285,0.03767,0,0.05928,0.44432,0.05476
0.2,0.00023,0.05392,0.05632,0.41683,7e-05,0.00252,0.11058,0.00023,0.00029,7e-05,0.47318,0.00033,0.0003,0.12178,0.00027,0.00291,0.00033,0.0083,0.00011,0.02605,0.00013,0.14969,0.00599,0.00036,0.00011,0.01925,0.00022,0.36931,2e-05,0.00024,0.34689,0.00011,0.00033,0.00024,0.00285,0.00013,1e-05,0.0001,0.08773,0.00082,9e-05,0.38826,0.00495,0.01266,0.00031,0.00478,0.04109,0.00014,0.04016,3e-05,0.01511,0.00019,0.00618,0.00017,0.23772,7e-05,0.00077,0.07655,0.03024,0.00026,0.02664,0.00058,0.0519,0.04223,0.00024,0.06197,0.45688,0.05469
0.22,0.00013,0.05846,0.05127,0.39294,7e-05,0.00417,0.11093,0.00017,0.00018,0.00016,0.47976,0.00021,0.00051,0.12169,0.00018,0.00278,0.00022,0.00926,0.00018,0.02678,7e-05,0.14619,0.00488,0.00019,0.00012,0.00134,0.00017,0.36939,3e-05,0.0002,0.33362,0.00012,0.00027,0.00017,0.00238,9e-05,4e-05,0.00013,0.02844,0.01023,0.00015,0.37218,0.00482,0.01481,0.00044,0.00553,0.04067,0.00012,0.04109,0.00051,0.01802,0.00051,0.00929,0.00052,0.2172,4e-05,0.00045,0.0449,0.03016,0.00016,0.03143,0.00028,0.04687,0.04188,0.00016,0.06554,0.47032,0.05735
0.24,8e-05,0.0624,0.04495,0.36333,0.00312,0.00506,0.11137,0.00012,0.00013,9e-05,0.48652,0.00012,0.00037,0.12188,0.0001,0.00225,0.00013,0.00971,0.00014,0.02719,3e-05,0.13876,0.00128,0.00011,8e-05,0.00077,0.0001,0.36642,2e-05,0.00011,0.32112,7e-05,0.00014,0.00012,0.00168,4e-05,2e-05,8e-05,0.01695,0.00534,8e-05,0.35657,0.00477,0.01659,0.00033,0.0065,0.04021,0.00015,0.04247,0.00028,0.02169,0.00029,0.01213,0.00033,0.19392,3e-05,0.00026,0.0035,0.031,0.01692,0.0355,0.00016,0.04417,0.03982,0.0001,0.07012,0.4836,0.06095
