T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.0263,0.20825,0,0,0.09152,0,0,0,0.47365,0.00064,0,0.10444,0,0.00046,0,0.01064,0,0.00865,0.11415,0.0077,0.07655,0.20003,0,0.78534,0.02779,0.09037,0,0,0.1589,0,0,0,0.03025,0.02494,0,0,0.0349,0.00388,0,0.18093,0.00504,0.03647,0,0,0.02478,0,0.01938,0,0.05304,0,0.01064,0,0,0,0,0,0.12769,0,0,0,0.01807,0.00955,0,0.14941,0.0111,0.02387
0.02,0,0,0.03034,0.20799,0,0,0.09299,0,0,0,0.4732,0.00087,0,0.10574,0,0.00055,0,0.01087,0,0.01001,0.11495,0.00801,0.07569,0.20122,0,0.78652,0.02698,0.08998,0,0,0.15894,0,0,0,0.03014,0.02489,0,0,0.03747,0.004,0,0.17518,0.00477,0.03522,0,0,0.02519,0,0.01456,0,0.05124,0,0.01159,0,0,0,0,0,0.12686,0,0,0,0.01762,0.00967,0,0.14805,0.01025,0.02324
0.04,0,0,0.03557,0.20405,0,0,0.09505,0,0,0,0.47276,0.00118,0,0.10753,0,0.0007,0,0.0111,0,0.01157,0.11572,0.00856,0.07392,0.20244,0,0.78746,0.02623,0.08958,0,0,0.15894,0,0,0,0.03,0.0249,0,0,0.04166,0.0044,0,0.16743,0.0045,0.03352,0,0,0.02587,0,0.0086,0,0.04903,0,0.01274,0,0,0,0,0,0.12601,0,0,0,0.01693,0.0098,0,0.1466,0.00938,0.02258
0.06,0,0,0.04195,0.19548,0,0,0.09769,0,0,0,0.47239,0.00155,0,0.10982,0,0.00088,0,0.01136,0,0.01328,0.11643,0.00933,0.07207,0.20364,0,0.7879,0.02553,0.08914,0,0,0.15888,0,0,0,0.0298,0.02501,0,0,0.04818,0.00518,0,0.1598,0.00422,0.03139,0,0,0.02674,0,0.00167,0,0.04651,0,0.01406,0,0,0,0,0,0.12516,0,0,0,0.016,0.00993,0,0.14509,0.00849,0.02191
0.08,0,0,0.04936,0.18167,1e-05,2e-05,0.10092,0,1e-05,1e-05,0.47227,0.00204,0.00013,0.11269,0.00477,0.00113,2e-05,0.01167,2e-05,0.01513,0.11697,0.01033,0.07051,0.20479,3e-05,0.78777,0.0249,0.08876,1e-05,1e-05,0.15877,2e-05,1e-05,2e-05,0.02957,0.02526,2e-05,5e-05,0.05817,0.00633,1e-05,0.15166,0.00399,0.02902,3e-05,0.00017,0.02783,2e-05,0.00163,7e-05,0.04394,3e-05,0.01553,4e-05,1e-05,1e-05,3e-05,1e-05,0.12434,2e-05,1e-05,0,0.01485,0.01,1e-05,0.14353,0.00763,0.02126
0.1,7e-05,8e-05,0.05746,0.16221,0.00022,0.00045,0.10481,0.00013,0.00021,0.0003,0.4733,0.00261,0.00058,0.11672,0.01004,0.00143,0.00046,0.01265,0.00036,0.01793,0.11746,0.01137,0.06884,0.20591,0.00028,0.78641,0.02454,0.08819,3e-05,0.00019,0.15867,0.00024,0.00026,0.00036,0.02929,0.02574,5e-05,0.00014,0.07372,0.00885,0.00025,0.14296,0.004,0.02665,0.00104,0.0005,0.02934,0.00045,0.00134,0.00022,0.04166,0.00077,0.01797,0.00081,2e-05,3e-05,0.00059,5e-05,0.12371,0.00034,0.00025,0.00015,0.01356,0.01038,0.00025,0.14221,0.00707,0.02079
0.12,6e-05,6e-05,0.06579,0.13682,0.00017,0.00035,0.10862,0.00014,0.00017,0.00024,0.4734,0.003,0.00045,0.12232,0.01599,0.00161,0.00037,0.01272,0.00029,0.01931,0.11794,0.01229,0.0662,0.20689,0.00025,0.78164,0.02392,0.0869,3e-05,0.00015,0.15822,0.0002,0.00021,0.00029,0.02874,0.02633,6e-05,0.00011,0.09637,0.01111,0.0002,0.13331,0.00381,0.02372,0.00081,0.00039,0.03041,0.00037,0.00109,0.00018,0.03886,0.00062,0.0195,0.00064,3e-05,2e-05,0.0005,0.0001,0.12319,0.00028,0.0002,0.00011,0.01219,0.01053,0.00022,0.14086,0.00635,0.02013
0.14,5e-05,5e-05,0.07403,0.11221,0.00014,0.00028,0.11294,0.00012,0.00014,0.0002,0.47411,0.0034,0.0004,0.12923,0.02229,0.00176,0.00033,0.01283,0.00024,0.0204,0.11827,0.01311,0.06344,0.20768,0.00019,0.77697,0.0234,0.08523,2e-05,0.00012,0.15761,0.00014,0.00018,0.00024,0.02815,0.0272,5e-05,0.00013,0.13166,0.01439,0.00016,0.12409,0.00373,0.02101,0.00064,0.00038,0.03139,0.0003,0.00092,0.00016,0.03666,0.00051,0.02106,0.00054,3e-05,2e-05,0.00044,8e-05,0.12281,0.00021,0.00017,9e-05,0.01078,0.01072,0.00019,0.13962,0.00576,0.01954
0.16,4e-05,4e-05,0.08188,0.10163,0.00011,0.00022,0.11943,0.00011,0.00011,0.00015,0.47787,0.0037,0.0003,0.13739,0.02838,0.00181,0.00027,0.01293,0.00019,0.02095,0.11825,0.01384,0.06087,0.20829,0.00018,0.77344,0.02307,0.08345,2e-05,0.0001,0.15683,0.00015,0.00014,0.00019,0.02763,0.0284,5e-05,0.00013,0.18938,0.0191,0.00012,0.11652,0.00379,0.01892,0.00056,0.00028,0.03193,0.00024,0.00078,0.00012,0.03559,0.0004,0.02241,0.00042,7e-05,2e-05,0.00039,5e-05,0.12256,0.00028,0.00013,8e-05,0.00938,0.0108,0.00014,0.13858,0.00529,0.01906
0.18,3e-05,3e-05,0.08873,0.0944,8e-05,0.00015,0.12651,9e-05,9e-05,0.00011,0.48424,0.00392,0.00025,0.14587,0.03344,0.00175,0.0002,0.01297,0.00014,0.02076,0.11739,0.0143,0.05879,0.20851,0.00012,0.76922,0.02244,0.08181,1e-05,7e-05,0.15611,9e-05,0.00011,0.00015,0.0273,0.03,5e-05,0.00013,0.29199,0.0264,8e-05,0.11155,0.00402,0.01769,0.00041,0.00028,0.03196,0.00017,0.00057,0.0001,0.036,0.00029,0.0235,0.00031,4e-05,2e-05,0.0003,5e-05,0.12237,0.00019,9e-05,6e-05,0.00835,0.01052,0.0001,0.13768,0.00503,0.01868
0.2,0,0,0.09415,0.09058,0,0,0.13397,0,0,0,0.49229,0.00396,0,0.15404,0.03772,0.00152,0,0.0128,0,0.01951,0.11674,0.01444,0.05638,0.20879,0,0.76553,0.02241,0.0791,0,0,0.15485,0,0,0,0.02743,0.03192,0,0,0.49464,0.03726,0,0.10719,0.00443,0.01772,0,0,0.03118,0,0.00012,0,0.03787,0,0.02412,0,0,0,0,0,0.1225,0,0,0,0.00719,0.01056,0,0.13717,0.00481,0.01847
0.22,0,0,0.09784,0.09056,0,0,0.1416,0,0,0,0.50247,0.00411,0,0.16146,0.04239,0.00123,0,0.01289,0,0.01786,0.11754,0.01425,0.053,0.20957,0,0.7639,0.02446,0.07392,0,0,0.15247,0,1e-05,1e-05,0.0277,0.03418,0,0,1,0.05939,0,0.10172,0.0053,0.01927,0,0,0.03002,0,0.00012,0,0.04156,1e-05,0.02487,1e-05,0,0,0,0,0.12334,0,0,0,0.00536,0.01205,0,0.13741,0.00468,0.01871
0.24,0,0,0.09918,0.09296,0,0,0.14839,0,0,0,0.51377,0.00415,0,0.16557,0.04518,0.00078,0,0.01285,0,0.01529,0.11855,0.01355,0.04967,0.21052,0,0.76366,0.02704,0.06752,0,0,0.14963,0,1e-05,0,0.02846,0.0368,0,0,1,0.10888,0,0.09737,0.00647,0.02252,1e-05,0,0.0286,0,4e-05,0,0.04711,0,0.02523,0,0,0,1e-05,0,0.12455,0,0,0,0.00376,0.01392,0,0.13817,0.00472,0.01926
0.26,0,0,0.09765,0.09636,1e-05,2e-05,0.15322,1e-05,1e-05,0,0.52514,0.00402,0.0001,0.16375,0.04434,0.00016,1e-05,0.01265,2e-05,0.01184,0.11888,0.01224,0.04718,0.21108,1e-05,0.76438,0.0293,0.06114,0,2e-05,0.14697,1e-05,3e-05,8e-05,0.03007,0.03984,0,8e-05,1,0.27056,0,0.09593,0.008,0.02762,5e-05,5e-05,0.02688,1e-05,4e-05,3e-05,0.05457,5e-05,0.02512,4e-05,0,0,5e-05,0,0.12587,1e-05,2e-05,0,0.00322,0.0154,1e-05,0.13928,0.00507,0.02007
0.28,1e-05,1e-05,0.09278,0.09997,2e-05,4e-05,0.15449,6e-05,2e-05,2e-05,0.53452,0.0036,0.00017,0.15322,0.03896,0.00013,2e-05,0.01216,2e-05,0.00766,0.11751,0.01019,0.04497,0.21063,7e-05,0.76584,0.03169,0.05426,0,3e-05,0.14417,2e-05,6e-05,8e-05,0.0324,0.04344,1e-05,0.00019,1,1,3e-05,0.0975,0.00984,0.03404,5e-05,5e-05,0.02499,1e-05,3e-05,0.00192,0.06376,7e-05,0.02434,8e-05,1e-05,1e-05,0.00019,2e-05,0.1276,4e-05,4e-05,1e-05,0.00382,0.01672,6e-05,0.14093,0.00562,0.02109
0.3,6e-05,9e-05,0.08499,0.10653,0.00015,0.00031,0.1532,0.00027,0.00012,0.00017,0.54188,0.00332,0.00108,0.13699,0.0303,0.00106,0.00028,0.01189,0.00024,0.00352,0.11842,0.00786,0.04387,0.21163,0.0004,0.7706,0.03411,0.0472,3e-05,0.00015,0.14171,0.0007,0.00036,0.00054,0.0358,0.04752,8e-05,0.00359,1,1,0.00016,0.09959,0.01227,0.04261,0.00086,0.00053,0.02319,0.0001,0.00019,0.00705,0.07375,0.00044,0.02356,0.00056,0.00023,4e-05,0.00114,0.00041,0.12927,0.00077,0.00021,6e-05,0.00521,0.01822,0.00022,0.14311,0.0066,0.02263
