T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-5.10595,-3.53778,1.89096,1.70225,-0.58597,-0.04499,4.01472,-3.91636,-0.14129,-0.74983,4.21137,0.01063,-0.19025,4.1692,-0.45242,0.01501,-0.97028,0.0837,-0.06483,0.04771,14.31622,1.11869,1.88623,25.51238,-11.74806,13.79611,0.76573,11.29702,-2.17446,-0.19239,18.25538,-14.7251,-0.24549,-0.83714
0.02,-5.06931,-3.53557,2.18104,1.67461,-0.60341,-0.04517,4.08715,-3.82278,-0.13387,-0.72524,4.21058,0.01452,-0.19264,4.22794,-0.34055,0.01796,-0.93933,0.08561,-0.07049,0.05506,14.40823,1.16579,1.88775,25.69235,-11.6733,13.80199,0.74334,11.22934,-2.11659,-0.19329,18.29374,-14.59331,-0.22687,-0.81486
0.04,-5.02696,-3.54476,2.55564,1.64047,-0.62684,-0.04537,4.18435,-3.70445,-0.12604,-0.69144,4.20958,0.01967,-0.19608,4.30221,-0.20186,0.02264,-0.90131,0.08775,-0.07723,0.06353,14.50092,1.2511,1.88382,25.87355,-11.59893,13.80772,0.72162,11.15263,-2.027,-0.19376,18.32928,-14.46003,-0.20769,-0.79191
0.06,-4.97858,-3.56969,3.00829,1.60055,-0.65602,-0.04555,4.3046,-3.56505,-0.11818,-0.64893,4.20836,0.02587,-0.20053,4.38887,-0.03936,0.02868,-0.8576,0.09008,-0.08498,0.07291,14.58925,1.37376,1.87441,26.05154,-11.52678,13.81345,0.70055,11.06325,-1.90669,-0.19345,18.36086,-14.32816,-0.18848,-0.7687
0.08,-4.93153,-3.61758,3.525,1.5567,-0.69063,-0.04556,4.44472,-3.41666,-0.11095,-0.6005,4.20742,0.03281,-0.20547,4.48483,0.13799,0.03536,-0.81235,0.09272,-0.0933,0.08278,14.66058,1.53764,1.86183,26.22481,-11.45609,13.82262,0.68038,10.97168,-1.75763,-0.19111,18.38387,-14.20135,-0.16962,-0.74602
0.1,-4.87369,-3.69161,4.07775,1.51102,-0.72822,-0.04543,4.59445,-3.25459,-0.10477,-0.54635,4.20588,0.04012,-0.21125,4.57588,0.32831,0.04225,-0.76568,0.09527,-0.10234,0.09261,14.73119,1.71642,1.84214,26.38383,-11.39625,13.82824,0.6618,10.8349,-1.58625,-0.18892,18.40272,-14.08278,-0.15209,-0.72389
0.12,-4.79794,-3.79684,4.62885,1.46465,-0.76677,-0.0453,4.73906,-3.07843,-0.0999,-0.48735,4.20255,0.04728,-0.21814,4.6408,0.52568,0.04899,-0.71872,0.09719,-0.11222,0.10158,14.80923,1.87175,1.81279,26.51075,-11.35677,13.82189,0.64235,10.61746,-1.41016,-0.18831,18.42819,-13.97534,-0.1375,-0.70217
0.14,-4.73033,-3.94468,5.14985,1.42308,-0.80554,-0.04497,4.87083,-2.91133,-0.09744,-0.43194,4.1991,0.05379,-0.22466,4.67452,0.71215,0.05431,-0.68203,0.09878,-0.12191,0.10876,14.87863,2.0153,1.77905,26.61526,-11.33306,13.81364,0.62537,10.34706,-1.22894,-0.18764,18.4449,-13.88488,-0.12558,-0.6829
0.16,-4.69668,-4.14539,5.61149,1.39058,-0.84438,-0.04434,4.97818,-2.77736,-0.0984,-0.38849,4.19678,0.05907,-0.2294,4.66697,0.86827,0.05676,-0.66622,0.10016,-0.13045,0.11315,14.91023,2.15095,1.74652,26.69751,-11.32126,13.81183,0.61161,10.05598,-1.05106,-0.18496,18.44271,-13.81727,-0.11638,-0.66763
0.18,-4.71658,-4.4069,5.97619,1.36608,-0.88447,-0.04367,5.04154,-2.69905,-0.10306,-0.36202,4.195,0.06221,-0.23169,4.59177,0.97283,0.05529,-0.67811,0.1008,-0.1374,0.1136,14.85714,2.24667,1.72208,26.72764,-11.32044,13.81445,0.58992,9.78143,-0.91867,-0.17657,18.44099,-13.77451,-0.1119,-0.65583
