T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.63272,-4.84024,2.54745,1.98629,-0.54329,-0.07584,5.44898,-0.4609,-0.12871,2.03845,-0.05061,0.03708,-0.20928,5.66616,1.30544,0.16528,2.05821,0.01995,0.02941,0.22177,13.23642,1.38608,0.95119,21.42575,-16.71242,14.57718,2.99378,10.46794,0.38188,-0.05088,13.91148,-19.31834,0.56078,-2.3041
0.02,0.70734,-4.88094,2.8706,1.95938,-0.55756,-0.07493,5.53787,-0.33493,-0.12146,2.07176,-0.05081,0.04269,-0.2126,5.75177,1.43854,0.17796,2.09588,0.02146,0.0235,0.22945,13.19238,1.48492,0.94087,21.46394,-16.69736,14.59239,2.9943,10.40863,0.45809,-0.05295,13.94202,-19.31409,0.55597,-2.31035
0.04,0.79641,-4.949,3.28761,1.9273,-0.57653,-0.07336,5.65694,-0.17889,-0.11235,2.11673,-0.0511,0.04978,-0.2171,5.85952,1.60511,0.19327,2.1433,0.02331,0.01648,0.23891,13.1412,1.62373,0.92707,21.49946,-16.68264,14.60769,2.99519,10.34565,0.56762,-0.05441,13.97229,-19.30981,0.55122,-2.31608
0.06,0.89929,-5.04878,3.79126,1.89081,-0.59981,-0.07099,5.80393,0.00208,-0.10184,2.17261,-0.0515,0.05808,-0.22268,5.98475,1.80101,0.21092,2.1983,0.02544,0.00841,0.24984,13.08005,1.80043,0.90991,21.53062,-16.66854,14.6229,2.99629,10.27527,0.70933,-0.05497,14.00202,-19.30551,0.54645,-2.32118
0.08,1.0049,-5.18591,4.36591,1.852,-0.62714,-0.06785,5.97459,0.19665,-0.09092,2.23754,-0.05207,0.06694,-0.22916,6.1223,2.0156,0.23007,2.25761,0.0278,-0.00036,0.26167,12.99955,2.01517,0.88984,21.55942,-16.65295,14.64049,2.99747,10.20828,0.87945,-0.0538,14.02673,-19.30161,0.54275,-2.32694
0.1,1.12563,-5.36132,4.98131,1.8124,-0.65562,-0.06341,6.15652,0.39817,-0.07975,2.30718,-0.0526,0.07604,-0.23609,6.25286,2.24308,0.25045,2.31461,0.03022,-0.00992,0.27351,12.91896,2.2449,0.86798,21.57956,-16.64135,14.65479,2.99902,10.09847,1.07607,-0.05228,14.05346,-19.29763,0.53802,-2.33032
0.12,1.26752,-5.57761,5.59684,1.77212,-0.68298,-0.05728,6.33198,0.59624,-0.0685,2.3754,-0.0528,0.08492,-0.2428,6.34798,2.47368,0.27172,2.35986,0.03244,-0.02027,0.28405,12.85051,2.4553,0.84592,21.57695,-16.64032,14.65776,2.99972,9.90658,1.28474,-0.05128,14.09568,-19.29203,0.52853,-2.32758
0.14,1.39483,-5.83973,6.18209,1.73732,-0.709,-0.04987,6.49098,0.77151,-0.05873,2.43699,-0.0528,0.09251,-0.24871,6.39856,2.68657,0.29213,2.38681,0.03438,-0.03067,0.29211,12.78438,2.64969,0.82505,21.56673,-16.64303,14.65813,3.00065,9.66083,1.50257,-0.04998,14.13689,-19.28668,0.51873,-2.32327
0.16,1.47267,-6.15142,6.7065,1.71238,-0.73432,-0.04174,6.61912,0.90472,-0.0521,2.48559,-0.05269,0.09775,-0.25316,6.38941,2.85997,0.30948,2.3873,0.03593,-0.04032,0.29633,12.69859,2.82335,0.80641,21.55497,-16.644,14.66242,3.00155,9.39428,1.71605,-0.0472,14.16575,-19.28298,0.51149,-2.3207
0.18,1.4749,-6.51835,7.13112,1.69461,-0.76118,-0.03352,6.69302,0.97737,-0.05001,2.51344,-0.05237,0.09967,-0.25536,6.28571,2.97174,0.32166,2.34943,0.03678,-0.04853,0.29508,12.55523,2.94145,0.79126,21.51767,-16.64467,14.66514,2.99725,9.14401,1.87492,-0.04016,14.20153,-19.27729,0.50299,-2.3179
