T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00947,0.38168,0,0,0.09241,0,0,0,0.46568,0,0,0.10885,0,0,0,0.00995,0,0.00861,0.14946,0,0.13222,0.20266,0,0.88058,0.05566,0.14866,0.01025,0,0.16881,0,0,0,0.024,0.03893,0,0,0.03393,0.00708,0,0.29414,0.00755,0.01603,0,0.00644,0.02612,0,0.07356,0.00124,0.06721,0,0.00453,0,0,0.00416,0,0,0.18259,0,0,0,0,0.02336,0,0.21917,0.07527,0.05287
0.02,0,0,0.00967,0.3929,0,1e-05,0.09081,0,0,0,0.46516,0,1e-05,0.10704,0,0,0,0.0099,0,0.0087,0.14981,0,0.1317,0.20255,0,0.8803,0.05546,0.1483,0.01051,0,0.16845,0,0,0,0.02384,0.03888,0,2e-05,0.03458,0.00733,0,0.29313,0.00742,0.01693,2e-05,0.00634,0.02585,1e-05,0.07294,0.00141,0.06814,1e-05,0.00495,2e-05,0,0.00404,2e-05,0,0.1826,0,0,0,0,0.0234,0,0.2191,0.07507,0.05262
0.04,0,0,0.00999,0.40789,0,0,0.08901,0,0,0,0.46475,0,0,0.1049,0,0,0,0.00982,0,0.00857,0.15019,0,0.13124,0.20238,0,0.87982,0.05529,0.14795,0.01078,0,0.16808,0,0,0,0.0236,0.03869,0,0,0.03544,0.00764,0,0.29092,0.00726,0.01798,0,0.00618,0.02549,0,0.07217,0.00152,0.0693,0,0.00537,0,0,0.00392,0,0,0.1826,0,0,0,0,0.02341,0,0.21902,0.07487,0.05238
0.06,1e-05,0,0.01048,0.42924,4e-05,6e-05,0.08702,2e-05,1e-05,6e-05,0.46453,3e-05,2e-05,0.10252,8e-05,2e-05,2e-05,0.00983,2e-05,0.00837,0.15061,0,0.1309,0.20217,9e-05,0.87934,0.05521,0.14763,0.01107,1e-05,0.16772,9e-05,2e-05,0.00015,0.02329,0.03833,1e-05,4e-05,0.03663,0.00812,1e-05,0.28754,0.0071,0.01921,3e-05,0.00609,0.02512,5e-05,0.07137,0.00163,0.07068,9e-05,0.00586,4e-05,2e-05,0.00378,7e-05,2e-05,0.18262,0.00011,4e-05,1e-05,0,0.02341,1e-05,0.21897,0.07471,0.05223
0.08,0,0,0.01111,0.45872,0,0,0.0849,0,0,0,0.46443,0,0,0.09989,0,0,0,0.00968,0,0.00805,0.15116,0,0.13056,0.20193,0,0.87844,0.055,0.14737,0.01134,0,0.16737,0,0,0,0.02294,0.03782,0,0,0.03827,0.00858,0,0.28313,0.00692,0.02033,0,0.00581,0.02473,0,0.07024,0.00161,0.07206,0,0.00626,0,0,0.00366,0,0,0.18257,0,0,0,0,0.02338,0,0.21889,0.07453,0.05191
0.1,0,0,0.01191,0.4998,0,0,0.08271,0,0,0,0.46456,0,0,0.09716,0,0,0,0.00961,0,0.00766,0.15153,0,0.13027,0.20165,0,0.87768,0.05497,0.14702,0.01168,0,0.16704,0,0,0,0.02235,0.03714,0,0,0.0421,0.0092,0,0.28026,0.00674,0.02155,0,0.0056,0.02436,0,0.06904,0.00159,0.07351,0,0.00669,0,0,0.00346,0,0,0.18255,0,0,0,0,0.02336,0,0.2189,0.0744,0.05169
0.12,0,0,0.01282,0.55602,0,0,0.08051,0,0,0,0.46488,0,0,0.09435,0,0,0,0.0095,0,0.00701,0.15128,0,0.12984,0.2013,0,0.87702,0.0554,0.14639,0.01217,0,0.16668,0,0,0,0.02123,0.0363,0,0,0.04911,0.00989,0,0.27642,0.00657,0.02292,0,0.00539,0.02394,0,0.06761,0.00154,0.07503,0,0.00708,0,0,0.00302,0,0,0.18255,0,0,0,0,0.02335,0,0.21904,0.07427,0.05154
0.14,0,0,0.01387,0.63159,0,0,0.0785,0,0,0,0.46547,0,0,0.09176,0,0,0,0.00939,0,0.0064,0.15097,0,0.12939,0.20095,0,0.87648,0.05595,0.14568,0.0127,0,0.16634,0,0,0,0.0198,0.03535,0,0,0.05724,0.01068,0,0.27225,0.00644,0.02414,0,0.00521,0.02362,0,0.06606,0.00149,0.07631,0,0.00744,0,0,0.00249,0,0,0.18254,0,0,0,0,0.02337,0,0.21927,0.07418,0.05141
0.16,0,0,0.01506,0.73218,0,0,0.07687,0,0,0,0.46638,0,0,0.08968,0,0,0,0.00929,0,0.00609,0.15084,0,0.12898,0.20067,0,0.87602,0.05634,0.14506,0.01319,0,0.16609,0,0,0,0.01821,0.03435,0,0,0.06655,0.01158,0,0.26863,0.00638,0.02496,0,0.00509,0.0235,0,0.06449,0.00144,0.07708,0,0.00774,0,0,0.00202,0,0,0.18251,0,0,0,0,0.02342,0,0.21955,0.07414,0.05128
0.18,0,0,0.01639,0.86603,0,0,0.07586,0,0,0,0.46752,0,0,0.08837,0,0,0,0.00921,0,0.00611,0.15073,0,0.12851,0.20046,0,0.87561,0.05675,0.14454,0.0137,0,0.16597,0,0,0,0.01633,0.03337,0,0,0.07683,0.01258,0,0.26606,0.0064,0.02527,0,0.00505,0.02355,0,0.06306,0.00143,0.07762,0,0.00797,0,0,0.00153,0,0,0.18247,0,0,0,0,0.02351,0,0.21992,0.0741,0.05123
