T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,6.12514,-5.59761,0.03699,1.75352,-0.48691,-0.06599,4.02499,-1.56663,-0.22077,1.56916,-0.04611,-0.0389,-0.16705,4.15201,0.49516,0.16065,1.41709,0.02128,-0.02222,0.1609,-2.05987,1.2305,-0.2612,-2.94306,0.32061,-0.16311,-0.05019,-2.09037,1.32584,-0.06739,-2.32438,0.31333,0.14632,0.04554
0.02,5.57159,-5.45378,-0.01318,1.73651,-0.45995,-0.06318,4.04989,-1.54879,-0.21845,1.57063,-0.04563,-0.03767,-0.16737,4.18842,0.50813,0.15859,1.43079,0.02077,-0.02035,0.1615,-2.0846,1.22103,-0.26127,-2.95151,0.31874,-0.1611,-0.04854,-2.15917,1.28569,-0.06211,-2.32512,0.31262,0.14563,0.04508
0.04,4.99373,-5.29185,-0.07333,1.71787,-0.4312,-0.06034,4.06129,-1.53427,-0.21621,1.56629,-0.04504,-0.03659,-0.167,4.21552,0.52162,0.15603,1.44049,0.02012,-0.01848,0.1616,-2.10846,1.21134,-0.26151,-2.96001,0.31677,-0.1591,-0.04691,-2.23693,1.24162,-0.05562,-2.32663,0.31184,0.14489,0.04459
0.06,4.40275,-5.11637,-0.13723,1.69853,-0.40153,-0.0575,4.06045,-1.52056,-0.21391,1.55673,-0.04436,-0.03557,-0.16599,4.23423,0.53768,0.1532,1.44637,0.01936,-0.01675,0.16127,-2.12972,1.20284,-0.26205,-2.96742,0.3147,-0.15709,-0.04528,-2.32236,1.19406,-0.04779,-2.3286,0.31099,0.1441,0.04409
0.08,3.80242,-4.91781,-0.1981,1.67868,-0.36916,-0.05437,4.0498,-1.50013,-0.21083,1.54329,-0.04358,-0.03418,-0.16455,4.2466,0.56502,0.15073,1.44909,0.01861,-0.01547,0.16074,-2.1325,1.19993,-0.26259,-2.97466,0.31218,-0.15477,-0.04349,-2.41421,1.1395,-0.03834,-2.32848,0.31001,0.14314,0.04354
0.1,3.23362,-4.73996,-0.24641,1.66124,-0.34188,-0.05188,4.03229,-1.48031,-0.20821,1.52671,-0.04284,-0.03299,-0.16259,4.25364,0.59083,0.14826,1.44919,0.01782,-0.01448,0.15991,-2.14603,1.19777,-0.26401,-2.97602,0.30996,-0.15274,-0.04191,-2.50736,1.08953,-0.02801,-2.33085,0.30905,0.14226,0.04309
0.12,2.7324,-4.63443,-0.27282,1.64978,-0.32912,-0.05119,4.01363,-1.47062,-0.20748,1.50845,-0.04235,-0.03268,-0.16009,4.25922,0.59768,0.14514,1.44819,0.01692,-0.0134,0.15872,-2.21083,1.18882,-0.26727,-2.96406,0.30899,-0.15172,-0.04094,-2.59779,1.05813,-0.01765,-2.34146,0.30831,0.14176,0.0429
0.14,2.28531,-4.56131,-0.27605,1.64174,-0.32349,-0.05123,3.99752,-1.45681,-0.207,1.49107,-0.04198,-0.0323,-0.15754,4.2665,0.60469,0.14255,1.44738,0.01613,-0.01271,0.15763,-2.28322,1.18199,-0.27101,-2.94529,0.30835,-0.15097,-0.04017,-2.68357,1.03396,-0.00699,-2.35389,0.30764,0.14137,0.04282
0.16,1.87298,-4.48626,-0.25709,1.6349,-0.31833,-0.05103,3.98945,-1.42801,-0.2055,1.47757,-0.04166,-0.03114,-0.15545,4.28125,0.6254,0.14129,1.4494,0.0156,-0.01262,0.15717,-2.32995,1.18319,-0.27403,-2.92508,0.30732,-0.14985,-0.03919,-2.76329,1.00744,0.004,-2.36299,0.30687,0.14087,0.04273
0.18,1.47738,-4.42363,-0.21564,1.63127,-0.31602,-0.05088,4.00076,-1.38755,-0.20341,1.47159,-0.04149,-0.02938,-0.15406,4.31596,0.64876,0.14069,1.45952,0.01527,-0.01255,0.15761,-2.37553,1.18598,-0.27652,-2.89901,0.30621,-0.14855,-0.03799,-2.83849,0.98296,0.01486,-2.37066,0.3061,0.1403,0.04263
