T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,9e-05,7e-05,0.01295,0.48475,0.00178,0.00041,0.04776,0.00029,7e-05,0.00016,0.02156,0.0003,0.00053,0.05211,0,0.00012,0,0,0.00085,0.01955,0,1e-05,0,0,0.00048,0.01263,0.0133,0,0,0,0,0.00054,0.01633,0.00035,0,0,0.0179,0,0,0,0.00014,0,0.00175,0,0.00083,0.00314,0.00393,0,0,0,0,0.00042,0.01344,0,0.00011,0,0.00015,0.00024,0,0.00048,0.00028,0.00057,0,0,0.00018,0.0047,0.00248,0.01241
0.02,0.00012,7e-05,0.01456,0.51269,0.00186,0.00045,0.03871,0.0003,8e-05,0.00017,0.01246,0.00032,0.00056,0.03948,0,0.00013,0,0,0.00094,0.01903,0,1e-05,0,0,0.0005,0.00997,0.01041,0,0,0,0,0.00057,0.01495,0.00031,0,0,0.01538,0,0,0,0.00015,0,0.00167,0,0.00087,0.00266,0.00503,0,0,0,0,0.00035,0.01323,0,0.00011,0,0.00016,0.00025,0,0.0005,0.0003,0.00043,0,0,0.00018,0.00393,0.00261,0.01257
0.04,0.00015,8e-05,0.01623,0.53931,0.00191,0.00048,0.03076,0.00031,9e-05,0.00018,0.00388,0.00035,0.00058,0.02798,0,0.00013,0,0,0.00103,0.01863,0,1e-05,0,0,0.00052,0.00727,0.00754,0,0,0,0,0.00059,0.01403,0.00027,0,0,0.01296,0.00343,0,0,0.00016,0,0.0016,0,0.0009,0.0022,0.00615,0,0,0,0,0.00025,0.01301,0,0.00012,0,0.00016,0.00026,0,0.00052,0.00032,0.00025,0,0,0.00017,0.00301,0.00272,0.01274
0.06,0.00018,8e-05,0.01795,0.56398,0.00195,0.00051,0.02408,0.00032,9e-05,0.0002,0,0.00037,0.00059,0.01783,0,0.00014,0,0,0.00113,0.01834,0,2e-05,0,0,0.00053,0.00456,0.00471,0,0,0,0,0.0006,0.01364,0.00021,0,0,0.01067,0.0124,0,0,0.00017,0,0.00154,0,0.00093,0.00177,0.00728,0,0,0,0,0.00012,0.01279,9e-05,0.00012,0,0.00017,0.00027,0,0.00053,0.00034,4e-05,0,0,0.00017,0.00193,0.0028,0.01294
0.08,0.00022,8e-05,0.01969,0.58604,0.00196,0.00054,0.01885,0.00032,0.0001,0.0002,0,0.00038,0.0006,0.00924,0,0.00014,0,0,0.00123,0.01819,0,2e-05,0,0,0.00053,0.00187,0.00196,0,0,0,0,0.00061,0.01383,0.00013,0,0,0.00852,0.02286,0,0,0.00017,0,0.00149,0,0.00094,0.00137,0.0084,0,0,0,0,0,0.01257,0.00019,0.00012,0,0.00017,0.00027,0,0.00054,0.00036,0,0.00032,0,0.00016,0.00068,0.00286,0.01315
0.1,0.00026,8e-05,0.02142,0.60474,0.00194,0.00057,0.01519,0.00032,0.00011,0.00021,0,0.0004,0.0006,0.00236,0,0.00014,0,0.00054,0.00132,0.01818,0,2e-05,0,0,0.00053,0,0,0,0,0,0,0.0006,0.01467,4e-05,0,0,0.00653,0.0349,0,0,0.00018,0,0.00145,0,0.00094,0.00101,0.00951,0,0,0,0,0,0.01235,0.00031,0.00012,0,0.00016,0.00026,0,0.00054,0.00037,0,0.00115,0,0.00014,0,0.00287,0.01337
0.12,0.0003,8e-05,0.02313,0.61928,0.00187,0.00059,0.01316,0.00031,0.00011,0.00022,0,0.00041,0.00058,0,0,0.00013,0,0.00108,0.00141,0.0183,0,2e-05,0,0,0.00051,0,0,0,0,0,0,0.00059,0.01619,0,0,0,0.00471,0.04861,0,0,0.00018,0,0.00142,0,0.00092,0.00068,0.01059,0,0,0,0,0,0.01212,0.00044,0.00011,0,0.00016,0.00026,0,0.00053,0.00038,0,0.00211,0,0.00012,0,0.00283,0.0136
0.14,0.00035,7e-05,0.02476,0.62879,0.00177,0.0006,0.01277,0.00029,0.00012,0.00022,0,0.00042,0.00056,0,0,0.00013,0,0.00153,0.00149,0.01855,0,2e-05,0,0,0.00048,0,0,0,0,0,0,0.00056,0.01844,0,0,0,0.00307,0.06409,0,0,0.00017,0,0.0014,0,0.00088,0.00039,0.01163,0,0,0,0,0,0.01188,0.0006,0.00011,0,0.00015,0.00024,0,0.0005,0.00038,0,0.00323,0,0.0001,0,0.00274,0.01384
0.16,0.0004,7e-05,0.0263,0.63237,0.00161,0.00061,0.01399,0.00026,0.00012,0.00022,0,0.00042,0.00052,0,0,0.00012,0,0.00188,0.00156,0.01892,0,2e-05,7e-05,0,0.00044,0,0,0,0,0,0,0.00052,0.02145,0,0,0,0.0016,0.08139,0,0,0.00017,0,0.00139,0,0.00082,0.00013,0.0126,0,0,0,0,0,0.01164,0.00077,0.0001,0.00087,0.00013,0.00022,0,0.00047,0.00038,0,0.00451,0,7e-05,0,0.00258,0.01408
0.18,0.00045,6e-05,0.0277,0.62906,0.0014,0.00061,0.01672,0.00023,0.00012,0.00021,0,0.00041,0.00047,0,0,0.00011,0,0.00212,0.00162,0.01939,0,2e-05,0.00156,0,0.00039,0,0,0,0,0,0,0.00046,0.02524,0,0,0,0.00029,0.10058,0,0,0.00016,0,0.00139,0,0.00074,0,0.01351,0,0,0,0,0,0.01138,0.00097,8e-05,0.00247,0.00011,0.0002,0,0.00043,0.00037,0,0.00595,0,3e-05,0,0.00236,0.01432
