T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.0461,0,0,0.21773,0.0017,0.00085,0.04064,0,2e-05,0.00155,0,0,0,0.04016,0,1e-05,0,0,0.00024,0.01664,0,0,0.00245,0,4e-05,0.00182,0,0,0,3e-05,0,4e-05,0,0.00042,0,0,0,0,0.00278,0.00064,0,0,0.00041,0,6e-05,0,0.00487,0,0,0,0,0,0.01527,0,0,0,0,1e-05,0,7e-05,0,0.00072,0,0.00874,2e-05,0.00179,0.00017,0
0.02,0.04411,0,0.00251,0.23048,0.00176,0.001,0.03187,1e-05,2e-05,0.00196,0,0,2e-05,0.0292,0,1e-05,0,0,0.00028,0.01636,0,0,0,0,5e-05,0.00113,0,0,0,4e-05,0,5e-05,0,0.00034,0,0,0,0,0.00162,0.0001,0,0,0.00052,0,7e-05,0,0.00606,0,0,0,0,0,0.01505,0,1e-05,0,0,2e-05,0,8e-05,0,0.00052,0,0.00787,2e-05,0.00224,0.00022,0
0.04,0.042,0,0.00654,0.24268,0.00179,0.00116,0.02418,1e-05,2e-05,0.00242,0,1e-05,5e-05,0.01933,0,2e-05,0,0,0.00031,0.01622,0,0,0,0,6e-05,0.00032,0,0,0,4e-05,0,7e-05,0,0.00023,0,0,0,0.00395,0.00035,0,1e-05,0,0.00065,0,9e-05,0,0.00729,0,0,0,0,0,0.01482,0,1e-05,0,0,2e-05,0,0.0001,0,0.00028,0,0.00696,1e-05,0.00264,0.00026,0
0.06,0.03977,0,0.01046,0.25408,0.0018,0.00133,0.01777,1e-05,3e-05,0.00292,0,2e-05,8e-05,0.01078,0,2e-05,0,0,0.00035,0.01624,0,0,0,0,7e-05,0,0,0,0,5e-05,0,8e-05,0,0.00011,0,0,0,0.0133,0,0,1e-05,0,0.0008,0,0.00011,0,0.00856,0,0,0,0,0,0.01459,0,1e-05,0,0,2e-05,0,0.00011,0,0,0,0.00602,1e-05,0.003,0.00031,0
0.08,0.03741,0,0.01423,0.26439,0.00178,0.00151,0.0128,1e-05,3e-05,0.00347,0,3e-05,0.00012,0.00372,0,2e-05,0,0,0.00039,0.01643,0,0,0,0,8e-05,0,0,0,0,5e-05,0,9e-05,0,0,0,0,0,0.02421,0,0,1e-05,0,0.00096,0,0.00014,0,0.00984,0,0,0,0,0,0.01435,0,2e-05,0,0,3e-05,0,0.00013,0,0,0,0.00505,1e-05,0.00329,0.00037,0
0.1,0.03492,0,0.0178,0.27331,0.00172,0.0017,0.00939,2e-05,4e-05,0.00407,0,4e-05,0.00016,0,0,3e-05,0,6e-05,0.00043,0.01679,0,0,0,0,9e-05,0,0,0,0,6e-05,0,0.00011,0,0,0,0,0,0.03675,0,0,1e-05,0,0.00115,0,0.00016,0,0.01114,0,0,0,0,0,0.01411,0,2e-05,0,0,3e-05,0,0.00015,0,0,0,0.00406,1e-05,0.00351,0.00043,0.00221
0.12,0.0323,1e-05,0.02114,0.2805,0.00162,0.0019,0.0076,2e-05,4e-05,0.00471,0.00021,5e-05,0.0002,0,0,3e-05,0,0.00088,0.00047,0.01731,0,0,0,0,0.00011,0,0,0,0,7e-05,0,0.00012,0,0,0,0,0,0.05104,0,0,2e-05,0,0.00134,0,0.00019,0,0.01243,0,0,0,0,0,0.01386,0,3e-05,0,0,4e-05,0,0.00017,0,0,0.00019,0.00304,1e-05,0.00363,0.00049,0.00533
0.14,0.02955,1e-05,0.02421,0.28563,0.00148,0.0021,0.00745,2e-05,4e-05,0.00539,0.00121,6e-05,0.00026,0,0,3e-05,0,0.00163,0.00051,0.01799,0,0,0,0,0.00012,0,0,0,0,7e-05,0,0.00014,0,0,0,0,0,0.06715,0,0,2e-05,0,0.00155,0,0.00022,0,0.01369,0,0,0,0,0,0.01359,8e-05,3e-05,0,1e-05,4e-05,0,0.00019,0,0,0.00041,0.00201,0,0.00364,0.00056,0.00838
0.16,0.02666,1e-05,0.02697,0.2883,0.00128,0.00231,0.00888,2e-05,5e-05,0.00612,0.00193,8e-05,0.00032,0,0,4e-05,0,0.0023,0.00055,0.01882,0,0,0,0,0.00014,0,0,0,0,8e-05,0,0.00016,0,0,0,0,0,0.08514,0,0,2e-05,0,0.00177,0,0.00025,0,0.01491,0,0,0,0,0,0.01332,0.00036,4e-05,0,2e-05,5e-05,0,0.00022,0,0,0.00067,0.00098,0,0.00352,0.00063,0.01135
0.18,0.02362,1e-05,0.02941,0.28817,0.00102,0.00251,0.0118,3e-05,5e-05,0.00688,0.00236,0.0001,0.00038,0,0,4e-05,0,0.00289,0.00059,0.01976,0,0,0,0,0.00015,0,0,0,0,9e-05,0,0.00017,0,0,0.00024,0,0,0.10509,0,0,3e-05,0,0.00199,0,0.00028,0,0.01607,0,0,0,0,0,0.01303,0.00068,4e-05,0.00057,3e-05,5e-05,0,0.00024,0,0,0.00096,0,0,0.00325,0.00071,0.01423
0.2,0.02045,1e-05,0.03151,0.28489,0.0007,0.00272,0.01606,3e-05,6e-05,0.00767,0.00254,0.00012,0.00045,0,0,5e-05,0,0.00338,0.00062,0.02079,0,0,0,0,0.00017,0,0,0,0,9e-05,0,0.00019,0,0,0.00063,0,0,0.12701,0,0,3e-05,0,0.0022,0,0.00031,0,0.01715,0,0,0,0,0,0.01272,0.00105,5e-05,0.00205,4e-05,6e-05,0,0.00027,0,0,0.00129,0,0,0.0028,0.00079,0.01702
0.22,0.01712,1e-05,0.03327,0.27827,0.0003,0.00291,0.02148,4e-05,6e-05,0.00848,0.00251,0.00014,0.00053,0,0,5e-05,0,0.00377,0.00065,0.02188,0,0,0,0,0.00019,0,0,0,0,0.0001,0,0.00021,0,0,0.00109,0,0,0.15092,0,0,3e-05,0,0.00241,0,0.00035,0,0.01812,0,0,0,0,0,0.01239,0.00148,6e-05,0.00394,6e-05,7e-05,0,0.00029,0,0,0.00167,0,0,0.00216,0.00087,0.01971
