T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,5.27196,-2.26847,-0.34798,2.50535,-0.35446,-0.07617,4.79228,-2.5404,-0.24295,1.98551,-0.05906,-0.01755,-0.20436,5.51717,0.17129,-0.04974,1.82976,-0.01478,0.07274,0.1821,9.1239,6.12022,-0.28616,24.23012,-20.63845,4.028,4.42173,13.98047,-3.02347,-0.36018,17.11519,-19.45188,-11.83385,-3.39652
0.02,5.17718,-2.27686,-0.36619,2.4913,-0.36233,-0.07677,4.7863,-2.54092,-0.24507,1.98128,-0.05901,-0.01809,-0.20382,5.50404,0.16495,-0.04831,1.82619,-0.01437,0.07204,0.18162,9.24626,6.03466,-0.26098,24.21951,-20.58601,4.15253,4.39638,14.11207,-3.07864,-0.35247,17.36495,-19.41997,-11.71818,-3.42602
0.04,5.08649,-2.30483,-0.37381,2.47738,-0.37234,-0.07761,4.7759,-2.53605,-0.24677,1.97441,-0.05888,-0.01846,-0.20289,5.48805,0.16509,-0.04624,1.82252,-0.01384,0.07102,0.18119,9.36316,5.96273,-0.23791,24.20945,-20.53193,4.2815,4.37161,14.23374,-3.12404,-0.34485,17.61237,-19.38825,-11.59753,-3.45445
0.06,5.00066,-2.34984,-0.36711,2.4638,-0.38447,-0.07867,4.76238,-2.5247,-0.24792,1.96533,-0.05866,-0.01859,-0.20161,5.47092,0.17306,-0.0435,1.81959,-0.0132,0.06967,0.18093,9.47379,5.90392,-0.21699,24.19829,-20.47666,4.41344,4.34765,14.34984,-3.15948,-0.33756,17.85829,-19.35674,-11.47294,-3.48195
0.08,4.93183,-2.39701,-0.34409,2.45005,-0.39845,-0.0798,4.7469,-2.50574,-0.24836,1.95442,-0.05837,-0.01836,-0.20001,5.45642,0.19134,-0.03996,1.82001,-0.01249,0.06786,0.1812,9.58731,5.84274,-0.19622,24.19654,-20.41984,4.5479,4.32132,14.43896,-3.20533,-0.32874,18.10384,-19.32385,-11.34923,-3.50968
0.1,4.85919,-2.46608,-0.29545,2.43805,-0.41434,-0.08118,4.73335,-2.4783,-0.24809,1.94326,-0.05802,-0.01777,-0.19828,5.44375,0.21853,-0.03598,1.82157,-0.0117,0.06594,0.18168,9.67943,5.81164,-0.18036,24.17467,-20.36427,4.68078,4.3003,14.56498,-3.21458,-0.32345,18.34829,-19.29373,-11.21936,-3.5354
0.12,4.75507,-2.5831,-0.21117,2.43011,-0.43209,-0.08297,4.72689,-2.44165,-0.24716,1.93396,-0.05768,-0.01682,-0.1967,5.43221,0.25204,-0.03199,1.82176,-0.01078,0.06426,0.18197,9.72054,5.84946,-0.17507,24.09457,-20.31367,4.80702,4.29459,14.80785,-3.12671,-0.32795,18.59354,-19.27078,-11.07479,-3.55691
0.14,4.65427,-2.70972,-0.09551,2.4242,-0.45089,-0.08479,4.72754,-2.39583,-0.24537,1.92676,-0.05733,-0.01538,-0.19529,5.42774,0.29523,-0.02786,1.82561,-0.00988,0.06259,0.18276,9.73928,5.91134,-0.17406,23.99272,-20.26567,4.92933,4.29359,15.09085,-3.00359,-0.33576,18.83793,-19.2502,-10.92682,-3.57661
0.16,4.58417,-2.81584,0.04792,2.41861,-0.46999,-0.08626,4.73615,-2.34125,-0.24261,1.9223,-0.057,-0.01335,-0.19413,5.43566,0.35046,-0.0234,1.83727,-0.00908,0.0607,0.18462,9.76001,5.96159,-0.17237,23.89881,-20.21826,5.04963,4.28917,15.35278,-2.89612,-0.34174,19.08198,-19.22828,-10.7849,-3.59688
0.18,4.53123,-2.9126,0.22275,2.41434,-0.48887,-0.08738,4.75781,-2.27793,-0.23892,1.92283,-0.05672,-0.01074,-0.19354,5.45876,0.41593,-0.01861,1.85693,-0.00828,0.05851,0.18749,9.77317,6.01438,-0.17212,23.79691,-20.17321,5.16464,4.28755,15.6267,-2.78035,-0.34834,19.33313,-19.20591,-10.64769,-3.61892
