T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,2e-05,0.00848,0,4e-05,0.00036,0.10637,4e-05,4e-05,0,0.02682,6e-05,0.00016,0.11198,0,0,0,0,0,0.03827,0.03936,3e-05,0.02267,0.00283,0.00016,0.02254,0,0.00024,0.00015,8e-05,1e-05,0,0.00319,0.01087,1e-05,0,0,0.0002,0,0,3e-05,0.00106,0,0.00036,0.00049,0,0.00174,3e-05,0,0.00869,0,8e-05,0.02212,0.00027,0.0001,0.00966,0.00014,8e-05,0,0.00011,0,0.01226,0,0,0.00177,2e-05,6e-05,5e-05
0.02,0,2e-05,0.00673,0,4e-05,0.0004,0.12603,4e-05,5e-05,0,0.02938,6e-05,0.00018,0.13539,0,0,0,0,0,0.03892,0.03709,3e-05,0.02743,0.00277,0.00019,0.02039,0,0.00024,2e-05,0.0001,2e-05,0,0.00284,0.01141,1e-05,0,0,0.00023,0,0,3e-05,0.00649,0,0,0.00056,0,0.00865,4e-05,0,0.00936,0,0.0001,0.01951,0.00031,0.00012,0.00787,0.00017,9e-05,0,0.00012,0,0.0121,0,0,0.00178,2e-05,7e-05,6e-05
0.04,0,2e-05,0.00503,0,5e-05,0.00044,0.14643,5e-05,6e-05,0,0.03265,7e-05,0.00021,0.15972,0,0,0,0,0,0.03963,0.03442,3e-05,0.03216,0.00262,0.00021,0.01876,0,0.00023,0,0.00011,2e-05,0,0.00249,0.01173,1e-05,0,4e-05,0.00027,0,0,4e-05,0.01188,0,0,0.00063,0,0.01581,4e-05,0,0.01013,0,0.00012,0.01698,0.00036,0.00013,0.00615,0.00019,0.0001,0,0.00014,0,0.01186,0,0,0.00178,2e-05,8e-05,6e-05
0.06,0,3e-05,0.00342,0,5e-05,0.00048,0.16742,5e-05,6e-05,0.00371,0.03673,8e-05,0.00024,0.18482,0,0,0,0,0,0.04041,0.03131,4e-05,0.03679,0.00239,0.00024,0.01772,0,0.00021,0,0.00013,2e-05,0,0.00215,0.01179,1e-05,0,8e-05,0.0003,0,0,4e-05,0.01718,0,0,0.00071,0,0.02319,5e-05,0,0.01101,0,0.00014,0.01453,0.00041,0.00015,0.00452,0.00022,0.00011,0,0.00016,0,0.01154,0,0,0.00177,2e-05,9e-05,7e-05
0.08,0,3e-05,0.00191,0,6e-05,0.00051,0.1888,6e-05,7e-05,0.01891,0.04172,0.0001,0.00026,0.21046,0,0,0,0,0,0.04123,0.0277,4e-05,0.04124,0.00205,0.00027,0.01731,0,0.00019,0,0.00014,2e-05,0,0.0018,0.0116,1e-05,0,0.00013,0.00034,0,0,5e-05,0.02231,0,0,0.00078,0,0.03074,6e-05,0,0.01201,0,0.00016,0.01221,0.00046,0.00016,0.00301,0.00025,0.00013,0,0.00018,0,0.01111,0,0,0.00176,3e-05,0.0001,8e-05
0.1,0,3e-05,0.00051,0,6e-05,0.00055,0.21033,6e-05,8e-05,0.03662,0.04771,0.00011,0.00029,0.23638,0,0,0.0046,0,0,0.04207,0.02355,4e-05,0.04543,0.00159,0.0003,0.01757,0,0.00017,0,0.00016,3e-05,0,0.00147,0.01115,1e-05,0,0.00018,0.00039,0.00055,0,6e-05,0.0272,0,0,0.00087,0,0.03842,6e-05,0,0.01311,0,0.00018,0.01003,0.00051,0.00018,0.00164,0.00029,0.00014,0,0.0002,0,0.01057,0,0,0.00173,3e-05,0.00011,9e-05
0.12,0,4e-05,0,0,7e-05,0.00058,0.23173,7e-05,8e-05,0.057,0.05482,0.00012,0.00032,0.26226,0,0,0.01227,0.00071,0,0.04291,0.01882,5e-05,0.04926,0.001,0.00033,0.01852,0,0.00013,0,0.00018,3e-05,0,0.00114,0.01043,1e-05,0,0.00025,0.00043,0.00186,0,6e-05,0.03179,0.00038,0,0.00095,0,0.04618,7e-05,0,0.01432,0,0.00021,0.00801,0.00057,0.00019,0.00045,0.00032,0.00015,0,0.00022,0,0.00988,0,0,0.00168,3e-05,0.00012,0.0001
0.14,0,4e-05,0,0,7e-05,0.00062,0.25267,8e-05,9e-05,0.0802,0.06317,0.00013,0.00035,0.2877,0,0,0.02118,0.00244,0,0.04369,0.01348,5e-05,0.05261,0.00024,0.00036,0.02015,0,9e-05,0,0.00019,3e-05,0,0.00083,0.00948,2e-05,0,0.00032,0.00047,0.00322,0,7e-05,0.03598,0.00172,0,0.00103,0,0.05397,8e-05,0,0.01563,0,0.00023,0.00618,0.00062,0.0002,0,0.00036,0.00017,0,0.00024,0,0.00903,0,0,0.00162,4e-05,0.00013,0.00011
0.16,0,4e-05,0,0,7e-05,0.00064,0.27277,8e-05,0.0001,0.10638,0.07287,0.00014,0.00038,0.31227,1e-05,0,0.03142,0.00396,0.0002,0.04438,0.00747,5e-05,0.05538,0,0.00039,0.02244,0,3e-05,0,0.00021,4e-05,0,0.00052,0.0083,2e-05,0,0.0004,0.00052,0.00464,0,7e-05,0.0397,0.00319,0,0.00111,0,0.06173,8e-05,0,0.01704,0,0.00026,0.00454,0.00068,0.00022,0,0.00039,0.00018,0,0.00026,0,0.00799,0,0,0.00153,4e-05,0.00014,0.00012
0.18,0,4e-05,0,0,8e-05,0.00066,0.29162,9e-05,0.00011,0.13563,0.08403,0.00015,0.00041,0.33547,0.0001,0,0.04306,0.00523,0.00175,0.04493,0.00077,6e-05,0.05744,0,0.00042,0.02533,0,0,0,0.00023,4e-05,0,0.00021,0.00694,2e-05,0,0.00049,0.00056,0.00611,0,8e-05,0.04286,0.0048,0,0.00119,0,0.06939,9e-05,0,0.01852,0,0.00029,0.0031,0.00073,0.00023,0,0.00043,0.00019,0,0.00028,0,0.00673,0,0,0.00142,4e-05,0.00015,0.00013
0.2,0.00308,5e-05,0,0,8e-05,0.00067,0.30872,9e-05,0.00011,0.16808,0.09675,0.00016,0.00044,0.35675,0.00021,0,0.05617,0.00624,0.00356,0.04527,0,6e-05,0.0587,0,0.00045,0.02874,0,0,0,0.00025,4e-05,0,0,0.00545,2e-05,0,0.00058,0.0006,0.00763,0,8e-05,0.04539,0.00656,0,0.00126,0,0.07689,0.0001,0,0.02007,0,0.00032,0.00187,0.00079,0.00024,0,0.00046,0.0002,0,0.0003,0,0.00523,0,0,0.00129,4e-05,0.00017,0.00013
0.22,0.00904,5e-05,0,0,8e-05,0.00068,0.32356,0.0001,0.00012,0.20378,0.11112,0.00017,0.00046,0.37552,0.00034,0,0.0708,0.00697,0.00567,0.04536,0,6e-05,0.05907,0,0.00047,0.03258,0,0,0,0.00026,4e-05,0,0,0.00385,2e-05,0,0.00069,0.00064,0.0092,0,9e-05,0.04721,0.0085,0,0.00132,0.00107,0.08416,0.00011,0,0.02166,0,0.00035,0.00082,0.00084,0.00025,0,0.0005,0.00021,0,0.00031,0,0.00346,0,0,0.00112,5e-05,0.00017,0.00014
0.24,0.0153,5e-05,0,0,8e-05,0.00067,0.33558,0.0001,0.00013,0.24276,0.1272,0.00018,0.00048,0.39113,0.00048,0,0.087,0.0074,0.00808,0.04515,0,6e-05,0.05852,0,0.0005,0.03674,9e-05,0,0,0.00028,5e-05,0,0,0.00219,2e-05,0,0.00081,0.00068,0.01079,0,9e-05,0.04823,0.01063,0,0.00137,0.00529,0.09111,0.00011,0,0.02327,0,0.00038,0,0.00088,0.00026,0,0.00053,0.00022,0,0.00033,0,0.00139,0,0,0.00092,5e-05,0.00018,0.00015
0.26,0.02184,5e-05,0,0,8e-05,0.00065,0.34418,0.0001,0.00013,0.28503,0.14504,0.00019,0.0005,0.40289,0.00064,0,0.10478,0.00752,0.01082,0.04458,0,6e-05,0.05705,0,0.00052,0.04109,0.00418,0,0,0.00029,5e-05,0,0,0.00051,3e-05,0,0.00093,0.00071,0.01239,0,0.0001,0.04839,0.01296,0,0.00142,0.01027,0.09768,0.00012,0,0.02486,0,0.00041,0,0.00092,0.00026,0,0.00056,0.00023,0,0.00034,0,0,0,0,0.00068,5e-05,0.00019,0.00015
0.28,0.02866,5e-05,0,0,8e-05,0.00061,0.34873,0.0001,0.00013,0.3305,0.16469,0.0002,0.00052,0.41009,0.00083,0.00033,0.12414,0.00733,0.01391,0.04361,0,6e-05,0.05473,0,0.00053,0.04549,0.00689,0,0,0.0003,5e-05,0,0,0,3e-05,0,0.00106,0.00074,0.01398,0,0.0001,0.04762,0.01552,0,0.00144,0.01607,0.10376,0.00012,0,0.02642,0,0.00044,0,0.00096,0.00026,0,0.00059,0.00023,0.00028,0.00035,0,0,1e-05,0,0.00039,5e-05,0.0002,0.00016
0.3,0.03574,5e-05,0,0,8e-05,0.00057,0.34857,0.0001,0.00013,0.37905,0.18619,0.0002,0.00052,0.41198,0.00103,0.00098,0.14507,0.00684,0.01735,0.04222,0,6e-05,0.05166,0,0.00054,0.0498,0.00823,0,0,0.00031,5e-05,0,0,0,3e-05,0,0.0012,0.00076,0.01552,0,0.0001,0.04585,0.0183,0,0.00145,0.02277,0.10928,0.00013,0,0.02788,0,0.00047,0,0.00098,0.00025,0.00118,0.00062,0.00023,0.00097,0.00036,0,0,2e-05,2e-05,6e-05,5e-05,0.0002,0.00016
0.32,0.04308,5e-05,0,0,7e-05,0.00052,0.34309,0.0001,0.00013,0.43047,0.20961,0.00021,0.00053,0.40783,0.00126,0.00175,0.1675,0.00604,0.02115,0.04038,0,6e-05,0.048,0,0.00054,0.05385,0.00819,0,0,0.00031,5e-05,0,0,0,3e-05,0,0.00135,0.00077,0.01695,0,0.00011,0.04304,0.02134,0,0.00144,0.03043,0.11411,0.00013,0,0.0292,0,0.00049,0,0.00099,0.00024,0.0028,0.00064,0.00023,0.00164,0.00036,0,0,2e-05,0.0007,0,5e-05,0.0002,0.00016
0.34,0.05063,5e-05,0,0,7e-05,0.00047,0.33169,0.0001,0.00013,0.48447,0.23502,0.00021,0.00052,0.39696,0.00151,0.00264,0.19137,0.00495,0.02533,0.03809,0,5e-05,0.04398,0,0.00053,0.05747,0.0068,0,0,0.00031,5e-05,0,0,0,3e-05,0,0.0015,0.00077,0.01821,0,0.00011,0.0392,0.02462,0,0.0014,0.0391,0.11815,0.00014,0,0.03034,0,0.00052,0,0.00099,0.00023,0.00475,0.00065,0.00022,0.00227,0.00036,0,0,3e-05,0.00146,0,5e-05,0.0002,0.00016
0.36,0.05836,5e-05,0,0,6e-05,0.00044,0.31389,9e-05,0.00013,0.54071,0.26253,0.0002,0.0005,0.37878,0.00178,0.00366,0.21654,0.00358,0.02987,0.03536,0,5e-05,0.03982,0,0.00052,0.06049,0.00403,0,0,0.00031,5e-05,0,0,0,3e-05,0,0.00166,0.00076,0.01924,0,0.00011,0.03436,0.02815,0,0.00133,0.04882,0.12129,0.00014,0,0.03122,0,0.00054,0,0.00097,0.00021,0.00701,0.00066,0.00021,0.00285,0.00035,0,0,4e-05,0.00232,0,5e-05,0.00019,0.00016
0.38,0.06621,4e-05,0,0,5e-05,0.00042,0.28932,9e-05,0.00012,0.59873,0.29222,0.0002,0.00048,0.35288,0.00207,0.00481,0.24285,0.00196,0.03478,0.03221,0,4e-05,0.03576,0,0.00049,0.06275,0,0,0,0.0003,5e-05,0,0,0,3e-05,0,0.00182,0.00073,0.01996,0,0.0001,0.02863,0.03191,0,0.00123,0.05962,0.12339,0.00014,0.00099,0.03177,0,0.00056,0,0.00094,0.00018,0.00957,0.00066,0.0002,0.00336,0.00034,0,0,5e-05,0.00325,0,5e-05,0.00018,0.00016
0.4,0.07413,4e-05,0,0,4e-05,0.0004,0.25781,8e-05,0.00011,0.65801,0.32419,0.00019,0.00044,0.31904,0.00239,0.0061,0.27009,0.00011,0.04004,0.02867,0,3e-05,0.03199,0,0.00046,0.06406,0,0,0,0.00028,5e-05,0,0,0,3e-05,0,0.00198,0.00068,0.02029,0,0.0001,0.02213,0.03588,0,0.0011,0.07152,0.12433,0.00013,0.00261,0.03194,0,0.00058,0,0.00088,0.00014,0.01241,0.00065,0.00017,0.00379,0.00032,0,0,6e-05,0.00424,0,4e-05,0.00017,0.00015
0.42,0.08204,3e-05,0,0.00549,3e-05,0.00039,0.21941,7e-05,9e-05,0.71789,0.35848,0.00017,0.00039,0.2773,0.00273,0.00754,0.29801,0,0.04562,0.0248,0,2e-05,0.02866,0,0.00041,0.06428,0,0,0,0.00026,4e-05,0,0,0,3e-05,0,0.00214,0.00062,0.02014,0,9e-05,0.01505,0.04003,0,0.00094,0.0845,0.12395,0.00013,0.00426,0.03163,0,0.00059,0,0.0008,0.0001,0.0155,0.00062,0.00015,0.00411,0.00029,0,0,7e-05,0.0053,0,4e-05,0.00015,0.00014
0.44,0.08984,3e-05,0,0.02244,1e-05,0.00039,0.17443,5e-05,7e-05,0.77757,0.39506,0.00015,0.00033,0.22802,0.00308,0.00912,0.3263,0,0.05149,0.02065,0,1e-05,0.02583,0,0.00035,0.06323,0,0,0,0.00024,4e-05,0,0,0,2e-05,0,0.00229,0.00053,0.01943,0,8e-05,0.00763,0.04431,0,0.00076,0.09853,0.1221,0.00012,0.00581,0.03077,0,0.00061,0,0.0007,5e-05,0.01882,0.00059,0.00011,0.00431,0.00026,0,0,9e-05,0.00639,0,3e-05,0.00013,0.00012
0.46,0.09745,2e-05,0,0.0405,0,0.0004,0.12349,4e-05,5e-05,0.83609,0.43377,0.00013,0.00026,0.17187,0.00346,0.01086,0.35457,0,0.05762,0.01626,0,0,0.02349,0,0.00028,0.06079,0,0,0,0.00021,4e-05,0,0,0,2e-05,0,0.00243,0.00043,0.01808,0,7e-05,0.00015,0.04866,0,0.00056,0.11357,0.11858,0.00011,0.00712,0.0293,0,0.00063,0,0.00058,0,0.02233,0.00054,8e-05,0.00437,0.00021,0,0,0.00011,0.0075,0,3e-05,0.0001,0.00011
0.48,0.10476,1e-05,0,0.05961,0,0.00042,0.06743,2e-05,3e-05,0.89229,0.4743,0.00011,0.00019,0.10985,0.00385,0.01275,0.38236,0,0.06394,0.01171,0,0,0.02163,0,0.00021,0.05683,0,0,0,0.00018,3e-05,0,0,0,2e-05,0,0.00257,0.00031,0.01604,0,6e-05,0,0.05302,0,0.00035,0.12954,0.11322,0.0001,0.00805,0.02715,0,0.00066,0,0.00045,0,0.02599,0.00047,4e-05,0.00428,0.00016,0,0,0.00013,0.00861,0,2e-05,7e-05,9e-05
0.5,0.11165,0,0,0.07973,0,0.00044,0.00729,0,1e-05,0.94483,0.51608,8e-05,0.00011,0.04314,0.00427,0.01478,0.40909,0,0.07038,0.00704,0,0,0.02022,0,0.00013,0.05127,0,0,0,0.00015,2e-05,0,0,0,1e-05,0,0.00268,0.00018,0.01328,0,4e-05,0,0.05729,0,0.00014,0.14633,0.10585,8e-05,0.00845,0.0243,0,0.00071,0,0.0003,0,0.02976,0.00039,0,0.00403,0.00011,0,0,0.00015,0.0097,0,1e-05,4e-05,8e-05
0.52,0.11802,0,0,0.10085,0,0.00048,0,0,0,0.99213,0.55833,6e-05,4e-05,0,0.0047,0.01696,0.43412,0,0.07687,0.00235,0,0,0.0192,0,5e-05,0.04405,0,0,0,0.00012,1e-05,0,0,0,1e-05,0,0.00278,4e-05,0.00981,0,3e-05,0,0.06137,0,0,0.16382,0.09634,7e-05,0.0082,0.02072,0,0.00078,0,0.00014,0,0.03358,0.0003,0,0.00361,6e-05,0,0,0.00017,0.01075,0,0,1e-05,6e-05
0.54,0.12376,0,0,0.123,0,0.00053,0,0,0,1,0.60003,3e-05,0,0,0.00516,0.01927,0.45668,0,0.0833,0,0,0,0.01851,0,0,0.03517,0,0,0,0.0001,1e-05,0,0,0,1e-05,0,0.00285,0,0.00569,0,1e-05,0,0.06515,0,0,0.18182,0.08465,5e-05,0.00717,0.01643,0,0.00087,0,0,0,0.0374,0.0002,0,0.00302,0,0,0,0.0002,0.01175,0,0,0,5e-05
0.56,0.12878,0,0,0.14623,0,0.00058,0,0,0,1,0.63997,0,0,0,0.00563,0.02169,0.47593,0,0.08955,0,0,0,0.01802,0,0,0.02466,0,0,0.00049,7e-05,0,0,0,0,0,0,0.00288,0,0.00102,0,0,0,0.06849,0,0,0.20015,0.07081,3e-05,0.00531,0.0115,0,0.00099,0,0,0,0.04121,0.0001,0,0.00225,0,0.00071,0,0.00023,0.01269,0,0,0,4e-05
0.58,0.13302,0,0,0.17066,0,0.00064,0,0,0,1,0.67674,0,0,0,0.00611,0.02422,0.4909,0,0.09549,0,0,0,0.01766,0,0,0.01265,0,0,0.00119,6e-05,0,0,0,0,0,0,0.00288,0,0,0,0,0,0.07124,0,0,0.21855,0.05496,0,0.00261,0.00604,0,0.00115,0,0,0,0.04496,0,0,0.00134,0,0.00168,0,0.00026,0.01359,0,0,0,4e-05
0.6,0.13641,0,0,0.19641,0,0.0007,0,0,0,1,0.70877,0,0,0,0.0066,0.02682,0.5005,0,0.10095,0,0,0,0.01732,0,0,0,0,0,0.00194,4e-05,0,0,0,0,0,0,0.00282,0,0,0,0,0,0.07324,0,0,0.23676,0.03732,0,0,0.00019,0,0.00135,0,0,0,0.04867,0,0,0.00028,0,0.00281,0,0.00029,0.01445,0,0,0,3e-05
0.62,0.13887,0,0,0.22367,0,0.00078,0,0,0,1,0.73435,0,0,0,0.00709,0.02946,0.50354,0,0.10575,0,0,0,0.01696,0,0,0,0,0,0.00272,4e-05,0,0,0,0,0,0,0.00271,0,0,0,0,0,0.07431,0,0,0.25443,0.01823,0,0,0,0,0.0016,0,0,0,0.05232,0,0,0,0,0.00411,0,0.00033,0.0153,0,0,0,3e-05
0.64,0.14035,0,0,0.25261,0,0.00085,0,0,0,1,0.75168,0,0,1,0.00756,0.03211,0.49876,0,0.10968,0,0,0,0.01656,0,0,0,0,0,0.00353,4e-05,0,0,0,0,0,0,0.00253,0,0,0,0,0,0.07426,0,0,0.27119,0,0,0,0,0,0.00189,0,0,0,0.05593,0,0,0,0,0.0056,0,0.00037,0.01616,0,0,0,4e-05
0.66,0.1408,0,0,0.28344,0,0.00093,0.77057,0,0,1,0.75905,0,0,0.00994,0.008,0.03473,0.48492,0,0.11252,0,0,0,0.01614,0,0,0,0,0,0.00436,4e-05,0,0,0,0,0,0,0.00228,0,0,0,0,0,0.07291,0,0,0.28662,0,0,0,0,0,0.00224,0,0,0,0.05948,0,0,0,0,0.00729,0,0.00041,0.01704,0,0,0,5e-05
0.68,0.14019,0,0,0.31639,0,0.001,0.10096,0,0,0.93023,0.75505,0,0,0,0.00841,0.03725,0.46091,0,0.114,0,0,0,0.01575,0,0,0,0,0,0.0052,5e-05,0,0,0,0,0,0,0.00193,0,0,0,0,0,0.07012,0,0,0.30028,0,0,0,0,0,0.00264,0,0,0,0.06298,0,0,0,0,0.00918,0,0.00045,0.01796,0,0,0,6e-05
0.7,0.1385,0,0.00034,0.35169,0,0.00108,0,0,0,0.83209,0.73893,0,0,0,0.00875,0.03963,0.42588,0,0.11386,0,0,0,0.01548,0,0,0,0,0,0.00603,7e-05,0,0,0,0,0,0,0.00149,0,0,0,0,0,0.06578,0,0,0.31169,0,0,0,0,0,0.00309,0,0,0,0.06642,0,0,0,0,0.01127,0,0.0005,0.01893,0,0,0,8e-05
0.72,0.13575,0,0.00371,0.38955,0,0.00115,0,0,0,0.70823,0.71083,0,0,0,0.00902,0.04179,0.37949,0,0.11184,0,0,0,0.01542,0,0,0,0,0,0.00685,9e-05,0,0,0,0,0,0,0.00096,0,0,0,0,0,0.0599,0,0,0.32039,0,0,0,0,0,0.00359,0,0,0,0.06979,0,0,0,0,0.01358,0,0.00054,0.01998,0,0,0,0.0001
0.74,0.13198,0,0.00725,0.4302,0,0.00123,0.01034,0,0,0.5602,0.67179,0,0,0,0.00918,0.04364,0.32227,0,0.10771,0,0,0,0.01567,0,0,0,0,0,0.00765,0.00011,0,0,0,0,0,0,0.00036,0,0,0,0,0,0.05259,0,0,0.32593,0,0,0,0,0,0.00412,0,0,0,0.07306,0,0,0,0,0.0161,0,0.00058,0.02111,0,0,0,0.00012
0.76,0.12727,0,0.01084,0.47384,0,0.0013,0.1387,0,0,0.39202,0.62342,0,0,0,0.00922,0.04512,0.25563,0,0.10128,0,0,0,0.01632,0,0,0,0,0,0.00843,0.00014,0,0,0,0,0,0,0,0,0,0,0,0,0.04415,0,0,0.32789,0,0,0,0,0,0.00468,0,0,0,0.07622,0,0,0,0,0.01883,0,0.00063,0.02235,0,0,0,0.00014
0.78,0.12171,0,0.01441,0.52068,0,0.00139,0.63137,0,0,0.2092,0.56742,0,0,0,0.0091,0.04612,0.18181,0,0.09241,0,0,0,0.01743,0,0,0,0,0,0.00919,0.00016,0,0,0,0,0,0,0,0,0,0,0,0,0.03497,0,0,0.32589,0,0,0,0,0,0.00527,0,0,0,0.07927,0,0,0,0,0.02176,0,0.00067,0.02372,0,0,0,0.00017
0.8,0.11541,0,0.01783,0.57098,0,0.00148,0,0,0,0.01603,0.50542,0,0,0.14124,0.0088,0.04659,0.10347,0,0.08112,0,0,0,0.01903,0,0,0,0,0,0.00993,0.00018,0,0,0,0,0,0,0,0,0,0,0,0,0.02552,0,0,0.3196,0,0,0,0,0,0.00587,0,0,0,0.08217,0,0,0,0,0.02487,0,0.0007,0.02526,0,0,0,0.00019
0.82,0.10849,0,0.02104,0.62503,0,0.00157,0,0,0,0,0.43888,0,0,1,0.0083,0.04647,0.02325,0,0.06756,0,0,0,0.02116,0,0,0,0,0,0.01067,0.0002,0,0,0,0,0,0,0,0,0,0,0,0,0.01627,0.00037,0,0.3088,0,0,0,0,0,0.00648,0,0,0,0.08491,0,0,0,0,0.02816,0,0.00073,0.027,0,0,0,0.00022
0.84,0.10107,0,0.02396,0.68312,0,0.00168,0,0,0,1,0.36911,0,0,0,0.00758,0.04577,0,0,0.05212,0,0,1e-05,0.02381,0,0,0,0,0,0.01142,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0.00764,0.00085,0,0.29336,0,0,0,0,0,0.00707,0,0,0,0.08747,0,0,0,0,0.03159,0,0.00076,0.02897,0,0,0,0.00024
0.86,0.09325,0,0.02653,0.74542,0,0.0018,0,0,0,0,0.29732,0,0,0,0.00668,0.04448,0,0,0.03539,0,0,4e-05,0.027,0,0,0,0,0,0.01219,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00125,0,0.27334,0,0,0,0,0,0.00765,0,0,0,0.08985,4e-05,0,0,0,0.03514,0,0.00077,0.03122,0,0,0,0.00026
0.88,0.08511,0,0.02875,0.81194,0,0.00193,0,0,0,0,0.22457,0,0,0,0.00561,0.04264,0,0,0.01812,0,0,7e-05,0.03072,0,0,0,0,0.00145,0.013,0.00022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156,0,0.24894,0,0,0,0,0,0.0082,0,0,0.00011,0.09204,8e-05,3e-05,0,0,0.03876,0,0.00078,0.03379,0,0,0,0.00028
0.9,0.07672,0,0.03061,0.88242,0,0.00207,0,0,0,0,0.15182,0,0,0,0.00442,0.04028,0,0,0.0011,0,0,0.0001,0.03496,0,0,0,0,0.00325,0.01388,0.00021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,0,0.22055,0,0,0,0,0,0.00869,0,0,0.00022,0.09403,0.00012,8e-05,0,0,0.04242,0,0.00077,0.03671,0,0,0,0.00029
