T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.00066,0.0448,0,0.0005,0.00062,0.01326,0.00012,5e-05,6e-05,0.16004,0.00334,3e-05,0,0.07349,0.00025,0,0.00572,5e-05,0.02696,0,0,0.03759,0.01021,0.00017,0.02457,0.05575,0,0,0.00321,0,0,0.00526,0,0,0,0,0.0001,0.01687,0,1e-05,0,0,0.01135,9e-05,0,0.00423,1e-05,0,0.00186,0,0,0.03261,0.00022,5e-05,0,0.00022,0.0001,0,0.00018,0.00026,0.00224,0.00105,0,0,0.0072,0.00094,0
0.02,0,0.00066,0.05898,0,0.00042,0.00073,0.01954,0.00016,5e-05,6e-05,0.11846,0.00384,6e-05,0.00542,0.08447,0.00039,0,0.00666,6e-05,0.02432,0,0,0.02885,0.00615,0.00019,0.01282,0.03626,0,0,0.00279,0,0,0.00639,0,0.0003,0,0,0.00011,0.06432,0,1e-05,0,0,0.01151,0.00012,0,0.00356,1e-05,0,0.00121,0,3e-05,0.033,0.00023,7e-05,0,0,0.00011,0,0.0002,0.00028,0.00222,0.0008,0,0,0.00582,0.00089,0
0.04,0,0.00065,0.07365,0,0.00032,0.00084,0.02585,0.0002,6e-05,7e-05,0.07881,0.00435,0.0001,0.01159,0.09611,0.00054,0,0.00755,6e-05,0.02169,0,0,0.01979,0.00237,0.00021,0.00089,0.01705,0,0,0.00224,0,0,0.00761,0,0.00313,0,0,0.00013,0.1164,0,1e-05,0,0,0.01182,0.00015,0,0.00287,1e-05,0,0.00056,0,5e-05,0.03356,0.00025,9e-05,0,0,0.00012,0,0.00022,0.00029,0.00215,0.00049,0.00104,0,0.00427,0.00082,0
0.06,0,0.00063,0.08872,0,0.0002,0.00095,0.03214,0.00024,7e-05,8e-05,0.04164,0.00486,0.00014,0.01763,0.10832,0.00071,0,0.00838,7e-05,0.01907,0,0,0.01044,0,0.00023,0,0,0,0,0.00153,0,0,0.00891,0,0.00582,0,0,0.00015,0.17329,0,1e-05,0,0,0.0123,0.00018,0,0.00216,1e-05,0,0,0,7e-05,0.03429,0.00027,0.00011,0,0,0.00013,0,0.00024,0.00031,0.00204,0.00011,0.00779,0,0.00253,0.00072,0
0.08,0,0.0006,0.10405,0,5e-05,0.00108,0.03833,0.00029,7e-05,0.0001,0.00745,0.00536,0.00018,0.02348,0.12104,0.00091,0,0.00912,8e-05,0.01649,0,0,0.00087,0,0.00025,0,0,0,0,0.00067,0,0,0.01032,0,0.00834,0,0,0.00017,0.23511,0,2e-05,0,0,0.01295,0.00022,0,0.00142,2e-05,0,0,0,9e-05,0.0352,0.00029,0.00013,0,0,0.00014,0,0.00026,0.00032,0.00186,0,0.01593,0,0.00058,0.00059,0
0.1,0,0.00055,0.11947,0,0,0.0012,0.04437,0.00034,8e-05,0.00011,0,0.00585,0.00021,0.02909,0.13412,0.00113,0,0.00978,8e-05,0.01397,0,0,0,0,0.00027,0,0,0,0,0,0.00065,0,0.01183,0,0.01067,0,0,0.00019,0.30189,0,2e-05,0,0,0.01379,0.00025,0,0.00067,2e-05,0,0,0,0.00011,0.03625,0.00031,0.00016,0,0,0.00015,0,0.00028,0.00033,0.00162,0,0.02558,0,0,0.00043,0
0.12,0,0.00048,0.1348,0,0,0.00134,0.05019,0.00039,9e-05,0.00012,0,0.0063,0.00025,0.03438,0.14744,0.00137,0,0.01033,9e-05,0.01153,0,0,0,0,0.0003,0,0,0,0,0,0.00265,0,0.01346,0,0.01277,0,0,0.00021,0.37354,0,2e-05,0,0,0.01479,0.00029,0,0,2e-05,0,0,0,0.00014,0.03744,0.00033,0.00018,0,0,0.00016,0,0.0003,0.00033,0.0013,0,0.03681,0,0,0.00023,0
0.14,0,0.00038,0.14981,0,0,0.00148,0.05572,0.00046,9e-05,0.00013,0,0.00673,0.00028,0.03932,0.16081,0.00164,0,0.01076,0.0001,0.00918,0,0,0,0,0.00032,0,0,0,0,0,0.00429,0,0.01522,0,0.01464,0,0,0.00024,0.44984,0,3e-05,0,0,0.01596,0.00033,0,0,2e-05,0,0,0,0.00016,0.03873,0.00034,0.00022,0,0,0.00017,0,0.00032,0.00033,0.00089,0,0.04973,0,0,0,7e-05
0.16,0,0.00027,0.16425,0,0,0.00161,0.0609,0.00052,0.0001,0.00015,0,0.00712,0.00032,0.04386,0.17401,0.00193,0,0.01108,0.00011,0.00694,0,0,0,0,0.00034,0,0,0,0,0,0.0055,0,0.01713,0,0.01625,0,0,0.00026,0.53047,0,3e-05,0,0,0.01728,0.00037,0,0,3e-05,0,0,0,0.00018,0.04006,0.00036,0.00025,0,0,0.00018,0,0.00035,0.00033,0.00039,0,0.06438,0,0,0,0.00468
0.18,0,0.00012,0.17784,0,0,0.00175,0.06567,0.00059,0.00011,0.00016,0,0.00747,0.00035,0.04796,0.1868,0.00224,0,0.01126,0.00012,0.00482,0,0,0,0,0.00036,0,0,0,0,0,0.00621,0,0.01919,0,0.0176,0,0,0.00028,0.61494,0,3e-05,0,0,0.01872,0.00041,0,0,3e-05,0,0,0,0.0002,0.0414,0.00038,0.00029,0,0,0.00018,0,0.00037,0.00032,0,0,0.08082,0,0,0,0.00913
