T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0.00772,0.11569,0,0,0.09205,0,0,0,0.49633,0,0,0.11672,0,0,0,0.0322,0,0,0,0.01157,0.00711,0,0.0649,0,0,0,0,0,0,0.0471,0.01722,0.0837,0.03799,0.02439,0,0,0.02211,0.00354,0,0.23116,0.00495,0.05817,0,0.00139,0.01759,0,0.0394,0.01184,0.10059,0,0.01238,0.02158,0.0572,0,0,0.02345,0,0.02926,0.0971,0.06911,0.00071,0.00713,0.0169,0,0,0
0.02,0,0,0.00778,0.12008,0,0,0.09163,0,0,0,0.49655,0,0,0.11569,0,0,0,0.03257,0,0,0,0.01151,0.00667,0,0.06388,0,0,0,0,0,0,0.04721,0.01726,0.084,0.03821,0.02471,0,0,0.02263,0.00366,0,0.23218,0.00504,0.05758,0,0.00151,0.01764,0,0.04133,0.0119,0.09994,0,0.01217,0.02113,0.05794,0,0,0.02319,0,0.02896,0.09554,0.06896,0.00062,0.00707,0.01698,0,0,0
0.04,0,0,0.0078,0.12533,0,0,0.09042,0,0,0,0.49654,0,0,0.11325,0,0,0,0.03267,0,0,0,0.01125,0.00615,0,0.06299,0,0,0,0,0,0,0.04731,0.01729,0.08391,0.03833,0.02524,0,0,0.02337,0.00383,0,0.23171,0.00517,0.05655,0,0.00171,0.01784,0,0.04305,0.01187,0.09843,0,0.01192,0.02059,0.05872,0,0,0.02299,0,0.02875,0.09418,0.06875,0.00067,0.00697,0.01705,0,0,0
0.06,0,0,0.00778,0.13175,0,0,0.08862,0,0,0,0.49631,0,0,0.10977,0,0,0,0.03246,0,0,0,0.01077,0.00555,0,0.06225,0,0,0,0,0,0,0.0474,0.0173,0.08349,0.03831,0.02607,0,0,0.02441,0.00405,0,0.22999,0.00534,0.05505,0,0.00198,0.0182,0,0.04453,0.01174,0.09605,0,0.0116,0.01995,0.05956,0,0,0.02285,0,0.02863,0.09305,0.0685,0.00089,0.00679,0.01711,0,0,0
0.08,0,0,0.00785,0.14094,0,0,0.08694,0,0,0,0.49587,0,0,0.10635,0,0,0,0.03194,0,0,0,0.01013,0.00473,0,0.06134,0,0,0,0,0,0,0.0475,0.01732,0.08307,0.03811,0.02727,0,0,0.02597,0.00433,0,0.2287,0.00557,0.05308,0,0.00235,0.01873,0,0.0464,0.01162,0.09308,0,0.01116,0.01909,0.06071,0,0,0.02266,0,0.02847,0.0916,0.0682,0.00125,0.00651,0.01717,0,0,0
0.1,0,0,0.0079,0.15219,0,0,0.08498,0,0,0,0.49527,0,0,0.10246,0,0,0,0.03102,0,0,0,0.00929,0.004,0,0.061,0,0,0,0,0,0,0.04759,0.01733,0.08227,0.03759,0.02883,0,0,0.02869,0.00468,0,0.22583,0.00582,0.05084,0,0.00275,0.01942,0,0.04734,0.0114,0.08954,0,0.01071,0.01824,0.0616,0,0,0.02269,0,0.02856,0.09131,0.06782,0.00188,0.00615,0.01723,0,0,0
0.12,0,0,0.00768,0.17031,0,0,0.08273,0,0,0,0.49455,0,0,0.09921,0,0,0,0.02971,0,0,0,0.00829,0.00356,0,0.06249,0,0,0,0,0,0,0.04763,0.01727,0.08063,0.03688,0.03156,0,0,0.03288,0.00536,0,0.22136,0.00604,0.04864,0,0.00311,0.02021,0,0.04667,0.01095,0.08553,0,0.01036,0.0177,0.06156,0,0,0.02341,0,0.02953,0.0937,0.06735,0.00298,0.00578,0.01728,0,0,0
0.14,0,0,0.00734,0.1985,0,0,0.08276,0,0,0,0.49375,0,0,0.09872,0,0,0,0.02803,0,0,0,0.00742,0.00305,0,0.06446,0,0,0,0,0,0,0.04767,0.01722,0.079,0.03597,0.03439,0,0,0.03573,0.00603,0,0.2175,0.00625,0.04639,0,0.00346,0.0211,0,0.04552,0.01061,0.08122,0,0.01,0.01727,0.06121,0,0,0.02428,0,0.03067,0.09648,0.06678,0.00433,0.00535,0.01733,0,0,0
0.16,4e-05,3e-05,0.00705,0.21404,2e-05,9e-05,0.08364,9e-05,2e-05,3e-05,0.49317,3e-05,8e-05,0.09957,3e-05,2e-05,0.00036,0.02617,3e-05,9e-05,3e-05,0.00668,0.00225,3e-05,0.06611,3e-05,0.00025,3e-05,0,2e-05,6e-05,0.04794,0.01724,0.07848,0.03499,0.03614,2e-05,0.00013,0.03705,0.00637,5e-05,0.21572,0.00649,0.04426,0.00028,0.00388,0.02209,0.00013,0.04515,0.01041,0.07767,8e-05,0.0096,0.01692,0.06118,6e-05,3e-05,0.02502,4e-05,0.03154,0.09844,0.06617,0.00565,0.00489,0.01748,6e-05,2e-05,0.00018
0.18,0,1e-05,0.00666,0.21241,0,0,0.08453,0,0,0,0.49203,7e-05,0,0.10044,0,0,0.00028,0.02503,6e-05,1e-05,0,0.00592,0.00136,1e-05,0.06748,2e-05,0.0001,0,1e-05,0,3e-05,0.04795,0.01729,0.07752,0.03397,0.03643,0,3e-05,0.03644,0.00591,0,0.21373,0.00664,0.04237,1e-05,0.00425,0.02279,2e-05,0.0445,0.01021,0.07412,1e-05,0.00919,0.01648,0.06094,3e-05,0,0.02563,1e-05,0.03221,0.09943,0.06542,0.00687,0.00437,0.01751,3e-05,5e-05,2e-05
0.2,2e-05,2e-05,0.00637,0.19854,7e-05,0.00021,0.08571,3e-05,0.0001,0.00078,0.4919,0.00014,0.00036,0.10186,7e-05,0.00019,0.0004,0.02493,0.00018,0.00053,2e-05,0.00534,0.0006,2e-05,0.06865,9e-05,0.00053,3e-05,1e-05,0.00013,4e-05,0.04816,0.01745,0.07737,0.0332,0.03553,5e-05,7e-05,0.03463,0.00554,6e-05,0.21314,0.00688,0.0417,0.00085,0.00465,0.02375,9e-05,0.0443,0.01035,0.07158,0.00145,0.00906,0.01674,0.06073,5e-05,0.00017,0.02616,2e-05,0.03268,0.09994,0.06458,0.00781,0.00398,0.01765,5e-05,0.00012,7e-05
0.22,3e-05,2e-05,0.00624,0.17847,7e-05,0.00019,0.08746,0.00011,9e-05,0.00066,0.49117,0.00012,0.00031,0.104,6e-05,0.00016,0.00034,0.02323,0.00016,0.00046,3e-05,0.00493,0.00057,2e-05,0.06898,0.0001,0.00048,4e-05,2e-05,0.00011,3e-05,0.04847,0.01766,0.07776,0.03282,0.03369,4e-05,7e-05,0.03215,0.00469,0.00024,0.21514,0.00694,0.04058,0.00112,0.00478,0.02424,0.00011,0.04492,0.01033,0.07003,0.00132,0.00873,0.01665,0.06055,5e-05,0.00131,0.0264,3e-05,0.03274,0.09947,0.06347,0.00827,0.00332,0.01789,4e-05,0.00011,6e-05
0.24,6e-05,5e-05,0.00625,0.15562,0.00014,0.00031,0.08892,0.00018,0.00012,0.00059,0.4904,0.0002,0.0005,0.10617,9e-05,0.00019,0.00037,0.02168,0.00024,0.00066,7e-05,0.00469,0.00049,3e-05,0.06907,0.00018,0.0005,7e-05,2e-05,0.00015,4e-05,0.04893,0.01799,0.07844,0.03291,0.0317,5e-05,0.00015,0.02949,0.00403,0.00027,0.21783,0.007,0.04005,0.00136,0.00505,0.02474,0.00018,0.04565,0.01045,0.06955,0.00133,0.00881,0.017,0.06017,5e-05,0.00225,0.02653,5e-05,0.03267,0.09842,0.06225,0.00834,0.0027,0.01823,5e-05,0.00017,0.00011
