T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-7.32855,-3.59727,0.56094,2.18727,-0.60119,-0.10596,3.05516,-0.74235,-0.09735,1.13343,-0.04653,-0.00428,-0.10544,3.31517,0.63219,0.08208,1.00875,0.02125,-0.00724,0.09458,-4.02771,2.20678,-0.47366,-2.75564,0.26242,-0.1464,-0.03931,-4.90208,1.51929,0.04859,-2.30653,0.26554,0.14102,0.05297
0.02,-7.36898,-3.63426,0.56842,2.24001,-0.60839,-0.10782,3.11758,-0.76277,-0.09949,1.14911,-0.0474,-0.00534,-0.107,3.39138,0.59671,0.08148,1.0278,0.02122,-0.00572,0.09653,-4.08088,2.20716,-0.4742,-2.73154,0.26235,-0.14434,-0.03807,-4.89197,1.49831,0.04924,-2.31076,0.26539,0.14152,0.05295
0.04,-7.38121,-3.68097,0.57476,2.29024,-0.61561,-0.10916,3.19581,-0.78914,-0.10232,1.17115,-0.04853,-0.00674,-0.10935,3.48483,0.55593,0.0808,1.05442,0.02127,-0.0038,0.0993,-4.14584,2.19487,-0.47874,-2.7092,0.26237,-0.14231,-0.0369,-4.87728,1.46385,0.05082,-2.3145,0.26528,0.14194,0.05282
0.06,-7.3542,-3.73983,0.58082,2.33578,-0.62292,-0.10989,3.29128,-0.82227,-0.10594,1.20043,-0.04995,-0.00852,-0.11261,3.59737,0.5106,0.0801,1.08976,0.02144,-0.00146,0.10302,-4.22217,2.1645,-0.48771,-2.68942,0.26257,-0.14047,-0.03595,-4.85792,1.41288,0.05376,-2.31782,0.26522,0.14226,0.05256
0.08,-7.2944,-3.82162,0.59075,2.38862,-0.6328,-0.11063,3.41822,-0.86726,-0.11083,1.24057,-0.05186,-0.01093,-0.11715,3.74786,0.45347,0.07936,1.13847,0.02184,0.0015,0.10819,-4.3244,2.11107,-0.49972,-2.66495,0.26302,-0.13844,-0.03508,-4.83466,1.34058,0.05896,-2.32107,0.26517,0.1426,0.05217
0.1,-7.16576,-3.90539,0.59774,2.41538,-0.63982,-0.1098,3.54242,-0.91302,-0.11596,1.28344,-0.05381,-0.01339,-0.12215,3.89242,0.40487,0.07882,1.19049,0.02229,0.00456,0.11379,-4.41451,2.03372,-0.51828,-2.65434,0.26375,-0.13754,-0.03504,-4.80561,1.25377,0.06555,-2.3239,0.26521,0.14264,0.05165
0.12,-6.93489,-3.96021,0.5892,2.37488,-0.63665,-0.1053,3.61833,-0.94541,-0.11996,1.31759,-0.05513,-0.01517,-0.12646,3.97232,0.38949,0.07869,1.23186,0.02246,0.00719,0.11831,-4.44676,1.94138,-0.54846,-2.6819,0.2646,-0.13919,-0.03653,-4.76833,1.16581,0.07184,-2.32539,0.26542,0.14201,0.051
0.14,-6.66967,-4.00491,0.57199,2.30918,-0.62964,-0.09938,3.67921,-0.9751,-0.1237,1.3495,-0.05624,-0.01679,-0.13064,4.03217,0.38454,0.07876,1.27097,0.02266,0.00981,0.12258,-4.46339,1.84147,-0.58453,-2.72418,0.26541,-0.14165,-0.03853,-4.72333,1.07515,0.07885,-2.32646,0.26564,0.14117,0.05033
0.16,-6.42942,-4.05497,0.55434,2.2523,-0.62442,-0.094,3.74967,-1.00933,-0.12774,1.38333,-0.05747,-0.01863,-0.13499,4.10576,0.37269,0.07888,1.31324,0.02308,0.01262,0.12715,-4.49449,1.73932,-0.62088,-2.76102,0.2661,-0.14359,-0.04027,-4.67185,0.98276,0.08744,-2.32767,0.26578,0.14047,0.04973
0.18,-6.22123,-4.08872,0.53124,2.18709,-0.61714,-0.08848,3.80153,-1.03763,-0.13105,1.41084,-0.05837,-0.02017,-0.13859,4.1579,0.36789,0.07908,1.34845,0.02344,0.01538,0.13093,-4.51483,1.64463,-0.6577,-2.80132,0.26652,-0.14556,-0.04194,-4.61436,0.90286,0.0964,-2.32769,0.26585,0.1398,0.04925
