T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-5.45381,-4.28776,-0.35587,1.58824,-0.32375,-0.03263,3.77238,-0.71557,-0.11317,1.5801,-0.05199,0.0139,-0.16658,4.16683,0.72616,0.05073,1.65523,0.02799,0.0507,0.15973,21.6382,4.193,1.4899,24.05702,-18.50977,15.40288,4.27979,17.37043,-2.95485,0.00592,15.82938,-20.97883,-1.35351,-3.46637
0.02,-5.50862,-4.45035,-0.30399,1.41644,-0.3573,-0.03535,3.7025,-0.7148,-0.10876,1.5701,-0.05228,0.01434,-0.16613,4.08352,0.77063,0.04743,1.644,0.02767,0.04909,0.16033,21.49027,4.239,1.47744,24.04589,-18.51081,15.41019,4.27857,17.2664,-2.8794,0.00241,15.85465,-20.97929,-1.39206,-3.4641
0.04,-5.58483,-4.61219,-0.22533,1.238,-0.39433,-0.03837,3.66232,-0.70149,-0.10361,1.57045,-0.05282,0.0155,-0.16679,4.01701,0.818,0.04434,1.6395,0.02768,0.04764,0.16181,21.35057,4.28351,1.46565,24.03584,-18.51177,15.41726,4.27741,17.17277,-2.80717,-0.00146,15.88111,-20.97957,-1.43054,-3.46198
0.06,-5.68794,-4.76957,-0.12043,1.05229,-0.43434,-0.04171,3.64542,-0.67685,-0.09781,1.57871,-0.05353,0.01726,-0.16827,3.95991,0.86722,0.04151,1.63877,0.02797,0.04623,0.1638,21.21492,4.32748,1.45406,24.02424,-18.5128,15.42407,4.27634,17.08816,-2.73772,-0.00578,15.90609,-20.97987,-1.46827,-3.45998
0.08,-5.83645,-4.91033,0.00453,0.853,-0.47525,-0.04508,3.63855,-0.64,-0.09122,1.58897,-0.05425,0.01954,-0.16984,3.89506,0.92192,0.03864,1.63527,0.0283,0.04473,0.16557,21.08355,4.36241,1.44307,24.02043,-18.51374,15.43075,4.27416,17.00471,-2.67701,-0.01105,15.94387,-20.97923,-1.51189,-3.45889
0.1,-5.99179,-5.04555,0.15182,0.65917,-0.51838,-0.049,3.64123,-0.60239,-0.08477,1.60278,-0.05499,0.02187,-0.17183,3.83189,0.96788,0.03658,1.63149,0.02903,0.04299,0.16726,20.94255,4.4121,1.43019,23.9978,-18.51489,15.4374,4.27381,16.93511,-2.60925,-0.01645,15.95427,-20.98046,-1.54375,-3.45668
0.12,-6.10553,-5.18776,0.32585,0.49128,-0.56528,-0.05386,3.649,-0.57883,-0.07931,1.62137,-0.05574,0.02361,-0.17463,3.78064,0.98961,0.03641,1.63045,0.03058,0.04071,0.16913,20.76817,4.50422,1.41186,23.91588,-18.51756,15.44372,4.27848,16.89202,-2.51389,-0.02074,15.88544,-20.98742,-1.5424,-3.45097
0.14,-6.21169,-5.29761,0.50787,0.33958,-0.60716,-0.05851,3.64546,-0.56255,-0.07422,1.6356,-0.05628,0.02492,-0.17696,3.71778,1.00155,0.03734,1.62322,0.03231,0.03785,0.17021,20.57749,4.61207,1.39105,23.81509,-18.52018,15.45051,4.28502,16.85758,-2.41075,-0.0249,15.78849,-20.99646,-1.52878,-3.444
0.16,-6.31776,-5.38043,0.67932,0.19318,-0.64465,-0.06273,3.61257,-0.54867,-0.06902,1.6366,-0.05642,0.02586,-0.17765,3.61948,1.01552,0.03843,1.60117,0.03367,0.03442,0.16955,20.37991,4.71275,1.3698,23.72397,-18.522,15.45828,4.29052,16.81459,-2.31575,-0.02977,15.70338,-21.00482,-1.52025,-3.4378
0.18,-6.41371,-5.45866,0.83138,0.04669,-0.68048,-0.06685,3.52665,-0.54599,-0.06376,1.61806,-0.05597,0.02595,-0.17621,3.46938,1.02766,0.03951,1.55921,0.03471,0.0301,0.16663,20.14537,4.80945,1.34523,23.60308,-18.52662,15.46551,4.2945,16.75696,-2.22283,-0.03479,15.60384,-21.01488,-1.51031,-3.43257
0.2,-6.45457,-5.53165,0.96442,-0.0589,-0.71182,-0.07061,3.43861,-0.54763,-0.05953,1.59504,-0.05535,0.02576,-0.17401,3.32288,1.03805,0.04179,1.51451,0.03553,0.02566,0.16312,19.93406,4.91929,1.32215,23.52654,-18.52472,15.47723,4.30098,16.70621,-2.12859,-0.04009,15.51815,-21.02359,-1.49751,-3.42581
0.22,-6.39949,-5.6063,1.08621,-0.07985,-0.7367,-0.07393,3.41042,-0.54439,-0.05743,1.58641,-0.05508,0.02603,-0.17278,3.24594,1.04889,0.04683,1.488,0.0363,0.02192,0.16117,19.81662,5.06411,1.30607,23.58845,-18.50429,15.5003,4.31507,16.68426,-2.0289,-0.04596,15.47975,-21.0273,-1.48104,-3.41444
0.24,-6.29484,-5.70566,1.1853,-0.06085,-0.7587,-0.07704,3.38527,-0.54608,-0.05654,1.57591,-0.05474,0.02602,-0.1711,3.18311,1.06043,0.05317,1.4628,0.03693,0.01817,0.15912,19.72408,5.22516,1.29134,23.69448,-18.47713,15.52854,4.33158,16.66746,-1.92398,-0.05224,15.45652,-21.0298,-1.46129,-3.40157
0.26,-6.18067,-5.8437,1.24929,-0.04328,-0.78048,-0.08006,3.31575,-0.56186,-0.05613,1.54997,-0.05399,0.02509,-0.16784,3.0869,1.07084,0.05913,1.42487,0.03727,0.01405,0.15559,19.59931,5.3856,1.27361,23.77078,-18.45252,15.55745,4.34618,16.63297,-1.81477,-0.05887,15.42269,-21.03416,-1.43974,-3.38984
