T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0.14864,0.11747,0,0.10665,0.00063,0.00028,0.00101,0.24061,0,0.0018,0.06466,0.00028,0.0003,0.00044,0.00303,0.00056,0.00148,0.03936,0,0.04323,0.14274,0.00151,0.58523,1,0,5e-05,0,0.00013,0.0049,0.00592,0.16122,0.05317,0.00719,0.03404,0.60479,0.03462,0,0.00051,0,0.03908,0,0.00507,0,0.01262,0.00046,0.02633,0.00041,0,0.0022,0,0.0111,0,0,0,0.00171,0.17762,0.00226,0,0,0,0.02191,0.00465,0.00018,0.0006,0.00131
0.02,0,0,0.00451,0.19125,0.15099,0,0.13031,0.00054,0.00027,0.00134,0.18937,0,0.00164,0.07152,0.00024,0.00026,0.00041,0.00325,0.0005,0.00075,0.06613,0,0.04978,0.14577,0.00089,0.62767,1,0,1e-05,0.00089,0.00012,0.00564,0.00585,0.14134,0.05988,0.00927,0.03198,0.65427,0.04174,0,0.00044,0.01654,0.04329,0,0.00443,0,0.01039,0.00046,0.02369,0.00026,0,0.00197,0,0.01226,0,0,0,0.00144,0.17631,0.00174,0,0.01056,0,0.01877,0.00563,0.00016,0.00055,0.00116
0.04,0,0,0.01282,0.23943,0.18824,0,0.15278,0.00046,0.00025,0.00174,0.13709,0,0.00149,0.07522,0.00019,0.00023,0.00038,0.00333,0.00044,0,0.09183,0,0.05713,0.14767,0.00044,0.66626,1,0,0,0.00232,0.0001,0.00636,0.00579,0.12215,0.06685,0.01147,0.03009,0.70225,0.04818,0,0.00037,0.03882,0.04742,0,0.00386,0,0.00792,0.00047,0.02131,0.0002,0,0.00176,0,0.01351,0,0,0,0.0012,0.17359,0.00131,0,0.02349,0,0.01544,0.00662,0.00014,0.00051,0.00103
0.06,0,0,0.02074,0.29339,0.22932,0,0.17377,0.00039,0.00025,0.0022,0.08409,0,0.00137,0.07544,0.00015,0.0002,0.00035,0.00324,0.00039,0,0.11621,0,0.0652,0.14821,0.00014,0.70012,1,0,0,0.00404,8e-05,0.00706,0.00572,0.10384,0.07403,0.01376,0.02843,0.74764,0.05378,0,0.00031,0.06246,0.0514,0,0.00335,0,0.0052,0.00051,0.01921,0.00025,0.00828,0.00156,0,0.01483,0,0,0,0.00099,0.16928,0.00096,0,0.03661,0,0.01195,0.00762,0.00012,0.00048,0.0009
0.08,0,0.00022,0.02817,0.35329,0.27428,0,0.19293,0.00032,0.00024,0.00272,0.03072,0,0.00126,0.07188,0.0001,0.00017,0.00033,0.00298,0.00035,0,0.13901,0,0.07386,0.14717,4e-05,0.72825,0.99504,0,0,0.00606,7e-05,0.00772,0.00565,0.08657,0.08133,0.01608,0.02702,0.78914,0.05838,0,0.00026,0.08737,0.05514,0,0.00289,0,0.00224,0.00056,0.01744,0.0004,0.01823,0.00138,0,0.01622,0,0,0,0.00081,0.16319,0.00071,0,0.0498,0.00085,0.00829,0.00861,0.0001,0.00045,0.00079
0.1,0,0.00188,0.03506,0.41922,0.32312,0.00102,0.20994,0.00026,0.00024,0.00331,0,0,0.00116,0.06431,3e-05,0.00015,0.00032,0.00253,0.00031,0,0.15992,0,0.08295,0.14432,0.00012,0.74961,0.9767,0,0,0.0084,6e-05,0.00834,0.00558,0.07048,0.08864,0.01839,0.02589,0.82532,0.0618,0,0.00021,0.11344,0.05855,0,0.0025,0.00123,0,0.00063,0.01602,0.00067,0.02876,0.00122,0.00045,0.01765,0,0,0,0.00067,0.15514,0.00057,0,0.06286,0.00198,0.0045,0.00956,9e-05,0.00043,0.00069
0.12,0,0.00383,0.04132,0.49116,0.37579,0.00215,0.22447,0.0002,0.00024,0.00397,0,0,0.00108,0.05259,0,0.00013,0.00031,0.0019,0.00028,0,0.17864,0,0.0922,0.1394,0.00043,0.76312,0.95285,0,0,0.01107,5e-05,0.0089,0.0055,0.05566,0.09585,0.02059,0.02504,0.85452,0.06389,0,0.00017,0.14051,0.06152,0,0.00216,0.00448,0,0.00073,0.01497,0.00106,0.03973,0.00107,0.00155,0.0191,0,0,0,0.00055,0.14495,0.00053,0,0.07561,0.00323,0.0006,0.01045,8e-05,0.00041,0.0006
0.14,0,0.00611,0.04688,0.56899,0.43217,0.00299,0.23622,0.00016,0.00025,0.00469,0,0,0.00102,0.03662,0,0.00011,0.0003,0.00108,0.00025,0,0.19487,0,0.10133,0.13215,0.00096,0.76768,0.92312,0,0,0.0141,4e-05,0.00939,0.0054,0.04215,0.10282,0.0226,0.02446,0.87488,0.06448,0,0.00013,0.1684,0.06394,0,0.00188,0.00757,0,0.00084,0.01429,0.00157,0.05092,0.00093,0.00272,0.02055,0,0,0,0.00047,0.13247,0.00062,0,0.08781,0.00461,0,0.01127,6e-05,0.0004,0.00053
0.16,0,0.00872,0.0517,0.65246,0.49202,0.00353,0.24493,0.00012,0.00026,0.00549,0,0.0003,0.00096,0.01644,0,9e-05,0.0003,9e-05,0.00023,0,0.20833,0,0.10996,0.12229,0.00173,0.7622,0.88722,0,0,0.01749,3e-05,0.0098,0.00529,0.02993,0.10939,0.0243,0.02414,0.88436,0.06342,0,0.0001,0.19686,0.06569,0,0.00166,0.01048,0,0.00098,0.01399,0.00218,0.06208,0.00081,0.00393,0.02196,0,0,0,0.00043,0.11754,0.00082,0.00117,0.09919,0.00609,0,0.01197,6e-05,0.00039,0.00046
0.18,0,0.0117,0.05577,0.74116,0.55504,0.00378,0.25035,7e-05,0.00027,0.00635,0,0.00087,0.00092,0,0,7e-05,0.0003,0,0.00021,0,0.21878,0,0.11761,0.10956,0.00277,0.74566,0.84498,0,0,0.02126,1e-05,0.01012,0.00516,0.01893,0.11536,0.02558,0.02405,0.88067,0.06056,0,6e-05,0.22558,0.06664,0.00308,0.0015,0.01318,0,0.00114,0.01405,0.0029,0.07289,0.0007,0.00519,0.02331,0,0,0,0.00042,0.10004,0.00116,0.00342,0.10947,0.00769,0,0.01252,4e-05,0.00039,0.00041
