T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.66294,-4.70963,0.35998,0.99877,-0.31303,0.001,4.63887,-4.16159,-0.43914,-0.81903,4.28598,-0.01999,-0.17207,4.17329,-0.30907,-0.17021,-1.26546,0.06692,-0.10743,0.10692,-3.19198,-0.40874,0.23679,-2.35841,1.91475,-0.75612,-2.55944,-4.74208,-0.29471,-0.31374,-2.13464,1.7475,0.50487,1.39669
0.02,0.57807,-4.91667,0.3505,0.99299,-0.32247,-0.00056,4.66964,-4.1584,-0.43886,-0.80467,4.28468,-0.01936,-0.17415,4.21201,-0.30986,-0.16946,-1.24822,0.06769,-0.10693,0.10847,-3.2243,-0.38369,0.22812,-2.3622,1.91759,-0.75802,-2.55851,-4.72557,-0.2734,-0.32121,-2.14648,1.74956,0.50584,1.39943
0.04,0.50108,-5.17159,0.34277,0.98324,-0.33503,-0.0023,4.72208,-4.15308,-0.43774,-0.78101,4.28338,-0.01819,-0.17731,4.27853,-0.31119,-0.16795,-1.21964,0.06844,-0.10648,0.11147,-3.25065,-0.34799,0.21901,-2.36504,1.92043,-0.75982,-2.55763,-4.70141,-0.2442,-0.32987,-2.15766,1.75164,0.50685,1.40221
0.06,0.43777,-5.4709,0.34103,0.96884,-0.35073,-0.00414,4.8024,-4.14442,-0.43561,-0.74556,4.28208,-0.0163,-0.1818,4.3798,-0.31176,-0.1654,-1.17699,0.06924,-0.10616,0.1163,-3.26973,-0.30026,0.20943,-2.36678,1.92326,-0.76151,-2.55681,-4.66645,-0.20536,-0.3401,-2.16784,1.75377,0.50792,1.405
0.08,0.38096,-5.8077,0.35117,0.94965,-0.36868,-0.00591,4.91996,-4.12639,-0.43246,-0.69667,4.28016,-0.01323,-0.18782,4.5264,-0.30846,-0.16147,-1.11679,0.07022,-0.10605,0.12316,-3.28115,-0.23794,0.1988,-2.36897,1.92623,-0.76325,-2.55568,-4.62226,-0.15447,-0.35215,-2.17629,1.75589,0.50895,1.40798
0.1,0.37142,-6.17092,0.37767,0.92463,-0.39042,-0.00765,5.07144,-4.10833,-0.42789,-0.63107,4.27904,-0.00932,-0.19562,4.71346,-0.30249,-0.15599,-1.03952,0.07127,-0.10627,0.13257,-3.28222,-0.16416,0.18857,-2.36841,1.92903,-0.76473,-2.55532,-4.55645,-0.0918,-0.36646,-2.18364,1.75823,0.51025,1.41083
0.12,0.44795,-6.54813,0.42507,0.89279,-0.41765,-0.00943,5.25027,-4.10126,-0.42157,-0.54619,4.28054,-0.00504,-0.20534,4.93229,-0.29507,-0.14883,-0.94725,0.07224,-0.10689,0.14503,-3.27303,-0.08318,0.18018,-2.36066,1.93129,-0.76551,-2.55667,-4.45526,-0.0169,-0.38366,-2.19095,1.76109,0.5122,1.41287
0.14,0.57403,-6.92823,0.50009,0.8558,-0.44757,-0.01089,5.46377,-4.09183,-0.41394,-0.44487,4.28276,0.00018,-0.21677,5.19159,-0.28082,-0.13987,-0.83835,0.07338,-0.10798,0.15994,-3.25494,0.0088,0.17219,-2.35127,1.9334,-0.7661,-2.55887,-4.33361,0.07266,-0.40342,-2.19697,1.76421,0.51444,1.41484
0.16,0.7108,-7.29902,0.60755,0.81516,-0.47751,-0.0117,5.71392,-4.06862,-0.40543,-0.33161,4.28422,0.00676,-0.22949,5.49337,-0.25484,-0.12908,-0.71379,0.07486,-0.10959,0.17656,-3.23122,0.11468,0.16314,-2.34458,1.93564,-0.76692,-2.56093,-4.20601,0.17944,-0.42543,-2.20099,1.76736,0.51668,1.4172
0.18,0.83612,-7.64602,0.74873,0.77132,-0.50681,-0.01187,5.99139,-4.0325,-0.39646,-0.21079,4.28589,0.01447,-0.24291,5.82564,-0.21543,-0.11649,-0.57975,0.07677,-0.11168,0.19468,-3.21136,0.23176,0.15236,-2.33759,1.93784,-0.76777,-2.56212,-4.07332,0.30688,-0.45028,-2.20409,1.77062,0.5191,1.41888
0.2,0.9913,-7.96155,0.92135,0.72716,-0.5358,-0.01119,6.26918,-3.99566,-0.38683,-0.08832,4.28714,0.02229,-0.25641,6.15775,-0.16762,-0.10297,-0.44477,0.07869,-0.11425,0.2125,-3.17768,0.35755,0.1425,-2.33652,1.94016,-0.76901,-2.56542,-3.94598,0.44455,-0.47566,-2.20703,1.77402,0.52157,1.42216
0.22,1.22132,-8.24494,1.11993,0.68433,-0.56506,-0.00946,6.50985,-3.97336,-0.37662,0.02728,4.28701,0.02884,-0.26918,6.44697,-0.11662,-0.08964,-0.32004,0.08007,-0.11742,0.22766,-3.10634,0.49238,0.13642,-2.34855,1.94259,-0.77091,-2.57421,-3.83686,0.58039,-0.49877,-2.21038,1.77744,0.52382,1.43022
0.24,1.42874,-8.4808,1.33876,0.64495,-0.59211,-0.00687,6.70623,-3.95832,-0.36735,0.1262,4.28684,0.03416,-0.27998,6.68223,-0.05937,-0.07665,-0.21666,0.08126,-0.12087,0.2398,-3.025,0.63225,0.13052,-2.36679,1.94518,-0.77335,-2.58508,-3.75484,0.72138,-0.52079,-2.21611,1.78099,0.52614,1.43974
0.26,1.52547,-8.65062,1.56861,0.60914,-0.61436,-0.00354,6.84376,-3.9453,-0.36029,0.19687,4.28753,0.03816,-0.28742,6.84319,0.00725,-0.06449,-0.14719,0.08246,-0.12435,0.24813,-2.95265,0.77115,0.12246,-2.38543,1.94781,-0.77611,-2.59511,-3.70959,0.87092,-0.54223,-2.22589,1.78459,0.52866,1.44822
0.28,1.50777,-8.74977,1.79408,0.57197,-0.63109,0.00071,6.87882,-3.94524,-0.35611,0.22577,4.28871,0.03975,-0.29024,6.87514,0.08399,-0.05449,-0.12649,0.08311,-0.12809,0.25047,-2.87022,0.90642,0.11444,-2.40553,1.94971,-0.77885,-2.60489,-3.7097,1.02063,-0.56141,-2.23998,1.78773,0.531,1.45799
0.3,1.34759,-8.75754,2.01151,0.55093,-0.6414,0.00549,6.82427,-3.96192,-0.35514,0.21327,4.29144,0.03877,-0.28796,6.79185,0.1556,-0.04732,-0.16204,0.08337,-0.13097,0.24603,-2.79334,1.01554,0.10603,-2.4279,1.95319,-0.78317,-2.61585,-3.77295,1.15107,-0.57522,-2.26198,1.79167,0.53376,1.4652
0.32,1.00795,-8.65356,2.21899,0.56111,-0.64617,0.01005,6.69589,-3.99943,-0.35756,0.16172,4.29606,0.03509,-0.28011,6.61096,0.20383,-0.04408,-0.26137,0.08348,-0.13182,0.23418,-2.73714,1.07614,0.09721,-2.45066,1.96015,-0.79022,-2.63009,-3.91328,1.24303,-0.58031,-2.29571,1.79769,0.53754,1.46466
0.34,0.4633,-8.45722,2.39668,0.58489,-0.64449,0.01469,6.45243,-4.05882,-0.36377,0.05848,4.30255,0.02836,-0.266,6.27617,0.24131,-0.0452,-0.43166,0.08269,-0.13172,0.21373,-2.66708,1.09317,0.09017,-2.47179,1.96888,-0.79893,-2.64541,-4.1243,1.29231,-0.57671,-2.33804,1.80447,0.54158,1.46144
0.36,-0.32143,-8.19162,2.52437,0.60658,-0.63691,0.01929,6.06759,-4.14048,-0.37375,-0.1029,4.31037,0.01841,-0.24541,5.74606,0.27611,-0.05117,-0.67649,0.08045,-0.1315,0.18407,-2.55196,1.07388,0.08694,-2.48684,1.97746,-0.80794,-2.65996,-4.39517,1.2967,-0.56456,-2.38632,1.81075,0.54515,1.45938
0.38,-1.38243,-7.86105,2.58401,0.62378,-0.62843,0.02244,5.53761,-4.25593,-0.387,-0.31785,4.31613,0.00473,-0.21831,5.00481,0.29304,-0.06414,-1.0013,0.07668,-0.13081,0.14482,-2.37397,1.02019,0.09085,-2.48667,1.98355,-0.81486,-2.67668,-4.71347,1.25202,-0.54217,-2.44131,1.81597,0.54793,1.4557
0.4,-2.70841,-7.5565,2.60334,0.66406,-0.61419,0.02431,4.97754,-4.3555,-0.40126,-0.55991,4.32835,-0.00891,-0.18819,4.20013,0.3003,-0.07812,-1.36089,0.07186,-0.12955,0.10057,-2.15137,0.9222,0.093,-2.48291,1.9951,-0.82596,-2.6892,-5.08168,1.13146,-0.51043,-2.49952,1.82261,0.55111,1.45339
0.42,-4.40872,-7.42841,2.62411,0.78679,-0.59156,0.02442,4.5314,-4.36975,-0.41248,-0.79334,4.35879,-0.01801,-0.16005,3.51972,0.30704,-0.08582,-1.69964,0.06657,-0.12773,0.05675,-1.92241,0.79522,0.07792,-2.48803,2.02309,-0.84962,-2.68749,-5.50462,0.9201,-0.47231,-2.55849,1.83378,0.55639,1.45743
0.44,-6.43097,-7.53611,2.60233,0.9312,-0.57873,0.01973,4.13,-4.35002,-0.42119,-1.01845,4.39516,-0.02554,-0.13285,2.85415,0.28821,-0.09409,-2.03821,0.06042,-0.12535,0.01221,-1.63905,0.68462,0.05385,-2.48139,2.05665,-0.87602,-2.68045,-5.93704,0.65048,-0.42912,-2.61734,1.84623,0.56209,1.46279
0.46,-8.60125,-7.85488,2.50129,1.04944,-0.58413,0.0092,3.75337,-4.34026,-0.42779,-1.22127,4.42737,-0.03349,-0.1077,2.15998,0.23069,-0.107,-2.37729,0.05346,-0.12254,-0.03221,-1.26837,0.60906,0.0298,-2.4459,2.08736,-0.89786,-2.67519,-6.33372,0.34621,-0.38226,-2.67509,1.85738,0.56686,1.46625
0.48,-11.02926,-8.31894,2.33589,1.18894,-0.588,-0.0056,3.52591,-4.29944,-0.42709,-1.35818,4.46285,-0.03916,-0.09102,1.59079,0.13992,-0.12022,-2.67274,0.04652,-0.11923,-0.07226,-0.85313,0.57369,-0.00162,-2.38406,2.12364,-0.92161,-2.6625,-6.68226,0.01209,-0.3346,-2.73347,1.86888,0.57186,1.47257
0.5,-13.00306,-8.93084,2.09605,1.28527,-0.59417,-0.0225,3.3984,-4.31729,-0.42871,-1.43461,4.4891,-0.04439,-0.08071,1.097,0.02743,-0.13471,-2.90292,0.03957,-0.1159,-0.1028,-0.33451,0.55198,-0.02941,-2.31443,2.15249,-0.93717,-2.65789,-6.931,-0.35931,-0.2899,-2.7758,1.87899,0.57546,1.47249
0.52,-13.6376,-9.63745,1.7747,1.29744,-0.60637,-0.03839,3.30822,-4.50856,-0.44775,-1.46567,4.4902,-0.05195,-0.07337,0.64648,-0.10226,-0.15172,-3.03856,0.03257,-0.11247,-0.11733,0.30618,0.49312,-0.04005,-2.24741,2.15906,-0.93314,-2.68767,-7.03476,-0.7755,-0.25329,-2.78453,1.88617,0.57608,1.45535
0.54,-13.15364,-10.18163,1.42398,1.27126,-0.60469,-0.05108,3.36718,-4.79384,-0.47178,-1.40856,4.48075,-0.05808,-0.0764,0.39955,-0.25334,-0.16922,-3.05523,0.0263,-0.10841,-0.1159,1.01243,0.34638,-0.03181,-2.19425,2.15832,-0.92211,-2.72586,-6.99509,-1.23334,-0.22318,-2.77027,1.89192,0.57509,1.43166
