T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.00755,0.00504,-0.01197,-0.02996,-0.00321,0.00118,0.0176,-0.60251,-0.00052,-0.00015,-0.08318,-0.00673,-0.00459,0.00419,-0.00395,0.04405,-0.00598,0.00076,-0.00193,0.00122,-0.37409,0.06515,-0.01126,-0.00676,-0.0708,-0.0582,-0.00067,-0.09063,-0.04605,-0.00655,-0.03238,-0.06602,0.13969,0.00884
0.02,-0.00843,0.00432,-0.01197,-0.02993,-0.00331,0.00114,0.01137,-0.60088,-0.00032,-0.00016,-0.09905,-0.00757,-0.00349,0.00404,-0.01664,0.04365,-0.00583,0.00059,-0.00204,0.00126,-0.38303,0.06559,-0.01086,-0.0091,-0.07608,-0.05875,-0.00145,-0.09251,-0.04412,-0.00717,-0.03972,-0.07476,0.13407,0.00647
0.04,-0.00905,0.0033,-0.01157,-0.02933,-0.0034,0.00105,0.00125,-0.57733,-0.0001,-0.00018,-0.11728,-0.00865,-0.00195,0.00364,-0.03441,0.04206,-0.00553,0.00033,-0.00217,0.00129,-0.38683,0.06437,-0.01003,-0.01272,-0.08198,-0.05825,-0.00255,-0.0931,-0.03986,-0.00788,-0.04916,-0.08515,0.1242,0.00319
0.06,-0.00944,0.00206,-0.01074,-0.02827,-0.00347,0.00093,-0.01316,-0.52539,0.00012,-0.00019,-0.13675,-0.01,-4e-05,0.00293,-0.05713,0.03931,-0.00511,1e-05,-0.00231,0.00132,-0.38587,0.06129,-0.00883,-0.01787,-0.08869,-0.05678,-0.00395,-0.09248,-0.03297,-0.00867,-0.06045,-0.09695,0.11069,-0.00082
0.08,-0.00963,0.00068,-0.00948,-0.02689,-0.00354,0.00078,-0.03202,-0.43755,0.00032,-0.0002,-0.15551,-0.01161,0.00211,0.00183,-0.084,0.03547,-0.00463,-0.00037,-0.00247,0.00135,-0.38042,0.0561,-0.00735,-0.02473,-0.09624,-0.05446,-0.00561,-0.09067,-0.02323,-0.00946,-0.0729,-0.10951,0.09439,-0.00523
0.1,-0.00964,-0.00068,-0.0079,-0.02536,-0.00362,0.00061,-0.0551,-0.30612,0.00045,-0.00021,-0.17062,-0.01343,0.00431,0.00028,-0.11357,0.03068,-0.00416,-0.00075,-0.00265,0.0014,-0.37066,0.04858,-0.00575,-0.03341,-0.10447,-0.05143,-0.00742,-0.0878,-0.01052,-0.01019,-0.08557,-0.12171,0.07691,-0.00959
0.12,-0.00949,-0.00191,-0.00616,-0.02386,-0.0037,0.00045,-0.08192,-0.12569,0.00046,-0.00022,-0.17859,-0.01537,0.00634,-0.00177,-0.14397,0.02509,-0.00378,-0.00111,-0.00283,0.00145,-0.35675,0.03855,-0.00421,-0.04394,-0.11311,-0.04788,-0.00921,-0.08401,0.00515,-0.01077,-0.0975,-0.13218,0.0598,-0.01343
0.14,-0.00921,-0.00291,-0.00444,-0.02252,-0.0038,0.0003,-0.1121,0.10327,0.00025,-0.00023,-0.17623,-0.01736,0.00799,-0.00435,-0.17359,0.01886,-0.00353,-0.00143,-0.00302,0.00152,-0.33885,0.02592,-0.00285,-0.05627,-0.12194,-0.04397,-0.01088,-0.07905,0.02371,-0.01112,-0.10777,-0.13978,0.04383,-0.01632
0.16,-0.00884,-0.00363,-0.00288,-0.02136,-0.00392,0.00018,-0.1455,0.37146,-0.0003,-0.00023,-0.16095,-0.01941,0.00908,-0.00743,-0.20135,0.01214,-0.00341,-0.00168,-0.00324,0.00159,-0.31732,0.01085,-0.00176,-0.07028,-0.1308,-0.03987,-0.01237,-0.07267,0.04486,-0.01123,-0.11603,-0.14384,0.02962,-0.01799
0.18,-0.00838,-0.00408,-0.00157,-0.02031,-0.00407,9e-05,-0.1819,0.65762,-0.00136,-0.0002,-0.13077,-0.02147,0.0095,-0.01088,-0.2265,0.00508,-0.00336,-0.00189,-0.00351,0.00164,-0.29296,-0.00619,-0.00098,-0.0857,-0.1396,-0.03578,-0.01364,-0.06493,0.06794,-0.01112,-0.12268,-0.14421,0.01772,-0.0184
0.2,-0.00764,-0.00429,-0.0006,-0.01924,-0.00425,3e-05,-0.2202,0.92982,-0.00312,-0.00014,-0.08464,-0.02351,0.0092,-0.01452,-0.24849,-0.00211,-0.00329,-0.00207,-0.00386,0.00166,-0.26648,-0.0243,-0.00051,-0.10194,-0.14827,-0.03197,-0.0147,-0.05564,0.09179,-0.01084,-0.12829,-0.14126,0.0084,-0.01766
0.22,-0.00647,-0.00429,4e-05,-0.018,-0.00449,0,-0.25865,1.15326,-0.00579,-4e-05,-0.02268,-0.02547,0.0082,-0.01807,-0.26691,-0.00916,-0.00309,-0.00224,-0.00433,0.00162,-0.23893,-0.04245,-0.00031,-0.11802,-0.15659,-0.0287,-0.01557,-0.04485,0.11495,-0.01046,-0.1334,-0.13562,0.00178,-0.01602
