T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.02434,0.00386,0,0.08311,0,0.00055,0,0,0,0.02829,0.54546,0,0,0.01014,0.10092,0.02863,0.02768,0,0,0.03265,0,0,0,0,0.02757,0,0,0,0.00906,0,0.00171,0.04165,0.00328,0,0,0,0.0036,0,0.00371,0,0.00327,1,0.43671,0,0,0.0336,0.04121,0,0,0,0,0.00085,0.05603,0,0.11992,0.01094,0.00591,0.00084,0,0.01343,0.06472,0.07792,0,0.01313,0,0,0,0.01399
0.02,0.02435,0.00385,0,0.08289,0,0.00056,0,0,0,0.02831,0.54541,0,0,0.01008,0.10093,0.02868,0.02765,0,0,0.03264,0,0,0,0,0.02756,0,0,0,0.00906,0,0.0017,0.04166,0.00328,0,0,0,0.00364,0,0.00371,0,0.00325,1,0.43582,0,0,0.0336,0.04124,0,0,0,0,0.00085,0.056,0,0.1199,0.01094,0.00589,0.00083,0,0.01349,0.06474,0.07794,0,0.01311,0,0,0,0.01395
0.04,0.02437,0.00387,0,0.08259,0,0.00057,0,0,0,0.02833,0.54549,0,0,0.01002,0.10094,0.0287,0.02761,0,0,0.03262,0,0,0,0,0.02755,0,0,0,0.00905,0,0.0017,0.04166,0.00328,0,0,0,0.00366,0,0.0037,0,0.00323,1,0.43503,0,0,0.03361,0.04126,0,0,0,0,0.00083,0.056,0,0.1199,0.01096,0.00586,0.00082,0,0.01354,0.06477,0.078,0,0.01306,0,0,0,0.01391
0.06,0.02442,0.00391,0,0.08223,0,0.00058,0,0,0,0.02837,0.54568,0,0,0.00996,0.10093,0.0287,0.02755,0,0,0.03257,0,0,0,0,0.02753,0,0,0,0.00903,0,0.00169,0.04167,0.00328,0,0,0,0.00364,0,0.00369,0,0.0032,1,0.43435,0,0,0.03362,0.04129,0,0,0,0,0.0008,0.05603,0,0.11992,0.01098,0.00583,0.00081,0,0.01358,0.06479,0.07809,0,0.013,0,0,0,0.01387
0.08,0.02448,0.004,0,0.08184,0,0.00059,0,0,0,0.02841,0.54593,0,0,0.00989,0.10087,0.02869,0.02747,0,0,0.03251,0,0,0,0,0.02752,0,0,0,0.00901,0,0.00168,0.04168,0.00328,0,0,0,0.00357,0,0.00366,0,0.00318,1,0.43375,0,0,0.03363,0.04132,0,0,0,0,0.00075,0.05609,0,0.11998,0.01102,0.0058,0.00081,0,0.01362,0.06481,0.07821,0,0.0129,0,0,0,0.01385
0.1,0.02457,0.00415,5e-05,0.08163,7e-05,0.00077,5e-05,0.00012,0.0001,0.02854,0.54699,0.00013,0.00038,0.00988,0.10081,0.02874,0.02748,0.00044,0.00016,0.03285,5e-05,2e-05,0.00026,3e-05,0.0276,0.00014,0.00051,6e-05,0.00899,0.00025,0.0017,0.0418,0.00342,0.00055,3e-05,2e-05,0.0035,6e-05,0.00369,0.00016,0.00321,1,0.43346,9e-05,0.00083,0.03406,0.04169,5e-05,0.00026,0.00014,0.00013,0.00124,0.05667,0.00037,0.12016,0.0111,0.00589,0.00085,2e-05,0.01378,0.06498,0.07851,2e-05,0.01291,3e-05,3e-05,0.00013,0.01393
0.12,0.02461,0.00435,6e-05,0.08144,9e-05,0.00085,5e-05,0.00014,8e-05,0.02865,0.54812,0.00015,0.00056,0.00986,0.10063,0.02867,0.02738,0.00106,0.00018,0.0329,8e-05,3e-05,0.00029,3e-05,0.02763,0.00016,0.00071,6e-05,0.00893,0.00031,0.0017,0.04182,0.00345,0.00071,4e-05,2e-05,0.00332,8e-05,0.00365,0.00021,0.00318,1,0.43306,0.00013,0.00145,0.03417,0.04188,6e-05,0.00027,0.00016,0.00016,0.00193,0.05686,0.0005,0.12031,0.01119,0.00583,0.00088,3e-05,0.01378,0.06509,0.07883,2e-05,0.01276,3e-05,3e-05,0.00015,0.01385
0.14,0.02462,0.00464,5e-05,0.08131,8e-05,0.00086,5e-05,8e-05,0.00011,0.02872,0.549,0.00013,0.00078,0.00983,0.10035,0.02856,0.02724,0.00136,0.00015,0.03282,6e-05,2e-05,0.00024,3e-05,0.02766,0.00014,0.0006,5e-05,0.00884,0.00026,0.00168,0.04181,0.00343,0.0006,3e-05,2e-05,0.00303,7e-05,0.00354,0.00019,0.00313,1,0.43281,0.00012,0.00132,0.03411,0.04211,5e-05,0.00023,0.00013,0.00016,0.00225,0.05692,0.00053,0.1204,0.01129,0.0057,0.0009,4e-05,0.01373,0.06511,0.07919,2e-05,0.01249,3e-05,3e-05,0.00013,0.0137
0.16,0.02466,0.00504,4e-05,0.08135,6e-05,0.00087,4e-05,0.00016,8e-05,0.0288,0.54995,0.00015,0.00065,0.00978,0.10007,0.02854,0.02708,0.00114,0.00015,0.03279,4e-05,2e-05,0.00021,2e-05,0.02763,0.00017,0.00082,4e-05,0.00874,0.00019,0.00167,0.04184,0.00343,0.00059,2e-05,2e-05,0.00265,7e-05,0.00339,0.00018,0.00308,1,0.43245,0.00014,0.00097,0.03417,0.04203,5e-05,0.00017,0.00018,0.00014,0.00192,0.0571,0.00058,0.12051,0.01142,0.00557,0.00093,3e-05,0.01375,0.06523,0.07957,2e-05,0.01217,2e-05,3e-05,0.00012,0.0136
0.18,0.02468,0.00558,0,0.08139,0,0.00072,0,0,0,0.02882,0.5504,1e-05,0.00014,0.0097,0.09974,0.02847,0.02684,0.00219,0.00015,0.03222,0,0,1e-05,0,0.02755,8e-05,0.00034,0,0.00858,1e-05,0.00165,0.04177,0.00331,0.00031,0,0,0.00216,1e-05,0.00317,1e-05,0.00298,1,0.43176,8e-05,0.00017,0.03368,0.0416,3e-05,0,9e-05,5e-05,0.00319,0.05725,0.00016,0.12065,0.01158,0.00533,0.00095,2e-05,0.01366,0.06517,0.07996,1e-05,0.01175,2e-05,2e-05,1e-05,0.01342
