T,RSRFy
0,0
0.02,0
0.04,0
0.06,0
0.08,0
0.1,0
0.12,0
0.14,0
0.16,0
0.18,0
0.2,0
0.22,0
0.24,0
0.26,0
0.28,0
0.3,0
0.32,0
0.34,0
0.36,0
0.38,0
0.4,0
0.42,0
0.44,0
0.46,0
0.48,0
0.5,0
0.52,0
0.54,0
0.56,0
0.58,0
0.6,0
0.62,0
0.64,0
0.66,0
0.68,0
0.7,0
0.72,0
0.74,0
0.76,0
0.78,0
0.8,0
0.82,0
0.84,0
0.86,0
0.88,0
0.9,0
0.92,0
0.94,0
0.96,0
0.98,0
1,0
1.02,0
1.04,0
1.06,0
1.08,0
1.1,0
1.12,0
1.14,0
1.16,0
1.18,0
1.2,0
1.22,0
1.24,0
1.26,0
1.28,0
1.3,0
1.32,0
1.34,0
1.36,0
1.38,0
1.4,0
1.42,0
1.44,0
1.46,0
1.48,0
1.5,0
1.52,0
1.54,0
1.56,0
1.58,0
1.6,0
1.62,0
1.64,0
1.66,0
1.68,0
1.7,0
1.72,0
1.74,0
1.76,0
1.78,0
1.8,0
1.82,0
1.84,0
1.86,0
1.88,0
1.9,0
1.92,0
1.94,0
1.96,0
1.98,0
2,0
2.02,0
2.04,0
2.06,0
2.08,0
2.1,0
2.12,0
2.14,0
2.16,0
2.18,0
2.2,0
2.22,0
2.24,0
2.26,0
2.28,0
2.3,0
2.32,0
2.34,0
2.36,0
2.38,0
2.4,0
2.42,0
2.44,0
2.46,0
2.48,0
2.5,0
2.52,0
2.54,0
2.56,0
2.58,0
2.6,0
2.62,0
2.64,0
2.66,0
2.68,0
2.7,0
2.72,0
2.74,0
2.76,0
2.78,0
2.8,0
2.82,0
2.84,0
2.86,0
2.88,0
2.9,0
2.92,0
2.94,0
2.96,0
2.98,0
3,0
3.02,0
3.04,0
3.06,0
3.08,0
3.1,0
3.12,0
3.14,0
3.16,0
3.18,0
3.2,0
3.22,0
3.24,0
3.26,0
3.28,0
3.3,88.8743
3.32,94.60857
3.34,99.24467
3.36,102.4544
3.38,104.1005
3.4,104.15326
3.42,102.69509
3.44,99.92032
3.46,96.09071
3.48,91.49793
3.5,86.47554
3.52,81.34547
3.54,76.37364
3.56,71.78795
3.58,67.77808
3.6,64.43453
3.62,61.75437
3.64,59.78406
3.66,58.58731
3.68,58.16857
3.7,58.46734
3.72,59.40107
3.74,60.95104
3.76,63.08383
3.78,65.70717
3.8,68.69671
3.82,71.91922
3.84,75.27764
3.86,78.67679
3.88,82.00609
3.9,85.15668
3.92,88.0374
3.94,90.60082
3.96,92.82373
3.98,94.69271
4,96.2103
4.02,97.39457
4.04,98.28415
4.06,98.92882
4.08,99.3763
4.1,99.6616
4.12,99.81477
4.14,99.88062
4.16,99.89994
4.18,99.89515
4.2,99.88452
4.22,99.88466
4.24,99.9031
4.26,99.94466
4.28,100.0163
4.3,100.11987
4.32,100.26046
4.34,100.45453
4.36,100.71731
4.38,101.05864
4.4,101.4893
4.42,102.017
4.44,102.64436
4.46,103.368
4.48,104.17538
4.5,105.07663
4.52,106.06693
4.54,107.08471
4.56,108.07274
4.58,108.9903
4.6,109.78396
4.62,110.33666
4.64,110.57901
4.66,110.53216
4.68,110.18659
4.7,109.60456
4.72,108.86779
4.74,107.98879
4.76,106.99309
4.78,105.90536
4.8,104.84119
4.82,103.88473
4.84,102.94874
4.86,101.98574
4.88,101.02317
4.9,100.125
4.92,99.3093
4.94,98.52285
4.96,97.75268
4.98,97.01579
5,96.31364
5.02,95.58798
5.04,94.79203
5.06,93.92361
5.08,92.97331
5.1,91.8418
5.12,90.38989
5.14,88.72873
5.16,87.05069
5.18,85.44336
5.2,84.13277
5.22,83.3504
5.24,83.14276
5.26,83.46836
5.28,84.28477
5.3,85.55076
5.32,87.09287
5.34,88.71694
5.36,90.3072
5.38,91.79215
5.4,93.12147
5.42,94.30433
5.44,95.30642
5.46,96.05875
5.48,96.54727
5.5,96.73579
5.52,96.62498
5.54,96.26108
5.56,95.69225
5.58,94.97193
5.6,94.11051
5.62,93.14684
5.64,92.25255
