T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,0.16051,-0.30783,0.08117,0.2618,-0.11162,-0.02785,0.28905,50.76253,7.42177,1.42056,-4.38211,0.18399,0.13757,0.17587,0.02264,-0.79626,1.29007,-0.08087,0.31441,0.0253,1.39618,0.47699,0.02584,-1.94581,-0.59257,0.21836,1.35216,1.24792,0.33519,0.34526,-1.77496,-1.07924,-0.03295,0.2297
0.02,0.16164,-0.30821,0.08101,0.26209,-0.11164,-0.02793,0.28929,50.74877,7.43022,1.42042,-4.37748,0.18384,0.13833,0.17596,0.02269,-0.79778,1.28971,-0.08093,0.31447,0.02554,1.39753,0.47723,0.02608,-1.94834,-0.59199,0.21855,1.35175,1.24876,0.33541,0.34527,-1.77649,-1.07888,-0.03358,0.22967
0.04,0.16272,-0.30859,0.08087,0.26246,-0.11167,-0.02799,0.28931,50.73538,7.43856,1.42028,-4.37309,0.18373,0.13894,0.17584,0.02278,-0.7992,1.28933,-0.08109,0.31445,0.02577,1.39884,0.47746,0.02627,-1.9508,-0.59145,0.21874,1.35136,1.24959,0.33562,0.34526,-1.77797,-1.07854,-0.03417,0.22966
0.06,0.16373,-0.30895,0.08074,0.26291,-0.11172,-0.02804,0.28913,50.72323,7.44661,1.42012,-4.36904,0.18366,0.13938,0.17552,0.02291,-0.80052,1.28893,-0.08135,0.31435,0.02598,1.40012,0.47767,0.02642,-1.95318,-0.59094,0.21893,1.35105,1.2504,0.33582,0.34521,-1.77941,-1.07823,-0.03471,0.2297
0.08,0.16484,-0.30932,0.0806,0.26329,-0.11175,-0.02809,0.28908,50.70472,7.456,1.42006,-4.3641,0.18361,0.13999,0.17514,0.02306,-0.80186,1.28867,-0.08169,0.31415,0.02621,1.40142,0.47793,0.02666,-1.9557,-0.59041,0.2191,1.35042,1.2512,0.33605,0.34527,-1.78089,-1.07789,-0.03533,0.22951
0.1,0.16565,-0.30965,0.0805,0.26389,-0.11181,-0.02813,0.28856,50.69972,7.46259,1.41984,-4.36122,0.18362,0.14009,0.17448,0.02325,-0.80292,1.28817,-0.08217,0.31384,0.0264,1.40261,0.4781,0.02669,-1.9578,-0.59001,0.2193,1.35046,1.25198,0.3362,0.34513,-1.7822,-1.07766,-0.03574,0.22982
0.12,0.16568,-0.30986,0.08049,0.2651,-0.11195,-0.02815,0.28676,50.73334,7.46099,1.41909,-4.36423,0.18371,0.13876,0.17326,0.02348,-0.80336,1.28687,-0.08284,0.31341,0.0265,1.40355,0.47803,0.02614,-1.95887,-0.58988,0.21961,1.35256,1.25275,0.33609,0.34437,-1.78319,-1.07763,-0.03558,0.2316
0.14,0.16544,-0.31002,0.08052,0.26646,-0.1121,-0.02816,0.28469,50.7804,7.45668,1.41822,-4.3691,0.18385,0.13705,0.1719,0.02371,-0.80353,1.28536,-0.08361,0.31287,0.02658,1.40438,0.47789,0.02543,-1.95951,-0.58988,0.21996,1.35529,1.2535,0.3359,0.34345,-1.78401,-1.07771,-0.03524,0.23386
0.16,0.16534,-0.31019,0.08053,0.26759,-0.11223,-0.02817,0.28312,50.8205,7.45399,1.4175,-4.37266,0.18399,0.13578,0.17075,0.02391,-0.80377,1.28408,-0.08442,0.31226,0.02669,1.40523,0.4778,0.0249,-1.9603,-0.58985,0.22026,1.35755,1.25422,0.33577,0.34272,-1.78484,-1.07778,-0.03501,0.23578
0.18,0.16528,-0.31037,0.08055,0.26867,-0.11236,-0.02817,0.28165,50.86419,7.45011,1.41664,-4.37686,0.18411,0.13451,0.1698,0.02411,-0.8043,1.28258,-0.08512,0.31176,0.02679,1.40616,0.47769,0.02433,-1.96127,-0.58974,0.22059,1.36021,1.25502,0.33561,0.34191,-1.78588,-1.07773,-0.03477,0.23793
0.2,0.16518,-0.31052,0.08057,0.26958,-0.11248,-0.02817,0.2806,50.90355,7.44822,1.41612,-4.37973,0.18427,0.13359,0.16896,0.02429,-0.80436,1.28158,-0.08593,0.3111,0.02691,1.4069,0.47763,0.02398,-1.96181,-0.5898,0.22084,1.36208,1.25566,0.33551,0.34138,-1.78647,-1.07794,-0.03459,0.23963
0.22,0.16502,-0.31063,0.08053,0.2702,-0.11258,-0.02817,0.28035,50.92797,7.4525,1.41652,-4.37859,0.18452,0.13345,0.16811,0.02446,-0.80296,1.28199,-0.08711,0.30996,0.02711,1.40713,0.47768,0.02417,-1.96124,-0.59031,0.22086,1.36159,1.25584,0.33559,0.34161,-1.78583,-1.07889,-0.0346,0.24009
0.24,0.16483,-0.31071,0.08049,0.27067,-0.11267,-0.02817,0.2804,50.94749,7.45881,1.41723,-4.37622,0.18479,0.13361,0.16743,0.02464,-0.80117,1.28285,-0.08824,0.30882,0.02731,1.40719,0.47779,0.02455,-1.96027,-0.59096,0.2208,1.36031,1.25586,0.33573,0.34209,-1.78479,-1.08006,-0.03466,0.24011
0.26,0.16471,-0.31079,0.08049,0.27109,-0.11276,-0.02815,0.28038,50.96901,7.46413,1.41779,-4.37455,0.185,0.13372,0.16706,0.02483,-0.79985,1.28343,-0.08902,0.30803,0.02747,1.40737,0.47787,0.02485,-1.95956,-0.5915,0.22078,1.35944,1.256,0.33585,0.34242,-1.78403,-1.08107,-0.0347,0.24031
0.28,0.16459,-0.31093,0.08046,0.27151,-0.11284,-0.02813,0.28036,50.9919,7.46954,1.41829,-4.37259,0.18519,0.13383,0.16683,0.02502,-0.79827,1.28414,-0.08959,0.30743,0.0276,1.40753,0.47795,0.02519,-1.95885,-0.59206,0.22076,1.35839,1.2561,0.33595,0.34272,-1.78315,-1.08223,-0.03476,0.24064
0.3,0.16455,-0.31096,0.08052,0.27177,-0.11293,-0.02808,0.28035,51.01064,7.4751,1.41891,-4.37116,0.18534,0.13408,0.16689,0.02522,-0.79739,1.28465,-0.08983,0.30716,0.02771,1.40773,0.47807,0.02553,-1.95817,-0.59254,0.22075,1.3575,1.25628,0.3361,0.34301,-1.78253,-1.08315,-0.03479,0.24067
0.32,0.16469,-0.31069,0.08079,0.27171,-0.11305,-0.02796,0.28036,51.01886,7.48103,1.41989,-4.37128,0.18545,0.1346,0.16744,0.02544,-0.79845,1.28443,-0.0896,0.30738,0.02784,1.40807,0.47827,0.02579,-1.95758,-0.59279,0.22075,1.35747,1.25668,0.33639,0.34329,-1.78271,-1.08324,-0.03474,0.23979
0.34,0.16492,-0.31032,0.08112,0.27154,-0.11318,-0.02784,0.28032,51.02303,7.48694,1.42096,-4.37196,0.18553,0.13523,0.16813,0.02566,-0.80008,1.28402,-0.08912,0.30785,0.02793,1.40844,0.47851,0.02603,-1.95705,-0.59295,0.22075,1.35761,1.25715,0.33673,0.34353,-1.78314,-1.08311,-0.03465,0.23865
0.36,0.16514,-0.31003,0.0814,0.27146,-0.11329,-0.02774,0.28015,51.0292,7.49252,1.42191,-4.37247,0.1856,0.13577,0.16868,0.02585,-0.80122,1.28377,-0.08856,0.30839,0.02795,1.40881,0.47874,0.02628,-1.95656,-0.59315,0.22076,1.35754,1.25759,0.33703,0.34369,-1.78344,-1.0832,-0.03459,0.23778
0.38,0.1653,-0.3097,0.08164,0.27148,-0.11339,-0.02765,0.27989,51.03468,7.49918,1.423,-4.37279,0.18563,0.1363,0.16905,0.02601,-0.80239,1.28335,-0.0881,0.30882,0.02806,1.40916,0.47893,0.02631,-1.95595,-0.59331,0.22077,1.35808,1.25805,0.33734,0.34389,-1.78381,-1.08287,-0.03452,0.23648
0.4,0.1656,-0.30948,0.08188,0.27147,-0.11347,-0.02759,0.27947,51.0406,7.50337,1.42378,-4.37364,0.18566,0.1368,0.16933,0.02614,-0.80315,1.28325,-0.08745,0.30944,0.02796,1.40955,0.47918,0.02655,-1.95563,-0.59352,0.22079,1.35756,1.2585,0.33763,0.34389,-1.78412,-1.08322,-0.03445,0.236
0.42,0.16627,-0.30955,0.08215,0.27129,-0.11353,-0.02752,0.27887,51.04973,7.50121,1.42362,-4.37594,0.18568,0.13721,0.16968,0.02625,-0.80305,1.28412,-0.0862,0.31062,0.02726,1.41003,0.47958,0.02762,-1.95613,-0.59388,0.22083,1.35358,1.25891,0.33783,0.34341,-1.78417,-1.08577,-0.03436,0.23808
0.44,0.16706,-0.30973,0.0824,0.27113,-0.11357,-0.02747,0.27813,51.05927,7.49652,1.42317,-4.37871,0.18569,0.13761,0.16985,0.02634,-0.80252,1.2853,-0.08494,0.31182,0.0264,1.41053,0.48002,0.02882,-1.95689,-0.59428,0.22088,1.34864,1.25932,0.338,0.34276,-1.78417,-1.0889,-0.03427,0.24091
0.46,0.16775,-0.30988,0.08261,0.27113,-0.11361,-0.02744,0.27731,51.06801,7.49271,1.42293,-4.38111,0.18567,0.13801,0.16963,0.02642,-0.80192,1.28629,-0.08409,0.31263,0.02572,1.41099,0.48042,0.02967,-1.95748,-0.59464,0.22093,1.34456,1.25975,0.33819,0.3422,-1.78421,-1.09145,-0.03419,0.24317
0.48,0.16845,-0.30999,0.08284,0.27116,-0.11366,-0.02741,0.27652,51.07921,7.49004,1.42255,-4.3838,0.18564,0.13828,0.16928,0.02648,-0.8016,1.28739,-0.08336,0.31329,0.02502,1.4115,0.48086,0.03081,-1.95812,-0.59505,0.221,1.33945,1.26012,0.33838,0.34172,-1.78418,-1.0946,-0.03409,0.24597
0.5,0.16909,-0.3102,0.08299,0.27142,-0.1137,-0.02741,0.27551,51.08531,7.48456,1.42247,-4.38591,0.18557,0.13869,0.16851,0.02653,-0.80045,1.28831,-0.08299,0.3136,0.02448,1.41191,0.48121,0.03119,-1.95866,-0.59534,0.22106,1.33644,1.26059,0.33857,0.34114,-1.78429,-1.09646,-0.03404,0.24772
0.52,0.16956,-0.31066,0.0829,0.27216,-0.1137,-0.02748,0.27397,51.07829,7.4716,1.42326,-4.3862,0.18538,0.13958,0.16694,0.02658,-0.79721,1.28856,-0.08335,0.31327,0.02436,1.41205,0.48134,0.02944,-1.95887,-0.5953,0.22101,1.33949,1.26134,0.33874,0.34019,-1.78484,-1.09461,-0.03409,0.24641
0.54,0.16996,-0.31121,0.08275,0.27309,-0.11368,-0.02756,0.27231,51.06599,7.45604,1.42431,-4.38594,0.18517,0.14055,0.16516,0.02663,-0.7933,1.28864,-0.0839,0.3127,0.02437,1.41209,0.48139,0.02705,-1.95898,-0.59516,0.22095,1.34457,1.26218,0.33891,0.33917,-1.78553,-1.09156,-0.03419,0.24409
0.56,0.17035,-0.3117,0.08267,0.27397,-0.11371,-0.0276,0.27085,51.05546,7.44202,1.42518,-4.38605,0.185,0.14132,0.16362,0.02669,-0.78995,1.28888,-0.08429,0.3122,0.02432,1.41219,0.48148,0.02519,-1.95911,-0.5951,0.22094,1.34854,1.26295,0.3391,0.33831,-1.78613,-1.08927,-0.03426,0.24232
0.58,0.17076,-0.31218,0.08258,0.27481,-0.11375,-0.02763,0.26951,51.04758,7.42722,1.42611,-4.38577,0.18484,0.14219,0.16231,0.02676,-0.78688,1.28888,-0.08467,0.31175,0.02431,1.41228,0.48156,0.02328,-1.95927,-0.59501,0.22083,1.35276,1.26377,0.33925,0.33736,-1.78676,-1.08682,-0.03435,0.24037
0.6,0.17106,-0.31265,0.08257,0.27574,-0.11382,-0.02764,0.26825,51.03302,7.41383,1.42685,-4.38611,0.1847,0.14273,0.16114,0.02684,-0.78386,1.28929,-0.0849,0.31131,0.02424,1.41241,0.48166,0.02173,-1.95934,-0.59498,0.2209,1.35666,1.26449,0.33945,0.33669,-1.7873,-1.08479,-0.03442,0.23864
0.62,0.17115,-0.31311,0.0827,0.27689,-0.11395,-0.02757,0.26702,51.00059,7.40425,1.42713,-4.38842,0.18459,0.14237,0.16,0.02692,-0.78053,1.29096,-0.08479,0.31079,0.024,1.41264,0.48182,0.02103,-1.9592,-0.59513,0.22151,1.35945,1.26493,0.33981,0.33673,-1.78755,-1.08396,-0.03444,0.23774
0.64,0.17113,-0.31355,0.08289,0.27811,-0.1141,-0.02748,0.26587,50.96175,7.3962,1.4272,-4.39127,0.1845,0.14176,0.1591,0.02702,-0.77737,1.29298,-0.08457,0.31033,0.02372,1.41291,0.48199,0.02065,-1.95899,-0.59533,0.22227,1.36185,1.26528,0.34021,0.33699,-1.78769,-1.08358,-0.03444,0.23708
0.66,0.17112,-0.31396,0.08306,0.27925,-0.11426,-0.0274,0.26485,50.9264,7.38789,1.42725,-4.39363,0.1844,0.14136,0.1586,0.02712,-0.77472,1.2947,-0.08441,0.31001,0.02349,1.41317,0.48215,0.02022,-1.95881,-0.5955,0.22288,1.36426,1.26569,0.34056,0.33709,-1.78788,-1.08313,-0.03446,0.23631
0.68,0.17117,-0.31445,0.08323,0.28035,-0.11437,-0.02732,0.26378,50.88888,7.37783,1.42735,-4.3961,0.18431,0.14092,0.15828,0.02721,-0.77171,1.29664,-0.08425,0.30973,0.02325,1.4134,0.48233,0.01976,-1.95864,-0.5957,0.22355,1.3669,1.26608,0.34096,0.33716,-1.78808,-1.0825,-0.03445,0.23561
0.7,0.17104,-0.31477,0.08339,0.28144,-0.11453,-0.02725,0.26289,50.85432,7.37149,1.42707,-4.39801,0.18422,0.14065,0.15837,0.0273,-0.77007,1.29808,-0.08412,0.30958,0.0231,1.4137,0.48247,0.01948,-1.95847,-0.59588,0.22404,1.36875,1.26654,0.34124,0.33717,-1.78823,-1.08243,-0.03451,0.23486
0.72,0.17048,-0.31463,0.08357,0.28251,-0.11481,-0.02721,0.26249,50.83098,7.37677,1.42615,-4.39889,0.18414,0.14083,0.15916,0.02738,-0.77181,1.29813,-0.08406,0.30968,0.02316,1.41418,0.48246,0.0196,-1.95836,-0.59595,0.22403,1.36882,1.26721,0.34121,0.33712,-1.78825,-1.08385,-0.03476,0.23388
0.74,0.16976,-0.31434,0.08374,0.28357,-0.1151,-0.02718,0.26215,50.81046,7.38544,1.42482,-4.39922,0.18408,0.14116,0.16017,0.02743,-0.7747,1.29772,-0.084,0.30983,0.0233,1.41472,0.48241,0.01984,-1.95827,-0.596,0.22385,1.36811,1.26796,0.34106,0.337,-1.78824,-1.08578,-0.03507,0.23285
0.76,0.16911,-0.31415,0.08388,0.28459,-0.1153,-0.02713,0.26158,50.78772,7.39129,1.42343,-4.3995,0.18404,0.1414,0.16101,0.02744,-0.77691,1.29756,-0.0839,0.30986,0.02341,1.41521,0.48238,0.01992,-1.95817,-0.59609,0.22373,1.36762,1.26869,0.34096,0.33679,-1.78825,-1.08737,-0.03533,0.23188
0.78,0.16854,-0.31394,0.08401,0.28554,-0.11549,-0.02709,0.261,50.76881,7.40172,1.42263,-4.40108,0.18408,0.14172,0.16166,0.02741,-0.77872,1.29745,-0.08372,0.30982,0.02349,1.41572,0.48233,0.0199,-1.95808,-0.59611,0.22366,1.36783,1.26939,0.34087,0.33669,-1.78828,-1.08903,-0.03561,0.23082
0.8,0.16784,-0.31379,0.0841,0.28649,-0.11556,-0.02704,0.26014,50.74218,7.40346,1.42042,-4.40042,0.18415,0.14193,0.16223,0.02736,-0.78078,1.2973,-0.08349,0.30964,0.02361,1.41615,0.48229,0.01982,-1.95796,-0.59623,0.22349,1.36669,1.27015,0.34074,0.33626,-1.78829,-1.0905,-0.03585,0.22992
0.82,0.16673,-0.31381,0.08416,0.28755,-0.1154,-0.02695,0.2587,50.6967,7.37916,1.41443,-4.39251,0.18411,0.1418,0.1629,0.02727,-0.78399,1.29701,-0.08323,0.30929,0.02383,1.41634,0.48227,0.0198,-1.95777,-0.59668,0.22305,1.36134,1.27107,0.34049,0.33498,-1.78824,-1.09141,-0.03599,0.2295
0.84,0.16551,-0.3139,0.0842,0.28856,-0.11516,-0.02685,0.25706,50.64272,7.34649,1.4071,-4.38276,0.18413,0.14159,0.16337,0.0272,-0.78728,1.29672,-0.08286,0.30881,0.02407,1.41644,0.48226,0.01969,-1.95754,-0.59723,0.22254,1.3548,1.27204,0.34021,0.33343,-1.78817,-1.09213,-0.0361,0.22923
0.86,0.16444,-0.31397,0.08422,0.28944,-0.11494,-0.02677,0.25553,50.59081,7.31891,1.40047,-4.37516,0.1843,0.14149,0.16345,0.02718,-0.7898,1.29654,-0.08231,0.30823,0.02423,1.41657,0.48222,0.01943,-1.95733,-0.59768,0.22211,1.34935,1.27296,0.33995,0.33208,-1.78811,-1.0929,-0.03622,0.22886
0.88,0.16335,-0.31402,0.08428,0.29027,-0.11475,-0.02669,0.25412,50.54704,7.28818,1.39366,-4.36557,0.1844,0.14138,0.1634,0.02723,-0.79262,1.29621,-0.08166,0.30769,0.02432,1.41671,0.48221,0.01937,-1.95712,-0.5982,0.22167,1.34257,1.27388,0.33967,0.33076,-1.78803,-1.09366,-0.03634,0.22852
0.9,0.16243,-0.31411,0.0843,0.29087,-0.11451,-0.02663,0.25262,50.48354,7.26269,1.38674,-4.36079,0.18472,0.14139,0.16287,0.02739,-0.79378,1.29623,-0.08081,0.30691,0.0244,1.41679,0.48215,0.01877,-1.95688,-0.59857,0.22131,1.3385,1.27474,0.33944,0.32952,-1.78795,-1.09436,-0.03646,0.22813
