T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.94271,1.38248,-0.0385,2.55842,-0.51359,-0.07097,-0.07714,-6.15882,-0.28205,1.81824,-0.01982,-0.02941,-0.18865,0.21197,5.7561,0.21042,1.87652,-0.0271,-0.02803,0.19212,-5.81329,-1.56147,-0.00741,-1.74119,0.25002,-0.10027,-0.04039,-4.26197,1.75661,-0.10452,-1.4281,0.2963,0.05284,0.02072
0.02,-0.93462,1.3736,-0.03901,2.56049,-0.51438,-0.07104,-0.07723,-6.15987,-0.28195,1.8187,-0.01982,-0.02934,-0.18874,0.21418,5.75756,0.2105,1.8771,-0.02707,-0.02807,0.19221,-5.81508,-1.56537,-0.00715,-1.74086,0.25003,-0.10025,-0.0404,-4.26522,1.75198,-0.10445,-1.42782,0.2963,0.05274,0.02068
0.04,-0.92626,1.364,-0.03905,2.56271,-0.51534,-0.0711,-0.0773,-6.1609,-0.2818,1.81918,-0.0198,-0.02925,-0.18882,0.21636,5.7594,0.21057,1.87783,-0.02705,-0.02811,0.19232,-5.81589,-1.5699,-0.00667,-1.74039,0.25005,-0.10023,-0.04042,-4.2675,1.74665,-0.1043,-1.42747,0.29629,0.05264,0.02063
0.06,-0.91842,1.35381,-0.0386,2.56499,-0.51649,-0.07117,-0.07736,-6.16176,-0.28157,1.81964,-0.01978,-0.02914,-0.1889,0.21853,5.76153,0.21061,1.87868,-0.02704,-0.02814,0.19244,-5.81574,-1.57495,-0.00597,-1.73979,0.25007,-0.10021,-0.04044,-4.26889,1.74081,-0.10402,-1.42706,0.29628,0.05254,0.02058
0.08,-0.9121,1.3434,-0.03766,2.56744,-0.51777,-0.07123,-0.07719,-6.16243,-0.28122,1.82001,-0.01975,-0.029,-0.18895,0.22106,5.7638,0.2106,1.87959,-0.02703,-0.02815,0.19257,-5.81511,-1.58046,-0.00503,-1.73903,0.25009,-0.1002,-0.04046,-4.27042,1.73448,-0.10357,-1.42654,0.29628,0.05242,0.02053
0.1,-0.90794,1.33299,-0.03609,2.56936,-0.51927,-0.07128,-0.07721,-6.16238,-0.28076,1.82028,-0.01971,-0.0288,-0.18898,0.22322,5.766,0.21043,1.88056,-0.02704,-0.02812,0.1927,-5.81385,-1.58586,-0.00383,-1.73832,0.25011,-0.10018,-0.04048,-4.27088,1.72864,-0.10292,-1.42624,0.29627,0.05235,0.02048
0.12,-0.9046,1.32212,-0.03371,2.56996,-0.52113,-0.07131,-0.07792,-6.16102,-0.2802,1.82041,-0.0196,-0.02846,-0.18897,0.22413,5.76786,0.21,1.88158,-0.02709,-0.02801,0.19282,-5.8116,-1.59052,-0.00235,-1.73787,0.25014,-0.10016,-0.0405,-4.26847,1.72442,-0.10208,-1.42651,0.29622,0.05239,0.02046
0.14,-0.9042,1.31208,-0.03036,2.56987,-0.5231,-0.07131,-0.07877,-6.1587,-0.27952,1.82036,-0.01948,-0.02804,-0.18893,0.22468,5.76913,0.20938,1.88245,-0.02716,-0.02785,0.1929,-5.80975,-1.59439,-0.00069,-1.73761,0.25017,-0.10013,-0.04051,-4.2662,1.72153,-0.10104,-1.42712,0.29615,0.05249,0.02046
0.16,-0.90725,1.30342,-0.02586,2.56963,-0.52501,-0.07129,-0.07934,-6.15576,-0.27866,1.82006,-0.01938,-0.02759,-0.18884,0.2256,5.76951,0.20866,1.88298,-0.02722,-0.02766,0.19293,-5.80942,-1.59734,0.00102,-1.7375,0.25019,-0.10009,-0.04052,-4.26643,1.71978,-0.09983,-1.42785,0.29611,0.05259,0.02047
0.18,-0.90753,1.29361,-0.02,2.56914,-0.5269,-0.07123,-0.07977,-6.15209,-0.27768,1.8196,-0.01926,-0.02705,-0.18871,0.2269,5.76864,0.20775,1.8831,-0.02728,-0.02744,0.1929,-5.80987,-1.59917,0.0027,-1.73756,0.2502,-0.10007,-0.04052,-4.26773,1.71971,-0.09852,-1.42859,0.29606,0.05268,0.02051
