T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00288,0,0.00046,0.00231,0,0.00166,0.02857,0,0.00862,0.00652,0,0,0.00661,0,0.00101,0,0.00035,0.00032,0,2e-05,0,0,0,0,0.00179,0.00043,0,0.00245,0,0,0,0,0.00018,0,4e-05,0,0,0,0,0,0,0,0,0,0.00025,0,0,0.00783,0,0.00015,0,0,0,0.00011
0.02,0,0,0,0.00717,0,0,0,0,0,0,0,0,0,0,0.00062,0,0.00137,0.00119,0,0.00103,0.02784,0,0.00843,0.00671,0,0,0.00533,0,0.00099,0,0.00024,0.00033,0,2e-05,0,0,0,0,0.0013,0.00055,0,0.00334,0,0,0,0,0.00039,0,4e-05,0,0,0,0,0,0,0,0,0,0.00024,0,0,0.00715,0,0.00024,0,0,0,1e-05
0.04,0,0,0,0.01573,0,0,0,0,0,0,0,0,0,0,0,0,0.00246,5e-05,0,0.00044,0.02712,0,0.00826,0.0069,0,0,0.00408,0,0.00098,0,0.00014,0.00034,0,2e-05,0,0.00011,0,0,0.00085,0.00069,0,0.00436,0,0,0,0,0.00064,0,4e-05,0,0,0,0,0,0,0,0,0,0.00025,0,0,0.00647,0,0.00034,0,0,0,0
0.06,0,0,0,0.02471,1e-05,0,0,0,0,0.00074,0,0,0,0,0,0.0003,0.00375,0,0,0,0.02641,0,0.00809,0.00706,0,0,0.00288,0,0.00097,0,3e-05,0.00035,0,2e-05,0,0.0008,0,0,0.00045,0.00085,0,0.00549,0.00045,0,0,0,0.00091,0,4e-05,0,0,0,0,0,0,0,0,0,0.00028,0,0,0.0058,0,0.00045,0,0,0,0
0.08,0,0,0,0.03416,1e-05,0,0,0,0,0.00206,0,0,0,0,0,0.00077,0.00525,0,0,0,0.0257,0,0.00794,0.0072,0,0,0.00176,0,0.00096,0,0,0.00036,2e-05,2e-05,0,0.00161,0,0,0.00012,0.00103,0,0.00675,0.00076,0,0,0,0.00123,0,4e-05,0,0,0,0,1e-05,0,0,0,0,0.00033,0,0,0.00514,0,0.00058,0,0,0,0
0.1,0,0,0,0.04414,1e-05,0,0,0,0,0.00362,0,0,0,0,0,0.00102,0.00697,0,0,0,0.025,0,0.00781,0.00731,0,0,0.00075,0,0.00096,0,0,0.00036,7e-05,2e-05,0,0.00255,0,0,0,0.00123,0,0.00814,0.0004,0,1e-05,0,0.0016,0,4e-05,0,0,0,0,1e-05,0,0,0,0,0.00039,1e-05,0,0.0045,0,0.00072,0,0,0,0
0.12,0,0,0,0.05476,1e-05,0,0,0,0,0.00543,0,0,0,0,0,0.00104,0.00891,0,0,0,0.02431,0,0.00768,0.00738,0,0,0,0,0.00096,0,0,0.00036,0.00012,2e-05,0,0.00364,0,0,0,0.00145,0,0.00965,0,0,1e-05,0,0.00202,0,4e-05,0,0,0,0,1e-05,0,0,0,0,0.00046,1e-05,0,0.00388,0,0.00088,0,0,0,0
0.14,0,0,0,0.06617,1e-05,0,0,0,0,0.00752,0.00343,0,0,0,0,0.00079,0.01108,0,0,0,0.02362,0,0.00758,0.00739,0,0,0,0,0.00096,0,0,0.00035,0.00018,2e-05,0,0.00486,0,0,0,0.0017,0,0.01129,0,0,1e-05,0,0.0025,0,3e-05,0,0,0,0,1e-05,0,0,0,0,0.00054,1e-05,0,0.00328,0,0.00105,0,0,0,0
0.16,0,0,0,0.07853,2e-05,0,0,0,0,0.00989,0.01906,0,0,0,0,0.00025,0.01349,0,0,0,0.02295,0,0.00748,0.00734,1e-05,0,0,0,0.00097,0,0,0.00035,0.00024,2e-05,0,0.00625,0,0,0,0.00198,0,0.01306,0,0,1e-05,0,0.00305,0,3e-05,0,0,0,0,2e-05,0,0,0,0,0.00061,1e-05,0,0.00272,0,0.00123,0,0,0,0
0.18,0,0,0,0.09201,2e-05,0,0,0,0,0.01257,0.03688,0,0,0,0,0,0.01613,0,0,0,0.02228,0,0.0074,0.00723,1e-05,0,0,0,0.00098,0,0,0.00035,0.00031,2e-05,0,0.00779,5e-05,0,0,0.00228,0,0.01493,0,0,2e-05,0,0.00367,0,2e-05,0,0,0,0,2e-05,0,0,1e-05,0,0.00068,1e-05,0,0.00219,0,0.00143,0,0,0,0
0.2,0,0,0,0.10679,2e-05,0,0,0,0,0.01557,0.05723,0,0,0,0,0,0.01898,0,0,0,0.02161,0,0.00733,0.00703,1e-05,0,0,0,0.00098,0,0,0.00034,0.00038,1e-05,0,0.0095,0.00028,0,0.00019,0.00261,0,0.01692,0,0,2e-05,0,0.00437,0,1e-05,0,0,0,0,2e-05,0,0,1e-05,0,0.00072,1e-05,0,0.00169,0,0.00165,0,0,0,0
0.22,0,0,0,0.12301,2e-05,0,0,0,1e-05,0.01888,0.08042,0,0,0,0,0,0.02203,0,0,0,0.02093,0,0.00727,0.00674,1e-05,0,0,0,0.00099,0,0,0.00034,0.00045,1e-05,0,0.01137,0.00057,0,0.00065,0.00296,0,0.019,0,0,2e-05,0,0.00516,0,0,0,0,0,0,3e-05,0,0,1e-05,0,0.00074,1e-05,0,0.00123,0,0.00188,1e-05,0,0,0
0.24,0,0,0,0.14082,3e-05,0,0,1e-05,1e-05,0.02252,0.10679,0,0,0,0,0,0.02527,0,1e-05,0,0.02021,0,0.00721,0.00635,1e-05,0.00036,0,0,0.00099,0,0,0.00035,0.00054,1e-05,0,0.01341,0.00094,1e-05,0.00126,0.00334,0,0.02115,0,0,2e-05,0,0.00605,0,0,0,1e-05,0,0,3e-05,0,0,1e-05,0,0.00072,2e-05,0,0.0008,0,0.00212,3e-05,0,0,0
0.26,0,0,0,0.16029,3e-05,0,0,1e-05,1e-05,0.02649,0.13664,0,0,0,0,0,0.02866,0,1e-05,0,0.01945,0,0.00716,0.00586,2e-05,0.00171,0.0006,0,0.00098,0,0,0.00036,0.00063,0,0,0.01561,0.00138,1e-05,0.00202,0.00374,0,0.02336,0,0,3e-05,0,0.00703,0,0,0,1e-05,0.00085,0,4e-05,0,0,1e-05,0,0.00065,2e-05,0,0.0004,0,0.00237,6e-05,0,0,0
0.28,0,0,0,0.18147,3e-05,0,0,1e-05,1e-05,0.03076,0.17024,1e-05,0,0,0,0,0.03217,0,1e-05,0,0.01862,0,0.0071,0.00528,2e-05,0.00306,0.00218,0,0.00096,0,0,0.00037,0.00073,0,0,0.01797,0.00189,1e-05,0.00291,0.00416,0,0.02559,0,0,3e-05,0,0.00812,0,0,0,1e-05,0.00243,0,4e-05,1e-05,0,1e-05,0,0.00054,2e-05,1e-05,4e-05,0,0.00262,9e-05,0,1e-05,0
0.3,0,0,0,0.20435,3e-05,0,0.00088,1e-05,2e-05,0.03533,0.20784,1e-05,0,0,0,0,0.03574,0,1e-05,0,0.0177,0,0.00703,0.0046,2e-05,0.00439,0.00424,0,0.00092,0,0,0.0004,0.00083,0,0,0.02048,0.00247,1e-05,0.00393,0.00459,1e-05,0.02781,0,0,4e-05,0,0.00931,0,0,0,1e-05,0.00426,0,5e-05,1e-05,0,1e-05,0,0.00039,2e-05,1e-05,0,0,0.00287,0.00012,0,1e-05,0
0.32,0,0,0,0.22884,4e-05,0,0.00347,2e-05,2e-05,0.04017,0.24962,1e-05,0,0.0004,0,0,0.03934,0,1e-05,0.00035,0.01665,0,0.00695,0.00384,2e-05,0.00569,0.00678,0,0.00085,0,0,0.00044,0.00095,0,0,0.02311,0.00313,1e-05,0.00506,0.00502,0,0.02999,0,1e-05,4e-05,0,0.01059,0,0,0,1e-05,0.00638,0,5e-05,1e-05,0,2e-05,0,0.00019,2e-05,1e-05,0,0,0.00312,0.00015,0,1e-05,0
0.34,0,0,0,0.2548,4e-05,0,0.0065,2e-05,3e-05,0.04524,0.29573,1e-05,0,0.00396,0,0,0.04288,0,1e-05,0.00095,0.01544,0,0.00686,0.00301,2e-05,0.00693,0.00982,0,0.00076,0,0,0.00048,0.00108,0,0,0.02586,0.00385,1e-05,0.00627,0.00545,1e-05,0.03206,0,1e-05,5e-05,0,0.01198,1e-05,0,0,1e-05,0.0088,0,6e-05,1e-05,0,2e-05,1e-05,0,3e-05,1e-05,0,0,0.00335,0.00019,0,1e-05,0
