T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.02938,0.00052,0.05334,0.00457,0.00302,0.0097,0,0,0,0.46035,0,0,0.02661,0.11967,0.01374,0,0,0,0.02702,0,0,0.01217,0,0.02177,0,0,0,0.01604,0,0,0.04765,0.01366,0.0396,0.01728,0,0,0,0,0,0,1,0.04521,0.00634,0,0.03323,0.04128,0,0,0,0.00245,0.00182,0.05946,0,0.08717,0.0221,0,0.00803,0,0.01563,0.04852,0.08158,0,0.00478,0.01007,0,0,0
0.02,0,0.02945,0.00056,0.05408,0.00466,0.00304,0.00983,0,0,0,0.46006,0,0,0.02675,0.11982,0.01371,0,0,0,0.02707,0,0,0.01217,0,0.02177,0,0,0,0.01608,0,0,0.04765,0.01367,0.03958,0.0174,0,0,0,0,0,0,1,0.04502,0.00623,0,0.03322,0.0413,0,0,0,0.00231,0.00173,0.05951,0,0.08684,0.02207,0,0.00802,0,0.0156,0.04848,0.0813,0,0.00482,0.01008,0,0,0
0.04,0,0.0295,0.0006,0.0549,0.00478,0.00305,0.00989,0,0,0,0.45943,0,0,0.02681,0.12025,0.01369,0,0,0,0.02709,0,0,0.01217,0,0.02176,0,0,0,0.01612,0,0,0.04765,0.01367,0.03957,0.01758,0,0,0,0,0,0,1,0.04491,0.00613,0,0.03321,0.04131,0,0,0,0.00215,0.00164,0.05955,0,0.08652,0.02204,0,0.00801,0,0.01558,0.04844,0.08101,0,0.00487,0.01009,0,0,0
0.06,0,0.02954,0.00062,0.05579,0.00498,0.00305,0.00989,0,0,0,0.45852,0,0,0.0268,0.12079,0.01366,0,0,0,0.02708,0,0,0.01215,0,0.02175,0,0,0,0.01617,0,0,0.04765,0.01366,0.03955,0.0178,0,0,0,0,0,0,1,0.04489,0.00602,0,0.03321,0.0413,0,0,0,0.00198,0.00155,0.0596,0,0.0862,0.02199,0,0.008,0,0.01556,0.0484,0.08071,0,0.00495,0.0101,0,0,0
0.08,0,0.02957,0.00062,0.05675,0.00523,0.00305,0.00988,0,0,0,0.45748,0,0,0.02675,0.12138,0.01363,0,0,0,0.02706,0,0,0.01213,0,0.02174,0,0,0,0.01622,0,0,0.04765,0.01365,0.03955,0.01806,0,0,0,0,0,0,1,0.04489,0.00586,0,0.03321,0.04131,0,0,0,0.00179,0.00146,0.05962,0,0.08588,0.02194,0,0.00798,0,0.01554,0.04836,0.0804,0,0.00504,0.0101,0,0,0
0.1,0,0.0296,0.00059,0.05764,0.00549,0.00303,0.00978,0,0,0,0.4563,0,0,0.02664,0.12201,0.01359,0,0,0,0.02706,0,0,0.01209,0,0.02174,0,0,0,0.01628,0,0,0.04764,0.01365,0.03951,0.01837,0,0,0,0,0,0,1,0.04502,0.00573,0,0.03323,0.0413,0,0,0,0.00159,0.00137,0.05965,0,0.0856,0.02188,0,0.00796,0,0.01553,0.04834,0.08007,0,0.00515,0.01009,0,0,0
0.12,0,0.02963,0.00053,0.05827,0.00571,0.00299,0.00952,0,0,0,0.45492,0,0,0.02643,0.12265,0.01354,0,0,0,0.02703,0,0,0.01202,0,0.02172,0,0,0,0.01637,0,0,0.04762,0.01362,0.03942,0.01873,0,0,0,0,0,0,1,0.0454,0.0057,0,0.03328,0.04128,0,0,0,0.00142,0.00128,0.05968,0,0.08539,0.0218,0,0.00796,0,0.01555,0.04835,0.07975,0,0.00531,0.01007,0,0,0
0.14,0,0.02964,0.00041,0.05869,0.00591,0.00294,0.00925,0,0,0,0.45408,0,0,0.02621,0.12315,0.01348,0,0,0,0.02699,0,0,0.01193,0,0.02171,0,0,0,0.01646,0,0,0.04759,0.01359,0.03931,0.01912,0,0,0,0,0,0,1,0.04605,0.0057,0,0.03332,0.04127,0,0,0,0.00124,0.00119,0.05968,0,0.08522,0.02171,0,0.00797,0,0.01558,0.04837,0.07943,0,0.0055,0.01003,0,0,0
0.16,1e-05,0.02961,0.00039,0.05901,0.00623,0.00307,0.00913,1e-05,0.0001,7e-05,0.45389,0.00011,0.00027,0.0261,0.12352,0.01345,0.00012,0.00052,0.00012,0.02721,2e-05,2e-05,0.0119,2e-05,0.02175,9e-05,0.00011,3e-05,0.01659,6e-05,2e-05,0.04767,0.01364,0.03931,0.01957,2e-05,0.00014,8e-05,8e-05,0.00018,5e-05,1,0.04689,0.00571,0.0003,0.03362,0.04151,4e-05,0.00052,9e-05,0.00117,0.00161,0.05994,0.00024,0.08511,0.02164,9e-05,0.008,2e-05,0.01568,0.04849,0.07917,4e-05,0.00579,0.01003,3e-05,8e-05,5e-05
0.18,2e-05,0.02954,0.00069,0.05894,0.00648,0.00304,0.00909,0.00011,0.00012,0.00012,0.45365,0.00013,0.00038,0.02602,0.12347,0.01334,0.00016,0.0006,0.00015,0.02729,0.0001,2e-05,0.01181,2e-05,0.02175,0.00012,0.00037,4e-05,0.01669,0.00012,2e-05,0.04767,0.01366,0.03927,0.02005,3e-05,0.00065,0.00011,9e-05,0.0002,7e-05,1,0.04741,0.00567,0.00045,0.03368,0.04164,5e-05,0.00058,0.0001,0.00103,0.00163,0.05992,0.00031,0.08511,0.02155,0.00011,0.00801,2e-05,0.01573,0.04874,0.07889,4e-05,0.00608,0.01002,4e-05,0.00012,8e-05
