T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.0001,0.00097,-8e-05,0.00067,-9e-05,-1e-05,0.00018,-0.00562,-0.00076,0.00148,-3e-05,-0.00014,-0.00016,0.00115,0.00685,0.00081,0.00148,2e-05,-0.00014,0.00016,-0.00523,-0.0036,3e-05,-0.00199,0.00023,-0.0001,-5e-05,0.03871,-0.02339,-0.00055,0.02755,-0.02295,-0.00925,-0.00431
0.02,-9e-05,0.00098,-8e-05,0.00067,-8e-05,-1e-05,0.00018,-0.00564,-0.00076,0.00149,-3e-05,-0.00014,-0.00016,0.00114,0.00685,0.00081,0.00148,2e-05,-0.00014,0.00016,-0.00524,-0.00359,3e-05,-0.00199,0.00023,-0.0001,-5e-05,0.03878,-0.02342,-0.00056,0.02758,-0.02295,-0.00926,-0.00432
0.04,-8e-05,0.001,-9e-05,0.00067,-8e-05,-1e-05,0.00018,-0.00565,-0.00076,0.00149,-3e-05,-0.00014,-0.00016,0.00114,0.00684,0.00081,0.00148,2e-05,-0.00014,0.00016,-0.00526,-0.00359,2e-05,-0.00199,0.00023,-0.0001,-5e-05,0.03885,-0.02344,-0.00056,0.02762,-0.02295,-0.00927,-0.00433
0.06,-6e-05,0.00101,-9e-05,0.00068,-8e-05,-1e-05,0.00018,-0.00567,-0.00076,0.00149,-3e-05,-0.00014,-0.00016,0.00114,0.00684,0.00081,0.00148,2e-05,-0.00014,0.00016,-0.00527,-0.00358,2e-05,-0.002,0.00023,-0.0001,-5e-05,0.03892,-0.02347,-0.00057,0.02766,-0.02295,-0.00927,-0.00434
0.08,-3e-05,0.00101,-9e-05,0.00068,-8e-05,-1e-05,0.00018,-0.00568,-0.00076,0.00149,-3e-05,-0.00014,-0.00016,0.00114,0.00683,0.0008,0.00148,2e-05,-0.00014,0.00016,-0.00529,-0.00358,2e-05,-0.002,0.00023,-0.0001,-5e-05,0.03899,-0.0235,-0.00057,0.02769,-0.02294,-0.00928,-0.00435
0.1,-1e-05,0.00102,-9e-05,0.00069,-8e-05,-1e-05,0.00018,-0.0057,-0.00076,0.0015,-3e-05,-0.00014,-0.00016,0.00114,0.00681,0.0008,0.00147,2e-05,-0.00014,0.00016,-0.00531,-0.00357,2e-05,-0.002,0.00023,-0.0001,-5e-05,0.03905,-0.02353,-0.00058,0.02773,-0.02294,-0.00929,-0.00436
0.12,0,0.00104,-9e-05,0.00069,-7e-05,-1e-05,0.00018,-0.00571,-0.00076,0.0015,-3e-05,-0.00014,-0.00016,0.00113,0.00679,0.0008,0.00147,2e-05,-0.00014,0.00016,-0.00532,-0.00356,2e-05,-0.002,0.00023,-0.0001,-5e-05,0.03909,-0.02356,-0.00059,0.02776,-0.02294,-0.0093,-0.00437
0.14,1e-05,0.00105,-9e-05,0.00069,-6e-05,-1e-05,0.00018,-0.00573,-0.00075,0.0015,-3e-05,-0.00014,-0.00016,0.00113,0.00677,0.00079,0.00147,2e-05,-0.00014,0.00016,-0.00534,-0.00356,2e-05,-0.002,0.00023,-0.0001,-5e-05,0.03914,-0.02359,-0.00059,0.02779,-0.02294,-0.00931,-0.00438
0.16,1e-05,0.00107,-9e-05,0.0007,-6e-05,-1e-05,0.00018,-0.00574,-0.00075,0.00151,-3e-05,-0.00014,-0.00016,0.00113,0.00674,0.00079,0.00146,2e-05,-0.00014,0.00016,-0.00535,-0.00355,2e-05,-0.00201,0.00023,-0.0001,-5e-05,0.03918,-0.02362,-0.0006,0.02782,-0.02294,-0.00932,-0.00439
0.18,0,0.0011,-9e-05,0.0007,-5e-05,-1e-05,0.00018,-0.00575,-0.00075,0.00151,-3e-05,-0.00014,-0.00016,0.00113,0.00671,0.00079,0.00146,2e-05,-0.00014,0.00016,-0.00537,-0.00354,2e-05,-0.00201,0.00023,-0.0001,-5e-05,0.03923,-0.02365,-0.00061,0.02785,-0.02293,-0.00933,-0.0044
0.2,-1e-05,0.00113,-9e-05,0.0007,-4e-05,-1e-05,0.00018,-0.00576,-0.00075,0.00151,-3e-05,-0.00014,-0.00017,0.00112,0.00668,0.00078,0.00145,2e-05,-0.00014,0.00016,-0.00538,-0.00353,2e-05,-0.00201,0.00023,-0.0001,-5e-05,0.03929,-0.02367,-0.00061,0.02788,-0.02293,-0.00934,-0.00441
0.22,-4e-05,0.00116,-9e-05,0.0007,-3e-05,-1e-05,0.00018,-0.00577,-0.00075,0.00152,-3e-05,-0.00014,-0.00017,0.00112,0.00664,0.00078,0.00145,2e-05,-0.00014,0.00016,-0.00539,-0.00354,2e-05,-0.00201,0.00023,-0.0001,-5e-05,0.03937,-0.02366,-0.00062,0.02792,-0.02293,-0.00935,-0.00442
