T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0,0.02613,0,0.01514,0.00093,0.00154,0.00915,0,0,0.00987,0.61341,0,0,0.02493,0.09751,0.02161,0.01381,0.00069,0,0.0308,0,0,0,0,0.02651,0,0,0,0.01225,0,0,0.04804,0.01164,0.09662,0.00015,0,0.00466,0,0,0,0,2.12712,0.11324,0,0,0.03505,0.04053,0,0,0,0,0,0.04581,0,0.04291,0.01647,0.00155,0.00214,0,0.01288,0.05596,0.04464,0,0.00689,0.0046,0,0,0
0.02,0,0.02595,0,0.01528,0.00082,0.00151,0.00917,0,0,0.0098,0.61381,0,0,0.02494,0.0975,0.02161,0.01385,0.00076,0,0.03085,0,0,0,0,0.02654,0,0,0,0.01222,0,0,0.04804,0.01163,0.09657,4e-05,0,0.00466,0,0,0,0,2.13623,0.11262,0,0,0.03514,0.04047,0,0,0,0,0,0.04579,0,0.04302,0.01649,0.00163,0.00213,0,0.01285,0.0558,0.04468,0,0.00691,0.0046,0,0,0
0.04,0.00021,0.02577,0,0.01543,0.00071,0.00149,0.00918,0,0,0.00972,0.61421,1e-05,3e-05,0.02494,0.09743,0.02162,0.01388,0.00084,1e-05,0.03092,0,0,2e-05,0,0.02657,1e-05,2e-05,0,0.0122,2e-05,0,0.04805,0.01164,0.09655,4e-05,0,0.00465,0,1e-05,1e-05,0,2.1452,0.11201,0,1e-05,0.03524,0.04042,0,0,1e-05,0,4e-05,0.04583,3e-05,0.04313,0.01651,0.00171,0.00213,0,0.01283,0.05566,0.04473,0,0.00695,0.00461,0,1e-05,1e-05
0.06,0.00041,0.02563,1e-05,0.01559,0.00061,0.00147,0.00919,1e-05,1e-05,0.00963,0.61464,2e-05,6e-05,0.02495,0.09732,0.02161,0.0139,0.00106,2e-05,0.03099,1e-05,1e-05,5e-05,0,0.02661,1e-05,0.00012,1e-05,0.01219,5e-05,0,0.04809,0.01164,0.09655,4e-05,5e-05,0.00459,1e-05,1e-05,3e-05,0,2.15398,0.11144,1e-05,0.0001,0.0353,0.04037,1e-05,2e-05,2e-05,2e-05,0.00027,0.04588,7e-05,0.04326,0.01653,0.0018,0.00213,0,0.01282,0.05554,0.04479,1e-05,0.00698,0.00461,1e-05,1e-05,2e-05
0.08,0.00063,0.02547,3e-05,0.01579,0.00052,0.0015,0.00922,2e-05,6e-05,0.00954,0.61534,0.00011,0.00016,0.02492,0.09719,0.02162,0.01388,0.00182,7e-05,0.0318,3e-05,2e-05,0.00023,1e-05,0.02665,5e-05,0.00021,5e-05,0.01219,0.00015,1e-05,0.04812,0.01167,0.09706,5e-05,8e-05,0.00448,3e-05,5e-05,0.0001,2e-05,2.16345,0.11079,4e-05,0.00044,0.03561,0.04035,2e-05,0.00017,7e-05,3e-05,0.00116,0.04612,0.00079,0.04342,0.01655,0.00201,0.00213,1e-05,0.01283,0.0554,0.0449,2e-05,0.00707,0.00462,2e-05,5e-05,0.00018
0.1,0.00079,0.02543,5e-05,0.01601,0.0005,0.00154,0.00921,5e-05,0.00011,0.00946,0.6161,0.00034,0.00033,0.02492,0.09696,0.02164,0.01384,0.00471,0.00013,0.03337,8e-05,3e-05,0.00055,1e-05,0.02675,9e-05,0.00046,0.00011,0.01222,0.00027,2e-05,0.04818,0.01169,0.09786,8e-05,0.00021,0.00431,6e-05,0.00012,0.00018,4e-05,2.17108,0.11038,8e-05,0.00102,0.03625,0.0404,5e-05,0.0003,0.00016,6e-05,0.00463,0.0464,0.00221,0.04362,0.01657,0.00228,0.00215,3e-05,0.01287,0.05535,0.04504,6e-05,0.00716,0.00465,4e-05,9e-05,0.00042
0.12,0.00067,0.02533,4e-05,0.01617,0.00046,0.00151,0.00912,2e-05,0.0001,0.00936,0.61601,0.00031,0.0003,0.02485,0.09653,0.02158,0.01376,0.00426,0.00011,0.03311,8e-05,3e-05,0.0005,1e-05,0.02674,8e-05,0.00041,0.0001,0.0122,0.00025,2e-05,0.04819,0.01168,0.09755,8e-05,0.00019,0.00405,5e-05,0.00011,0.00016,3e-05,2.17377,0.11052,7e-05,0.00105,0.03602,0.04031,5e-05,0.00028,0.00015,6e-05,0.0043,0.04655,0.00205,0.04377,0.01658,0.00228,0.00218,2e-05,0.01288,0.05532,0.04518,6e-05,0.0071,0.00467,3e-05,8e-05,0.00039
0.14,0.00033,0.02512,0,0.01626,0.00035,0.00134,0.00895,0,0,0.00919,0.61484,3e-05,0,0.02468,0.09587,0.02142,0.01361,0.00036,0,0.03068,0,0,0,0,0.02663,0,0,0,0.01212,0,0,0.0481,0.0116,0.09627,3e-05,2e-05,0.0037,0,0,0,0,2.1744,0.11073,0,0,0.03499,0.03997,0,0,0,0,3e-05,0.04647,1e-05,0.04389,0.01657,0.00201,0.0022,0,0.01281,0.05523,0.04527,1e-05,0.00689,0.00468,0,0,0.0001
0.16,0.00036,0.02522,5e-05,0.01653,0.00043,0.00156,0.00891,0.00032,0.00014,0.00914,0.61594,0.00019,0.00047,0.02469,0.09546,0.02151,0.01356,0.00286,0.00018,0.03264,0.00011,4e-05,0.00056,1e-05,0.02674,0.00011,0.00076,0.00021,0.01213,0.00031,2e-05,0.04831,0.01169,0.0975,0.00023,0.00011,0.00339,7e-05,9e-05,0.00024,5e-05,2.17616,0.11115,0.00012,0.00148,0.03525,0.04027,8e-05,0.0004,0.00024,0.0001,0.00337,0.04732,0.00186,0.04417,0.01662,0.0024,0.00227,3e-05,0.01297,0.05546,0.0456,4e-05,0.00701,0.00474,5e-05,0.00013,0.0005
0.18,0.00033,0.02527,5e-05,0.01665,0.00041,0.00151,0.00878,0.00015,0.00011,0.00892,0.61565,0.00017,0.0004,0.02452,0.09471,0.02142,0.01337,0.00429,0.00015,0.03236,0.0001,3e-05,0.00047,1e-05,0.02668,0.0001,0.00066,0.00018,0.01211,0.00027,2e-05,0.04829,0.01165,0.09713,0.00045,9e-05,0.00298,7e-05,8e-05,0.00021,4e-05,2.17739,0.1112,0.0001,0.00133,0.03492,0.04005,7e-05,0.00031,0.0002,8e-05,0.00559,0.04763,0.00175,0.04438,0.01662,0.00244,0.0023,3e-05,0.01297,0.05541,0.04576,3e-05,0.00692,0.00477,5e-05,0.00012,0.00047
0.2,0.0003,0.02543,4e-05,0.01673,0.00041,0.00147,0.00864,0.00014,0.0001,0.00869,0.61545,0.00015,0.00037,0.02433,0.09391,0.02136,0.01319,0.00393,0.00014,0.032,9e-05,3e-05,0.00043,1e-05,0.02663,9e-05,0.0006,0.00017,0.01209,0.00025,2e-05,0.04825,0.01161,0.0968,0.00075,9e-05,0.00257,6e-05,7e-05,0.00019,4e-05,2.17658,0.11133,9e-05,0.00122,0.0346,0.03982,6e-05,0.00029,0.00018,8e-05,0.00588,0.04808,0.00161,0.0446,0.01662,0.0025,0.00234,3e-05,0.01298,0.05544,0.04594,3e-05,0.00683,0.00479,4e-05,0.00011,0.00043
0.22,0.00027,0.02571,4e-05,0.01677,0.0004,0.00144,0.0085,0.00013,9e-05,0.0085,0.61544,0.00014,0.00034,0.02416,0.09302,0.02134,0.01306,0.0036,0.00013,0.03163,8e-05,3e-05,0.00039,1e-05,0.02658,8e-05,0.00055,0.00015,0.01206,0.00023,2e-05,0.0482,0.01158,0.09666,0.00114,8e-05,0.00215,6e-05,7e-05,0.00018,4e-05,2.17176,0.11167,9e-05,0.00112,0.03428,0.03953,6e-05,0.00026,0.00017,7e-05,0.0063,0.04859,0.00147,0.0448,0.01661,0.00254,0.00239,3e-05,0.01301,0.05562,0.04613,3e-05,0.00674,0.00481,4e-05,0.0001,0.00039
0.24,0.00025,0.02608,4e-05,0.01676,0.00043,0.00139,0.00836,0.00013,0.0001,0.00829,0.61539,0.00012,0.0003,0.02396,0.09205,0.02132,0.01293,0.00421,0.00012,0.03126,7e-05,2e-05,0.00037,1e-05,0.02651,7e-05,0.00052,0.00013,0.01203,0.00019,2e-05,0.04813,0.01156,0.09654,0.00159,7e-05,0.00175,5e-05,9e-05,0.00015,3e-05,2.16439,0.11207,7e-05,0.0009,0.03391,0.0392,5e-05,0.00021,0.00014,6e-05,0.008,0.04917,0.00135,0.04499,0.01661,0.00258,0.00246,2e-05,0.01304,0.05586,0.04632,3e-05,0.00663,0.00483,3e-05,0.0001,0.00034
0.26,0.00024,0.02652,4e-05,0.01673,0.00043,0.00137,0.00823,5e-05,0.0001,0.00804,0.61551,0.00011,0.0003,0.02372,0.09105,0.02131,0.01279,0.00583,0.00014,0.0309,6e-05,2e-05,0.00034,1e-05,0.02645,7e-05,0.0006,0.00012,0.012,0.00021,2e-05,0.04806,0.01155,0.09648,0.00208,7e-05,0.00137,5e-05,9e-05,0.00014,3e-05,2.15687,0.11232,8e-05,0.00086,0.03357,0.03886,5e-05,0.00019,0.00014,6e-05,0.01104,0.04981,0.00125,0.04518,0.01661,0.00262,0.00251,2e-05,0.01308,0.0561,0.04651,3e-05,0.00654,0.00485,3e-05,0.00013,0.00032
0.28,0.00023,0.02701,4e-05,0.0167,0.00043,0.00136,0.00807,0,0.00011,0.0077,0.61617,0.00012,0.00034,0.02348,0.09004,0.02129,0.01261,0.00637,0.00013,0.03052,7e-05,2e-05,0.00032,1e-05,0.02636,9e-05,0.00071,0.00011,0.01195,0.00023,2e-05,0.04798,0.0115,0.09635,0.00262,7e-05,0.00105,5e-05,8e-05,0.00014,3e-05,2.15317,0.11272,7e-05,0.00102,0.0333,0.03855,4e-05,0.00024,0.00013,6e-05,0.0126,0.05015,0.00117,0.04538,0.01662,0.00265,0.00256,2e-05,0.01314,0.05635,0.04671,3e-05,0.00642,0.00486,3e-05,0.00012,0.00031
0.3,0.00019,0.0275,4e-05,0.0166,0.00072,0.00136,0.00797,8e-05,0.0001,0.00746,0.61665,0.00011,0.00032,0.0232,0.08898,0.02131,0.01247,0.00604,0.00012,0.0301,8e-05,8e-05,0.00041,1e-05,0.02627,8e-05,0.00076,0.0001,0.01191,0.00023,2e-05,0.04791,0.01152,0.09629,0.00311,6e-05,0.00069,5e-05,0.00036,0.00015,3e-05,2.1407,0.11271,0.0001,0.00141,0.03295,0.03816,5e-05,0.00021,0.00018,6e-05,0.01354,0.05059,0.00105,0.04556,0.01669,0.00275,0.00261,2e-05,0.01316,0.05655,0.04687,4e-05,0.0063,0.00489,4e-05,0.00021,0.00026
0.32,0.00015,0.02793,7e-05,0.01639,0.0012,0.00133,0.00806,5e-05,0.0001,0.0074,0.61492,9e-05,0.00031,0.02275,0.08795,0.02129,0.01249,0.00501,0.00016,0.02966,6e-05,6e-05,0.00032,1e-05,0.02622,7e-05,0.00059,7e-05,0.01184,0.00018,2e-05,0.04778,0.01147,0.09683,0.00349,4e-05,0.00016,4e-05,0.0008,0.00012,2e-05,2.10678,0.11173,8e-05,0.00113,0.03245,0.03778,4e-05,0.00016,0.00014,5e-05,0.01486,0.05195,0.00086,0.04569,0.0167,0.00276,0.00265,2e-05,0.01315,0.05657,0.04697,3e-05,0.00621,0.0049,3e-05,0.00017,0.00021
0.34,0.00013,0.0283,0.00062,0.01614,0.00116,0.00133,0.00822,0,8e-05,0.00743,0.61299,8e-05,0.00027,0.02226,0.08693,0.02126,0.01256,0.00427,0.00015,0.0293,6e-05,5e-05,0.00029,1e-05,0.02621,6e-05,0.00052,6e-05,0.01178,0.00016,2e-05,0.04769,0.01144,0.09762,0.00381,4e-05,0.00013,4e-05,0.00072,0.0001,2e-05,2.0643,0.11035,7e-05,0.00093,0.03197,0.03738,4e-05,0.00013,0.00013,4e-05,0.01663,0.05311,0.00074,0.04581,0.01672,0.0028,0.00269,1e-05,0.01312,0.05656,0.04706,3e-05,0.00614,0.00491,3e-05,0.00014,0.00018
0.36,0.00011,0.0286,0.00098,0.01603,0.00117,0.00146,0.00838,2e-05,0.00012,0.00744,0.61209,0.00021,0.00055,0.02183,0.08597,0.02118,0.01262,0.00372,0.00024,0.02895,8e-05,5e-05,0.00034,2e-05,0.02627,9e-05,0.00071,8e-05,0.01172,0.00025,2e-05,0.04775,0.01154,0.09835,0.00412,5e-05,0.00011,0.00011,0.00066,0.00022,3e-05,2.02544,0.10922,9e-05,0.0012,0.03193,0.03729,6e-05,0.00033,0.00017,6e-05,0.01797,0.0539,0.00064,0.04592,0.01674,0.00286,0.00274,2e-05,0.01316,0.05666,0.04717,3e-05,0.00613,0.00494,5e-05,0.00024,0.00016
0.38,0.0001,0.02878,0.0011,0.01577,0.00115,0.00146,0.00851,1e-05,9e-05,0.00742,0.60957,0.00018,0.00046,0.02135,0.08485,0.02097,0.01267,0.00316,0.0002,0.02863,7e-05,4e-05,0.00032,2e-05,0.02638,7e-05,0.00067,7e-05,0.01168,0.00032,2e-05,0.04777,0.01158,0.0993,0.00444,4e-05,9e-05,9e-05,0.00058,0.00019,2e-05,1.99348,0.10815,8e-05,0.00098,0.03132,0.03685,5e-05,0.00027,0.00014,8e-05,0.01921,0.05409,0.00053,0.046,0.01677,0.00286,0.0028,2e-05,0.01313,0.0567,0.04726,3e-05,0.00612,0.00496,4e-05,0.0002,0.00015
