T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-0.14388,0.00187,0.01884,0.53187,0.01181,-7e-05,-2.40265,0.18144,0.06553,0.13325,-0.8679,0.16051,-0.18316,-4.15958,-0.00588,0.2076,-0.57252,0.00761,0.0058,-0.00078,1.49701,0.0841,0.27563,-0.11192,0.01576,0.02874,-0.00445,-2.28532,1.66351,-2.33265,-0.88345,0.03451,0.00527,-0.00549
0.02,-0.13799,-0.00031,0.016,0.54738,0.01236,-7e-05,-2.35435,0.20128,0.07212,0.12958,-0.46503,0.1818,-0.15773,-4.08724,-0.00483,0.20405,-0.56776,0.00804,0.00524,-0.00074,1.51851,0.0901,0.28145,-0.11689,0.01446,0.02669,-0.00412,-2.32626,1.73393,-2.43886,-0.91924,0.03633,0.00601,-0.0059
0.04,-0.13084,-0.00287,0.01238,0.55976,0.01308,-7e-05,-2.27645,0.21742,0.0785,0.12184,-0.11473,0.19386,-0.13135,-3.97902,-0.00429,0.1966,-0.55316,0.0076,0.00431,-0.00082,1.51354,0.0951,0.28596,-0.10885,0.01346,0.02421,-0.00373,-2.36643,1.83385,-2.51696,-0.94074,0.03866,0.00688,-0.00629
0.06,-0.12463,-0.00564,0.00849,0.57033,0.01414,-8e-05,-2.18187,0.22903,0.08518,0.11041,0.17086,0.19665,-0.10511,-3.85132,-0.00439,0.18602,-0.529,0.00612,0.00301,-0.00103,1.4817,0.09846,0.29084,-0.08142,0.01331,0.02174,-0.00335,-2.42721,1.98638,-2.5618,-0.94454,0.04187,0.0079,-0.00664
0.08,-0.12255,-0.00828,0.0048,0.58008,0.01573,-8e-05,-2.08311,0.23558,0.09281,0.09586,0.38481,0.1908,-0.07982,-3.71881,-0.00518,0.17313,-0.49559,0.00364,0.00138,-0.00143,1.42231,0.09922,0.29786,-0.0271,0.01467,0.01991,-0.00303,-2.53353,2.21609,-2.56446,-0.92565,0.04632,0.00907,-0.00695
0.1,-0.12909,-0.01026,0.00168,0.58958,0.01807,-8e-05,-1.99158,0.23691,0.10204,0.07883,0.52074,0.17727,-0.05652,-3.59408,-0.00664,0.15872,-0.45353,0.00057,-0.00043,-0.00201,1.33466,0.09594,0.30884,0.06242,0.01837,0.01951,-0.00286,-2.71326,2.54718,-2.51178,-0.87752,0.05232,0.01035,-0.00719
0.12,-0.15024,-0.01075,-0.00074,0.59898,0.02139,-8e-05,-1.91879,0.23296,0.11347,0.05993,0.58827,0.15799,-0.035,-3.49074,-0.00861,0.14358,-0.40374,-0.00191,-0.00214,-0.00276,1.21869,0.08673,0.32564,0.19569,0.02532,0.02155,-0.00292,-2.99618,3.00145,-2.387,-0.79236,0.06013,0.01167,-0.00734
0.14,-0.19356,-0.00871,-0.00252,0.60782,0.02593,-8e-05,-1.871,0.22445,0.12785,0.03946,0.58698,0.13456,-0.01671,-3.41424,-0.01076,0.12835,-0.34735,-0.00174,-0.00332,-0.00364,1.07563,0.06949,0.34987,0.38059,0.03651,0.02725,-0.00332,-3.41238,3.59392,-2.1691,-0.6614,0.06983,0.01289,-0.00734
0.16,-0.26799,-0.00274,-0.00395,0.61512,0.03188,-8e-05,-1.85376,0.21203,0.14602,0.01749,0.53211,0.1093,-0.0021,-3.3709,-0.01257,0.1137,-0.2855,0.00445,-0.00332,-0.00459,0.9093,0.04204,0.38286,0.623,0.05295,0.03802,-0.00414,-3.98913,4.32918,-1.83551,-0.47612,0.0813,0.0138,-0.00712
0.18,-0.38319,0.00867,-0.00536,0.61958,0.03939,-8e-05,-1.88248,0.19543,0.16844,-0.00601,0.46264,0.08531,0.01068,-3.38186,-0.01335,0.10048,-0.2192,0.021,-0.00136,-0.0056,0.72769,0.00265,0.42582,0.92462,0.07548,0.05541,-0.00551,-4.74626,5.1978,-1.36477,-0.22952,0.09408,0.01406,-0.00663
0.2,-0.54895,0.0275,-0.0074,0.61842,0.0484,-8e-05,-1.92312,0.17676,0.19712,-0.03083,0.35341,0.06291,0.01581,-3.40568,-0.01243,0.08888,-0.14803,0.05352,0.00333,-0.00649,0.54253,-0.04944,0.47786,1.28311,0.10468,0.08089,-0.00754,-5.69445,6.16183,-0.73567,0.08305,0.10743,0.01338,-0.00577
0.22,-0.77466,0.05807,-0.01082,0.60857,0.05874,-8e-05,-1.91588,0.15589,0.23386,-0.05464,0.20699,0.04298,0.01171,-3.37972,-0.00915,0.07933,-0.07067,0.10699,0.01153,-0.0071,0.36754,-0.11498,0.53615,1.69455,0.14063,0.11555,-0.01045,-6.83395,7.16985,0.05863,0.4629,0.12048,0.01148,-0.00447
0.24,-1.06715,0.10375,-0.01519,0.58903,0.07032,-8e-05,-1.8883,0.12825,0.27618,-0.07636,0.09496,0.02773,0.00692,-3.34904,-0.00362,0.07269,0.01402,0.18386,0.02345,-0.00741,0.21375,-0.19405,0.60022,2.15352,0.18234,0.16031,-0.01432,-8.15425,8.20082,1.00451,0.90978,0.13285,0.00795,-0.00276
0.26,-1.42853,0.16556,-0.02,0.55952,0.083,-8e-05,-1.8837,0.09112,0.3216,-0.09715,0.03548,0.01726,0.0044,-3.37511,0.00345,0.06904,0.10907,0.27908,0.03823,-0.00766,0.08552,-0.28576,0.6686,2.65519,0.22741,0.21552,-0.01919,-9.63124,9.261,2.06866,1.4221,0.14481,0.00278,-0.00073
0.28,-1.85416,0.24417,-0.02508,0.51987,0.09641,-8e-05,-1.90306,0.04379,0.36895,-0.11748,0.00619,0.01004,0.00252,-3.47268,0.01021,0.06787,0.21585,0.36502,0.0529,-0.00906,-0.01902,-0.38839,0.73435,3.1947,0.27177,0.27976,-0.02526,-11.21471,10.36538,3.1891,1.99884,0.15702,-0.00359,0.00145
0.3,-2.33,0.34321,-0.02886,0.47132,0.11026,-8e-05,-1.89712,-0.01397,0.41531,-0.13723,-0.00335,0.00494,0.00094,-3.57621,0.01573,0.06472,0.33857,0.44676,0.06631,-0.00917,-0.10669,-0.50182,0.79463,3.76275,0.30932,0.35131,-0.032,-12.83811,11.51128,4.24812,2.60534,0.17148,-0.01029,0.00347
0.32,-2.83655,0.46745,-0.02928,0.41588,0.12408,-8e-05,-1.79574,-0.08078,0.45732,-0.15562,0,0.00133,-0.00054,-3.5873,0.02234,0.05481,0.4867,0.55217,0.07875,-0.00364,-0.18998,-0.62958,0.84882,4.34695,0.33297,0.42893,-0.03816,-14.42206,12.68378,5.09302,3.17215,0.19068,-0.01597,0.00504
0.34,-3.353,0.60872,-0.02537,0.35603,0.13668,-8e-05,-1.64849,-0.1542,0.49269,-0.17321,0.01223,-0.001,-0.00207,-3.56483,0.02831,0.03998,0.64988,0.60715,0.0834,0.00288,-0.28957,-0.76338,0.885,4.94133,0.33694,0.50825,-0.04406,-15.86732,13.89658,5.64768,3.68962,0.21518,-0.01978,0.00589
0.36,-3.85967,0.75372,-0.0153,0.29444,0.14694,-8e-05,-1.50794,-0.2318,0.52068,-0.19047,0.03207,-0.00217,-0.00375,-3.55985,0.03117,0.0254,0.80837,0.56472,0.07711,0.00634,-0.4355,-0.89608,0.89492,5.54454,0.31773,0.58433,-0.05045,-17.082,15.15382,5.907,4.17454,0.24461,-0.0215,0.00599
0.38,-4.34074,0.89379,0.00274,0.23382,0.15412,-8e-05,-1.33966,-0.31154,0.54262,-0.20555,0.06006,-0.00219,-0.00563,-3.48911,0.03334,0.01434,0.94423,0.49032,0.06602,0.00947,-0.66557,-1.03418,0.88692,6.15465,0.2739,0.65558,-0.05693,-18.00176,16.4172,5.88971,4.60185,0.27853,-0.02102,0.00543
0.4,-4.76414,1.02524,0.02879,0.17799,0.15715,-8e-05,-1.18473,-0.38787,0.55592,-0.21683,0.09826,-0.00082,-0.00764,-3.34676,0.03425,0.0091,1.06006,0.36562,0.05287,0.00764,-1.0229,-1.14749,0.86012,6.78866,0.2072,0.7129,-0.06372,-18.57436,17.53998,5.63839,4.95881,0.31471,-0.01913,0.00437
0.42,-5.0903,1.14683,0.0621,0.1301,0.15509,-8e-05,-1.08466,-0.45343,0.55758,-0.22243,0.14648,0.00218,-0.00987,-3.15261,0.02779,0.01076,1.1722,0.21362,0.04012,0.00213,-1.54948,-1.18808,0.81889,7.47076,0.1208,0.74437,-0.0709,-18.75301,18.32788,5.22025,5.23875,0.34987,-0.01671,0.00302
