T,J7p,J8p,J9p,J10p,J11p,J12p,J13p,J14p,J15p,J16p,J17p,J18p,J19p,J20p,J21p,J22p,J23p,J24p,J25p,J26p,J27p,J28p,J29p,J30p,J31p,J32p,J33p,J34p,J35p,J36p,J37p,J38p,J39p,J40p,J7n,J8n,J9n,J10n,J11n,J12n,J13n,J14n,J15n,J16n,J17n,J18n,J19n,J20n,J21n,J22n,J23n,J24n,J25n,J26n,J27n,J28n,J29n,J30n,J31n,J32n,J33n,J34n,J35n,J36n,J37n,J38n,J39n,J40n
0,0.00391,0,0.00235,0.00778,0.19236,0,0,0,0,0.31127,0.00868,0.00265,0.00765,0,0.05731,0.20141,0.53937,0.21558,0.00504,0.06311,0,0,0.00438,0.97264,0,0,0,0,0.24382,0.0066,1,0,0,0,0.09692,0.00187,0,1,0.00251,0.00345,0.00433,0.04,0.06883,0.00115,0.00633,0,0,0.72062,0,0,0.00115,0.0029,0,0.0047,0,0,0,0.00282,0,0.00878,0.0482,1,0,0,0,0.35854,1,0.27369
0.02,0.00398,0,0.00248,0.00801,0.28058,0,0,0,0,0.32806,0.00789,0.00245,0.00784,0,0.06624,0.22432,0.56303,0.19663,0.0052,0.05296,0,0,0.00439,0.90018,0,0,0,0,0.27073,0.00668,1,0,0,0,0.09303,0.00198,0,1,0.00274,0.00378,0.00451,0.05984,0.07758,0.0014,0.00684,0,0,0.79408,0,0,0.00141,0.00326,0,0.00512,0,0,0,0.00294,0,0.00914,0.05163,1,0,0,0,0.34236,1,0.26566
0.04,0.00364,0,0.00265,0.00727,0.3517,0,0,0,0,0.34307,0.00607,0.00227,0.00755,0,0.07572,0.24832,0.58577,0.17797,0.00474,0.04284,0,0,0.004,0.82774,0,0,0,0,0.29488,0.00605,1,0.00525,0,0,0.08956,0.00182,0.00029,1,0.00252,0.00352,0.00417,0.07879,0.08579,0.00125,0.00657,0,0,0.86844,0,0,0.00124,0.00308,0,0.00487,0,0,0,0.00271,0,0.00831,0.05456,1,0,0,0,0.32576,1,0.25658
0.06,0.00326,0,0.00287,0.00657,0.40394,0,0,0,0,0.35537,0.00417,0.00207,0.00724,0,0.08587,0.27277,0.60682,0.15936,0.00426,0.03286,0,0,0.00358,0.75592,0,0,0,0,0.31582,0.00546,1,0,0,0,0.08559,0.00163,0.00102,1,0.00225,0.00325,0.00379,0.09731,0.09518,0.00113,0.00633,0,0,0.94259,0,0,0.00111,0.00285,0,0.00462,0,0,0,0.00244,0,0.00744,0.05733,1,0,0,0,0.30893,1,0.24655
0.08,0.00292,0,0.00317,0.00579,0.43524,0,0,0,0,0.36465,0.00199,0.00113,0.00697,0,0.09659,0.29734,0.62557,0.14118,0.00386,0.02302,0,0,0.00318,0.6853,0,0,0,0,0.33279,0.00486,1,0,0,0,0.08121,0.00145,0.00299,0.99767,0.00198,0.00296,0.00344,0.11494,0.10454,0.00102,0.00618,0,0,1,0,0,0.00102,0.00267,0,0.00435,0,0,0.28269,0.00217,0,0.00661,0.05988,1,0,0,0,0.29178,1,0.23542
0.1,0.00259,0,0.00338,0.0052,0.44366,0,0,0,0,0.37032,0.00022,0.00165,0.00678,0,0.1082,0.32188,0.64115,0.12369,0.00336,0.01475,0.03716,0,0.00283,0.61647,0.04202,0,0,0,0.34579,0.00428,1,0,0,0,0.0763,0.00129,0.00326,0.88161,0.00176,0.00225,0.0027,0.13165,0.11378,0.00092,0.00609,0,0,1,0,0,0.00086,0.00194,0,0.0041,0,0,0,0.00193,0,0.00581,0.06195,1,0,0,0,0.27452,1,0.22348
0.12,0.00227,0,0.00363,0.00458,0.42722,0,0,0,0,0.37175,0,0.00149,0.0066,0,0.12026,0.34581,0.65269,0.10672,0.00298,0.00655,0.08444,0,0.00248,0.54993,0.12548,0,0,0,0.35475,0.00376,1,0,0,0,0.0711,0.00113,0.00276,0.75854,0.00154,0.00252,0.00274,0.14722,0.12308,0.00082,0.00608,0,0,1,0,0,0.00075,0.00233,0,0.00388,0,0,0,0.0017,0,0.00508,0.06361,0.88734,0,0,0,0.25726,1,0.21059
0.14,0.00197,0,0.00394,0.00398,0.38435,0,0,0,0,0.36829,0,0.00131,0.00646,0,0.13268,0.36862,0.65913,0.09061,0.0026,0,0.12339,0,0.00215,0.48617,0.1937,0,0,0,0.35977,0.00324,1,0,0,0,0.06557,0.00097,0.00152,0.62807,0.00133,0.00229,0.00242,0.1614,0.13212,0.00073,0.00616,0,0,1,0,0,0.00064,0.00209,0,0.00365,0,0,0,0.00147,0,0.00437,0.06465,0.74656,0,0,0,0.24007,1,0.19687
0.16,0.00168,0,0.00426,0.00341,0.31398,0,0,0,0,0.35933,0,0.00113,0.00637,0,0.14538,0.38975,0.65936,0.07544,0.00226,0,0.15448,0,0.00185,0.42554,0.24794,0,0,0,0.36112,0.00276,0.91115,0,0,0,0.05987,0.00083,0,0.48986,0.00113,0.00208,0.00211,0.17405,0.14075,0.00064,0.00632,0,0,1,0,0,0.00055,0.00192,0,0.00343,0,0,0,0.00126,0,0.00372,0.06494,0.61632,0,0.0312,0,0.22306,1,0.18245
0.18,0.00141,0,0.0046,0.00289,0.21602,0,0,0,0,0.3442,0,0.00096,0.00633,0,0.15819,0.40849,0.65214,0.06131,0.00195,0,0.17838,0,0.00157,0.36837,0.2894,0,0,0,0.35925,0.00232,0.80943,0,0,0,0.05412,0.00069,0,0.34343,0.00095,0.0019,0.00183,0.18497,0.14872,0.00056,0.00657,0,0,1,0,0,0.00046,0.00177,0,0.00323,0,0,0,0.00106,0,0.00312,0.06438,0.49714,0,0.09335,0,0.20632,0.97315,0.16747
