T,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,J27,J28,J29,J30,J31,J32,J33,J34,J35,J36,J37,J38,J39,J40
0,-7.75715,-0.17579,0.25948,-0.13647,0.00472,-0.00417,0.30075,-0.89866,-0.10361,0.62426,-0.08493,-0.02462,-0.10892,0.32387,0.58945,0.21989,0.30779,0.19626,-0.08779,0.12533,0.0892,-0.95407,0.5019,-0.8266,-0.37726,0.03251,6e-05,0.07155,0.84242,-0.10857,-0.60443,-0.35968,-0.07306,-0.07097
0.02,-7.77924,-0.1766,0.25841,-0.13622,0.00335,-0.00416,0.29894,-0.91565,-0.10611,0.62025,-0.0827,-0.02422,-0.10786,0.32582,0.60808,0.22146,0.30084,0.19157,-0.08533,0.12468,0.08926,-0.96055,0.48717,-0.82667,-0.37708,0.03361,0.002,0.07188,0.83278,-0.12219,-0.60469,-0.36017,-0.07187,-0.06857
0.04,-7.80122,-0.17736,0.25747,-0.13604,0.00207,-0.00416,0.29723,-0.93249,-0.1083,0.61644,-0.08066,-0.02388,-0.10683,0.32752,0.62658,0.22356,0.29425,0.18747,-0.08333,0.12404,0.08932,-0.96695,0.47311,-0.82675,-0.3769,0.03469,0.00391,0.07218,0.82326,-0.13551,-0.60495,-0.36065,-0.07068,-0.06618
0.06,-7.82317,-0.1781,0.25666,-0.13592,0.00085,-0.00415,0.29562,-0.94923,-0.1102,0.61281,-0.07881,-0.0236,-0.10582,0.32892,0.64501,0.22631,0.28795,0.18393,-0.08178,0.12339,0.08941,-0.97329,0.45966,-0.82683,-0.37674,0.03575,0.00581,0.07245,0.81383,-0.14859,-0.60519,-0.36114,-0.06949,-0.06379
0.08,-7.84518,-0.17881,0.25598,-0.13588,-0.0003,-0.00414,0.29411,-0.96588,-0.11184,0.60938,-0.07714,-0.02339,-0.10483,0.33002,0.66347,0.22983,0.28187,0.18093,-0.0807,0.12272,0.08951,-0.97959,0.44677,-0.8269,-0.37658,0.03679,0.00769,0.0727,0.80446,-0.16149,-0.60543,-0.36162,-0.06829,-0.06141
0.1,-7.86687,-0.17943,0.25549,-0.13592,-0.00138,-0.00414,0.2927,-0.98232,-0.11319,0.60619,-0.07569,-0.02326,-0.10387,0.3307,0.68181,0.23434,0.27601,0.17852,-0.08016,0.12204,0.08964,-0.98579,0.4346,-0.82697,-0.37644,0.03781,0.00955,0.07292,0.79515,-0.17422,-0.60567,-0.3621,-0.06705,-0.05902
0.12,-7.88906,-0.1801,0.25506,-0.13602,-0.00241,-0.00413,0.29138,-0.99877,-0.11429,0.60316,-0.07445,-0.02322,-0.10292,0.33108,0.70025,0.2396,0.27031,0.17659,-0.08006,0.12134,0.08978,-0.99201,0.4228,-0.82703,-0.37629,0.03882,0.01141,0.07312,0.78593,-0.18677,-0.60589,-0.36258,-0.06583,-0.05665
0.14,-7.91072,-0.18064,0.25484,-0.1362,-0.00338,-0.00413,0.29017,-1.01486,-0.11509,0.60043,-0.07353,-0.0233,-0.10202,0.33099,0.71843,0.24591,0.26479,0.17524,-0.08052,0.12061,0.08994,-0.99812,0.41175,-0.82709,-0.37616,0.03981,0.01324,0.0733,0.77677,-0.1991,-0.60612,-0.36307,-0.06457,-0.05427
0.16,-7.93174,-0.18105,0.25483,-0.13642,-0.0043,-0.00413,0.28909,-1.03055,-0.11562,0.59798,-0.073,-0.02352,-0.10118,0.33044,0.73632,0.25312,0.25946,0.17444,-0.08146,0.11986,0.09012,-1.0041,0.40144,-0.82714,-0.37605,0.04078,0.01504,0.07345,0.76767,-0.21118,-0.60633,-0.36355,-0.06328,-0.05187
0.18,-7.9563,-0.18198,0.25419,-0.13657,-0.00519,-0.00412,0.28805,-1.04713,-0.11606,0.59535,-0.0726,-0.02378,-0.10031,0.33015,0.75507,0.25935,0.25423,0.17357,-0.0823,0.11919,0.09028,-1.01056,0.39021,-0.82718,-0.3759,0.04177,0.01694,0.07357,0.75878,-0.22283,-0.60654,-0.36399,-0.06221,-0.04967
